Title: The California Legacy Survey I. A Catalog of 177 Planets from Precision 
       Radial Velocity Monitoring of 719 Nearby Stars over Three Decades 
Authors: Rosenthal L.J., Fulton B.J., Hirsch L.A., Isaacson H.T., Howard A.W., 
         Dedrick C.M., Sherstyuk I.A., Blunt S.C., Petigura E.A., Knutson H.A.,
         Behmard A., Chontos A., Crepp J.R., Crossfield I.J.M., Dalba P.A., 
         Fischer D.A., Henry G.W., Kane S.R., Kosiarek M., Marcy G.W., 
         Rubenzahl R.A., Weiss L.M., Wright J.T.
Table: RV data
================================================================================
Byte-by-byte Description of file: apjsabe23ct6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     Num    Internal index number
   8- 16 A9     ---     Name   Abbreviated CPS identifier
  18- 21 A4     ---     Inst   Instrument code (1)
  23- 32 A10    ---     ObID   Observation identifier
  34- 47 F14.6  d       BJD    Barycentric Julian Date 
  49- 57 F9.2   m/s     RVel   Radial velocity
  59- 67 F9.6   m/s   e_RVel   Uncertainty in RVel
  69- 77 F9.5   ---     SVal   ? Ca II H & K line core strength value
  79- 86 F8.1   ---     cts    Counts 
--------------------------------------------------------------------------------
Note (1):
      k = Keck-HIRES (pre-2004);
      j = Keck-HIRES (post-2004);
    apf = APF-Levy;
   lick = Lick-Hamilton.
--------------------------------------------------------------------------------

97411 hip109388 k    rk12.357   2450606.067813    -13.03  3.665332            17106.0 
 97412 hip109388 k    rk13.36    2450666.001493      2.25  3.538807            18752.0 
 97413 hip109388 k    rk15.187   2450715.956701      1.84  3.925382            19441.0 
 97414 hip109388 k    rk21.112   2450983.037789     14.35  3.508137            17251.0 
 97415 hip109388 k    rk21.222   2450984.084016     20.89  3.347458            15522.0 
 97416 hip109388 k    rk33.108   2451410.021481     51.33  2.680728            15130.0 
 97417 hip109388 k    rk35.162   2451439.86537      42.50  3.002684            22352.0 
 97418 hip109388 k    rk54.101   2452095.081366     22.62  3.313579            13004.0 
 97419 hip109388 k    rk54.257   2452096.045833     15.72  3.120266            29425.0 
 97420 hip109388 k    rk55.405   2452133.012755     18.15  3.138851            23935.0 
 97421 hip109388 k    rk56.61    2452160.909167      8.25  2.707232            25716.0 
 97422 hip109388 k    rk56.156   2452161.845891      4.05  2.842832            25181.0 
 97423 hip109388 k    rk56.266   2452162.886968      6.00  2.896028            24761.0 
 97424 hip109388 k    rk65.75    2452486.968322     -8.55  3.499875            28613.0 
 97425 hip109388 k    rk67.66    2452535.851644     -8.39  3.190765            34723.0 
 97426 hip109388 k    rk74.695   2452807.010579      6.09  3.003549            29968.0 
 97427 hip109388 k    rk75.682   2452834.013021      4.73  3.126663            39990.0 
 97428 hip109388 k    rk80.432   2452989.720069     14.07  2.674815            33022.0 
 97429 hip109388 k    rk81.31    2453014.710405     19.40  2.95975             28461.0 
 97430 hip109388 k    rk81.328   2453015.71103      18.62  3.420611            21619.0 
 97431 hip109388 k    rk81.613   2453016.70603      18.99  2.671534            27461.0 
 97432 hip109388 k    rk85.112   2453154.079792     24.81  3.635085            30396.0 
 97433 hip109388 k    rk86.98    2453180.108391     28.08  3.22314             28508.0 
 97434 hip109388 k    rk88.279   2453196.931389     25.47  3.46427             25869.0 
 97435 hip109388 j    rj01.422   2453238.929005     27.44  1.533031   1.01     42269.0 
 97436 hip109388 j    rj02.157   2453301.838414     25.97  1.38148    1.0      23813.0 
 97437 hip109388 j    rj02.518   2453302.742454     25.93  1.325489   1.05     27053.0 
 97438 hip109388 j    rj02.938   2453303.798426     23.70  1.180658   1.02     28437.0 
 97439 hip109388 j    rj11.593   2453603.938738     16.63  1.600834   0.934    24970.0 
 97440 hip109388 j    rj14.526   2453724.711516      4.90  1.365446   0.985    27838.0 
 97441 hip109388 j    rj15.114   2453746.715035      2.65  2.042804   1.01      6627.0 
 97442 hip109388 j    rj15.115   2453746.721181      3.13  2.239597   1.03      6826.0 
 97443 hip109388 j    rj15.1208  2453749.697894     -7.47  1.755587   0.866    18698.0 
 97444 hip109388 j    rj19.598   2453927.014838    -16.95  1.436057   0.931    22284.0 
 97445 hip109388 j    rj21.213   2453959.086713    -14.49  1.421053   1.9      24879.0 
 97446 hip109388 j    rj21.465   2453960.955428    -14.93  1.257487   0.952    29420.0 
 97447 hip109388 j    rj21.466   2453960.961771    -11.88  1.344492   0.954    28495.0 
 97448 hip109388 j    rj23.634   2453983.000405    -12.61  1.421768   1.11     27116.0 
 97449 hip109388 j    rj26.137   2454083.749514    -29.35  2.133946   1.05      8072.0 
 97450 hip109388 j    rj43.2182  2454337.0736      -37.50  1.47092    1.0      27359.0 
 97451 hip109388 j    rj45.164   2454343.871655    -37.44  1.326101   1.03     27388.0 
 97452 hip109388 j    rj48.820   2454429.741933    -36.02  1.386441   1.05     20949.0 
 97453 hip109388 j    rj49.920   2454455.743704    -38.47  1.639471   1.06     15962.0 
 97454 hip109388 j    rj49.1315  2454456.733194    -42.03  1.571147   1.11     16613.0 
 97455 hip109388 j    rj49.2223  2454460.741875    -31.62  1.706917   1.0       9602.0 
 97456 hip109388 j    rj55.156   2454634.082824    -26.02  1.406986   1.1      23297.0 
 97457 hip109388 j    rj55.359   2454635.042037    -27.94  1.302409   0.998    28118.0 
 97458 hip109388 j    rj55.563   2454636.051053    -26.85  1.40523    1.01     26620.0 
 97459 hip109388 j    rj55.770   2454637.116053    -24.95  1.30957    1.0      29184.0 
 97460 hip109388 j    rj55.986   2454638.059086    -27.27  1.449598   0.963    25198.0 
 97461 hip109388 j    rj55.1265  2454639.066944    -28.99  1.418555   0.998    27169.0 
 97462 hip109388 j    rj55.1483  2454640.114572    -31.44  1.43016    1.08     24257.0 
 97463 hip109388 j    rj55.1640  2454641.117153    -29.85  1.432467   1.07     27728.0 
 97464 hip109388 j    rj55.2036  2454644.113461    -25.70  1.423276   1.01     20332.0 
 97465 hip109388 j    rj57.139   2454674.936042    -26.62  1.511278   1.02     24100.0 
 97466 hip109388 j    rj58.131   2454688.951933    -27.37  1.423566   1.06     24948.0 
 97467 hip109388 j    rj58.444   2454690.004641    -18.34  1.597793   1.06     22398.0 
 97468 hip109388 j    rj800.182  2454702.032919    -28.09  1.484405   1.05     25741.0 
 97469 hip109388 j    rj801.202  2454703.100872    -22.23  1.583228   1.062    21406.0 
 97470 hip109388 j    rj801.203  2454703.109008    -20.76  1.571358   1.04     20048.0 
 97471 hip109388 j    rj802.207  2454704.101219    -21.30  1.837835   1.053    13793.0 
 97472 hip109388 j    rj802.208  2454704.108916    -19.14  1.869626   1.033    13060.0 
 97473 hip109388 j    rj803.184  2454705.04315     -21.71  1.530995   1.092    22105.0 
 97474 hip109388 j    rj59.1358  2454721.949063    -22.46  1.694264   1.03     14976.0 
 97475 hip109388 j    rj62.93    2454790.751644    -19.13  1.503451   1.04     22237.0 
 97476 hip109388 j    rj63.694   2454807.793368    -18.71  1.633902   1.0      15497.0 
 97477 hip109388 j    rj807.148  2454818.802804    -18.90  1.794235   1.048    13244.0 
 97478 hip109388 j    rj807.149  2454818.810489    -20.51  1.888644   1.045    11448.0 
 97479 hip109388 j    rj808.140  2454819.779972    -16.62  1.635568   0.9854   20284.0 
 97480 hip109388 j    rj808.141  2454819.787402    -19.38  1.537193   0.9881   17582.0 
 97481 hip109388 j    rj70.1463  2454989.062573     -0.83  1.388292   0.981    28278.0 
 97482 hip109388 j    rj72.197   2455015.046875     -5.07  1.445192   1.04     24882.0 
 97483 hip109388 j    rj72.503   2455016.074407     -1.44  1.411554   0.978    27232.0 
 97484 hip109388 j    rj823.191  2455025.119143     -0.54  1.360649   1.018    31709.0 
 97485 hip109388 j    rj73.201   2455029.018671     -0.85  1.63928    0.982    25814.0 
 97486 hip109388 j    rj74.337   2455043.041655      9.35  1.415394   1.02     21054.0 
 97487 hip109388 j    rj75.143   2455048.996201      6.60  1.400396   0.985    29497.0 
 97488 hip109388 j    rj825.203  2455050.10046       4.08  1.33707    0.0      28721.0 
 97489 hip109388 j    rj826.162  2455051.006575    -13.95  1.413468   0.9413   30651.0 
 97490 hip109388 j    rj826.163  2455051.014272    -16.06  1.763041   0.9339   22028.0 
 97491 hip109388 j    rj827.186  2455052.037194      6.11  1.375376   0.9772   25623.0 
 97492 hip109388 j    rj76.324   2455075.082377      2.06  1.617821   1.0      20992.0 
 97493 hip109388 j    rj76.1341  2455080.083808     11.00  1.657578   0.9      18687.0 
 97494 hip109388 j    rj76.1711  2455082.072656      9.94  1.560258   0.993    22537.0 
 97495 hip109388 j    rj78.443   2455134.922244      7.28  1.547763   1.02     14530.0 
 97496 hip109388 j    rj78.728   2455135.875583      5.85  1.405478   1.03     17579.0 
 97497 hip109388 j    rj832.147  2455166.816859      6.19  1.676725   1.047    19648.0 
 97498 hip109388 j    rj833.138  2455167.794794      9.60  1.459467   1.013    28741.0 
 97499 hip109388 j    rj833.139  2455167.802282      9.67  1.505888   1.016    26842.0 
 97500 hip109388 j    rj834.134  2455168.772487      8.68  1.666416   1.228    16425.0 
 97501 hip109388 j    rj80.101   2455169.797432      6.71  1.725148   1.01     14328.0 
 97502 hip109388 j    rj81.302   2455188.724503     20.78  1.595204   1.07     18449.0 
 97503 hip109388 j    rj835.114  2455200.738897     18.64  1.669703   1.15     16251.0 
 97504 hip109388 j    rj836.113  2455201.733336     14.67  1.626581   1.099    17583.0 
 97505 hip109388 j    rj837.113  2455202.751432     15.11  1.501806   1.418    23347.0 
 97506 hip109388 j    rj92.377   2455352.0817       23.78  1.366725   0.977    22924.0 
 97507 hip109388 j    rj849.173  2455372.090855     21.76  1.437164   0.9887   30202.0 
 97508 hip109388 j    rj93.810   2455376.031515     22.01  1.231512   1.01     27391.0 
 97509 hip109388 j    rj94.66    2455395.957845     24.28  1.261251   0.978    33357.0 
 97510 hip109388 j    rj94.277   2455397.048279     22.27  1.36409    1.0      28178.0 
 97511 hip109388 j    rj852.199  2455410.111554     20.53  1.391706   1.075    27573.0 
 97512 hip109388 j    rj97.2200  2455436.111412     23.48  1.457055   0.99     15899.0 
 97513 hip109388 j    rj853.148  2455462.859515     23.94  1.190863   1.023    32315.0 
 97514 hip109388 j    rj853.149  2455462.866911     24.21  1.203791   1.03     32837.0 
