#RESOURCE=yCat_34140351
#Name: J/A+A/414/351
#Title: ELODIE survey for northern extrasolar planets III (Naef+, 2004)
#INFO ivoid=ivo://cds.vizier/j/a+a/414/351     IVOID of underlying data collection     
#INFO creator=Naef D.     First author or institution     
#INFO cites=bibcode:2004A&A...414..351N     Article or Data origin sources     
#INFO editor=Astronomy and Astrophysics     Editor name (article)     
#INFO original_date=2004     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/414/351     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.34140351     Dataset identifier that can be used for citation     
#INFO publication_date=2017-06-27     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_A_A_414_351_table6:
#Name: J/A+A/414/351/table6
#Title: Radial velocity measurements for HD 145675
#---Details of Columns:
    BJD (d)     (F12.4) Barycentric Julian date [ucd=time.epoch]
    RV (km/s)   (F7.3)  Barycentric radial velocity (1) [ucd=phys.veloc;pos.barycenter]
    e_RV (km/s) (F6.3)  Full RV uncertainty [ucd=stat.error]
    Instr       (I1)    [1,2] Instrument (1: ELODIE, 2: CORALIE) [ucd=meta.id;instr]
------------ ------- ------ -
                            I
                            n
                            s
             RV      e_RV   t
BJD (d)      (km/s)  (km/s) r
------------ ------- ------ -
2449464.5956 -13.782  0.008 1
2449531.4302 -13.751  0.007 1
2449752.6051 -13.802  0.008 1
2449755.7183 -13.812  0.007 1
2449766.7061 -13.791  0.007 1
2449820.6112 -13.844  0.008 1
2449851.5208 -13.867  0.008 1
2449904.4072 -13.863  0.007 1
2449907.4065 -13.864  0.007 1
2449970.3277 -13.852  0.007 1
2450021.2673 -13.896  0.007 1
2450027.2444 -13.882  0.007 1
2450091.6909 -13.887  0.007 1
2450148.5611 -13.897  0.007 1
2450150.6383 -13.901  0.007 1
2450207.5116 -13.907  0.007 1
2450212.5237 -13.902  0.007 1
2450263.5103 -13.902  0.007 1
2450265.4403 -13.921  0.007 1
2450267.4670 -13.900  0.007 1
2450324.3571 -13.883  0.007 1
2450380.2417 -13.888  0.007 1
2450382.2442 -13.886  0.007 1
2450474.7151 -13.906  0.007 1
2450474.7239 -13.908  0.007 1
2450531.6407 -13.867  0.007 1
2450531.6528 -13.870  0.007 1
2450535.6413 -13.873  0.007 1
2450561.5672 -13.899  0.007 1
2450579.5503 -13.882  0.007 1
2450623.4879 -13.890  0.007 1
