time	mnvel	errvel	tel
2450150.5493	11203.0	6.999999999999999	ELODIE
2450207.3648	11175.0	6.999999999999999	ELODIE
2450477.6002	11164.000000000002	6.999999999999999	ELODIE
2450532.4291999997	11190.0	2.8577380332470406	ELODIE
2450557.4235	11196.0	6.999999999999999	ELODIE
2450582.3557	11202.0	8.0	ELODIE
2450767.7048	11277.000000000002	6.999999999999999	ELODIE
2450821.6242	11273.0	6.999999999999999	ELODIE
2450826.64855	11275.5	4.949747468305833	ELODIE
2450884.4573	11265.999999999998	6.999999999999999	ELODIE
2450911.45005	11272.0	4.949747468305833	ELODIE
2450938.3525737934	11283.296551724137	5.979274549469277	ELODIE
2450970.346	11274.0	6.999999999999999	ELODIE
2451174.6728	11224.0	8.0	ELODIE
2451234.4857	11215.0	6.999999999999999	ELODIE
2451266.4164	11187.000000000002	8.0	ELODIE
2451324.3663	11185.0	6.999999999999999	ELODIE
2451508.6987	11175.999999999998	6.999999999999999	ELODIE
2451542.6385	11177.0	6.999999999999999	ELODIE
2451587.5644	11190.0	6.999999999999999	ELODIE
2451621.4418	11180.0	6.999999999999999	ELODIE
2451655.4028	11190.0	6.999999999999999	ELODIE
2451690.3978	11194.0	6.999999999999999	ELODIE
2451883.7067	11270.0	6.999999999999999	ELODIE
2451909.6771	11267.999999999998	8.0	ELODIE
2451950.6479	11270.0	6.999999999999999	ELODIE
2452038.4214	11264.000000000002	8.0	ELODIE
2452078.3565	11254.000000000002	6.999999999999999	ELODIE
2452249.683	11231.0	9.000000000000002	ELODIE
2452355.5093	11190.999999999998	8.0	ELODIE
2452356.4997	11190.999999999998	8.0	ELODIE
2452614.712	11164.000000000002	9.000000000000002	ELODIE
2452678.5739	11181.0	6.999999999999999	ELODIE
2452718.5215	11189.0	6.999999999999999	ELODIE
2452747.4011	11187.999999999998	6.999999999999999	ELODIE
2452751.4008	11192.0	6.999999999999999	ELODIE
2451010.62898	52.2	6.2	HJS
2451212.97474	1.7	4.5	HJS
2451240.8125	-1.7	4.6	HJS
