#---Details of Columns: Naef et al. 2004
    BJD (d)     (F12.4) Barycentric Julian date [ucd=time.epoch]
    RV (km/s)   (F7.3)  Barycentric radial velocity (1) [ucd=phys.veloc;pos.barycenter]
    e_RV (km/s) (F6.3)  Full RV uncertainty [ucd=stat.error]
    Instr       (I1)    [1,2] Instrument (1: ELODIE, 2: CORALIE) [ucd=meta.id;instr]
------------ ------- ------ -
                            I
                            n
                            s
             RV      e_RV   t
BJD (d)      (km/s)  (km/s) r
------------ ------- ------ -
2450150.5493  11.203  0.007 1
2450207.3648  11.175  0.007 1
2450477.6002  11.164  0.007 1
2450532.4115  11.197  0.007 1
2450532.4172  11.198  0.007 1
2450532.4265  11.186  0.007 1
2450532.4321  11.185  0.007 1
2450532.4413  11.183  0.007 1
2450532.4466  11.191  0.007 1
2450557.4235  11.196  0.007 1
2450582.3557  11.202  0.008 1
2450767.7048  11.277  0.007 1
2450821.6242  11.273  0.007 1
2450826.6455  11.270  0.007 1
2450826.6516  11.281  0.007 1
2450884.4573  11.266  0.007 1
2450911.4440  11.269  0.007 1
2450911.4561  11.275  0.007 1
2450938.3456  11.278  0.008 1
2450938.3614  11.290  0.009 1
2450970.3460  11.274  0.007 1
2451174.6728  11.224  0.008 1
2451234.4857  11.215  0.007 1
2451266.4164  11.187  0.008 1
2451324.3663  11.185  0.007 1
2451508.6987  11.176  0.007 1
2451542.6385  11.177  0.007 1
2451587.5644  11.190  0.007 1
2451621.4418  11.180  0.007 1
2451655.4028  11.190  0.007 1
2451690.3978  11.194  0.007 1
2451883.7067  11.270  0.007 1
2451909.6771  11.268  0.008 1
2451950.6479  11.270  0.007 1
2452038.4214  11.264  0.008 1
2452078.3565  11.254  0.007 1
2452249.6830  11.231  0.009 1
2452355.5093  11.191  0.008 1
2452356.4997  11.191  0.008 1
2452614.7120  11.164  0.009 1
2452678.5739  11.181  0.007 1
2452718.5215  11.189  0.007 1
2452747.4011  11.188  0.007 1
2452751.4008  11.192  0.007 1
