time	mnvel	errvel	tel
2451326.629453	-22567.529	11.8	HJS
2451503.889809	-22568.259	2.7	HJS
2451529.976108	-22626.99	1.28	HJS
2451532.850231	-22546.88	3.39	HJS
2451555.844726	-22613.15	2.02	HJS
2451627.705948	-22601.619	2.71	HJS
2451655.718872	-22562.95	1.87	HJS
2451688.642998	-22676.9	1.92	HJS
2451861.8822769998	-22615.119	1.79	HJS
2451861.895203	-22622.139	2.79	HJS
2451917.867086	-22557.659	1.84	HJS
2451987.751128	-22591.869	2.79	HJS
2452004.733465	-22550.49	3.48	HJS
2452039.68473	-22668.18	4.2	HJS
2452221.009274	-22622.909	2.39	HJS
2452248.991238	-22655.189	2.49	HJS
2452303.806854	-22679.909	5.86	HJS
2452353.776502	-22608.38	2.97	HJS
2452385.668372	-22560.65	2.29	HJS
2452661.733255	-22611.36	3.98	HJS
2452742.73449	-22676.27	2.33	HJS
2452804.630184	-22682.65	3.41	HJS
2453015.915222	-22547.569	2.68	HJS
2453037.851194	-22661.49	1.07	HJS
2453066.779437	-22680.4	2.79	HJS
2453692.955325	-22574.56	4.9	HJS
2453747.824024	-22488.119	5.58	HJS
2453806.748197	-22494.439	1.2	HJS
2453863.660171	-22521.49	3.83	HJS
2454068.004039	-22526.009	1.77	HJS
2454781.998828	-22583.619	5.5	HJS
2454838.860312	-22582.86	2.16	HJS
2455200.970252	-22490.13	2.81	HJS
2455200.985155	-22490.81	2.35	HJS
2455287.673698	-22464.61	3.83	HJS
2455287.682405	-22470.86	4.16	HJS
2455314.686713	-22484.159	6.3	HJS
2455316.630269	-22456.81	1.87	HJS
2455502.973684	-22558.52	5.96	HJS
2455502.988672	-22531.439	7.7	HJS
2455524.9414	-22538.52	2.81	HJS
2455524.947152	-22537.54	3.33	HJS
2455524.952902	-22533.119	3.21	HJS
2455526.928491	-22596.159	2.31	HJS
2455526.93983	-22596.029	2.47	HJS
2455526.950839	-22595.009	2.04	HJS
2455527.877401	-22613.509	3.98	HJS
2455527.881994	-22602.279	2.04	HJS
2455527.886586	-22604.299	2.14	HJS
2455527.948992	-22601.159	2.75	HJS
2455527.953583	-22600.939	1.95	HJS
2455527.958177	-22606.59	1.67	HJS
2455527.997977	-22606.439	2.35	HJS
2455528.0025690002	-22602.22	2.18	HJS
2455528.007162	-22608.5	3.45	HJS
2455528.931144	-22601.939	6.46	HJS
