Title: The California Legacy Survey I. A Catalog of 177 Planets from Precision 
       Radial Velocity Monitoring of 719 Nearby Stars over Three Decades 
Authors: Rosenthal L.J., Fulton B.J., Hirsch L.A., Isaacson H.T., Howard A.W., 
         Dedrick C.M., Sherstyuk I.A., Blunt S.C., Petigura E.A., Knutson H.A.,
         Behmard A., Chontos A., Crepp J.R., Crossfield I.J.M., Dalba P.A., 
         Fischer D.A., Henry G.W., Kane S.R., Kosiarek M., Marcy G.W., 
         Rubenzahl R.A., Weiss L.M., Wright J.T.
Table: RV data
================================================================================
Byte-by-byte Description of file: apjsabe23ct6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     Num    Internal index number
   8- 16 A9     ---     Name   Abbreviated CPS identifier
  18- 21 A4     ---     Inst   Instrument code (1)
  23- 32 A10    ---     ObID   Observation identifier
  34- 47 F14.6  d       BJD    Barycentric Julian Date 
  49- 57 F9.2   m/s     RVel   Radial velocity
  59- 67 F9.6   m/s   e_RVel   Uncertainty in RVel
  69- 77 F9.5   ---     SVal   ? Ca II H & K line core strength value
  79- 86 F8.1   ---     cts    Counts 
--------------------------------------------------------------------------------
Note (1):
      k = Keck-HIRES (pre-2004);
      j = Keck-HIRES (post-2004);
    apf = APF-Levy;
   lick = Lick-Hamilton.
-------------------------------------------------------------------------------- 
 80694 75732     k    rk58.154   2452219.138044   -143.09  1.101866            90943.0 
 80695 75732     k    rk59.101   2452236.014734    -60.56  1.213415            83185.0 
 80696 75732     k    rk59.593   2452243.050683    -54.00  1.170581           103423.0 
 80697 75732     k    rk60.80    2452307.849907   -106.97  1.329732            81925.0 
 80698 75732     k    rk61.114   2452333.997674   -138.21  1.493973            92390.0 
 80699 75732     k    rk61.259   2452334.892998   -140.14  1.265555            92064.0 
 80700 75732     k    rk68.102   2452573.112569    -64.33  1.172578           104412.0 
 80701 75732     k    rk68.313   2452574.128981    -46.23  1.277194            93411.0 
 80702 75732     k    rk68.703   2452576.098113     -9.82  1.353223            93329.0 
 80703 75732     k    rk69.120   2452601.03147     -86.39  1.193085            96434.0 
 80704 75732     k    rk69.311   2452602.058542    -59.41  1.251959           108936.0 
 80705 75732     k    rk69.515   2452603.113634    -26.41  1.214071           109994.0 
 80706 75732     k    rk70.207   2452652.972558    -73.66  1.437056            88157.0 
 80707 75732     k    rk70.317   2452654.039491    -99.50  1.471476           103510.0 
 80708 75732     k    rk71.22    2452680.970162    -31.04  1.332504            89390.0 
 80709 75732     k    rk71.121   2452682.950914    -83.97  1.397119            92428.0 
 80710 75732     k    rk72.48    2452711.766863    -78.21  1.358394            83061.0 
 80711 75732     k    rk72.236   2452712.825567   -106.31  1.391706            87960.0 
 80712 75732     k    rk73.160   2452777.805602    -51.76  1.205873            99886.0 
 80713 75732     k    rk74.218   2452804.745035   -126.83  1.463151            95267.0 
 80714 75732     k    rk80.74    2452988.038287     -6.38  1.295739           126732.0 
 80715 75732     k    rk81.967   2453017.861331    -18.76  1.211428           109137.0 
 80716 75732     k    rk82.235   2453045.781875     22.06  1.208705           100188.0 
 80717 75732     k    rk84.632   2453077.041736    -19.88  1.360143           103201.0 
 80718 75732     j    rj03.235   2453339.043299     32.22  1.077463   0.181   106610.0 
 80719 75732     j    rj03.236   2453339.044456     27.76  1.135117   0.181   100757.0 
 80720 75732     j    rj03.237   2453339.045509     31.33  1.046832   0.183   107560.0 
 80721 75732     j    rj04.903   2453369.915775    -14.11  1.046899   0.182   101925.0 
 80722 75732     j    rj04.904   2453369.916759    -13.31  1.09154    0.182   104225.0 
 80723 75732     j    rj04.905   2453369.91772     -12.94  1.110222   0.182   100666.0 
 80724 75732     j    rj06.309   2453425.842153     21.78  1.103987   0.194    99251.0 
 80725 75732     j    rj06.310   2453425.843218     24.09  1.216844   0.194    98997.0 
 80726 75732     j    rj06.311   2453425.844259     21.71  1.122359   0.196    98066.0 
 80727 75732     j    rj07.751   2453480.819433    -53.63  1.002303   0.193    95946.0 
 80728 75732     j    rj07.752   2453480.820451    -53.59  0.985918   0.194   100453.0 
 80729 75732     j    rj07.753   2453480.821354    -53.44  1.037498   0.195    97242.0 
 80730 75732     j    rj08.125   2453546.762755    -35.47  1.249418   0.195   103816.0 
 80731 75732     j    rj08.126   2453546.764456    -36.98  1.328      0.199   104658.0 
 80732 75732     j    rj08.127   2453546.765995    -34.47  1.238804   0.195   105686.0 
 80733 75732     j    rj08.520   2453547.738866    -74.75  1.137123   0.199   156693.0 
 80734 75732     j    rj08.521   2453547.74037     -75.99  1.115672   0.199   164505.0 
 80735 75732     j    rj08.522   2453547.742095    -75.73  1.136366   0.198   167248.0 
 80736 75732     j    rj08.523   2453547.7436      -76.94  1.186769   0.198   163772.0 
 80737 75732     j    rj13.181   2453692.98044     -29.84  1.119703   0.197   103419.0 
 80738 75732     j    rj13.182   2453692.981586    -31.80  1.073208   0.196   105888.0 
 80739 75732     j    rj13.183   2453692.982731    -30.11  1.140564   0.196   101805.0 
 80740 75732     j    rj13.235   2453693.077662    -31.52  1.081786   0.196   106950.0 
 80741 75732     j    rj13.236   2453693.078889    -32.17  1.054015   0.196   109790.0 
 80742 75732     j    rj13.237   2453693.079734    -32.21  1.033983   0.195   108053.0 
 80743 75732     j    rj13.653   2453694.080822    -49.77  1.049128   0.198   104977.0 
 80744 75732     j    rj13.654   2453694.081701    -51.81  0.939495   0.198   108532.0 
 80745 75732     j    rj13.655   2453694.082581    -51.20  1.042521   0.199   109374.0 
 80746 75732     j    rj13.1207  2453695.049676    -85.91  1.11418    0.199   107074.0 
 80747 75732     j    rj13.1208  2453695.050579    -84.20  1.162859   0.199   105360.0 
 80748 75732     j    rj13.1209  2453695.051458    -85.40  1.131947   0.199   105137.0 
 80749 75732     j    rj13.1210  2453695.052465    -85.14  1.31175    0.2      32856.0 
 80750 75732     j    rj13.1672  2453696.025266   -103.39  1.137675   0.201   106345.0 
 80751 75732     j    rj13.1673  2453696.026076   -102.05  1.203491   0.201   101557.0 
 80752 75732     j    rj13.1674  2453696.026921   -101.38  1.115315   0.202   106829.0 
 80753 75732     j    rj13.2250  2453697.109144   -105.81  1.252883   0.203   108065.0 
 80754 75732     j    rj13.2251  2453697.109977   -106.98  1.172386   0.202   106407.0 
 80755 75732     j    rj13.2252  2453697.11081    -101.50  1.192564   0.202   108124.0 
