time	mnvel	errvel	tel
2452394.962	-2.01	2.22	HRS
2452395.925	-3.6	2.6	HRS
2452396.9359999998	-1.4	2.87	HRS
2452400.92	3.8	2.88	HRS
2452403.869	1.37	2.29	HRS
2450603.9652549997	-4.22	1.2613860000000001	HIRES-pre
2450956.065486	2.33	1.5547950000000001	HIRES-pre
2450982.9772799998	-3.22	1.302518	HIRES-pre
2451013.8787849997	-1.63	1.244744	HIRES-pre
2451312.036377	3.91	1.3489959999999999	HIRES-pre
2451368.797523	-0.47	1.134818	HIRES-pre
2451439.745	-6.54	1.6770450000000001	HIRES-pre
2451704.957384	-4.79	1.418356	HIRES-pre
2452007.029468	-11.92	1.556266	HIRES-pre
2452009.07728	-14.03	1.5360610000000001	HIRES-pre
2452061.912627	-3.22	1.8440509999999999	HIRES-pre
2452062.935243	-1.78	1.545756	HIRES-pre
2452094.853438	-0.19	1.227303	HIRES-pre
2452096.8941200003	-5.87	1.3637059999999999	HIRES-pre
2452097.9822110003	-4.17	1.162459	HIRES-pre
2452127.918588	-5.18	1.609026	HIRES-pre
2452133.736829	-1.96	1.605958	HIRES-pre
2452160.871748	-2.8	1.730031	HIRES-pre
2452161.8211459997	-4.73	1.93205	HIRES-pre
2452162.787269	-3.32	1.640736	HIRES-pre
2452445.9883560003	7.6	1.680657	HIRES-pre
2452537.742685	0.27	1.958205	HIRES-pre
2452713.113218	6.29	1.128655	HIRES-pre
2452806.0272919997	-9.72	1.536174	HIRES-pre
2452850.9010650003	0.19	1.617407	HIRES-pre
2453179.985116	5.1	1.345	HIRES-pre
2453479.062778	9.47	0.9569120000000001	HIRES-post
2453479.069213	9.35	0.961007	HIRES-post
2453549.853565	8.04	0.877476	HIRES-post
2453549.859896	8.1	0.817551	HIRES-post
2453604.8779169996	2.57	0.9751040000000001	HIRES-post
2453604.884225	0.87	1.001714	HIRES-post
2453838.1057060002	5.64	1.255584	HIRES-post
2453838.111574	5.33	1.059334	HIRES-post
2453932.905093	5.82	0.793371	HIRES-post
2453960.872743	-0.88	0.974007	HIRES-post
2453961.819699	1.03	0.9585629999999999	HIRES-post
2453981.786123	11.78	0.955058	HIRES-post
2453981.792407	11.29	0.945082	HIRES-post
2453982.90441	3.75	1.045091	HIRES-post
2453983.8279279997	5.61	1.0468110000000002	HIRES-post
2453983.834236	4.79	1.024101	HIRES-post
2453984.884294	0.62	1.068674	HIRES-post
2453984.890694	-2.27	1.066134	HIRES-post
2454248.0225580004	1.5	1.061683	HIRES-post
2454248.990475	1.44	1.147881	HIRES-post
2454249.944734	1.8	0.977728	HIRES-post
2454252.031968	1.69	0.9708530000000001	HIRES-post
2454255.92125	-3.11	1.004043	HIRES-post
2454255.925683	-3.22	0.995072	HIRES-post
2454277.85088	2.58	1.012637	HIRES-post
2454278.896146	1.09	1.104402	HIRES-post
2454279.933333	1.89	1.133359	HIRES-post
2454294.9030560004	-6.8	0.796207	HIRES-post
2454304.887836	-3.53	0.916567	HIRES-post
2454306.037141	-4.46	0.8669	HIRES-post
2454307.014965	-2.57	0.9376709999999999	HIRES-post
2454308.071898	-3.51	1.0420989999999999	HIRES-post
2454309.0501159998	-4.79	1.121373	HIRES-post
2454310.042153	-2.39	1.061001	HIRES-post
2454311.02434	0.79	0.9193620000000001	HIRES-post
2454312.016748	0.84	0.9181879999999999	HIRES-post
2454312.874907	2.59	0.874295	HIRES-post
2454313.8753939997	5.61	0.778692	HIRES-post
2454314.90809	4.51	0.8445450000000001	HIRES-post
2454318.9210759997	6.86	0.991241	HIRES-post
2454335.825949	-10.04	1.020197	HIRES-post
2454338.887766	-4.39	0.963511	HIRES-post
2454339.882697	-5.9	1.040188	HIRES-post
2454343.79103	-1.57	1.108525	HIRES-post
2454396.7168400004	-3.81	1.224132	HIRES-post
2454397.729375	-0.3	1.153029	HIRES-post
2454548.052303	14.06	0.875661	HIRES-post
2454549.091528	16.78	0.8274739999999999	HIRES-post
2454602.943808	4.15	0.9759120000000001	HIRES-post
2454603.978252	0.28	0.9842879999999999	HIRES-post
2454633.962789	7.55	0.9556370000000001	HIRES-post
2454634.902905	2.22	0.8805	HIRES-post
2454635.946007	1.0	0.936099	HIRES-post
2454636.901435	-1.06	0.990181	HIRES-post
2454637.9391900003	0.95	0.9523159999999999	HIRES-post
2454638.838125	0.88	0.799374	HIRES-post
2454639.997593	-4.99	1.1034709999999999	HIRES-post
2454641.95375	-2.78	0.9264379999999999	HIRES-post
2454674.8601619997	0.22	0.9072110000000001	HIRES-post
