Title: The California Legacy Survey I. A Catalog of 177 Planets from Precision 
       Radial Velocity Monitoring of 719 Nearby Stars over Three Decades 
Authors: Rosenthal L.J., Fulton B.J., Hirsch L.A., Isaacson H.T., Howard A.W., 
         Dedrick C.M., Sherstyuk I.A., Blunt S.C., Petigura E.A., Knutson H.A.,
         Behmard A., Chontos A., Crepp J.R., Crossfield I.J.M., Dalba P.A., 
         Fischer D.A., Henry G.W., Kane S.R., Kosiarek M., Marcy G.W., 
         Rubenzahl R.A., Weiss L.M., Wright J.T.
Table: RV data
================================================================================
Byte-by-byte Description of file: apjsabe23ct6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     Num    Internal index number
   8- 16 A9     ---     Name   Abbreviated CPS identifier
  18- 21 A4     ---     Inst   Instrument code (1)
  23- 32 A10    ---     ObID   Observation identifier
  34- 47 F14.6  d       BJD    Barycentric Julian Date 
  49- 57 F9.2   m/s     RVel   Radial velocity
  59- 67 F9.6   m/s   e_RVel   Uncertainty in RVel
  69- 77 F9.5   ---     SVal   ? Ca II H & K line core strength value
  79- 86 F8.1   ---     cts    Counts 
--------------------------------------------------------------------------------
Note (1):
      k = Keck-HIRES (pre-2004);
      j = Keck-HIRES (post-2004);
    apf = APF-Levy;
   lick = Lick-Hamilton.
--------------------------------------------------------------------------------
 95539 gl687     k    rk12.164   2450603.965255     -4.22  1.261386            62713.0 
 95540 gl687     k    rk20.191   2450956.065486      2.33  1.554795            45705.0 
 95541 gl687     k    rk21.100   2450982.97728      -3.22  1.302518            54461.0 
 95542 gl687     k    rk22.406   2451013.878785     -1.63  1.244744            39341.0 
 95543 gl687     k    rk30.157   2451312.036377      3.91  1.348996            54224.0 
 95544 gl687     k    rk32.147   2451368.797523     -0.47  1.134818            48297.0 
 95545 gl687     k    rk35.125   2451439.745        -6.54  1.677045            48617.0 
 95546 gl687     k    rk41.246   2451704.957384     -4.79  1.418356            50540.0 
 95547 gl687     k    rk51.134   2452007.029468    -11.92  1.556266            47630.0 
 95548 gl687     k    rk51.440   2452009.07728     -14.03  1.536061            44949.0 
 95549 gl687     k    rk53.38    2452061.912627     -3.22  1.844051            34059.0 
 95550 gl687     k    rk53.165   2452062.935243     -1.78  1.545756            66790.0 
 95551 gl687     k    rk54.52    2452094.853438     -0.19  1.227303            89383.0 
 95552 gl687     k    rk54.334   2452096.89412      -5.87  1.363706            37491.0 
 95553 gl687     k    rk54.462   2452097.982211     -4.17  1.162459            64200.0 
 95554 gl687     k    rk55.60    2452127.918588     -5.18  1.609026            54188.0 
 95555 gl687     k    rk55.516   2452133.736829     -1.96  1.605958            60077.0 
 95556 gl687     k    rk56.52    2452160.871748     -2.80  1.730031            56181.0 
 95557 gl687     k    rk56.151   2452161.821146     -4.73  1.93205             55204.0 
 95558 gl687     k    rk56.245   2452162.787269     -3.32  1.640736            61338.0 
 95559 gl687     k    rk64.79    2452445.988356      7.60  1.680657            79614.0 
 95560 gl687     k    rk67.426   2452537.742685      0.27  1.958205            88325.0 
 95561 gl687     k    rk72.301   2452713.113218      6.29  1.128655            96101.0 
 95562 gl687     k    rk74.479   2452806.027292     -9.72  1.536174            86893.0 
 95563 gl687     k    rk76.443   2452850.901065      0.19  1.617407            65757.0 
 95564 gl687     k    rk86.71    2453179.985116      5.10  1.345               91443.0 
 95565 gl687     j    rj07.162   2453479.062778      9.47  0.956912   0.653    63479.0 
 95566 gl687     j    rj07.163   2453479.069213      9.35  0.961007   0.665    63069.0 
 95567 gl687     j    rj08.1136  2453549.853565      8.04  0.877476   0.743    75371.0 
 95568 gl687     j    rj08.1137  2453549.859896      8.10  0.817551   0.747    73864.0 
 95569 gl687     j    rj11.953   2453604.877917      2.57  0.975104   0.74     75063.0 
 95570 gl687     j    rj11.954   2453604.884225      0.87  1.001714   0.714    73253.0 
 95571 gl687     j    rj18.241   2453838.105706      5.64  1.255584   0.694    14296.0 
 95572 gl687     j    rj18.242   2453838.111574      5.33  1.059334   0.715    35611.0 
 95573 gl687     j    rj20.878   2453932.905093      5.82  0.793371   0.631    73948.0 
 95574 gl687     j    rj21.437   2453960.872743     -0.88  0.974007   0.642    68040.0 
 95575 gl687     j    rj21.839   2453961.819699      1.03  0.958563   0.657    71959.0 
 95576 gl687     j    rj23.140   2453981.786123     11.78  0.955058   0.643    87681.0 
 95577 gl687     j    rj23.141   2453981.792407     11.29  0.945082   0.655    88268.0 
 95578 gl687     j    rj23.589   2453982.90441       3.75  1.045091   0.655    78800.0 
 95579 gl687     j    rj23.1061  2453983.827928      5.61  1.046811   0.634    80169.0 
 95580 gl687     j    rj23.1062  2453983.834236      4.79  1.024101   0.638    79941.0 
 95581 gl687     j    rj23.1491  2453984.884294      0.62  1.068674   0.625    70138.0 
 95582 gl687     j    rj23.1492  2453984.890694     -2.27  1.066134   0.618    62174.0 
 95583 gl687     j    rj32.568   2454248.022558      1.50  1.061683   0.582    61198.0 
 95584 gl687     j    rj32.964   2454248.990475      1.44  1.147881   0.553    54117.0 
 95585 gl687     j    rj32.1356  2454249.944734      1.80  0.977728   0.539    73366.0 
 95586 gl687     j    rj32.2182  2454252.031968      1.69  0.970853   0.554    77106.0 
 95587 gl687     j    rj33.187   2454255.92125      -3.11  1.004043   0.701    59806.0 
 95588 gl687     j    rj33.188   2454255.925683     -3.22  0.995072   0.606    59598.0 
 95589 gl687     j    rj35.243   2454277.85088       2.58  1.012637   0.628    52173.0 
 95590 gl687     j    rj35.448   2454278.896146      1.09  1.104402   0.587    33630.0 
 95591 gl687     j    rj35.860   2454279.933333      1.89  1.133359   0.536    25110.0 
 95592 gl687     j    rj38.162   2454294.903056     -6.80  0.796207   0.626    78822.0 
 95593 gl687     j    rj41.161   2454304.887836     -3.53  0.916567   0.547    74956.0 
 95594 gl687     j    rj41.614   2454306.037141     -4.46  0.8669     0.56     62793.0 
 95595 gl687     j    rj41.997   2454307.014965     -2.57  0.937671   0.581    73197.0 
 95596 gl687     j    rj41.1428  2454308.071898     -3.51  1.042099   0.556    48905.0 
 95597 gl687     j    rj41.1798  2454309.050116     -4.79  1.121373   0.588    27583.0 
 95598 gl687     j    rj41.2208  2454310.042153     -2.39  1.061001   0.604    43345.0 
 95599 gl687     j    rj41.2606  2454311.02434       0.79  0.919362   0.579    61863.0 
 95600 gl687     j    rj41.3007  2454312.016748      0.84  0.918188   0.568    65955.0 
 95601 gl687     j    rj41.3365  2454312.874907      2.59  0.874295   0.607    68919.0 
 95602 gl687     j    rj41.3761  2454313.875394      5.61  0.778692   0.617    78876.0 
 95603 gl687     j    rj41.4164  2454314.90809       4.51  0.844545   0.624    69332.0 
 95604 gl687     j    rj42.148   2454318.921076      6.86  0.991241   0.601    70742.0 
 95605 gl687     j    rj43.153   2454335.825949    -10.04  1.020197   0.536    78673.0 
 95606 gl687     j    rj43.4147  2454338.887766     -4.39  0.963511   0.533    71170.0 
 95607 gl687     j    rj44.187   2454339.882697     -5.90  1.040188   0.529    79693.0 
 95608 gl687     j    rj45.142   2454343.79103      -1.57  1.108525   0.57     78823.0 
 95609 gl687     j    rj47.113   2454396.71684      -3.81  1.224132   0.549    62834.0 
 95610 gl687     j    rj47.314   2454397.729375     -0.30  1.153029   0.593    76101.0 
 95611 gl687     j    rj53.288   2454548.052303     14.06  0.875661   0.619    52083.0 
 95612 gl687     j    rj53.712   2454549.091528     16.78  0.827474   0.703    50788.0 
