time	mnvel	errvel	tel
2458269.700518	-18.801309	0.682793	HARPS-N
2458279.669339	-24.096836	0.678021	HARPS-N
2458296.699802	-24.389468	0.9096479999999999	HARPS-N
2458325.710889	-21.652482	0.750653	HARPS-N
2458326.684684	-20.466744	0.669243	HARPS-N
2458342.562835	-23.160874	1.6428040000000002	HARPS-N
2458345.568704	-18.682068	0.566131	HARPS-N
2458360.610697	-24.724049	0.7639050000000001	HARPS-N
2458361.5564759998	-24.501614	1.638061	HARPS-N
2458378.521638	-22.339645	0.627781	HARPS-N
2458379.508708	-23.5957	0.500171	HARPS-N
2458380.488716	-22.905785	0.606056	HARPS-N
2458381.486106	-24.303651000000002	0.529614	HARPS-N
2458382.493332	-19.923628	0.5510780000000001	HARPS-N
2458383.4961	-22.159015	0.9830020000000002	HARPS-N
2458386.557774	-20.959483	0.6022529999999999	HARPS-N
2458388.529376	-19.904708	0.6318239999999999	HARPS-N
2458389.551289	-19.027272	0.911587	HARPS-N
2458390.561119	-16.873229000000002	0.646871	HARPS-N
2458391.522026	-15.765325	0.5781350000000001	HARPS-N
2458448.333041	-17.770039999999998	0.47909099999999993	HARPS-N
2458449.310744	-17.373182	0.906004	HARPS-N
2458451.316516	-14.839645	0.638938	HARPS-N
2458454.410686	-18.66263	1.090726	HARPS-N
2458455.323559	-17.308584	0.5928220000000001	HARPS-N
2458473.336572	-14.111247	0.562789	HARPS-N
2458474.303904	-15.261830999999999	0.6773229999999999	HARPS-N
2458477.310989	-16.96053	1.038974	HARPS-N
2458479.317587	-15.945716000000001	0.573607	HARPS-N
2458480.306508	-17.692576000000003	0.6397430000000001	HARPS-N
2458641.691009	-8.89739	0.48333000000000004	HARPS-N
2458643.6881419998	-7.018339999999999	0.652985	HARPS-N
2458645.706039	-7.141239	0.692136	HARPS-N
2458647.721793	-21.45976	0.7619100000000001	HARPS-N
2458650.714161	-5.93797	0.4811539999999999	HARPS-N
2458652.683065	-4.384592	0.572154	HARPS-N
2458654.681239	-3.8420910000000004	0.509103	HARPS-N
2458678.719583	-2.5614169999999996	0.594119	HARPS-N
2458680.666904	-1.991184	0.8772290000000001	HARPS-N
2458681.65465	-1.934694	0.934681	HARPS-N
2458714.612156	0.458333	0.781416	HARPS-N
2458715.585511	-1.603885	1.1050360000000001	HARPS-N
2458716.619941	0.740204	0.8471389999999999	HARPS-N
2458718.494964	-0.874014	0.792641	HARPS-N
2458727.56275	1.425087	0.67438	HARPS-N
2458728.476848	0.504746	0.596693	HARPS-N
2458736.496015	3.321096	0.469833	HARPS-N
2458745.511915	-3.806664	0.540231	HARPS-N
2458746.540658	-5.713029	0.598871	HARPS-N
2458747.490873	-3.6743	0.57229	HARPS-N
2458748.54717	-3.247239	0.595232	HARPS-N
2458805.371392	1.216702	0.948319	HARPS-N
2458816.335042	11.861432	0.764898	HARPS-N
2458817.374267	8.603399000000001	1.184009	HARPS-N
2458818.372073	8.294630999999999	0.887542	HARPS-N
2458819.362032	5.910416000000001	0.717972	HARPS-N
2458820.309229	0.0	1.352336	HARPS-N
2458830.319109	-4.681869	1.061592	HARPS-N
2458831.334822	1.896325	0.722771	HARPS-N
2458838.306999	6.819512	0.849068	HARPS-N
2458841.306662	9.94224	0.774998	HARPS-N
2458842.3022	8.226222	0.910035	HARPS-N
2458844.331412	9.865226	1.288641	HARPS-N
2458845.313284	8.826174	0.7988800000000001	HARPS-N
2458999.685367	12.660255000000001	1.9158720000000002	HARPS-N
2459068.60158	16.445689	1.03769	HARPS-N
2459069.650545	6.978974000000001	0.714508	HARPS-N
2459070.675491	7.9958	0.7525850000000002	HARPS-N
2459072.690679	13.641138	0.7333689999999999	HARPS-N
2459075.626121	13.398385000000001	0.771649	HARPS-N
2459076.670734	14.324760000000001	0.641261	HARPS-N
2459077.699824	13.616570000000001	0.705069	HARPS-N
2459078.654131	11.553511	0.59688	HARPS-N
2459079.641064	9.210343	0.623097	HARPS-N
2459092.597414	9.124512	1.1730459999999998	HARPS-N
2459093.532335	7.352824000000001	1.369582	HARPS-N
2459094.594382	10.324406	0.611751	HARPS-N
2459095.598152	10.498335	0.770411	HARPS-N
2459096.616365	11.792964999999999	0.9034479999999999	HARPS-N
2459097.635074	12.280932	1.013248	HARPS-N
2459099.627245	13.291669	0.887115	HARPS-N
2459106.63821	13.506104999999998	0.735033	HARPS-N
2459110.571552	6.553032	1.027791	HARPS-N
2459111.568745	8.889874	0.640469	HARPS-N
2459120.601556	9.733707	1.066794	HARPS-N
2459125.506632	14.82185	0.7594350000000001	HARPS-N
2459126.551139	11.707681	0.8536429999999999	HARPS-N
2459130.527513	16.206935	0.717356	HARPS-N
2459153.415029	9.368730000000001	0.7697579999999999	HARPS-N
2459189.375312	15.535404000000002	0.89741	HARPS-N
2459190.340183	11.763475	0.606614	HARPS-N
2459192.315037	11.108592999999999	0.807064	HARPS-N
2459212.315824	12.919263	0.856531	HARPS-N
2459213.299447	7.448039	1.7742570000000002	HARPS-N
