time	mnvel	errvel	tel
2457683.6340412004	35.35505	1.7662409999999997	HARPS-post
2457980.8408374	2.098229	1.2819399999999999	HARPS-post
2457981.8287494997	4.01917	1.645731	HARPS-post
2458014.7168077	-1.031081	1.515795	HARPS-post
2458019.7106084	-4.465602	1.487641	HARPS-post
2458258.8646157	-11.087123	1.413349	HARPS-post
2458261.8890216	-11.731975	1.390299	HARPS-post
2458270.9135633	1.8142040000000001	1.530853	HARPS-post
2458271.8897117996	-0.10119500000000001	1.5769500000000003	HARPS-post
2458272.8716508	1.7402849999999999	1.451768	HARPS-post
2458273.8915302004	-3.1947099999999997	1.4516120000000001	HARPS-post
2458274.9496643995	-1.6094959999999998	1.0736729999999999	HARPS-post
2458275.8406792004	-1.332695	1.7088439999999998	HARPS-post
2458288.8516577003	-8.632556	1.4646569999999999	HARPS-post
2458289.8421054003	-9.871327	1.397622	HARPS-post
2458291.9356008	-5.102139	1.246485	HARPS-post
2458292.8141807998	-7.489487	1.505383	HARPS-post
2458293.8003991	-5.945269000000001	1.7920459999999998	HARPS-post
2458295.8177276	-7.867228999999999	1.35264	HARPS-post
2458306.8359295	-8.419535	1.586234	HARPS-post
2458308.7519867998	-4.834722	1.475168	HARPS-post
2458311.7703731004	-0.990507	1.303728	HARPS-post
2458313.7071735	1.4720950000000002	1.2456639999999997	HARPS-post
2458637.8783949	10.613866	1.484547	HARPS-post
2458678.7547226003	13.479821	1.1190440000000001	HARPS-post
2458680.7311172998	10.642655	1.407461	HARPS-post
2458728.6262622997	14.109776	1.339089	HARPS-post
