time	mnvel	errvel	tel
2450606.067813	-13.03	3.665332	HIRES-pre
2450666.001493	2.25	3.538807	HIRES-pre
2450715.9567009998	1.84	3.925382	HIRES-pre
2450983.0377889997	14.35	3.508137	HIRES-pre
2450984.084016	20.89	3.347458	HIRES-pre
2451410.0214810004	51.33	2.6807279999999998	HIRES-pre
2451439.8653700002	42.5	3.0026840000000004	HIRES-pre
2452095.0813659998	22.62	3.3135790000000003	HIRES-pre
2452096.045833	15.72	3.120266	HIRES-pre
2452133.012755	18.15	3.138851	HIRES-pre
2452160.9091669996	8.25	2.707232	HIRES-pre
2452161.845891	4.05	2.842832	HIRES-pre
2452162.886968	6.0	2.896028	HIRES-pre
2452486.968322	-8.55	3.499875	HIRES-pre
2452535.851644	-8.39	3.1907650000000003	HIRES-pre
2452807.010579	6.09	3.003549	HIRES-pre
2452834.0130209997	4.73	3.1266629999999997	HIRES-pre
2452989.720069	14.07	2.674815	HIRES-pre
2453014.710405	19.4	2.95975	HIRES-pre
2453015.71103	18.62	3.420611	HIRES-pre
2453016.70603	18.99	2.671534	HIRES-pre
2453154.079792	24.81	3.6350849999999997	HIRES-pre
2453180.108391	28.08	3.2231400000000003	HIRES-pre
2453196.931389	25.47	3.4642699999999995	HIRES-pre
