time	mnvel	errvel	tel
2452990.5432805	27.405068	2.10093	HARPS-pre
2453158.917734	32.472643	1.29003	HARPS-pre
2453339.5375999003	40.461	1.1441450000000002	HARPS-pre
2453517.9126063	36.896704	1.048594	HARPS-pre
2453520.9116518	37.309162	1.170555	HARPS-pre
2453920.8864758997	3.7925129999999996	1.053791	HARPS-pre
2453945.8072483996	3.001577	0.776895	HARPS-pre
2453951.8059188	-1.9269999999999998	1.050577	HARPS-pre
2453975.696716	0.683481	1.069261	HARPS-pre
2454048.5524858	-11.435824	1.049083	HARPS-pre
2454052.5491604	-9.564426	0.741639	HARPS-pre
2454078.5501973997	-9.595006	1.0964459999999998	HARPS-pre
2454227.9211904	-19.073938000000002	0.9989140000000001	HARPS-pre
2454291.8539448	-22.564397	1.1440019999999997	HARPS-pre
2454295.7809306	-19.739378	0.911199	HARPS-pre
2454297.8699531	-18.817836	0.967942	HARPS-pre
2454301.7657035	-16.323921	1.212106	HARPS-pre
2454320.7940896	-20.515795	1.017377	HARPS-pre
2454339.6933653997	-17.036553	1.081457	HARPS-pre
2454343.7789487997	-20.017263	1.1135760000000001	HARPS-pre
2454350.6860778	-24.113539000000003	1.156678	HARPS-pre
2454390.5757237	-24.962317000000002	1.05416	HARPS-pre
2454421.5165118	-16.728721	0.859553	HARPS-pre
2454427.5384429	-21.917061	0.9383020000000001	HARPS-pre
2454639.9273527	-10.885558999999999	1.074192	HARPS-pre
2454647.913937	-10.044875	1.076702	HARPS-pre
2454662.8452066	-7.876028	1.1349040000000001	HARPS-pre
2454665.8375252	-10.831164	1.073648	HARPS-pre
2454675.8256824	-9.687679	1.048776	HARPS-pre
2454682.8114742995	-7.5742460000000005	0.9758830000000001	HARPS-pre
2454702.7458157	-6.944146000000001	1.032808	HARPS-pre
2454705.7651471	-8.380607000000001	1.1692559999999999	HARPS-pre
2454730.6923466	-2.786728	0.945952	HARPS-pre
2454734.6629922	-1.902953	1.133976	HARPS-pre
2454742.5976171	-7.791611	2.637187	HARPS-pre
2454746.5942431	-4.360501	1.036412	HARPS-pre
2454954.9129585	16.606061999999998	0.9594229999999999	HARPS-pre
2454955.9021124	13.026917999999998	0.996334	HARPS-pre
2454989.9153209	15.608148000000002	0.879765	HARPS-pre
2454990.9235556	14.146417000000001	1.3315299999999999	HARPS-pre
2454992.8953426	17.111110999999998	1.052985	HARPS-pre
2455042.7820906	21.391482999999997	1.013744	HARPS-pre
2455048.8056448	21.673797	1.2025230000000002	HARPS-pre
2455055.8521856004	22.44268	1.274299	HARPS-pre
2455122.6163425	28.347379999999998	1.1183290000000001	HARPS-pre
2455413.7717897003	39.05872	1.178492	HARPS-pre
2455782.7211006	22.112292	1.1146340000000001	HARPS-pre
2455814.734626	24.541813	1.085772	HARPS-pre
2457683.6340412004	35.35505	1.7662409999999997	HARPS-post
2457980.8408374	2.098229	1.2819399999999999	HARPS-post
2457981.8287494997	4.01917	1.645731	HARPS-post
2458014.7168077	-1.031081	1.515795	HARPS-post
2458019.7106084	-4.465602	1.487641	HARPS-post
2458258.8646157	-11.087123	1.413349	HARPS-post
2458261.8890216	-11.731975	1.390299	HARPS-post
2458270.9135633	1.8142040000000001	1.530853	HARPS-post
2458271.8897117996	-0.10119500000000001	1.5769500000000003	HARPS-post
2458272.8716508	1.7402849999999999	1.451768	HARPS-post
2458273.8915302004	-3.1947099999999997	1.4516120000000001	HARPS-post
2458274.9496643995	-1.6094959999999998	1.0736729999999999	HARPS-post
2458275.8406792004	-1.332695	1.7088439999999998	HARPS-post
2458288.8516577003	-8.632556	1.4646569999999999	HARPS-post
2458289.8421054003	-9.871327	1.397622	HARPS-post
2458291.9356008	-5.102139	1.246485	HARPS-post
2458292.8141807998	-7.489487	1.505383	HARPS-post
2458293.8003991	-5.945269000000001	1.7920459999999998	HARPS-post
2458295.8177276	-7.867228999999999	1.35264	HARPS-post
2458306.8359295	-8.419535	1.586234	HARPS-post
2458308.7519867998	-4.834722	1.475168	HARPS-post
2458311.7703731004	-0.990507	1.303728	HARPS-post
2458313.7071735	1.4720950000000002	1.2456639999999997	HARPS-post
2458637.8783949	10.613866	1.484547	HARPS-post
2458678.7547226003	13.479821	1.1190440000000001	HARPS-post
2458680.7311172998	10.642655	1.407461	HARPS-post
2458728.6262622997	14.109776	1.339089	HARPS-post
2458269.700518	-18.801309	0.682793	HARPS-N
2458279.669339	-24.096836	0.678021	HARPS-N
2458296.699802	-24.389468	0.9096479999999999	HARPS-N
2458325.710889	-21.652482	0.750653	HARPS-N
2458326.684684	-20.466744	0.669243	HARPS-N
2458342.562835	-23.160874	1.6428040000000002	HARPS-N
2458345.568704	-18.682068	0.566131	HARPS-N
2458360.610697	-24.724049	0.7639050000000001	HARPS-N
2458361.5564759998	-24.501614	1.638061	HARPS-N
2458378.521638	-22.339645	0.627781	HARPS-N
2458379.508708	-23.5957	0.500171	HARPS-N
2458380.488716	-22.905785	0.606056	HARPS-N
2458381.486106	-24.303651000000002	0.529614	HARPS-N
2458382.493332	-19.923628	0.5510780000000001	HARPS-N
2458383.4961	-22.159015	0.9830020000000002	HARPS-N
2458386.557774	-20.959483	0.6022529999999999	HARPS-N
2458388.529376	-19.904708	0.6318239999999999	HARPS-N
2458389.551289	-19.027272	0.911587	HARPS-N
2458390.561119	-16.873229000000002	0.646871	HARPS-N
2458391.522026	-15.765325	0.5781350000000001	HARPS-N
2458448.333041	-17.770039999999998	0.47909099999999993	HARPS-N
2458449.310744	-17.373182	0.906004	HARPS-N
2458451.316516	-14.839645	0.638938	HARPS-N
2458454.410686	-18.66263	1.090726	HARPS-N
2458455.323559	-17.308584	0.5928220000000001	HARPS-N
2458473.336572	-14.111247	0.562789	HARPS-N
2458474.303904	-15.261830999999999	0.6773229999999999	HARPS-N
2458477.310989	-16.96053	1.038974	HARPS-N
2458479.317587	-15.945716000000001	0.573607	HARPS-N
2458480.306508	-17.692576000000003	0.6397430000000001	HARPS-N
2458641.691009	-8.89739	0.48333000000000004	HARPS-N
2458643.6881419998	-7.018339999999999	0.652985	HARPS-N
2458645.706039	-7.141239	0.692136	HARPS-N
2458647.721793	-21.45976	0.7619100000000001	HARPS-N
2458650.714161	-5.93797	0.4811539999999999	HARPS-N
2458652.683065	-4.384592	0.572154	HARPS-N
2458654.681239	-3.8420910000000004	0.509103	HARPS-N
2458678.719583	-2.5614169999999996	0.594119	HARPS-N
2458680.666904	-1.991184	0.8772290000000001	HARPS-N
2458681.65465	-1.934694	0.934681	HARPS-N
2458714.612156	0.458333	0.781416	HARPS-N
2458715.585511	-1.603885	1.1050360000000001	HARPS-N
2458716.619941	0.740204	0.8471389999999999	HARPS-N
2458718.494964	-0.874014	0.792641	HARPS-N
2458727.56275	1.425087	0.67438	HARPS-N
2458728.476848	0.504746	0.596693	HARPS-N
2458736.496015	3.321096	0.469833	HARPS-N
2458745.511915	-3.806664	0.540231	HARPS-N
2458746.540658	-5.713029	0.598871	HARPS-N
2458747.490873	-3.6743	0.57229	HARPS-N
2458748.54717	-3.247239	0.595232	HARPS-N
2458805.371392	1.216702	0.948319	HARPS-N
2458816.335042	11.861432	0.764898	HARPS-N
2458817.374267	8.603399000000001	1.184009	HARPS-N
2458818.372073	8.294630999999999	0.887542	HARPS-N
2458819.362032	5.910416000000001	0.717972	HARPS-N
2458820.309229	0.0	1.352336	HARPS-N
2458830.319109	-4.681869	1.061592	HARPS-N
2458831.334822	1.896325	0.722771	HARPS-N
2458838.306999	6.819512	0.849068	HARPS-N
2458841.306662	9.94224	0.774998	HARPS-N
2458842.3022	8.226222	0.910035	HARPS-N
2458844.331412	9.865226	1.288641	HARPS-N
2458845.313284	8.826174	0.7988800000000001	HARPS-N
2458999.685367	12.660255000000001	1.9158720000000002	HARPS-N
2459068.60158	16.445689	1.03769	HARPS-N
2459069.650545	6.978974000000001	0.714508	HARPS-N
2459070.675491	7.9958	0.7525850000000002	HARPS-N
2459072.690679	13.641138	0.7333689999999999	HARPS-N
2459075.626121	13.398385000000001	0.771649	HARPS-N
2459076.670734	14.324760000000001	0.641261	HARPS-N
2459077.699824	13.616570000000001	0.705069	HARPS-N
2459078.654131	11.553511	0.59688	HARPS-N
2459079.641064	9.210343	0.623097	HARPS-N
2459092.597414	9.124512	1.1730459999999998	HARPS-N
2459093.532335	7.352824000000001	1.369582	HARPS-N
2459094.594382	10.324406	0.611751	HARPS-N
2459095.598152	10.498335	0.770411	HARPS-N
2459096.616365	11.792964999999999	0.9034479999999999	HARPS-N
2459097.635074	12.280932	1.013248	HARPS-N
2459099.627245	13.291669	0.887115	HARPS-N
2459106.63821	13.506104999999998	0.735033	HARPS-N
2459110.571552	6.553032	1.027791	HARPS-N
2459111.568745	8.889874	0.640469	HARPS-N
2459120.601556	9.733707	1.066794	HARPS-N
2459125.506632	14.82185	0.7594350000000001	HARPS-N
2459126.551139	11.707681	0.8536429999999999	HARPS-N
2459130.527513	16.206935	0.717356	HARPS-N
2459153.415029	9.368730000000001	0.7697579999999999	HARPS-N
2459189.375312	15.535404000000002	0.89741	HARPS-N
2459190.340183	11.763475	0.606614	HARPS-N
2459192.315037	11.108592999999999	0.807064	HARPS-N
2459212.315824	12.919263	0.856531	HARPS-N
