# target ra dec BJD RV_mlc_nzp e_RV_mlc_nzp RV_drs_nzp e_RV_drs_nzp RV_mlc e_RV_mlc RV_drs e_RV_drs RV_mlc_j e_RV_mlc_j CRX e_CRX dLW e_dLW Halpha e_Halpha NaD1 e_NaD1 NaD2 e_NaD2 f_RV FWHM_DRS CONTRAST_DRS BIS RVGUESS SNR_DRS BJD_DRS BERV BERV_DRS DRIFT e_DRIFT SA NZP_mlc dNZP_mlc NZP_drs dNZP_drs TMMEAN EXPTIME MLCRX E_MLCRX TIMEID DRIFT_LAMP MASK PROGID PROGPI AIRMASS OBHAB THAR_FP DPR_TYPE RHKp dRHKp sourceflag vsinflag metflag
# From HARPS RV bank
GJ849 332.4233365 -4.640145 2452990.5432805 27.405068 2.10093 -15068.234989 3.692523 10.159735 1.918405 -15068.155539 3.559789 10.21091 1.934842 40.475011 17.128477 -9.773043 4.208737 0.846951 0.00345 0.23182 0.008242 0.286486 0.009927 0 3.035528 23.684405 -0.006321 -15.7 20.7 2452990.54328 -28.20189 -28.202042 0.0 -9999999 0.0 -0.44768 0.856522 0.07945 0.981136 0.5 392.0959 40.50132 17.137883 2003-12-17T01:02:03.218 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 8.32022135538271e-06 2.00127897473948e-06 1 0 0
GJ849 332.4233365 -4.640145 2453158.917734 32.472643 1.29003 -15064.859791 1.673694 15.713745 0.964623 -15064.354305 1.355936 15.867481 0.977175 -8.123757 9.548996 -3.809858 2.957525 0.852794 0.001636 0.229892 0.003101 0.248523 0.003556 0 3.001402 22.955431 -0.004901 -15.7 42.5 2453158.91773 28.831344 28.831436 0.0 -9999999 0.119828 0.038755 0.856551 0.385658 0.981167 0.49 900.001 -8.285628 9.463411 2004-06-02T09:52:46.681 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 5.51601268484056e-06 1.61669613753973e-06 1 0 0
GJ849 332.4233365 -4.640145 2453339.5375999 40.461 1.144145 -15056.013208 1.295617 22.837381 0.758574 -15055.58957 0.846162 22.937624 0.77364 9.468105 6.403208 -26.357435 2.054787 0.845264 0.001452 0.200997 0.00241 0.23114 0.002865 0 3.032613 23.937267 -0.004122 -15.7 52.2 2453339.53759 -30.112184 -30.112227 0.0 -9999999 0.248371 -0.825966 0.856524 0.175267 0.981138 0.5 448.6828 9.446839 6.31254 2004-11-30T00:51:08.123 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 4.98289277203847e-06 1.07883602694283e-05 1 0 0
GJ849 332.4233365 -4.640145 2453517.9126063 36.896704 1.048594 -15058.463298 1.166655 18.926739 0.827705 -15059.946335 0.995313 18.989984 0.841631 9.61799 8.12619 -21.971496 2.161961 0.845876 0.00163 0.201829 0.00268 0.237797 0.003184 0 3.037253 24.059868 -0.006555 -15.7 47.9 2453517.9126 29.233034 29.233072 0.0 -9999999 0.375316 -1.172312 0.643781 -1.858353 0.608635 0.5 900.0029 9.620051 8.086388 2005-05-27T09:46:07.494 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 1.505681975111e-06 4.6249442022271e-05 1 0 0
GJ849 332.4233365 -4.640145 2453520.9116518 37.309162 1.170555 -15058.265535 1.360988 20.74528 0.830453 -15057.556002 1.003146 20.88611 0.845062 0.752625 6.383732 -26.541428 2.116808 0.847212 0.001657 0.206823 0.002684 0.236837 0.003188 0 3.041246 24.195741 -0.007061 -15.7 47.5 2453520.91164 29.098226 29.098291 0.0 -9999999 0.37745 0.233771 0.824952 0.332083 0.919775 0.49 899.9993 0.815854 6.350653 2005-05-30T09:44:28.868 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 6.4732119401279e-06 1.0299778115675e-06 1 0 0
GJ849 332.4233365 -4.640145 2453920.8864759 3.792513 1.053791 -15094.239779 1.0514 -13.451882 0.61386 -15094.570866 0.593899 -13.313531 0.628924 -1.572719 4.391425 -19.746769 2.077501 0.845383 0.001217 0.203876 0.001831 0.241568 0.002151 0 3.050375 24.216508 -0.005482 -15.7 65.6 2453920.88659 22.346279 22.3462 0.0 -9999999 0.662102 -0.446742 0.856535 -0.993189 0.867598 0.49 900.0014 -1.589647 4.431653 2006-07-04T09:03:49.312 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 7.3014630438223e-06 4.86824948350245e-06 1 0 0
GJ849 332.4233365 -4.640145 2453945.8072484 3.001577 0.776895 -15093.48107 0.754862 -13.36677 0.585267 -15092.632412 0.550208 -13.164376 0.598128 8.841524 5.354145 -11.407857 1.948876 0.859104 0.001148 0.222267 0.001771 0.255675 0.002063 0 3.058011 24.02577 -0.006125 -15.7 69.3 2453945.80736 12.853629 12.853654 0.0 -9999999 0.679838 0.429306 0.51091 0.16882 0.516805 0.51 899.9996 8.864375 5.361587 2006-07-29T07:07:16.960 -9999999 M2 077.C-0364(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 8.30223774105399e-06 1.63262958465116e-06 1 0 0
GJ849 332.4233365 -4.640145 2453951.8059188 -1.927 1.050577 -15099.114247 1.211906 -16.989512 0.862868 -15097.156326 0.996359 -16.631364 0.876304 7.17104 7.257947 -21.865751 2.161258 0.861877 0.001705 0.214571 0.002799 0.248216 0.003322 0 3.054221 24.271434 -0.006505 -15.7 47.2 2453951.80605 10.098271 10.09829 0.0 -9999999 0.684107 1.735141 0.599309 1.273814 0.689916 0.54 900.0011 7.137599 7.270374 2006-08-04T07:04:35.046 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 6.70972751421284e-06 5.398638605094e-06 1 0 0
GJ849 332.4233365 -4.640145 2453975.696716 0.683481 1.069261 -15097.447227 1.072408 -16.421364 0.640112 -15096.423415 0.631133 -16.159924 0.655706 2.540458 5.598724 -18.247796 2.081254 0.853873 0.001267 0.216717 0.001949 0.251611 0.002349 0 3.054382 24.20593 -0.007381 -15.7 62.2 2453975.69683 -1.413251 -1.413234 0.0 -9999999 0.701109 -0.307192 0.856491 0.322703 0.867023 0.47 899.9995 2.499444 5.629117 2006-08-28T04:27:51.972 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 1.05581682198691e-05 2.45408619160437e-05 1 0 0
GJ849 332.4233365 -4.640145 2454048.5524858 -11.435824 1.049083 -15107.234655 1.11553 -27.084055 0.80644 -15104.914434 0.881074 -26.939996 0.821872 2.813681 7.700905 -19.246071 2.265773 0.833411 0.001513 0.217863 0.002513 0.245728 0.002971 0 3.043833 24.106606 -0.008305 -15.7 50.8 2454048.55259 -28.954039 -28.954174 0.0 -9999999 0.752959 1.149422 0.670991 1.567262 0.68419 0.44 900.0005 2.812992 7.643487 2006-11-09T01:06:40.428 -9999999 M2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_objA STAR_DARK_M4 6.18069374280938e-06 1.3522247089785e-06 1 0 0
