HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD192310,2451120.92322,-9.15,1.34,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru08.236
HD192310,2451121.90909,-6.82,1.30,UCLES,-1.0000,-1.0000,0.6871,0.0017,ru08.311
HD192310,2451122.89288,-3.40,1.75,UCLES,-1.0000,-1.0000,0.6874,0.0028,ru08.346
HD192310,2451387.21117,-5.39,1.40,UCLES,-1.0000,-1.0000,0.6859,0.0016,ru13.426
HD192310,2451411.01018,-7.43,2.13,UCLES,-1.0000,-1.0000,0.6838,0.0025,ru14.33
HD192310,2451413.00638,-6.17,2.13,UCLES,-1.0000,-1.0000,0.6841,0.0031,ru14.194
HD192310,2451413.01060,-7.91,3.54,UCLES,-1.0000,-1.0000,0.6829,0.0045,ru14.195
HD192310,2451683.15004,-5.16,1.77,UCLES,-1.0000,-1.0000,0.6837,0.0021,ru19.87
HD192310,2451706.15220,-4.28,1.62,UCLES,-1.0000,-1.0000,0.6861,0.0023,ru21.25
HD192310,2451718.26423,1.71,1.77,UCLES,-1.0000,-1.0000,0.6813,0.0023,ru27.75
HD192310,2451742.97757,1.07,1.43,UCLES,-1.0000,-1.0000,0.6849,0.0019,ru28.36
HD192310,2451744.01356,2.91,1.68,UCLES,-1.0000,-1.0000,0.6832,0.0024,ru28.149
HD192310,2451745.12798,-0.60,1.55,UCLES,-1.0000,-1.0000,0.6836,0.0023,ru28.188
HD192310,2451766.98843,-4.84,1.70,UCLES,-1.0000,-1.0000,0.6801,0.0027,ru29.42
HD192310,2451768.10671,-6.41,1.56,UCLES,-1.0000,-1.0000,0.6837,0.0021,ru29.148
HD192310,2451984.30975,-1.05,1.83,UCLES,-1.0000,-1.0000,0.6850,0.0023,ru35.139
HD192310,2452061.17734,-12.97,1.54,UCLES,-1.0000,-1.0000,0.6847,0.0021,ru42.82
HD192310,2452092.07696,-8.65,1.56,UCLES,-1.0000,-1.0000,0.6844,0.0019,ru43.49
HD192310,2452127.09298,-4.27,1.56,UCLES,-1.0000,-1.0000,0.6854,0.002,ru45.44
HD192310,2452151.02559,-9.93,2.12,UCLES,-1.0000,-1.0000,0.6866,0.003,ru46.23
HD192310,2452151.97867,-4.09,1.52,UCLES,-1.0000,-1.0000,0.6874,0.0018,ru46.90
HD192310,2452152.95799,-2.02,1.26,UCLES,-1.0000,-1.0000,0.6887,0.002,ru47.8
HD192310,2452188.88346,1.35,2.24,UCLES,-1.0000,-1.0000,0.6800,0.0045,ru48.235
HD192310,2452360.28947,-1.77,1.45,UCLES,-1.0000,-1.0000,0.6894,0.0024,ru50.111
