,obs,name,time,mnvel,errvel,sval,cts,tel
54206,,217107,2451068.86,-60.11600092,1.2022085,,120216,k
54207,,217107,2451069.973,-154.5098989,1.4474703,,118950,k
54208,,217107,2451070.953,-159.8576162,1.3651555,,68535,k
54209,,217107,2451070.955,-160.6631887,1.3125442,,147164,k
54210,,217107,2451071.869,-109.9312094,1.4065868,,164608,k
54211,,217107,2451072.929,-1.7255514,1.5998011,,168943,k
54212,,217107,2451074.87,88.19484349754873,1.2593496,,127343,k
54213,,217107,2451075.826,-39.69517878,1.5153228,,54192,k
54214,,217107,2451075.832,-39.67795924,1.7289532,,33346,k
54215,,217107,2451171.704,-92.62105921,1.3127986,,95553,k
54216,,217107,2451172.706,10.595325675283107,1.4672719,,138117,k
54217,,217107,2451173.705,114.37358495262686,1.2810051,,98034,k
54218,,217107,2451312.103,-118.1373709,1.2191635,,94988,k
54219,,217107,2451343.034,-50.19706324,1.2616485,,96876,k
54220,,217107,2451367.961,-3.248492989,1.6246768,,44206,k
54221,,217107,2451371.087,-87.45035914,1.3080907,,131437,k
54222,,217107,2451372.064,8.686466422,1.2087529,,110801,k
54223,,217107,2451373.071,118.59819432762686,1.5707418,,70929,k
54224,,217107,2451374.059,130.54695531395498,1.4727415,,68922,k
54225,,217107,2451410.025,98.22984716,1.4165221,,109696,k
54226,,217107,2451410.981,-34.72663477,1.1839782,,92790,k
54227,,217107,2451411.945,-119.4968679,1.3058112,,99464,k
54228,,217107,2451438.814,65.05296728,1.3109974,,88993,k
54229,,217107,2451488.787,59.29335423973623,1.3541965,,344636,k
54230,,217107,2451488.79,61.03876134422842,1.3231423,,122308,k
54231,,217107,2451552.699,97.97072240379873,1.2073723,,103564,k
54232,,217107,2451680.124,168.26607152489248,1.1876872,,104470,k
54233,,217107,2451704.112,-90.99119166,1.2566099,,93647,k
54234,,217107,2451705.108,-107.4248846,1.4500493,,86472,k
54235,,217107,2451706.116,-57.28215388,1.1682462,,93279,k
54236,,217107,2451707.116,43.06689855125967,1.3815951,,92295,k
54237,,217107,2451900.733,165.46345922020498,1.3166724,,91002,k
54238,,217107,2452063.116,11.944019522939357,1.3339279,,89232,k
54239,,217107,2452096.066,-89.32435206,1.3924129,,78760,k
54240,,217107,2452102.009,30.22022649,1.4913015,,80523,k
54241,,217107,2452128.941,179.68507787254873,1.4269227,,87683,k
54242,,217107,2452162.891,8.693500724111232,1.5909826,,104815,k
54243,,217107,2452189.837,-93.07049921,1.5572401,,83085,k
54244,,217107,2452236.706,136.49525853661123,1.3331411,,108749,k
54245,,217107,2452487.133,6.457149710927638,1.4205612,,93173,k
54246,,217107,2452514.856,105.1202280190331,1.5574758,,102682,k
54247,,217107,2452535.836,152.0783579018456,1.3579661,,90198,k
54248,,217107,2452573.854,-88.29652003,1.7331593,,100306,k
54249,,217107,2452600.78,48.64415380028311,1.4314405,,103204,k
54250,,217107,2452651.706,-56.90156153,1.5771638,,113830,k
54251,,217107,2452651.709,-63.34850672,1.4771698,,105631,k
54252,,217107,2452776.127,54.437046256337794,1.5487596,,98747,k
54253,,217107,2452777.127,161.0847055580956,1.3638425,,99715,k
54254,,217107,2452805.108,109.94051000145498,1.4124247,,100766,k
54255,,217107,2452807.024,121.26652928856436,1.3820047,,107284,k
54256,,217107,2452832.074,-53.26519373,1.3291389,,98136,k
54257,,217107,2452848.974,174.37871190575186,1.5965275,,99930,k
54258,,217107,2452856.021,185.0933725502831,1.412162,,103864,k
54259,,217107,2452897.859,125.02270909813467,1.489818,,107587,k
54260,,217107,2452924.776,-45.22212199,1.6042691,,107767,k
54261,,217107,2452987.689,-105.464504,1.5493598,,98074,k
54262,,217107,2452987.691,-100.9592321,1.4481152,,99742,k
54263,,217107,2453154.113,80.97639867332998,1.4418361,,103749,k
54264,,217107,2453180.113,-100.840328,1.4126606,,105234,k
54265,,217107,2453181.095,-69.01735285,1.4948832,,100700,k
54266,,217107,2453182.09,21.074024405751857,1.3316166,,104439,k
54267,,217107,2453195.959,-24.90081385,1.472366,,101903,k
54268,,217107,2453196.946,84.99486181,1.6686332,,90830,k
54269,bj01.417,217107,2453238.916,6.5307949357128905,0.9836835,0.14800000000000002,113694,j
54270,bj02.139,217107,2453301.761,-91.06259343,1.0849313,0.149,81810,j
54271,bj03.158,217107,2453338.739,8.831702304117044,0.9046152,0.14800000000000002,101048,j
54272,bj03.545,217107,2453339.727,117.34782443187454,0.8985511,0.14800000000000002,99923,j
54273,bj04.114,217107,2453367.722,57.581955713430666,0.9223733,0.147,100365,j
54274,bj08.1648,217107,2453551.113,-96.27532018,0.7847959,0.14800000000000002,98460,j
54275,bj11.613,217107,2453604.008,183.41413872654562,1.145349,0.149,104769,j
54276,bj11.614,217107,2453604.009,184.54339717669964,1.1279286,0.14800000000000002,103654,j
54277,bj11.615,217107,2453604.01,187.38646210429414,1.1475714,0.149,103915,j
54278,bj19.1019,217107,2453927.982,-107.1421536,0.91859925,0.14800000000000002,92282,j
54279,bj19.1020,217107,2453927.983,-104.6907096,0.9020568,0.14800000000000002,93081,j
54280,bj19.1021,217107,2453927.984,-106.1043901,0.8984103,0.14800000000000002,95312,j
54281,bj23.165,217107,2453981.85,162.0029774421223,0.91417253,0.14800000000000002,95100,j
54282,bj23.166,217107,2453981.851,162.7294832848481,0.949554,0.149,93976,j
54283,bj23.167,217107,2453981.852,163.34631980479372,0.98837924,0.14800000000000002,94609,j
54284,bj26.141,217107,2454083.777,-44.9213799,0.99461174,0.14800000000000002,71351,j
54285,bj26.142,217107,2454083.778,-45.08851959,0.98598355,0.14800000000000002,71218,j
54286,bj26.143,217107,2454083.78,-43.61195024,0.9555456,0.149,71353,j
54287,bj32.229,217107,2454247.097,34.365518058481484,0.9697693,0.149,71290,j
54288,bj32.591,217107,2454248.103,-78.22099555,0.96869856,0.149,71998,j
54289,bj32.2219,217107,2454252.126,123.36335540609423,0.90670234,0.149,72353,j
54290,bj33.264,217107,2454256.119,-118.1144008,0.9210714,0.14800000000000002,55492,j
54291,bj33.265,217107,2454256.119,-118.7391006,0.9586269,0.14800000000000002,56631,j
54292,bj35.501,217107,2454279.073,-49.16700795,0.9134353,0.14800000000000002,72860,j
54293,bj35.886,217107,2454280.073,57.24842290942155,0.99440753,0.14800000000000002,69898,j
54294,bj36.180,217107,2454286.078,-62.14961273,1.0550873,0.149,72376,j
54295,bj38.243,217107,2454295.058,128.27205985264558,1.026879,0.149,70251,j
54296,bj41.3868,217107,2454314.143,-95.30289194,1.0863106,0.14800000000000002,73109,j
54297,bj43.202,217107,2454336.002,-58.48055139,1.0385729,0.14800000000000002,72733,j
54298,bj45.165,217107,2454343.876,17.80496708128297,0.9793076,0.149,73243,j
54299,bj47.349,217107,2454397.852,-93.81666243,1.0411323,0.149,71856,j
54300,bj48.157,217107,2454427.886,-113.279463,0.98262423,0.147,73122,j
54301,bj48.822,217107,2454429.753,47.65500083354933,0.8728162,0.149,73935,j
54302,bj55.364,217107,2454635.054,-92.00535896,1.0055518,0.14800000000000002,46710,j
54303,bj58.145,217107,2454688.993,11.955376764913865,1.0025212,0.149,45798,j
54304,bj58.432,217107,2454689.97,-100.474338,1.0435134,0.147,47173,j
54305,bj59.1357,217107,2454721.945,36.43425396047019,1.1312441,0.149,46128,j
54306,bj61.695,217107,2454779.824,121.48783350339369,1.0919142,0.14800000000000002,46411,j
54307,bj63.690,217107,2454807.781,67.34696716401258,1.0046065,0.149,46599,j
54308,bj63.1012,217107,2454808.826,140.14257353651615,1.0125028,0.149,47129,j
54309,bj69.219,217107,2454964.124,14.616916371380455,0.9490712,0.149,48132,j
54310,bj70.231,217107,2454984.098,-125.931708,1.0791864,0.14800000000000002,46906,j
54311,bj70.1266,217107,2454988.126,26.779973115696237,0.98873806,0.14800000000000002,48725,j
54312,bj70.1486,217107,2454989.119,-101.9226826,1.0768628,0.14800000000000002,46890,j
54313,bj73.83,217107,2455027.022,-118.5407558,1.004139,0.14800000000000002,47159,j
54314,bj74.336,217107,2455043.037,66.46206892428486,1.2001851,0.14800000000000002,46349,j
54315,bj825.206,217107,2455050.113,60.869150939885586,0.98540235,0,75213,j
54316,bj826.204,217107,2455051.131,126.16071908965971,0.9810069,0.1495,74585,j
54317,bj826.205,217107,2455051.132,124.8217393858898,0.91713107,0.1488,74656,j
54318,bj826.206,217107,2455051.133,124.80935110109286,1.0068097,0.1497,73621,j
54319,bj826.207,217107,2455051.134,122.30424485712547,0.99284303,0.1481,74161,j
54320,bj826.208,217107,2455051.135,127.36052903996325,0.94352084,0.149,74646,j
54321,bj827.187,217107,2455052.041,53.79780057,1.068202,0.1491,74546,j
54322,bj827.188,217107,2455052.042,51.36790225960483,0.9690429,0.1481,76439,j
54323,bj827.189,217107,2455052.043,50.49937411685264,0.9056645,0.1491,76656,j
54324,bj827.190,217107,2455052.044,53.18943614296746,0.8762579,0.1485,72999,j
54325,bj827.191,217107,2455052.044,52.38423585615897,1.0100162,0.1486,75393,j
54326,bj76.524,217107,2455076.067,-156.8042544,1.0333197,0.14800000000000002,46902,j
54327,bj77.891,217107,2455109.929,-75.45712982,1.3390698,0.14800000000000002,45323,j
54328,bj78.442,217107,2455134.92,-30.78581923,1.4165467,0.149,22837,j
54329,bj832.158,217107,2455166.883,-75.46527467,0.9987203,0.1473,76631,j
