time	mnvel	errvel	tel
2450150.5493	11203.0	7.0	ELODIE
2450207.3648	11175.0	7.0	ELODIE
2450477.6002	11164.0	7.0	ELODIE
2450532.4292	11190.0	2.8577380332470415	ELODIE
2450557.4235	11196.0	7.0	ELODIE
2450582.3557	11202.0	8.0	ELODIE
2450767.7048	11277.0	7.0	ELODIE
2450821.6242	11273.0	7.0	ELODIE
2450826.64855	11275.5	4.949747468305833	ELODIE
2450884.4573	11266.0	7.0	ELODIE
2450911.45005	11272.0	4.949747468305833	ELODIE
2450938.352573793	11283.29655172414	5.979274549469277	ELODIE
2450970.346	11274.0	7.0	ELODIE
2451174.6728	11224.0	8.0	ELODIE
2451234.4857	11215.0	7.0	ELODIE
2451266.4164	11187.0	8.0	ELODIE
2451324.3663	11185.0	7.0	ELODIE
2451508.6987	11176.0	7.0	ELODIE
2451542.6385	11177.0	7.0	ELODIE
2451587.5644	11190.0	7.0	ELODIE
2451621.4418	11180.0	7.0	ELODIE
2451655.4028	11190.0	7.0	ELODIE
2451690.3978	11194.0	7.0	ELODIE
2451883.7067	11270.0	7.0	ELODIE
2451909.6771	11268.0	8.0	ELODIE
2451950.6479	11270.0	7.0	ELODIE
2452038.4214	11264.0	8.0	ELODIE
2452078.3565	11254.0	7.0	ELODIE
2452249.683	11231.0	9.0	ELODIE
2452355.5093	11191.0	8.0	ELODIE
2452356.4997	11191.0	8.0	ELODIE
2452614.712	11164.0	9.0	ELODIE
2452678.5739	11181.0	7.0	ELODIE
2452718.5215	11189.0	7.0	ELODIE
2452747.4011	11188.0	7.0	ELODIE
2452751.4008	11192.0	7.0	ELODIE
2451010.62898	52.2	6.2	HJS
2451212.97474	1.7	4.5	HJS
2451240.8125	-1.7	4.6	HJS
2451274.78993	-8.8	4.6	HJS
2451326.70558	-24.5	4.9	HJS
2451504.95996	-39.7	5.0	HJS
2451530.01978	-27.0	5.1	HJS
2451555.94972	-15.5	4.8	HJS
2451655.74023	-0.7	4.7	HJS
2451686.75156	-8.8	6.0	HJS
2451750.60418	13.1	5.1	HJS
2451861.01895	53.7	4.9	HJS
2451917.93086	48.2	4.6	HJS
2451987.85527	53.7	6.2	HJS
2452004.83235	60.5	4.8	HJS
2452039.77936	54.5	5.9	HJS
2452116.60554	55.7	6.6	HJS
2452249.0001	21.6	5.4	HJS
2452303.89238	-8.3	5.1	HJS
2452305.84757	-1.5	4.7	HJS
2452327.86285	21.2	13.1	HJS
2452353.85949	2.6	6.1	HJS
2452661.95399	-30.8	4.7	HJS
2453017.93695	75.2	6.4	HJS
2453069.76686	54.9	4.2	HJS
2453692.03243	-44.4	6.5	HJS
2453748.89147	-40.4	4.6	HJS
2453787.91198	-28.0	4.7	HJS
2453805.88756	-28.3	4.5	HJS
2453809.80777	-25.0	4.7	HJS
2453840.77154	-19.2	5.1	HJS
2453841.7131008394	-10.656173408881276	4.3276195474445185	HJS
2453861.74397	-19.8	5.4	HJS
2453909.61977	3.6	5.7	HJS
2454280.646906509	34.19669508196721	4.296777900691267	HJS
2454551.92162	-36.6	5.2	HJS
2454569.787973434	-39.17962662191612	3.423365156199454	HJS
2454605.77977	-52.7	6.5	HJS
2454632.71638	-43.6	6.8999999999999995	HJS
2453313.33003	24.4	4.7	HRS
2453314.99108	31.8	4.6	HRS
2453317.99083	30.8	4.4	HRS
2453334.95254	26.0	4.3	HRS
2453335.94709	26.8	4.4	HRS
2453338.93789	20.1	3.1	HRS
2453340.91724	24.8	4.4	HRS
2453346.92207	17.7	4.3	HRS
2453348.9094	24.0	4.7	HRS
2453350.917	14.7	8.200000000000001	HRS
2453357.88009	4.3	5.0	HRS
2453359.87543	7.9	5.599999999999999	HRS
2453365.8649	-11.9	4.1000000000000005	HRS
2453367.8639	1.0	4.3	HRS
2453371.85734	-1.0	5.1	HRS
2453373.85855	1.0	7.8999999999999995	HRS
2453377.83382	3.4	4.4	HRS
2453379.85077	-4.9	4.5	HRS
2453389.79762	4.0	4.2	HRS
2453391.79286	-6.9	5.0	HRS
2453395.7782	-4.5	4.4	HRS
2453400.99471	-3.3	4.7	HRS
2453408.76968	-1.7	4.5	HRS
2453414.72833	-10.6	4.3	HRS
2453416.7104	-9.0	4.7	HRS
2453421.94116	-7.1	3.8000000000000003	HRS
2453423.70482	-13.1	3.5	HRS
2453429.91553	-7.8	3.2	HRS
2453432.90803	-5.9	3.3	HRS
2453433.90682	-7.8	3.2	HRS
2453437.66207	-6.9	2.7999999999999994	HRS
2453439.65955	-7.0	3.2	HRS
2453440.9003	-13.2	3.6999999999999997	HRS
2453476.80401	-20.0	3.3	HRS
2453479.77845	-16.3	3.2	HRS
2453481.7662	-16.9	3.3	HRS
2453486.77731	-20.7	3.4	HRS
2453488.76788	-20.1	3.2	HRS
2453512.69186	-12.1	3.3	HRS
2453526.6373	-15.7	2.6	HRS
2453539.63923	-14.5	3.5999999999999996	HRS
2453708.92005	-27.1	4.8	HRS
2453709.92253	-29.2	4.7	HRS
2453710.91317	-29.6	4.2	HRS
2453711.93277	-26.4	3.5999999999999996	HRS
