#---Details of Columns: Wittenmyer et al. (2009)
    Name       (a10)   Source identification [ucd=meta.id;meta.main]
    JD (d)     (F13.5) Julian Date [ucd=time.epoch]
    RV (m/s)   (F6.1)  Radial velocity [ucd=spect.dopplerVeloc;pos.heliocentric]
    e_RV (m/s) (F4.1)  Uncertainty in RV [ucd=stat.error]
    Tel        (A4)    Telescope [ucd=meta.id;instr.tel] (Coude spectrograph)
---------- ------------- ------ ---- ----
                                e_       
                         RV     RV (     
Name       JD (d)        (m/s)  m/s) Tel 
---------- ------------- ------ ---- ----
47 UMa     2451010.62898   52.2  6.2 2.7m
47 UMa     2451212.97474    1.7  4.5 2.7m
47 UMa     2451240.81250   -1.7  4.6 2.7m
47 UMa     2451274.78993   -8.8  4.6 2.7m
47 UMa     2451326.70558  -24.5  4.9 2.7m
47 UMa     2451504.95996  -39.7  5.0 2.7m
47 UMa     2451530.01978  -27.0  5.1 2.7m
47 UMa     2451555.94972  -15.5  4.8 2.7m
47 UMa     2451655.74023   -0.7  4.7 2.7m
47 UMa     2451686.75156   -8.8  6.0 2.7m
47 UMa     2451750.60418   13.1  5.1 2.7m
47 UMa     2451861.01895   53.7  4.9 2.7m
47 UMa     2451917.93086   48.2  4.6 2.7m
47 UMa     2451987.85527   53.7  6.2 2.7m
47 UMa     2452004.83235   60.5  4.8 2.7m
47 UMa     2452039.77936   54.5  5.9 2.7m
47 UMa     2452116.60554   55.7  6.6 2.7m
47 UMa     2452249.00010   21.6  5.4 2.7m
47 UMa     2452303.89238   -8.3  5.1 2.7m
47 UMa     2452305.84757   -1.5  4.7 2.7m
47 UMa     2452327.86285   21.2 13.1 2.7m
47 UMa     2452353.85949    2.6  6.1 2.7m
47 UMa     2452661.95399  -30.8  4.7 2.7m
47 UMa     2453017.93695   75.2  6.4 2.7m
47 UMa     2453069.76686   54.9  4.2 2.7m
47 UMa     2453692.03243  -44.4  6.5 2.7m
47 UMa     2453748.89147  -40.4  4.6 2.7m
47 UMa     2453787.91198  -28.0  4.7 2.7m
47 UMa     2453805.88756  -28.3  4.5 2.7m
47 UMa     2453809.80777  -25.0  4.7 2.7m
47 UMa     2453840.77154  -19.2  5.1 2.7m
47 UMa     2453841.70627  -19.3  5.8 2.7m
47 UMa     2453841.72168    0.2  6.5 2.7m
47 UMa     2453861.74397  -19.8  5.4 2.7m
47 UMa     2453909.61977    3.6  5.7 2.7m
47 UMa     2454280.64401   38.2  6.7 2.7m
47 UMa     2454280.64893   31.4  5.6 2.7m
47 UMa     2454551.92162  -36.6  5.2 2.7m
47 UMa     2454569.78354  -39.5  5.8 2.7m
47 UMa     2454569.78813  -37.8  5.9 2.7m
47 UMa     2454569.79271  -40.3  6.1 2.7m
47 UMa     2454605.77977  -52.7  6.5 2.7m
47 UMa     2454632.71638  -43.6  6.9 2.7m
