time	mnvel	errvel	tel
2451326.629453	-22567.529	11.8	HJS
2451503.889809	-22568.259	2.7	HJS
2451529.976108	-22626.99	1.28	HJS
2451532.850231	-22546.88	3.39	HJS
2451555.844726	-22613.15	2.02	HJS
2451627.705948	-22601.619	2.71	HJS
2451655.718872	-22562.95	1.8699999999999999	HJS
2451688.642998	-22676.9	1.92	HJS
2451861.8860461516	-22617.16599423017	1.506586100783462	HJS
2451917.867086	-22557.659	1.84	HJS
2451987.751128	-22591.869	2.79	HJS
2452004.733465	-22550.49	3.4800000000000004	HJS
2452039.68473	-22668.18	4.2	HJS
2452221.009274	-22622.909	2.39	HJS
2452248.991238	-22655.189	2.49	HJS
2452303.806854	-22679.909	5.86	HJS
2452353.776502	-22608.38	2.97	HJS
2452385.668372	-22560.65	2.29	HJS
2452661.733255	-22611.36	3.9800000000000004	HJS
2452742.73449	-22676.27	2.33	HJS
2452804.630184	-22682.65	3.4100000000000006	HJS
2453015.915222	-22547.569	2.68	HJS
2453037.851194	-22661.49	1.07	HJS
2453066.779437	-22680.4	2.79	HJS
2453692.955325	-22574.56	4.9	HJS
2453747.824024	-22488.119	5.58	HJS
2453806.748197	-22494.439	1.2	HJS
2453863.660171	-22521.49	3.8299999999999996	HJS
2454068.004039	-22526.009	1.77	HJS
2454781.998828	-22583.619	5.5	HJS
2454838.860312	-22582.86	2.16	HJS
2455200.979021587	-22490.530142190695	1.8026880452161997	HJS
2455287.677692499	-22467.477304414453	2.8176706202051967	HJS
2455314.686713	-22484.159	6.300000000000001	HJS
2455316.630269	-22456.81	1.8699999999999999	HJS
2455502.9792993227	-22548.37397936961	4.71309557906837	HJS
2455524.9466090095	-22536.568461142837	1.7849352049441405	HJS
2455526.940709669	-22595.655886868713	1.3001216797634298	HJS
2455527.946300034	-22604.254263522584	0.7556967538956035	HJS
2455528.9401110634	-22604.739419943035	2.9691192435483393	HJS
2455529.9682956114	-22598.495583361466	1.2064024094347428	HJS
2455583.792607207	-22562.37694820582	1.7126966685068687	HJS
2455584.8309618393	-22586.73075439138	1.4859778103263221	HJS
2455587.8677037684	-22628.972671542786	2.5012039432235498	HJS
2455617.890097238	-22594.1564202518	1.5577669409506598	HJS
2455632.744391598	-22600.180227237994	1.2725149800146605	HJS
2455639.7156656357	-22497.50131700345	1.923996169312193	HJS
