#RESOURCE=yCat_17590019
#Name: J/ApJ/759/19
#Title: Precise radial velocities of {rho}^1^ Cancri (Endl+, 2012)
#INFO ivoid=ivo://cds.vizier/j/apj/759/19     IVOID of underlying data collection     
#INFO creator=Endl M.     First author or institution     
#INFO cites=bibcode:2012ApJ...759...19E     Article or Data origin sources     
#INFO editor=Astrophysical Journal (AAS)     Editor name (article)     
#INFO original_date=2012     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/759/19     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.17590019     Dataset identifier that can be used for citation     
#INFO publication_date=2017-06-29     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJ_759_19_table1:
#Name: J/ApJ/759/19/table1
#Title: Precise radial velocity results
#---Details of Columns:
    BJD (d)      (F12.6) Barycentric Julian Date; (BJD-2400000) [ucd=time.epoch]
    RVel (m/s)   (F10.3) [-22682.7/28445.6] Differential radial velocity [ucd=phys.veloc;pos.heliocentric]
    e_RVel (m/s) (F5.2)  [1/11.8] Error in RVel [ucd=stat.error;spect.dopplerVeloc]
    Tel          (A9)    Telescope/Spectrograph combination used (1) [ucd=instr.setup]
------------ ---------- ----- ---------
                        e_             
                        RVel           
BJD (d)      RVel (m/s) (m/s) Tel      
------------ ---------- ----- ---------
52927.984102  28414.810  2.18 HET/HRS
52927.986698  28411.430  1.14 HET/HRS
52929.976107  28382.750  1.31 HET/HRS
52929.978711  28380.660  2.35 HET/HRS
52931.984181  28324.340  2.74 HET/HRS
52931.986781  28321.180  2.58 HET/HRS
52932.966308  28297.860  1.60 HET/HRS
52932.968903  28296.540  1.81 HET/HRS
52934.943074  28270.680  1.86 HET/HRS
52934.945727  28271.450  2.50 HET/HRS
52948.910725  28291.090  4.19 HET/HRS
52948.913336  28294.150  2.85 HET/HRS
52949.920039  28288.130  2.99 HET/HRS
52949.922646  28289.770  1.75 HET/HRS
52953.921968  28376.380  3.12 HET/HRS
52953.924578  28378.250  4.90 HET/HRS
52954.905726  28395.110  3.43 HET/HRS
52954.908328  28392.990  2.89 HET/HRS
52958.888656  28411.160  3.20 HET/HRS
52958.891259  28391.270  3.72 HET/HRS
52958.893861  28417.080  3.25 HET/HRS
52958.896461  28412.490  3.06 HET/HRS
52958.907149  28423.240  4.29 HET/HRS
52959.910360  28373.970  1.66 HET/HRS
52959.912967  28371.590  1.52 HET/HRS
52963.873054  28279.040  1.23 HET/HRS
52963.875671  28277.630  2.96 HET/HRS
52965.859601  28281.110  3.39 HET/HRS
52965.862208  28278.040  3.79 HET/HRS
52981.832550  28324.520  1.73 HET/HRS
52981.835154  28320.660  2.37 HET/HRS
52983.819873  28378.450  2.68 HET/HRS
52983.822482  28379.130  2.93 HET/HRS
52984.824486  28411.060  2.73 HET/HRS
52984.827093  28404.660  2.35 HET/HRS
52987.025268  28434.750  3.20 HET/HRS
52987.027870  28434.110  3.93 HET/HRS
52988.024089  28408.560  2.25 HET/HRS
52988.026691  28411.340  2.47 HET/HRS
52988.818140  28394.900  1.60 HET/HRS
52988.820742  28399.930  3.60 HET/HRS
52991.026639  28326.680  1.90 HET/HRS
52991.029249  28324.810  3.56 HET/HRS
52993.794706  28289.810  2.48 HET/HRS
52993.797305  28285.090  2.43 HET/HRS
52994.789286  28286.790  2.60 HET/HRS
52994.791896  28290.200  3.12 HET/HRS
52995.021523  28304.590  4.08 HET/HRS
52995.024131  28304.950  3.83 HET/HRS
52995.801047  28316.520  1.79 HET/HRS
52995.803650  28318.340  4.59 HET/HRS
52998.019203  28380.590  3.16 HET/HRS
52998.021807  28397.150  7.12 HET/HRS
52998.784285  28407.540  5.83 HET/HRS
52998.786858  28404.240  8.71 HET/HRS
52998.789812  28408.150  5.13 HET/HRS
52999.012047  28400.380  4.01 HET/HRS
52999.014649  28403.910  2.00 HET/HRS
52999.769051  28417.240  4.32 HET/HRS
52999.771617  28417.970  3.27 HET/HRS
52999.997252  28426.520  1.36 HET/HRS
52999.999861  28425.580  3.48 HET/HRS
53000.775776  28432.020  4.38 HET/HRS
53000.778384  28433.950  4.70 HET/HRS
53003.787777  28389.500  4.41 HET/HRS
53003.790384  28394.680  1.76 HET/HRS
53003.999655  28382.970  3.20 HET/HRS
53004.002262  28387.450  2.18 HET/HRS
53006.766667  28305.680  5.19 HET/HRS
53006.769266  28303.900  4.58 HET/HRS
53024.931119  28290.180  1.15 HET/HRS
53024.933720  28291.380  2.02 HET/HRS
53031.911170  28434.580  3.33 HET/HRS
53031.913784  28436.130  4.08 HET/HRS
53033.679287  28380.490  3.79 HET/HRS
53033.683630  28380.150  3.33 HET/HRS
53034.927287  28354.020  1.31 HET/HRS
53034.931630  28351.610  3.39 HET/HRS
53039.910569  28335.520  2.06 HET/HRS
53039.913174  28342.340  2.60 HET/HRS
53042.670781  28404.560  3.10 HET/HRS
53042.673386  28407.180  3.71 HET/HRS
53042.883148  28417.380  3.99 HET/HRS
53042.885755  28420.040  4.40 HET/HRS
53050.652389  28308.680  2.00 HET/HRS
53050.654992  28311.910  4.59 HET/HRS
53051.641175  28300.270  5.00 HET/HRS
53051.643779  28299.470  3.50 HET/HRS
53052.853839  28287.340  2.70 HET/HRS
