time	mnvel	errvel	tel
2450983.79169	-36.77	1.152664	HIRES-pre
2451200.094155	14.77	1.243474	HIRES-pre
2451310.928495	-2.86	1.4369559999999997	HIRES-pre
2451370.81213	-31.12	1.270865	HIRES-pre
2451551.16765	-25.79	1.195668	HIRES-pre
2451552.154861	-24.59	1.269663	HIRES-pre
2451581.118669	-12.49	1.286452	HIRES-pre
2451582.085336	-12.93	1.242342	HIRES-pre
2451583.064352	-12.92	1.28052	HIRES-pre
2451584.104317	-13.78	1.29199	HIRES-pre
2451585.0264331307	-12.986612837045245	0.7572100597686191	HIRES-pre
2451586.024525	-11.64	1.254896	HIRES-pre
2451678.88015	9.93	1.362492	HIRES-pre
2451679.897164	2.17	1.211164	HIRES-pre
2451702.915347	17.69	1.2199110000000002	HIRES-pre
2451703.809803	19.79	1.412328	HIRES-pre
2451704.881852	16.42	1.4108989999999997	HIRES-pre
2451705.881458	15.58	1.207914	HIRES-pre
2451755.758646	13.94	1.334362	HIRES-pre
2451884.163287	-34.56	1.24576	HIRES-pre
2451898.170093	-38.78	1.266639	HIRES-pre
2451899.175498	-40.46	1.291358	HIRES-pre
2451900.171701	-39.31	1.171596	HIRES-pre
2451901.179954	-38.38	1.203625	HIRES-pre
2451972.109988	-38.39	1.219986	HIRES-pre
2451973.135243	-34.86	1.305154	HIRES-pre
2451974.135255	-39.71	1.276526	HIRES-pre
2451975.144896	-43.0	1.331262	HIRES-pre
2451982.107905	-39.4	1.141532	HIRES-pre
2452002.980822	-31.57	1.404485	HIRES-pre
2452003.896921	-30.27	1.412702	HIRES-pre
2452009.044525	-32.53	1.4365520000000003	HIRES-pre
2452030.911528	-28.63	1.5065549999999999	HIRES-pre
2452062.824074	-5.42	1.7862629999999997	HIRES-pre
2452094.772222	-12.72	1.470262	HIRES-pre
2452100.789213	-8.84	1.2898729999999998	HIRES-pre
2452127.782604	6.27	1.361835	HIRES-pre
2452333.986354	-9.3	1.586748	HIRES-pre
2452445.817188	-38.75	1.303604	HIRES-pre
2452654.163125	19.29	1.491949	HIRES-pre
2452683.014491	27.89	1.497834	HIRES-pre
2452712.038819	26.26	1.604432	HIRES-pre
2452776.921736	9.53	1.4256560000000003	HIRES-pre
2452806.735231	11.01	1.485542	HIRES-pre
2452834.761458	-13.53	1.4809659999999998	HIRES-pre
2452850.743553	-21.88	1.334231	HIRES-pre
2453071.941713	3.63	1.4072349999999998	HIRES-pre
2453153.837095	24.61	1.37018	HIRES-pre
2453180.874201	23.14	1.489333	HIRES-pre
2453195.785706	25.24	1.420628	HIRES-pre
2453239.737998	29.02	1.153437	HIRES-post
2453399.098882037	-23.52451304463405	0.6876650040720537	HIRES-post
2453725.168611	27.03	1.052393	HIRES-post
2453753.163773	24.32	0.9410249999999999	HIRES-post
2453933.8348266166	-28.971342211465654	0.6479195927258476	HIRES-post
2453961.737484798	-19.797620924597226	0.683498680212079	HIRES-post
2453981.7230886426	-16.342748796822832	0.5766973983955183	HIRES-post
2454130.1189285005	25.856793089049464	0.7129585962396279	HIRES-post
2454131.1474943617	21.185598376829695	0.8005602726241822	HIRES-post
2454139.1156362835	22.35553511860448	0.6811281757182545	HIRES-post
2454255.7767110327	22.862163803233226	0.7434243740699613	HIRES-post
2454277.751933	9.73	0.8430530000000002	HIRES-post
2454307.824734	-9.16	0.839864	HIRES-post
2454343.724826	-17.23	1.105435	HIRES-post
2454455.12103	-26.98	1.081989	HIRES-post
2454456.162512	-23.87	1.07237	HIRES-post
2454493.108831	-11.71	1.06686	HIRES-post
2454545.026921	6.88	1.155118	HIRES-post
2454547.98191	6.96	1.311241	HIRES-post
2454548.993148	1.63	1.323232	HIRES-post
2454602.799144	20.04	1.064325	HIRES-post
2454603.802025	18.77	1.039433	HIRES-post
2454633.792639	22.18	1.013338	HIRES-post
2454634.780428	20.35	1.042869	HIRES-post
2454635.787176	26.4	1.000223	HIRES-post
2454636.764097	21.0	1.001897	HIRES-post
2454637.76706	25.28	0.9118469999999999	HIRES-post
2454638.805938	20.4	0.9597249999999999	HIRES-post
2454639.790301	19.6	0.9624640000000001	HIRES-post
2454640.847535	22.15	1.178342	HIRES-post
2454641.775602	18.83	0.8952199999999999	HIRES-post
2454643.765799	15.14	0.9412510000000001	HIRES-post
2454667.817569	18.4	0.949762	HIRES-post
2454671.841566258	22.793923225596465	0.6395264928922869	HIRES-post
2454675.8116898756	20.37686303619662	0.7127866068598571	HIRES-post
2454688.743183	21.22	1.1357	HIRES-post
2454689.740185	18.43	1.165444	HIRES-post
2454822.136574	-19.76	0.9296830000000001	HIRES-post
2454873.126413	-37.58	1.144635	HIRES-post
2454927.981799	-32.77	1.168772	HIRES-post
2454934.906144	-29.5	1.132749	HIRES-post
2454956.982284	-27.75	1.302751	HIRES-post
2454986.820781	-18.89	1.161405	HIRES-post
2454987.915311	-18.84	1.208469	HIRES-post
2454988.788978	-18.31	1.157318	HIRES-post
2455015.824571	-12.3	0.956386	HIRES-post
2455173.136628	13.22	1.134628	HIRES-post
2455312.797283	-29.18	0.9978509999999999	HIRES-post
2455314.860737	-27.07	1.125775	HIRES-post
2455320.802346	-26.35	1.060251	HIRES-post
2455339.980651	-34.86	1.072273	HIRES-post
2455371.877863868	-43.16289260089709	0.5902621731632626	HIRES-post
2455373.750193	-41.62	0.881893	HIRES-post
2455407.771247	-42.15	1.010708	HIRES-post
2455546.159772	-4.76	1.060667	HIRES-post
2455580.054322	2.12	1.042055	HIRES-post
2455585.155899	4.69	1.003215	HIRES-post
2455606.040048	2.83	1.118311	HIRES-post
2455634.069932	10.85	1.196558	HIRES-post
