tel	time	mnvel	errvel
HIRES-pre	2450983.79169	-36.77	1.152664
HIRES-pre	2451200.094155	14.77	1.243474
HIRES-pre	2451310.928495	-2.86	1.436956
HIRES-pre	2451370.81213	-31.12	1.270865
HIRES-pre	2451551.16765	-25.79	1.195668
HIRES-pre	2451552.154861	-24.59	1.269663
HIRES-pre	2451581.118669	-12.49	1.286452
HIRES-pre	2451582.085336	-12.93	1.242342
HIRES-pre	2451583.064352	-12.92	1.28052
HIRES-pre	2451584.104317	-13.78	1.29199
HIRES-pre	2451585.018958	-17.23	1.380045
HIRES-pre	2451585.02581	-11.64	1.25165
HIRES-pre	2451585.033877	-10.63	1.312268
HIRES-pre	2451586.024525	-11.64	1.254896
HIRES-pre	2451678.88015	9.93	1.362492
HIRES-pre	2451679.897164	2.17	1.211164
HIRES-pre	2451702.915347	17.69	1.219911
HIRES-pre	2451703.809803	19.79	1.412328
HIRES-pre	2451704.881852	16.42	1.410899
HIRES-pre	2451705.881458	15.58	1.207914
HIRES-pre	2451755.758646	13.94	1.334362
HIRES-pre	2451884.163287	-34.56	1.24576
HIRES-pre	2451898.170093	-38.78	1.266639
HIRES-pre	2451899.175498	-40.46	1.291358
HIRES-pre	2451900.171701	-39.31	1.171596
HIRES-pre	2451901.179954	-38.38	1.203625
HIRES-pre	2451972.109988	-38.39	1.219986
HIRES-pre	2451973.135243	-34.86	1.305154
HIRES-pre	2451974.135255	-39.71	1.276526
HIRES-pre	2451975.144896	-43.0	1.331262
HIRES-pre	2451982.107905	-39.4	1.141532
HIRES-pre	2452002.980822	-31.57	1.404485
HIRES-pre	2452003.896921	-30.27	1.412702
HIRES-pre	2452009.044525	-32.53	1.436552
HIRES-pre	2452030.911528	-28.63	1.506555
HIRES-pre	2452062.824074	-5.42	1.786263
HIRES-pre	2452094.772222	-12.72	1.470262
HIRES-pre	2452100.789213	-8.84	1.289873
HIRES-pre	2452127.782604	6.27	1.361835
HIRES-pre	2452333.986354	-9.3	1.586748
