Target, ra[rad], dec[rad], ra[h:m:s], dec[d:m:s], ObservationTimeAtGaia[UTC], CcdRow[1-7], zetaFieldAngle[rad], scanAngle[rad], Fov[FovP=preceding/FovF=following], parallaxFactorAlongScan, parallaxFactorAcrossScan, ObservationTimeAtBarycentre[BarycentricJulianDateInTCB]
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2014-08-25T17:42:05.277,7,-0.005786123243259252,0.20517515668897643,FoVP,0.07127260675997352,0.7295761301616493,2456895.2344279443
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2014-08-25T19:28:39.402,7,-0.004073580024922809,0.20020250226410405,FoVF,0.07464950156805307,0.7283386098252617,2456895.3084288724
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2014-08-25T23:42:19.340,3,8.719104804803213E-5,0.18839490383484261,FoVP,0.08262432267815255,0.7253283773619089,2456895.4845733354
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2014-08-26T01:28:53.566,4,0.001870238195179396,0.1834464283275074,FoVF,0.08594808076127612,0.7240369615328986,2456895.5585754546
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2014-12-23T22:04:53.602,5,-0.003213544957979818,-1.9834888679920069,FoVP,-0.6476653415790367,0.7017812915188322,2457015.4194846544
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-01-22T09:41:57.773,5,-0.0032487379864223967,2.753671684961648,FoVP,0.6595300832254323,0.7017756370102592,2457044.906512739
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-01-22T11:28:31.988,4,0.0018785979696827404,2.7557880474538976,FoVF,0.6577448934048726,0.7030223352544211,2457044.9805271295
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-02-11T03:42:49.299,2,0.0016147028280438399,-2.266627855657112,FoVP,-0.4278084237659277,0.7055436510565835,2457064.6589308917
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-02-11T05:29:23.514,6,-0.0024713534733540135,-2.2629220705828703,FoVF,-0.43016312202306456,0.7032738283203376,2457064.7329442445
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-06-30T22:48:13.499,1,0.004173433471589129,-0.36887823364744216,FoVP,0.7093148421586782,0.7271419387716902,2457204.45206049
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-08-04T04:21:39.971,4,-0.001487071347639023,1.039440667443176,FoVP,-0.5978340053117281,0.7267955681212314,2457238.6803460303
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-08-21T06:14:50.284,7,-0.004751092597482357,-0.07377390629541335,FoVF,0.2981363909851367,0.7274468838221089,2457255.757520186
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-08-21T10:28:30.263,2,0.0024406965707262987,-0.08399001725154712,FoVP,0.30446319537438266,0.7226966158834991,2457255.933664159
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2015-08-21T12:15:04.531,1,0.005484234356229387,-0.0882667583618947,FoVF,0.30709453040282425,0.7206877645166884,2457256.007666357
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-01-03T05:14:30.904,4,-7.292281439314801E-4,-1.9633369688054647,FoVP,-0.6965901211520622,0.7021054924245553,2457390.718835672
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-02-06T16:39:17.755,1,0.003311526073323222,2.8596226129147024,FoVP,0.5065581924231366,0.706690191256349,2457425.1977492827
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-02-06T18:25:51.890,1,0.006794330049028843,2.8639120562683873,FoVF,0.5030650494191908,0.7084213785241588,2457425.271762044
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-02-19T10:46:16.767,3,7.493704526989833E-4,-2.529449549685747,FoVP,-0.2203151408864082,0.7079034085019476,2457437.953652677
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-02-19T12:32:50.987,6,-0.0021116945265364654,-2.5247537807036124,FoVF,-0.22352226290811722,0.7059990755547348,2457438.027665461
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-05-23T12:28:33.782,7,-0.006223801539826592,0.3433197707682044,FoVP,0.09696194375035508,0.7191402457763627,2457532.0249825334
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-05-23T14:15:08.080,7,-0.0043281849484391385,0.34820456732930805,FoVF,0.09340866748648238,0.7205123260259526,2457532.0989855193
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-05-23T18:28:48.185,3,8.756782954630639E-5,0.3598677767132259,FoVP,0.08488131852389634,0.7237059545772431,2457532.2751319828
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-05-23T20:15:22.377,4,0.0019017161768092048,0.3647827410277103,FoVF,0.08126972086105472,0.7250168380188594,2457532.349133726
HD114783,3.45893609449452,-0.03953234111219005,13:12:43.786,-02:15:54.131,2016-06-01T02:21:52.430,1,0.006949940103903008,0.935346043625415,FoVF,-0.379274685822651,0.728879572511969,2457540.6030393094
