# target ra dec BJD RV_mlc_nzp e_RV_mlc_nzp RV_drs_nzp e_RV_drs_nzp RV_mlc e_RV_mlc RV_drs e_RV_drs RV_mlc_j e_RV_mlc_j CRX e_CRX dLW e_dLW Halpha e_Halpha NaD1 e_NaD1 NaD2 e_NaD2 f_RV FWHM_DRS CONTRAST_DRS BIS RVGUESS SNR_DRS BJD_DRS BERV BERV_DRS DRIFT e_DRIFT SA NZP_mlc dNZP_mlc NZP_drs dNZP_drs TMMEAN EXPTIME MLCRX E_MLCRX TIMEID DRIFT_LAMP MASK PROGID PROGPI AIRMASS OBHAB THAR_FP DPR_TYPE RHKp dRHKp sourceflag vsinflag metflag
# From HARPS RV bank
HD134987 228.3691115 -25.310035 2453050.8613261 -54.431909 0.871393 5113.565785 1.00225 -10.981296 0.283746 5115.684287 0.20463 -10.909075 0.285601 -18.675304 5.132749 -49.280182 2.539765 0.427594 0.000237 0.286492 0.000305 0.390779 0.000397 0 7.432 51.659983 -0.022054 5.001 309.6 2453050.86132 30.04015 30.040252 0.734 -9999999 0.0 1.892172 0.823901 2.118502 0.981138 0.51 899.9958 -18.635624 5.113611 2004-02-15T08:32:12.434 -9999999 G2 072.C-0488(E) Mayor -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5 6.3947329574657e-06 2.99016427296636e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4465261 42.430805 1.125879 5210.136677 1.167287 84.060605 0.730675 5211.235222 0.632317 84.05809 0.73121 5.736045 6.707686 -14.341599 1.852056 0.429047 0.000664 0.289422 0.000885 0.389742 0.001147 0 7.423441 51.251387 -0.022469 5.12 108.9 2453162.44651 -10.724661 -10.724241 0.181 -9999999 0.030472 0.071359 0.856573 1.068073 0.98119 0.52 100.0034 5.739327 6.678062 2004-06-05T22:34:24.966 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 5.45646172453416e-06 7.87983394285747e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4479976 40.676336 1.124043 5208.067461 1.170934 82.305673 0.727845 5209.16324 0.639025 82.331928 0.728228 5.979564 7.079154 -14.095363 1.872759 0.429654 0.000654 0.288298 0.000874 0.389669 0.001135 0 7.426642 51.259328 -0.020834 5.12 109.4 2453162.448 -10.726747 -10.726348 0.299 -9999999 0.030472 0.070897 0.856572 1.065307 0.981189 0.48 100.0024 5.981136 7.052824 2004-06-05T22:36:36.108 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 4.75268858135574e-06 7.83182578802027e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4495297 41.904806 1.091033 5209.754438 1.147984 83.533662 0.675751 5210.847338 0.595933 83.526001 0.676472 -1.51357 5.505235 -17.862976 1.894421 0.428283 0.000616 0.288845 0.000819 0.389104 0.001062 0 7.419069 51.277659 -0.020466 5.12 116.9 2453162.44952 -10.728948 -10.728539 0.308 -9999999 0.030473 0.070415 0.856571 1.062427 0.981188 0.49 100.001 -1.506018 5.470799 2004-06-05T22:38:47.489 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 7.56776863741816e-06 7.21926929722487e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4510567 41.116337 1.100292 5208.880922 1.156241 82.744714 0.690601 5209.970952 0.61169 82.862818 0.691128 11.523338 6.845591 -13.11879 1.952847 0.431603 0.000634 0.288259 0.000839 0.390174 0.001092 0 7.42694 51.243093 -0.020323 5.12 114.0 2453162.45105 -10.731173 -10.730761 0.306 -9999999 0.030473 0.069936 0.85657 1.059557 0.981187 0.5 100.0017 11.528489 6.812359 2004-06-05T22:40:58.430 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 7.84854429540204e-06 7.86678927265998e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4525953 41.297014 1.104274 5210.159335 1.158472 82.924907 0.696929 5211.246474 0.615898 82.957681 0.697466 0.639126 6.716764 -18.790944 1.882818 0.430186 0.000638 0.287999 0.000846 0.387959 0.001098 0 7.418797 51.25498 -0.02083 5.12 113.0 2453162.45259 -10.733446 -10.733042 0.356 -9999999 0.030473 0.069453 0.856569 1.056666 0.981186 0.52 100.0029 0.65231 6.686586 2004-06-05T22:43:09.372 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 1.6621036029729e-06 8.43805344393382e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4541115 41.48397 1.1064 5209.591918 1.160143 83.111387 0.700294 5210.676208 0.619038 83.132519 0.700813 4.251022 6.254492 -17.684821 1.97384 0.428584 0.000644 0.288929 0.000854 0.389647 0.001109 0 7.421468 51.256491 -0.019785 5.12 112.2 2453162.45411 -10.735716 -10.735307 0.366 -9999999 0.030474 0.068976 0.856568 1.053816 0.981185 0.52 100.0011 4.255334 6.218902 2004-06-05T22:45:20.373 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 4.66503427649699e-06 7.30187904271488e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4556031 40.273975 1.100223 5208.388761 1.156257 81.900923 0.690496 5209.470247 0.611726 81.901952 0.691109 6.861762 5.841919 -20.312714 1.703736 0.430003 0.000643 0.288563 0.000848 0.389401 0.001102 0 7.418954 51.28366 -0.020998 5.12 113.0 2453162.4556 -10.737978 -10.737567 0.442 -9999999 0.030474 0.068508 0.856567 1.051012 0.981184 0.5 100.0018 6.863264 5.802882 2004-06-05T22:47:31.255 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 4.18908313920305e-06 7.98050919866497e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4703057 42.080883 1.054451 5210.572665 1.122586 83.703213 0.614959 5211.626522 0.545431 83.822727 0.615641 -0.594929 5.530668 -19.999885 1.763546 0.4304 0.000574 0.290035 0.000758 0.389771 0.000984 0 7.420978 51.278049 -0.021473 5.12 126.4 2453162.4703 -10.761789 -10.76138 0.514 -9999999 0.030478 0.063889 0.856558 1.023379 0.981175 0.49 100.0001 -0.593442 5.484474 2004-06-05T23:08:42.607 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 6.79976822422137e-06 6.53218917038838e-07 0 0 0
HD134987 228.3691115 -25.310035 2453162.4718209 40.871215 1.055165 5208.985419 1.124172 82.493069 0.616185 5210.036429 0.548691 82.493236 0.616791 2.468649 5.843399 -21.938011 2.04359 0.430179 0.000584 0.289922 0.000766 0.389946 0.000994 0 7.416831 51.296177 -0.023235 5.12 125.1 2453162.47181 -10.764396 -10.763983 0.496 -9999999 0.030479 0.063413 0.856557 1.020531 0.981174 0.49 99.9962 2.475224 5.80126 2004-06-05T23:10:53.519 -9999999 G2 073.D-0578(A) Bouchy -9999999 HARPS_ech_obs_all HARPS_ech_obs_thosimult STAR_WAVE_G5V 4.8975084608793e-06 6.0902471684815e-07 0 0 0
