time,mnvel,errvel,inst,tel,source
2450547.11003,-24.84,1.45,hiresk-butler2017,hiresk,butler2017
2450547.110035,-14.47,1.59,k-hirsch2021,hiresk,hirsch2021
2450547.110035,6.8,1.4,hiresk-wright2007,hiresk,wright2007
2450603.95584,-12.7,1.4,hiresk-wright2008,hiresk,wright2008
2450603.955845,-12.71,1.44,k-hirsch2021,hiresk,hirsch2021
2450603.955845,8.6,1.4,hiresk-wright2007,hiresk,wright2007
2450603.95585,-19.47,1.4,hiresk-butler2017,hiresk,butler2017
2450796.7027,-5.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450822.5953,-34.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450823.5975,-32.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450824.59,-25.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450859.5238,-19.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450888.488,-43.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2450888.5004,-42.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2450908.3906,-32.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450942.379,-45.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450956.01562,-17.79,1.54,hiresk-butler2017,hiresk,butler2017
2450956.015625,-6.23,1.56,k-hirsch2021,hiresk,hirsch2021
2450956.015625,15.1,1.5,hiresk-wright2007,hiresk,wright2007
2450972.3488,-54.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2450982.96363,-16.38,1.37,hiresk-butler2017,hiresk,butler2017
2450982.963634,-8.23,1.39,k-hirsch2021,hiresk,hirsch2021
2450982.963634,-14.07,1.38822,hiresk-callegacy,hiresk,callegacy
2451013.86865,-5.0,1.5,hiresk-wright2008,hiresk,wright2008
2451013.868657,16.3,1.5,hiresk-wright2007,hiresk,wright2007
2451013.868657,-4.98,1.53,k-hirsch2021,hiresk,hirsch2021
2451013.86866,-13.83,1.52,hiresk-butler2017,hiresk,butler2017
2451153.7204,-8.260869565216126,12.0,elodie-boisse2012e,elodie,boisse2012e
2451177.6261,-23.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2451234.5136,-57.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2451311.06548,-4.7,1.6,hiresk-wright2008,hiresk,wright2008
2451311.065486,-4.72,1.57,k-hirsch2021,hiresk,hirsch2021
2451311.065486,-10.56,1.569374,hiresk-callegacy,hiresk,callegacy
2451311.06549,-14.44,1.52,hiresk-butler2017,hiresk,butler2017
2451368.78949,-11.54,1.53,hiresk-butler2017,hiresk,butler2017
2451368.789491,-2.6,1.62,k-hirsch2021,hiresk,hirsch2021
2451368.789491,18.7,1.5,hiresk-wright2007,hiresk,wright2007
2451441.71387,1.7,1.3,hiresk-wright2008,hiresk,wright2008
2451441.713877,1.71,1.27,k-hirsch2021,hiresk,hirsch2021
2451441.713877,-4.13,1.271488,hiresk-callegacy,hiresk,callegacy
2451441.71388,-7.68,1.32,hiresk-butler2017,hiresk,butler2017
2451507.6975,-11.260869565216126,9.0,elodie-boisse2012e,elodie,boisse2012e
2451562.5777,-5.260869565216126,13.0,elodie-boisse2012e,elodie,boisse2012e
2451623.4423,-40.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2451626.4154,-15.260869565216126,11.0,elodie-boisse2012e,elodie,boisse2012e
2451655.3718,-9.260869565216126,10.0,elodie-boisse2012e,elodie,boisse2012e
2451705.917836,30.3,1.5,hiresk-wright2007,hiresk,wright2007
2451705.917836,8.97,1.59,k-hirsch2021,hiresk,hirsch2021
2451705.91784,0.89,1.53,hiresk-butler2017,hiresk,butler2017
2451953.6588,64.73913043478387,17.0,elodie-boisse2012e,elodie,boisse2012e
2451954.575,5.739130434783874,12.0,elodie-boisse2012e,elodie,boisse2012e
2451955.5267,7.739130434783874,11.0,elodie-boisse2012e,elodie,boisse2012e
2451956.49,10.739130434783874,10.0,elodie-boisse2012e,elodie,boisse2012e
2451978.486,-42.260869565216126,33.0,elodie-boisse2012e,elodie,boisse2012e
2451979.4655,-26.260869565216126,11.0,elodie-boisse2012e,elodie,boisse2012e
2452003.07818,0.0,2.19,hiresk-butler2017,hiresk,butler2017
2452003.078183,9.06,2.23,k-hirsch2021,hiresk,hirsch2021
2452003.078183,3.22,2.229454,hiresk-callegacy,hiresk,callegacy
2452007.3527,31.739130434783874,12.0,elodie-boisse2012e,elodie,boisse2012e
2452008.3887,17.739130434783874,13.0,elodie-boisse2012e,elodie,boisse2012e
2452009.47,-4.260869565216126,19.0,elodie-boisse2012e,elodie,boisse2012e
2452010.4319,-8.260869565216126,13.0,elodie-boisse2012e,elodie,boisse2012e
