time,mnvel,errvel,tel,inst,source
2450547.11003,-14.5,1.6,,hiresk,wright2008
2450547.110035,-20.31,1.592874,,hiresk,callegacy
2450603.955845,-18.55,1.438728,,hiresk,callegacy
2450603.955845,-18.55,1.438728,,hiresk,callegacy
2450956.01562,-6.2,1.6,,hiresk,wright2008
2450956.015625,-12.06,1.562597,,hiresk,callegacy
2450982.96363,-8.2,1.4,,hiresk,wright2008
2450982.963634,13.1,1.4,,hiresk,wright2007
2451013.868657,-10.82,1.529633,,hiresk,callegacy
2451013.868657,-10.82,1.529633,,hiresk,callegacy
2451311.065486,16.6,1.6,,hiresk,wright2007
2451311.065486,16.6,1.6,,hiresk,wright2007
2451368.78949,-2.6,1.6,,hiresk,wright2008
2451368.789491,-8.44,1.616762,,hiresk,callegacy
2451441.713877,23.0,1.4,,hiresk,wright2007
2451441.713877,23.0,1.4,,hiresk,wright2007
2451705.91783,9.0,1.6,,hiresk,wright2008
2451705.917836,3.13,1.589895,,hiresk,callegacy
2452003.07818,9.0,2.2,,hiresk,wright2008
2452003.078183,30.4,2.3,,hiresk,wright2007
2452098.91653,15.8,1.6,,hiresk,wright2008
2452098.916539,10.01,1.564704,,hiresk,callegacy
2452128.79781,2.19,1.62,,hiresk,butler2017
2452128.797813,34.7,1.7,,hiresk,wright2007
2452333.17329,16.8,1.7,,hiresk,wright2008
2452333.173299,10.95,1.677987,,hiresk,callegacy
2452487.860197,35.5,1.6,,hiresk,wright2007
2452487.860197,35.5,1.6,,hiresk,wright2007
2452776.98546,-2.86,1.74,,hiresk,butler2017
2452776.98546,-2.86,1.74,,hiresk,butler2017
2452776.985463,2.78,1.688563,,hiresk,callegacy
2452806.95185,-9.8,1.61,,hiresk,butler2017
2452806.95185,-9.8,1.61,,hiresk,butler2017
2452806.951852,19.5,1.6,,hiresk,wright2007
2452833.80103,0.22,1.447396,,hiresk,callegacy
2452833.80103,-3.33,1.43,,hiresk,butler2017
2452848.772037,25.3,1.5,,hiresk,wright2007
2452848.77204,-4.81,1.54,,hiresk,butler2017
2452897.77656,5.2,1.6,,hiresk,wright2008
2452897.77656,5.2,1.6,,hiresk,wright2008
2453072.04692,-2.4,1.6,,hiresk,wright2008
2453072.04692,-2.4,1.6,,hiresk,wright2008
2453074.077766,-5.9,1.587013,,hiresk,callegacy
2453074.07777,-10.1,1.51,,hiresk,butler2017
2453077.12809,-10.05,1.48,,hiresk,butler2017
2453077.12809,-6.67,1.494387,,hiresk,callegacy
2453077.12809,-0.9,1.5,,hiresk,wright2008
2453153.94317,-6.1,1.7,,hiresk,wright2008
2453153.943171,-11.92,1.674865,,hiresk,callegacy
2453179.99245,-0.7,1.6,,hiresk,wright2008
2453179.992454,-6.56,1.579779,,hiresk,callegacy
2453179.992454,-6.56,1.579779,,hiresk,callegacy
2453195.81919,-12.2,1.51,,hiresk,butler2017
2453195.81919,-12.2,1.51,,hiresk,butler2017
2453195.81919,-3.8,1.5,,hiresk,wright2008
2453428.16103,-19.09,1.27,,hiresj,butler2017
2453428.1621,-10.5,0.81,,hiresj,wright2008
2453428.1626,-21.23,1.31,,hiresj,butler2017
2453428.1626,-21.23,1.31,,hiresj,butler2017
2453428.1642,-21.82,1.49,,hiresj,butler2017
2453547.91306,-19.09,1.3,,hiresj,butler2017
2453547.91306,-19.09,1.3,,hiresj,butler2017
2453547.914398,-19.83,1.053641,,hiresj,callegacy
2453547.9144,-18.28,1.42,,hiresj,butler2017
2453547.9144,-18.28,1.42,,hiresj,butler2017
2453547.91578,-17.65,1.29,,hiresj,butler2017
2453604.8291,-21.33,1.28,,hiresj,butler2017
2453604.8291,-21.33,1.28,,hiresj,butler2017
2453604.829999,6.08,0.78,,hiresj,wright2007
2453604.830475,-21.49,0.991934,,hiresj,callegacy
2453604.83048,-22.4,1.22,,hiresj,butler2017
2453604.8319,-19.66,1.33,,hiresj,butler2017
2453777.15534,-13.6,1.5,,hiresj,wright2008
2453777.155347,7.5,1.5,,hiresj,wright2007
2453777.155347,-22.96,1.179049,,hiresj,callegacy
2453777.15535,-23.74,1.42,,hiresj,butler2017
2453807.07725,-15.5,1.5,,hiresj,wright2008
2453807.077257,2.4,1.4,,hiresj,wright2007
2453807.077257,2.4,1.4,,hiresj,wright2007
2453807.07726,-25.54,1.4,,hiresj,butler2017
2453931.954074,-19.52,1.036549,,hiresj,callegacy
2453931.955613,-21.87,1.096977,,hiresj,callegacy
2453931.955613,-21.87,1.096977,,hiresj,callegacy
2453932.912593,-25.23,1.054252,,hiresj,callegacy
2453932.913019,1.98,0.7,,hiresj,wright2007
2453932.913854,-24.7,1.038425,,hiresj,callegacy
2454248.02704,-11.4,1.5,,hiresj,wright2008
2454248.027049,-20.12,1.202954,,hiresj,callegacy
2454248.02705,-20.34,1.45,,hiresj,butler2017
2454248.99488,-9.1,1.4,,hiresj,wright2008
2454248.99488,-9.1,1.4,,hiresj,wright2008
2454248.994884,-18.81,1.27,,hiresj,hirsch2021
2454249.94937,-14.0,1.4,,hiresj,wright2008
2454249.94937,-24.74,1.36,,hiresj,butler2017
2454249.949375,-22.49,1.3,,hiresj,hirsch2021
2454252.03638,-20.89,1.51,,hiresj,butler2017
2454252.03638,-20.89,1.51,,hiresj,butler2017
2454252.03735,-21.32,1.23785,,hiresj,callegacy
2454252.03735,-18.21,1.66,,hiresj,butler2017
2454255.93244,-22.46,1.59,,hiresj,butler2017
2454255.932442,-20.0,1.218804,,hiresj,callegacy
2454255.93331,-20.98,1.255716,,hiresj,callegacy
2454255.93331,-22.12,1.42,,hiresj,butler2017
2454277.86162,-15.32,1.52,,hiresj,butler2017
2454277.86162,-13.21,1.07,,hiresj,hirsch2021
2454277.86162,-3.9,1.6,,hiresj,wright2008
2454278.90519,-3.8,1.4,,hiresj,wright2008
2454278.905197,-12.31,1.15,,hiresj,hirsch2021
2454278.9052,-16.46,1.33,,hiresj,butler2017
2454279.94294,-13.07,1.41,,hiresj,butler2017
2454279.94294,-11.51,1.09,,hiresj,hirsch2021
2454279.94294,-1.7,1.5,,hiresj,wright2008
2454285.90395,-6.2,1.5,,hiresj,wright2008
2454285.903958,-14.54,1.178202,,hiresj,callegacy
2454285.90396,-16.35,1.43,,hiresj,butler2017
2454294.89078,-11.8,1.4,,hiresj,wright2008
2454294.890787,-18.68,1.140058,,hiresj,callegacy
2454294.89079,-22.59,1.28,,hiresj,butler2017
2454304.876667,-15.79,1.164014,,hiresj,callegacy
2454304.87667,-23.13,1.35,,hiresj,butler2017
2454304.87775,-24.14,1.28,,hiresj,butler2017
2454305.88137,-23.9,1.32,,hiresj,butler2017
2454305.88137,-23.9,1.32,,hiresj,butler2017
2454305.88185,-11.27,0.92,,hiresj,wright2008
2454305.88237,-19.12,1.46,,hiresj,butler2017
2454305.88237,-19.12,1.46,,hiresj,butler2017
2454306.87585,-24.23,1.33,,hiresj,butler2017
2454306.87585,-24.23,1.33,,hiresj,butler2017
2454306.87685,-21.92,1.37,,hiresj,butler2017
2454306.87685,-21.92,1.37,,hiresj,butler2017
2454306.876852,-13.76,1.061336,,hiresj,callegacy
2454307.92579,-26.05,1.34,,hiresj,butler2017
2454307.92579,-26.05,1.34,,hiresj,butler2017
2454307.92722,-24.04,1.28,,hiresj,butler2017
2454308.90389,-20.67,1.23,,hiresj,butler2017
2454308.90389,-20.67,1.23,,hiresj,butler2017
2454308.90402,-10.42,0.87,,hiresj,wright2008
2454308.905069,-15.68,1.08625,,hiresj,callegacy
2454308.90507,-20.55,1.37,,hiresj,butler2017
2454309.88455,-20.23,1.32,,hiresj,butler2017
2454309.88455,-20.23,1.32,,hiresj,butler2017
2454309.88576,-12.57,0.86,,hiresj,wright2008
2454309.88603,-16.49,1.029968,,hiresj,callegacy
2454309.88603,-24.21,1.37,,hiresj,butler2017
2454310.87806,-16.22,1.21,,hiresj,butler2017
2454310.87806,-16.22,1.21,,hiresj,butler2017
2454310.87849,-6.31,0.79,,hiresj,wright2008
2454310.87912,-18.13,1.44,,hiresj,butler2017
2454310.87912,-18.13,1.44,,hiresj,butler2017
2454311.869306,-11.51,1.001573,,hiresj,callegacy
2454311.86931,-16.18,1.25,,hiresj,butler2017
2454311.87037,-20.5,1.28,,hiresj,butler2017
2454312.86322,-15.62,1.22,,hiresj,butler2017
2454312.86434,-15.62,1.34,,hiresj,butler2017
2454312.86434,-15.62,1.34,,hiresj,butler2017
2454313.86559,-20.68,1.28,,hiresj,butler2017
2454313.86559,-20.68,1.28,,hiresj,butler2017
2454313.866597,-12.04,1.037504,,hiresj,callegacy
2454313.8666,-14.78,1.44,,hiresj,butler2017
2454314.89777,-14.5,1.37,,hiresj,butler2017
2454314.89777,-14.5,1.37,,hiresj,butler2017
2454314.89786,-5.98,0.87,,hiresj,wright2008
2454314.898796,-12.53,1.011357,,hiresj,callegacy
2454314.8988,-19.09,1.33,,hiresj,butler2017
2454318.92968,-20.45,1.25,,hiresj,butler2017
2454318.93267,-18.18,1.17,,hiresj,butler2017
2454318.93267,-18.18,1.17,,hiresj,butler2017
2454335.81616,-18.42,1.23,,hiresj,butler2017
2454335.81616,-18.42,1.23,,hiresj,butler2017
2454335.81723,-16.65,1.33,,hiresj,butler2017
2454335.81723,-16.65,1.33,,hiresj,butler2017
2454546.099317,-8.44,1.157408,,hiresj,callegacy
2454546.09932,-9.25,1.45,,hiresj,butler2017
2454547.12017,-6.95,1.35,,hiresj,butler2017
2454547.120174,-7.29,1.166578,,hiresj,callegacy
2454602.901667,-2.5,1.336071,,hiresj,callegacy
2454603.965706,-9.24,1.49,,hiresj,hirsch2021
