HD,HIP,_tab3_3,RVel,e_RVel,Inst
154345,,2453428.308797,-16.25,0.65,j
154345,,2453548.060680,-19.82,0.59,j
154345,,2453604.684145,-21.71,0.58,j
154345,,2453777.155347,-22.87,1.12,j
154345,,2453807.077257,-24.10,1.16,j
154345,,2453932.028738,-20.52,0.61,j
154345,,2453932.840850,-24.79,0.57,j
154345,,2454248.027049,-20.39,1.17,j
154345,,2454248.994884,-18.81,1.27,j
154345,,2454249.949375,-22.49,1.30,j
154345,,2454251.890572,-21.22,0.82,j
154345,,2454255.859727,-20.17,0.83,j
154345,,2454277.861620,-13.21,1.07,j
154345,,2454278.905197,-12.31,1.15,j
154345,,2454279.942940,-11.51,1.09,j
154345,,2454285.903958,-14.59,1.07,j
154345,,2454294.890787,-18.96,1.14,j
154345,,2454304.804063,-17.44,0.81,j
154345,,2454305.881825,-16.74,0.73,j
154345,,2454306.876323,-14.40,0.76,j
154345,,2454307.853367,-16.04,0.76,j
154345,,2454308.904486,-14.57,0.70,j
154345,,2454309.885235,-13.74,0.71,j
154345,,2454310.878528,-12.76,0.69,j
154345,,2454311.943013,-11.66,0.70,j
154345,,2454312.936875,-12.21,0.73,j
154345,,2454313.792920,-15.21,0.74,j
154345,,2454314.898269,-12.22,0.74,j
154345,,2454318.785034,-15.06,0.63,j
154345,,2454335.670404,-16.45,0.76,j
154345,,2454546.099317,-8.64,1.11,j
154345,,2454547.120174,-8.99,1.16,j
154345,,2454602.901667,-3.25,1.32,j
154345,,2454603.965706,-9.24,1.49,j
154345,,2454634.019676,-6.16,1.11,j
154345,,2454636.953877,-9.27,1.26,j
154345,,2454667.920961,-8.15,1.08,j
154345,,2454673.908935,-6.23,1.08,j
154345,,2454674.881473,-1.76,1.00,j
154345,,2454701.946698,-5.21,1.18,j
154345,,2454702.856539,-1.32,1.11,j
154345,,2454703.888760,-4.90,1.20,j
154345,,2454704.852754,-5.73,1.10,j
154345,,2454724.837269,-1.91,1.19,j
154345,,2454927.049209,6.79,1.32,j
154345,,2454928.100532,4.56,1.41,j
154345,,2454929.989167,3.63,1.38,j
154345,,2454935.143679,0.47,1.28,j
154345,,2454955.934940,6.98,1.44,j
