HD,_tab2_2,RVel,e_RVel,Inst,SHK,e_SHK,EWHa,e_EWHa,File
HD160691,2450915.29395,-6.60,2.24,UCLES,,,,,ru03.63
HD160691,2451118.88482,15.08,1.27,UCLES,,,0.7267,0.00210,ru08.61
HD160691,2451119.89956,8.55,1.03,UCLES,,,0.7309,0.00130,ru08.133
HD160691,2451120.88429,10.57,1.02,UCLES,,,0.7292,0.00140,ru08.230
HD160691,2451121.89003,12.40,1.10,UCLES,,,0.7286,0.00140,ru08.308
HD160691,2451236.28545,-18.46,1.33,UCLES,,,0.7303,0.00160,ru11.67
HD160691,2451410.90105,-28.34,1.04,UCLES,,,0.7294,0.00140,ru14.19
HD160691,2451412.97473,-3.54,9.75,UCLES,,,0.7100,0.01000,ru14.188
HD160691,2451412.97909,-26.06,6.34,UCLES,,,0.7278,0.00710,ru14.189
HD160691,2451412.98316,-35.58,3.08,UCLES,,,0.7237,0.00480,ru14.190
HD160691,2451413.90125,-20.60,1.04,UCLES,,,0.7332,0.00120,ru14.276
HD160691,2451630.30579,57.90,1.11,UCLES,,,0.7313,0.00110,ru18.83
HD160691,2451683.09780,64.85,1.30,UCLES,,,0.7262,0.00180,ru19.76
HD160691,2451684.13734,60.11,1.48,UCLES,,,0.7243,0.00220,ru20.89
HD160691,2451718.12427,48.98,1.30,UCLES,,,0.7276,0.00170,ru27.59
HD160691,2451742.91493,37.94,1.19,UCLES,,,0.7275,0.00170,ru28.26
HD160691,2451743.92924,45.45,1.40,UCLES,,,0.7251,0.00220,ru28.133
HD160691,2451745.04927,35.97,1.19,UCLES,,,0.7292,0.00160,ru28.174
HD160691,2451766.93696,28.54,1.09,UCLES,,,0.7285,0.00170,ru29.32
HD160691,2451767.97288,25.40,1.07,UCLES,,,0.7272,0.00160,ru29.133
HD160691,2451827.89629,16.59,1.01,UCLES,,,0.7285,0.00140,ru30.22
HD160691,2451828.88550,20.05,1.34,UCLES,,,0.7289,0.00220,ru31.11
HD160691,2451829.88785,17.44,1.38,UCLES,,,0.7265,0.00230,ru32.4
HD160691,2451855.90286,13.08,1.82,UCLES,,,0.7258,0.00270,ru33.3
HD160691,2451984.26236,-4.64,1.24,UCLES,,,0.7297,0.00160,ru35.126
HD160691,2452010.28576,-13.35,2.47,UCLES,,,0.7207,0.00480,ru37.18
HD160691,2452061.11892,-11.45,1.18,UCLES,,,0.7292,0.00130,ru42.69
HD160691,2452091.98651,-8.70,1.15,UCLES,,,0.7322,0.00150,ru43.35
HD160691,2452126.98097,4.97,1.48,UCLES,,,0.7275,0.00210,ru45.30
HD160691,2452151.97181,17.49,1.18,UCLES,,,0.7299,0.00170,ru46.89
HD160691,2452152.95176,20.55,0.91,UCLES,,,0.7277,0.00190,ru47.7
HD160691,2452153.86497,22.67,1.16,UCLES,,,0.7232,0.00440,ru47.65
HD160691,2452186.90903,38.48,0.94,UCLES,,,0.7273,0.00180,ru48.14
HD160691,2452187.88740,39.98,1.00,UCLES,,,0.7269,0.00160,ru48.126
HD160691,2452360.32501,51.13,1.34,UCLES,,,0.7244,0.00260,ru50.117
HD160691,2452360.32692,42.14,1.37,UCLES,,,0.7291,0.00250,ru50.118
HD160691,2452387.17586,42.69,0.93,UCLES,,,0.7329,0.00170,ru51.45
HD160691,2452388.21346,38.02,1.06,UCLES,,,0.7330,0.00190,ru51.152
HD160691,2452421.17510,30.51,0.89,UCLES,,,0.7299,0.00110,ru52.48
HD160691,2452425.12829,36.14,1.24,UCLES,,,0.7275,0.00230,ru52.539
HD160691,2452455.04958,31.12,1.33,UCLES,,,0.7273,0.00240,ru53.231
HD160691,2452509.96180,24.79,1.28,UCLES,,,0.7301,0.00230,ru56.25
HD160691,2452712.19289,-25.22,1.64,UCLES,,,0.7279,0.00280,ru61.490
HD160691,2452745.25843,-8.16,1.16,UCLES,,,0.7328,0.00180,ru62.78
HD160691,2452752.18354,-6.72,1.22,UCLES,,,0.7322,0.00230,ru62.812
HD160691,2452785.14764,14.30,1.22,UCLES,,,0.7291,0.00230,ru64.233
HD160691,2452857.02100,48.09,1.80,UCLES,,,0.7258,0.00370,ru65.3
HD160691,2452857.02425,47.92,1.39,UCLES,,,0.7351,0.00280,ru65.4
HD160691,2452857.02735,48.94,1.30,UCLES,,,0.7344,0.00270,ru65.5
HD160691,2452860.97851,43.56,1.14,UCLES,,,0.7278,0.00200,ru65.442
HD160691,2453214.11377,-13.69,1.69,UCLES,,,0.7283,0.00330,ru69.26
HD160691,2453214.98983,-13.66,1.08,UCLES,,,0.7334,0.00170,ru69.134
HD160691,2453217.95378,-12.11,1.42,UCLES,,,0.7301,0.00290,ru69.733
HD160691,2453217.95680,-14.23,1.83,UCLES,,,0.7235,0.00390,ru69.734
HD160691,2453217.95983,-15.94,2.15,UCLES,,,0.7266,0.00480,ru69.735
HD160691,2453217.96285,-31.29,6.16,UCLES,,,0.7042,0.01100,ru69.736
HD160691,2453217.96590,-23.80,3.99,UCLES,,,0.7203,0.00760,ru69.737
HD160691,2453217.96893,-14.30,5.26,UCLES,,,0.7152,0.00870,ru69.738
HD160691,2453217.97195,-16.44,2.37,UCLES,,,0.7236,0.00510,ru69.739
HD160691,2453217.97498,-8.31,1.92,UCLES,,,0.7257,0.00400,ru69.740
HD160691,2453242.93330,-25.74,1.22,UCLES,,,0.7324,0.00210,ru70.21
HD160691,2453242.93639,-27.39,1.04,UCLES,,,0.7335,0.00190,ru70.22
HD160691,2453242.93948,-31.75,1.04,UCLES,,,0.7332,0.00190,ru70.23
HD160691,2453243.06753,-30.51,1.18,UCLES,,,0.7351,0.00200,ru70.44
HD160691,2453243.07062,-27.58,1.11,UCLES,,,0.7313,0.00210,ru70.45
HD160691,2453243.07369,-24.62,1.25,UCLES,,,0.7305,0.00220,ru70.46
HD160691,2453243.97441,-27.88,1.59,UCLES,,,0.7295,0.00310,ru70.144
HD160691,2453243.97749,-28.21,1.56,UCLES,,,0.7305,0.00300,ru70.145
HD160691,2453243.98058,-25.06,1.41,UCLES,,,0.7312,0.00270,ru70.146
HD160691,2453244.03179,-25.31,1.46,UCLES,,,0.7312,0.00270,ru70.153
HD160691,2453244.03590,-18.35,2.15,UCLES,,,0.7315,0.00400,ru70.154
HD160691,2453244.97523,-25.08,1.38,UCLES,,,0.7269,0.00320,ru70.232
HD160691,2453244.98502,-26.90,1.20,UCLES,,,0.7320,0.00240,ru70.233
HD160691,2453244.98758,-22.61,1.21,UCLES,,,0.7303,0.00250,ru70.234
HD160691,2453244.99008,-26.73,1.23,UCLES,,,0.7330,0.00250,ru70.235
HD160691,2453244.99260,-25.04,1.29,UCLES,,,0.7322,0.00260,ru70.236
HD160691,2453244.99512,-24.23,1.38,UCLES,,,0.7296,0.00270,ru70.237
HD160691,2453245.92804,-22.63,1.16,UCLES,,,0.7292,0.00230,ru70.359
HD160691,2453245.93019,-26.43,1.15,UCLES,,,0.7303,0.00230,ru70.360
HD160691,2453245.93234,-24.91,1.26,UCLES,,,0.7306,0.00230,ru70.361
HD160691,2453280.90829,-45.83,1.30,UCLES,,,0.7304,0.00270,ru71.18
HD160691,2453280.91041,-40.54,1.38,UCLES,,,0.7335,0.00250,ru71.19
HD160691,2453280.91250,-47.29,1.32,UCLES,,,0.7287,0.00260,ru71.20
HD160691,2453280.91460,-43.86,1.27,UCLES,,,0.7280,0.00270,ru71.21
HD160691,2453280.91669,-48.23,1.41,UCLES,,,0.7299,0.00260,ru71.22
HD160691,2453281.90310,-40.98,1.04,UCLES,,,0.7311,0.00210,ru71.139
HD160691,2453281.90554,-39.21,1.06,UCLES,,,0.7335,0.00210,ru71.140
HD160691,2453281.90799,-41.08,1.19,UCLES,,,0.7315,0.00220,ru71.141
HD160691,2453281.91043,-45.40,1.15,UCLES,,,0.7316,0.00210,ru71.142
HD160691,2453281.91288,-41.68,3.30,UCLES,,,0.7199,0.00640,ru71.143
HD160691,2453282.85983,-38.98,1.86,UCLES,,,0.7206,0.00390,ru71.235
HD160691,2453282.86228,-39.00,1.59,UCLES,,,0.7283,0.00340,ru71.236
HD160691,2453282.86472,-45.36,1.82,UCLES,,,0.7280,0.00370,ru71.237
HD160691,2453282.86716,-44.31,1.63,UCLES,,,0.7276,0.00340,ru71.238
HD160691,2453282.86961,-44.49,1.69,UCLES,,,0.7249,0.00330,ru71.239
HD160691,2453399.24327,-17.25,1.21,UCLES,,,0.7353,0.00170,ru72.98
HD160691,2453399.24327,-17.25,1.21,UCLES,,,0.7353,0.00170,ru72.98
