#RESOURCE=yCat_34101051
#Name: J/A+A/410/1051
#Title: ELODIE survey for northern extra-solar planets. II. (Naef+, 2003)
#INFO ivoid=ivo://cds.vizier/j/a+a/410/1051     IVOID of underlying data collection     
#INFO creator=Naef D.     First author or institution     
#INFO cites=bibcode:2003A&A...410.1051N     Article or Data origin sources     
#INFO editor=Astronomy and Astrophysics     Editor name (article)     
#INFO original_date=2003     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/410/1051     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.34101051     Dataset identifier that can be used for citation     
#INFO publication_date=2003-12-17     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_A_A_410_1051_table1:
#Name: J/A+A/410/1051/table1
#Title: Radial velocity measurements for GJ 777 A
#---Details of Columns:
    BJul (d)    (F12.4) Barycentric Julian date [ucd=time.epoch]
    RV (km/s)   (F7.3)  Barycentric radial velocity (1) [ucd=phys.veloc;pos.barycenter]
    e_RV (km/s) (F6.3)  Full RV uncertainty [ucd=stat.error]
    Instr       (I1)    [1,2] Instrument (1: ELODIE, 2: AFOE) [ucd=meta.id;instr]
------------ ------- ------ -
                            I
                            n
                            s
             RV      e_RV   t
BJul (d)     (km/s)  (km/s) r
------------ ------- ------ -
2449611.4278 -45.377  0.010 1
2449851.6145 -45.353  0.008 1
2449910.5039 -45.334  0.007 1
2449974.4110 -45.346  0.007 1
2450023.3041 -45.339  0.007 1
2450233.9220 -45.342  0.005 2
2450235.9114 -45.320  0.007 2
2450236.8773 -45.337  0.007 2
2450262.8718 -45.345  0.006 2
2450263.8871 -45.340  0.011 2
2450264.6014 -45.329  0.008 1
2450265.5452 -45.333  0.007 1
2450265.9091 -45.343  0.010 2
2450294.8766 -45.341  0.015 2
2450326.4568 -45.341  0.007 1
2450382.2709 -45.325  0.007 1
2450413.6031 -45.316  0.007 2
2450418.5752 -45.309  0.009 2
2450648.6050 -45.337  0.007 1
2450654.4226 -45.315  0.007 1
2450675.5229 -45.317  0.007 1
2450701.4311 -45.331  0.007 1
2450731.3787 -45.332  0.007 1
2450762.6222 -45.309  0.014 2
2450944.6034 -45.329  0.007 1
2450944.9822 -45.347  0.009 2
2450970.6033 -45.340  0.007 1
2451025.5148 -45.344  0.007 1
2451035.5205 -45.327  0.007 1
2451054.4288 -45.358  0.007 1
2451099.7332 -45.341  0.009 2
2451123.3543 -45.339  0.008 1
2451153.2283 -45.353  0.008 1
2451353.5572 -45.355  0.007 1
2451417.4383 -45.365  0.007 1
2451506.2770 -45.359  0.008 1
2451693.5662 -45.352  0.007 1
2451755.4820 -45.344  0.008 1
2451781.4686 -45.376  0.007 1
2451802.4195 -45.372  0.008 1
2451853.2751 -45.358  0.007 1
2451908.2554 -45.347  0.011 1
2452075.5758 -45.349  0.007 1
2452080.5827 -45.348  0.007 1
2452081.5915 -45.355  0.007 1
2452111.5041 -45.352  0.007 1
2452142.5406 -45.366  0.007 1
2452158.4670 -45.370  0.007 1
2452159.8382 -45.374  0.018 2
2452160.5008 -45.370  0.008 1
2452164.3366 -45.353  0.008 1
2452194.3754 -45.357  0.007 1
2452196.3804 -45.359  0.007 1
2452220.3583 -45.359  0.008 1
2452247.2308 -45.370  0.007 1
2452250.2645 -45.350  0.011 1
2452360.6765 -45.354  0.007 1
2452361.6715 -45.354  0.007 1
2452454.5688 -45.355  0.007 1
2452454.5814 -45.339  0.007 1
2452480.5627 -45.361  0.007 1
2452486.5041 -45.356  0.007 1
2452513.5461 -45.367  0.008 1
2452515.5449 -45.376  0.011 1
2452532.3837 -45.363  0.007 1
2452533.4095 -45.371  0.007 1
2452565.3310 -45.356  0.007 1
2452597.2346 -45.361  0.007 1
2452598.2306 -45.369  0.007 1
