BJD	RV [km/s]	Uncertainty [km/s]
55756.500	-45.2113	0.0013 
55757.487	-45.2097	0.0012 
55758.507	-45.2077	0.0011 
55759.532	-45.2057	0.0012 
55760.522	-45.2055	0.0011
55761.349	-45.2096	0.0012
55762.493	-45.2104	0.0011
55763.380	-45.2151	0.0012
55765.622	-45.2167	0.0011
55767.627	-45.2197	0.0014
55769.479	-45.2178	0.0011
55772.359	-45.2144	0.0011
55785.487	-45.2181	0.0011
55793.383	-45.2056	0.0011
55796.467	-45.2088	0.0011
55798.493	-45.2107	0.0012
55813.428	-45.2038	0.0011
55818.330	-45.2123	0.0010
55835.417	-45.2154	0.0010
55848.299	-45.2048	0.0010
55908.236	-45.2075	0.0014
56175.409	-45.1906	0.0012
56200.333	-45.1865	0.0012
56220.319	-45.1856	0.0011
56517.451	-45.1907	0.0011
56519.428	-45.1901	0.0011
56521.443	-45.1921	0.0012
56554.416	-45.1969	0.0011
56557.378	-45.1977	0.0011
56583.355	-45.1921	0.0012
56613.268	-45.1914	0.0011
56624.292	-45.2050	0.0011
56625.297	-45.2042	0.0010
56626.280	-45.2035	0.0011
56628.290	-45.1997	0.0011
56629.263	-45.2015	0.0011
56630.238	-45.1979	0.0010
56631.246	-45.1935	0.0010
56638.266	-45.2044	0.0011
56643.254	-45.2092	0.0010
56644.242	-45.2058	0.0011
