,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
41112,GJ785,303.82905,-27.03316,2452945.493772,0.461935,0.865005,-54223.79319,1.003579,-5.689376,0.266688,-54222.965586,0.210939,-5.673761,0.267288,-6.17854,3.512346,-19.305943,1.072902,0.503966,0.000298,0.207256,0.000311,0.274998,0.000396,0,6.067886,45.700777,0.003482,-54,262.8,2452945.49366,-29.484923,-29.484455,1,-9999999,0.0,-0.150875,0.822868,0.827604,0.98116,0.54,237,-6.191041,3.487825,2003-11-01T23:50:09.750,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,1.53937639628542e-05,4.51963119240955e-07,1,0
41113,GJ785,303.82905,-27.03316,2452948.5036998,3.824355,1.16042,-54217.427972,1.233284,-1.766179,0.781255,-54216.652496,0.747211,-1.641664,0.78194,5.943706,8.691086,-14.517856,2.050954,0.504935,0.001102,0.200379,0.001158,0.274109,0.00147,0,6.072832,45.688897,0.002892,-54,73.3,2452948.50259,-29.228775,-29.226382,0,-9999999,0.002632,0.409902,0.85803,0.772844,0.981155,0.76,368,5.923751,8.688056,2003-11-05T00:02:21.237,-9999999,K5,072.C-0488(E),M. Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3V,1.89285652708883e-05,7.22003020507161e-07,1,0
41114,GJ785,303.82905,-27.03316,2453146.855476,0.422347,0.959227,-54224.662808,1.056023,-5.837073,0.428873,-54224.629288,0.390588,-5.642073,0.428742,-2.321878,4.334925,-5.964169,1.174082,0.50623,0.000581,0.210793,0.000612,0.275655,0.000757,0,6.074451,45.630955,0.005947,-54,137.4,2453146.85547,25.355323,25.355506,0,-9999999,0.176076,-0.258984,0.858012,-0.142556,0.981135,0.52,160,-2.337208,4.316157,2004-05-21T08:26:13.207,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.64661131234865e-05,6.05525748847726e-07,1,0
41115,GJ785,303.82905,-27.03316,2453153.9276036,2.57569,0.906484,-54222.14219,1.013416,-3.388415,0.292348,-54221.730495,0.253598,-3.206049,0.292635,-1.466374,3.096511,-11.483951,0.959868,0.502687,0.000369,0.207691,0.000384,0.27549,0.000479,0,6.08129,45.659898,0.003368,-54,215.0,2453153.9276,23.177945,23.178176,0,-9999999,0.18226,0.036332,0.858047,0.229435,0.981173,0.52,143,-1.488269,3.080133,2004-05-28T10:09:23.945,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.79731733886295e-05,6.02088170028873e-07,1,0
41116,GJ785,303.82905,-27.03316,2453263.5183825,-0.583462,0.968263,-54228.136593,1.024839,-7.82994,0.448698,-54228.914338,0.296049,-7.928363,0.448059,2.828728,4.928091,1.056559,1.431046,0.504553,0.000242,0.204718,0.000308,0.270411,0.00039,0,6.405761,40.843073,-0.024582,-54,259.7,2453263.51838,-23.518394,-23.518153,0,-9999999,0.278089,-1.246041,0.858023,-1.055834,0.981147,0.48,300,2.752628,4.859639,2004-09-15T00:18:59.400,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.69784826566534e-05,1.66436046989815e-06,1,0
41117,GJ785,303.82905,-27.03316,2453263.5222513,-3.005686,0.986456,-54229.779115,1.035849,-10.25356,0.486718,-54230.564129,0.33217,-10.186315,0.485352,8.478333,5.618161,4.450106,1.362647,0.504705,0.000269,0.20509,0.000356,0.270053,0.000449,0,6.396042,40.806183,-0.021573,-54,224.8,2453263.52224,-23.528135,-23.527888,0,-9999999,0.278092,-1.247437,0.858021,-1.063106,0.981145,0.49,300,8.457461,5.558571,2004-09-15T00:24:30.690,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.96249391099775e-05,1.93215394961104e-06,1,0
41118,GJ785,303.82905,-27.03316,2453263.5260834,-0.296085,0.969511,-54227.562414,1.02386,-7.545341,0.451391,-54228.354626,0.292655,-7.398181,0.449953,-7.638661,5.286276,0.740489,1.535293,0.503977,0.000236,0.205254,0.000303,0.270463,0.000384,0,6.409413,40.712416,-0.025495,-54,263.5,2453263.52607,-23.537832,-23.537585,0,-9999999,0.278096,-1.24882,0.85802,-1.070308,0.981143,0.49,300,-7.725612,5.219415,2004-09-15T00:30:01.809,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,2.86079725354769e-05,1.18403781403274e-06,1,0
41119,GJ785,303.82905,-27.03316,2453273.5520143,-2.934474,0.886678,-54227.14304,0.99691,-10.421495,0.22365,-54227.786093,0.176665,-10.255001,0.225746,3.229952,2.632106,-25.745616,1.322936,0.504744,0.000259,0.205125,0.000268,0.269936,0.000341,0,6.069702,45.749166,0.004829,-54,305.6,2453273.55201,-26.368267,-26.368067,0,-9999999,0.286863,-1.486584,0.858009,-0.929916,0.981132,0.51,300,3.196674,2.549476,2004-09-25T01:08:28.577,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.47538196192447e-05,5.79184141258868e-07,1,0
41120,GJ785,303.82905,-27.03316,2453273.5558041,-2.547359,0.887438,-54226.730528,0.997105,-10.035747,0.22665,-54227.380701,0.177766,-9.85744,0.229056,4.276275,2.801371,-28.245055,1.373456,0.505292,0.000261,0.2056,0.000271,0.269742,0.000344,0,6.068299,45.766339,0.005217,-54,303.5,2453273.5558,-26.377705,-26.377523,0,-9999999,0.286866,-1.487951,0.858007,-0.937039,0.98113,0.5,300,4.278903,2.725869,2004-09-25T01:13:59.046,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.49958306720084e-05,4.78359054587818e-07,1,0
41121,GJ785,303.82905,-27.03316,2453273.5596027,-2.966412,0.888673,-54227.47647,0.998469,-10.45617,0.231441,-54228.133779,0.185272,-10.349392,0.233543,0.77695,2.506382,-25.651855,1.285647,0.504985,0.000273,0.204978,0.000282,0.270428,0.000359,0,6.068954,45.743161,0.004882,-54,290.8,2453273.5596,-26.387133,-26.386948,0,-9999999,0.286869,-1.489322,0.858006,-0.944178,0.981129,0.49,300,0.768761,2.432648,2004-09-25T01:19:30.275,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K3,1.51240454625782e-05,4.43515995021264e-07,1,0
