time	mnvel	errvel	tel
2453237.90905	4.07	1.09	HIRES-post
2453237.93222	1.14	1.02	HIRES-post
2453237.94553	2.62	0.99	HIRES-post
2453301.71519	6.75	0.99	HIRES-post
2453549.02705	1.47	0.96	HIRES-post
2453926.01554	0.71	0.98	HIRES-post
2453926.01647	-0.58	0.85	HIRES-post
2453926.0174	0.95	0.94	HIRES-post
2453982.82951	-2.45	0.84	HIRES-post
2453982.83034	0.57	0.91	HIRES-post
2453982.83118	-0.82	0.92	HIRES-post
2454247.08149	-1.59	0.97	HIRES-post
2454247.08222	-3.52	1.01	HIRES-post
2454248.11326	-3.46	1.12	HIRES-post
2454249.12216	-2.86	1.08	HIRES-post
2454252.08848	0.47	0.98	HIRES-post
2454256.08035	0.34	1.01	HIRES-post
2454256.08103	-0.35	0.95	HIRES-post
2454279.03644	0.49	1.14	HIRES-post
2454280.04184	1.19	1.04	HIRES-post
2454286.0334	-1.27	1.08	HIRES-post
2454294.99649	-7.16	0.94	HIRES-post
2454601.12924	-1.86	0.93	HIRES-post
2454634.0638	3.04	1.15	HIRES-post
2454634.98879	0.97	1.1	HIRES-post
2454636.03115	2.54	1.13	HIRES-post
2454637.06862	0.75	1.09	HIRES-post
2454638.02072	-0.68	1.11	HIRES-post
2454639.05307	2.2	1.08	HIRES-post
2454640.12929	2.4	1.08	HIRES-post
2454640.97219	5.57	1.1	HIRES-post
2454642.09539	2.7	1.21	HIRES-post
2454644.10213	3.28	1.18	HIRES-post
2454688.96417	-2.66	1.14	HIRES-post
2454689.98535	-3.6	1.18	HIRES-post
2454723.77286	-0.84	1.1	HIRES-post
2454724.807	2.46	1.12	HIRES-post
2454808.68992	-3.31	1.05	HIRES-post
2454984.07334	-2.65	1.24	HIRES-post
2455019.01098	4.41	1.12	HIRES-post
2455024.01265	0.9	0.99	HIRES-post
2455024.0136	1.87	1.01	HIRES-post
2455024.0144	1.3	0.95	HIRES-post
2455024.01522	-1.43	0.94	HIRES-post
2455073.75159	1.53	1.11	HIRES-post
2455073.75249	0.53	1.05	HIRES-post
2455073.75335	1.14	1.05	HIRES-post
2455074.74564	-0.31	1.04	HIRES-post
2455074.74632	1.29	1.07	HIRES-post
2455074.74712	2.53	0.94	HIRES-post
2455077.73667	3.03	1.07	HIRES-post
2455077.7374	0.72	1.09	HIRES-post
2455077.73883	0.07	1.13	HIRES-post
2455078.75815	3.26	1.04	HIRES-post
2455078.75887	-0.6	1.05	HIRES-post
2455079.72996	1.79	1.11	HIRES-post
2455079.73072	2.03	1.06	HIRES-post
2455079.73155	4.85	1.01	HIRES-post
2455080.7347	-1.66	1.08	HIRES-post
2455080.73549	1.43	1.01	HIRES-post
2455080.73618	1.68	1.04	HIRES-post
2455084.72504	-3.0	1.19	HIRES-post
2455084.72571	-2.34	1.04	HIRES-post
2455084.72634	-0.24	1.08	HIRES-post
2455106.75741	1.65	1.2	HIRES-post
2455109.74365	-2.31	1.14	HIRES-post
2455109.74466	-3.18	1.1	HIRES-post
2455109.74545	-0.53	1.23	HIRES-post
2455111.71722	-1.47	1.09	HIRES-post
2455111.71794	-2.65	1.06	HIRES-post
2455111.71879	-1.44	1.22	HIRES-post
2455135.74764	2.22	1.03	HIRES-post
2455135.74902	4.33	1.04	HIRES-post
2455135.74983	-0.08	1.08	HIRES-post
2455169.68622	-0.87	1.22	HIRES-post
2455169.68699	0.0	1.15	HIRES-post
2455169.68772	-0.18	1.12	HIRES-post
2455290.15439	-0.56	0.97	HIRES-post
2455290.15508	0.77	1.02	HIRES-post
2455290.1558	-1.62	1.05	HIRES-post
2455314.13629	4.69	1.02	HIRES-post
2455314.13696	-0.02	1.07	HIRES-post
2455314.13764	3.27	1.03	HIRES-post
2455351.09311	-4.51	1.06	HIRES-post
2455351.09379	-3.63	0.94	HIRES-post
2455351.09448	-4.77	1.07	HIRES-post
2455352.08722	-3.85	1.11	HIRES-post
2455352.08789	-5.84	1.06	HIRES-post
2455352.08858	-3.89	1.06	HIRES-post
2455374.10979	2.23	1.1	HIRES-post
2455374.11045	0.71	1.05	HIRES-post
2455374.11112	0.46	0.98	HIRES-post
2455378.10605	-0.58	1.13	HIRES-post
2455378.10672	0.91	1.1	HIRES-post
2455378.10741	4.11	1.01	HIRES-post
2455379.09981	-0.01	1.02	HIRES-post
2455379.10054	1.65	1.07	HIRES-post
2455379.10126	0.1	1.04	HIRES-post
2455381.09263	3.21	1.14	HIRES-post
2455381.09331	3.81	1.04	HIRES-post
2455381.09403	4.69	1.11	HIRES-post
2455397.03498	-5.2	1.08	HIRES-post
2455397.03569	-5.36	1.13	HIRES-post
2455397.0364	-6.99	1.1	HIRES-post
2455400.1087	-6.63	1.15	HIRES-post
2455400.10966	-3.07	1.09	HIRES-post
2455400.11066	-7.89	1.15	HIRES-post
2455401.03772	-4.47	1.17	HIRES-post
2455401.03914	-5.47	1.17	HIRES-post
2455401.0405	-6.41	1.2	HIRES-post
2455402.075	-5.05	1.23	HIRES-post
2455402.07673	-4.24	1.17	HIRES-post
2455402.07848	-2.97	1.19	HIRES-post
2455404.83781	-2.83	1.03	HIRES-post
2455404.83849	-4.63	1.06	HIRES-post
2455404.83918	-2.45	1.03	HIRES-post
2455405.0796	-4.48	1.16	HIRES-post
2455405.08067	-11.07	1.84	HIRES-post
2455405.08174	-6.96	1.57	HIRES-post
2455405.08295	-3.17	1.14	HIRES-post
2455412.00646	-6.5	1.14	HIRES-post
2455412.00714	-4.57	1.08	HIRES-post
2455412.00788	-6.34	1.17	HIRES-post
2455426.03022	-0.88	1.09	HIRES-post
2455426.03096	-2.77	1.09	HIRES-post
2455426.03171	-5.48	1.17	HIRES-post
2455427.00337	-3.66	1.13	HIRES-post
2455427.0041	0.32	1.09	HIRES-post
2455427.00485	-5.94	1.05	HIRES-post
2455433.99176	-4.93	0.96	HIRES-post
2455433.99259	-3.73	0.9	HIRES-post
2455433.99343	-6.55	0.98	HIRES-post
2455435.77562	-5.31	1.18	HIRES-post
2455435.77634	-7.13	1.13	HIRES-post
2455435.77711	-5.06	1.16	HIRES-post
2455436.75312	-1.67	1.08	HIRES-post
2455436.75417	-3.88	1.08	HIRES-post
2455436.75506	-3.01	1.09	HIRES-post
2455437.75738	-6.32	1.17	HIRES-post
2455437.75817	-3.12	1.05	HIRES-post
2455437.75904	-1.63	1.06	HIRES-post
2455438.75594	-5.13	1.09	HIRES-post
2455438.7567	-3.6	1.09	HIRES-post
2455438.7575	-3.66	1.05	HIRES-post
2455440.75385	-2.02	1.06	HIRES-post
2455440.75472	-2.0	1.13	HIRES-post
2455440.75544	-5.29	1.12	HIRES-post
2455455.73299	-0.12	0.99	HIRES-post
2455455.73373	-1.87	1.1	HIRES-post
2455455.73444	1.01	1.01	HIRES-post
2455464.81963	0.46	1.12	HIRES-post
2455464.82037	-0.95	1.14	HIRES-post
2455464.8211	3.38	1.09	HIRES-post
2455468.72572	-2.26	0.98	HIRES-post
2455468.72639	-4.07	1.06	HIRES-post
2455468.72707	-1.89	1.0	HIRES-post
2455486.75917	-5.99	1.03	HIRES-post
2455486.75985	-4.03	1.05	HIRES-post
2455486.76051	-5.93	1.02	HIRES-post
2455490.76502	-4.23	1.04	HIRES-post
2455490.76571	-4.8	1.02	HIRES-post
2455490.7664	-5.65	1.06	HIRES-post
2455674.13737	3.87	1.06	HIRES-post
2455674.13807	6.54	1.03	HIRES-post
2455674.13876	5.82	0.97	HIRES-post
2455708.08448	-2.51	1.18	HIRES-post
2455708.08528	-1.68	1.19	HIRES-post
2455708.08608	-4.1	1.08	HIRES-post
2455723.11517	-1.44	1.04	HIRES-post
2455723.11584	-3.05	1.08	HIRES-post
2455723.11653	-3.69	1.08	HIRES-post
2455726.01091	-7.43	1.57	HIRES-post
2455726.06333	-1.12	1.19	HIRES-post
2455726.95811	-3.29	1.08	HIRES-post
2455726.95881	-1.71	1.11	HIRES-post
2455726.9595	-2.17	1.12	HIRES-post
2455753.05295	5.52	1.08	HIRES-post
2455753.05429	8.03	1.1	HIRES-post
2455753.05568	4.86	1.14	HIRES-post
2455763.01991	-2.07	1.0	HIRES-post
2455763.02064	0.38	1.09	HIRES-post
2455763.02137	-0.38	1.03	HIRES-post
2455782.84503	-3.29	1.01	HIRES-post
2455782.84652	-2.58	1.11	HIRES-post
2455782.84721	-1.1	1.14	HIRES-post
2455794.86834	-4.75	1.1	HIRES-post
2455794.8692	-9.04	1.19	HIRES-post
2455794.87083	-3.82	1.16	HIRES-post
2455814.72618	-2.02	1.06	HIRES-post
2455814.72685	-0.25	1.03	HIRES-post
2455814.72751	-2.99	0.89	HIRES-post
2455841.7074	3.88	1.44	HIRES-post
2455841.71409	4.32	1.35	HIRES-post
2455841.72027	2.56	1.21	HIRES-post
2455843.69102	1.26	1.04	HIRES-post
2455843.69168	1.69	0.95	HIRES-post
2455843.69235	1.44	1.08	HIRES-post
2455904.68293	-1.66	1.06	HIRES-post
2455904.68362	-5.81	1.08	HIRES-post
2455904.68432	-5.89	0.99	HIRES-post
2456104.96253	4.36	1.4	HIRES-post
2456104.96317	1.29	1.33	HIRES-post
2456104.96381	1.37	1.17	HIRES-post
2456134.95061	6.98	1.04	HIRES-post
2456134.95131	5.41	1.18	HIRES-post
2456134.952	4.96	1.01	HIRES-post
2456145.81617	3.0	1.07	HIRES-post
2456145.81686	3.1	1.16	HIRES-post
2456145.81755	2.08	1.15	HIRES-post
2456175.787	1.15	0.99	HIRES-post
2456175.78811	-1.06	1.02	HIRES-post
2456175.78924	-0.56	1.06	HIRES-post
2456179.73488	1.02	1.07	HIRES-post
2456179.73556	1.71	0.99	HIRES-post
2456179.73623	4.47	1.05	HIRES-post
2456476.1196	1.95	1.18	HIRES-post
2456476.12027	2.47	1.11	HIRES-post
2456476.121	1.91	1.12	HIRES-post
2456529.84382	-3.66	1.09	HIRES-post
2456529.84518	-2.46	1.11	HIRES-post
2456529.84661	-2.32	1.1	HIRES-post
2456529.87172	-3.82	1.05	HIRES-post
2456547.7206	-2.11	1.08	HIRES-post
2456547.72131	-2.67	1.09	HIRES-post
2456547.72203	1.52	1.0	HIRES-post
2456584.70661	5.96	1.11	HIRES-post
2456584.7073	1.89	1.12	HIRES-post
2456584.70798	4.95	1.18	HIRES-post
2456638.68274	-0.87	1.07	HIRES-post
2456638.68361	-1.57	1.12	HIRES-post
2456638.6844	0.39	1.01	HIRES-post
2456847.92691	5.27	0.93	HIRES-post
2456866.84503	6.91	1.22	HIRES-post
2456866.84613	6.32	1.15	HIRES-post
2456866.84726	7.09	1.16	HIRES-post
2456874.03912	6.87	1.11	HIRES-post
2456874.04021	3.13	1.16	HIRES-post
2456874.04128	5.32	1.22	HIRES-post
2456882.79924	4.83	1.21	HIRES-post
2456882.79992	6.21	1.2	HIRES-post
2456882.80057	2.73	1.22	HIRES-post
2456889.79954	1.19	1.03	HIRES-post
2456889.8002	0.98	1.05	HIRES-post
2456889.80087	2.88	1.01	HIRES-post
2456891.81418	0.63	1.13	HIRES-post
2456891.8149	-1.37	1.13	HIRES-post
2456891.8156	2.64	1.02	HIRES-post
2456910.80588	-4.65	1.04	HIRES-post
2456910.80733	-2.43	1.17	HIRES-post
2456910.80878	-4.14	1.08	HIRES-post
2457209.0523	-1.76	1.12	HIRES-post
2457209.05295	-2.41	1.12	HIRES-post
2457209.05362	-6.1	1.08	HIRES-post
2457213.95375	1.64	1.1	HIRES-post
2457213.95439	-2.39	1.12	HIRES-post
2457213.95502	-3.51	1.07	HIRES-post
2457245.83714	2.84	1.09	HIRES-post
2457245.8378	0.72	1.02	HIRES-post
2457245.83844	2.57	1.03	HIRES-post
2457246.95952	5.11	1.08	HIRES-post
2457246.96025	3.97	1.12	HIRES-post
2457246.96095	2.31	1.1	HIRES-post
2457265.81845	-4.29	1.08	HIRES-post
2457265.81912	-6.49	1.14	HIRES-post
2457265.81978	-0.48	1.04	HIRES-post
2457285.71152	4.68	1.09	HIRES-post
2457285.71227	2.64	1.01	HIRES-post
2457285.71308	1.45	1.1	HIRES-post
2457290.70231	-3.06	1.24	HIRES-post
2457290.70295	-1.79	1.14	HIRES-post
2457290.7036	-2.72	1.13	HIRES-post
2457294.75363	-0.04	1.21	HIRES-post
2457298.75064	7.43	0.99	HIRES-post
2457298.75131	4.21	1.05	HIRES-post
2457298.75197	5.17	1.13	HIRES-post
2457556.97951	-0.72	1.18	HIRES-post
2457556.98076	0.54	1.2	HIRES-post
2457556.98266	-1.24	1.14	HIRES-post
2457569.12515	-2.06	1.11	HIRES-post
2457570.06513	3.38	1.36	HIRES-post
2457570.11641	0.68	1.19	HIRES-post
2457571.07016	1.63	1.19	HIRES-post
2457571.07163	4.02	1.23	HIRES-post
2457571.07324	1.94	1.13	HIRES-post
2457571.11296	2.01	1.28	HIRES-post
2457591.97819	3.45	0.98	HIRES-post
2457591.97889	1.77	0.99	HIRES-post
2457591.97955	4.39	1.05	HIRES-post
2457633.78395	-3.39	1.12	HIRES-post
2457633.78917	-8.94	1.12	HIRES-post
2457651.71228	-3.62	1.1	HIRES-post
2457651.71295	-0.96	1.06	HIRES-post
2457651.71363	-2.71	1.01	HIRES-post
2457703.67923	-2.49	1.06	HIRES-post
2457703.67986	-8.55	1.04	HIRES-post
2457703.68052	-6.48	1.09	HIRES-post
2457711.67899	1.36	1.08	HIRES-post
2457711.67973	0.52	1.17	HIRES-post
2457711.68046	2.71	1.14	HIRES-post
2457712.69998	2.78	1.06	HIRES-post
2457712.70124	0.02	1.08	HIRES-post
2457712.70278	2.99	1.06	HIRES-post
2457713.69841	3.89	1.11	HIRES-post
2457713.69928	1.93	1.04	HIRES-post
2457713.70007	1.44	1.01	HIRES-post
2457715.67633	-1.3	1.09	HIRES-post
2457715.67706	3.44	1.14	HIRES-post
2457715.67774	0.06	1.05	HIRES-post
2457854.13666	0.85	1.1	HIRES-post
2457854.1374	2.69	1.11	HIRES-post
2457854.13811	-1.82	1.04	HIRES-post
2457855.14447	0.95	1.01	HIRES-post
2457855.14521	-0.19	1.09	HIRES-post
2457855.14595	-1.31	1.12	HIRES-post
