time,mnvel,errvel,n
2451067.710221,-13.359,0.016,1
2451068.720838,-13.464,0.009,1
2451111.568762,-13.455,0.008,1
2451111.578958,-13.459,0.008,1
2451116.577986,-13.313,0.007,1
2451122.529383,-13.438,0.008,1
2451123.609661,-13.319,0.009,1
2451130.582559,-13.324,0.008,1
2451133.572293,-13.535,0.009,1
2451135.549109,-13.544,0.008,1
2451137.580732,-13.353,0.009,1
2451142.572792,-13.553,0.008,1
2451364.827283,-13.406,0.008,1
2451366.831493,-13.252,0.008,1
2451374.878846,-13.371,0.008,1
2451376.899173,-13.523,0.011,1
2451381.835410,-13.338,0.008,1
2451382.897890,-13.484,0.008,1
2451383.867956,-13.531,0.008,1
2451384.893221,-13.512,0.008,1
2451385.866630,-13.427,0.008,1
2451388.792288,-13.325,0.008,1
2451392.790983,-13.459,0.008,1
2451394.865517,-13.258,0.009,1
2451395.789605,-13.310,0.008,1
2451396.832957,-13.452,0.009,1
2451398.836596,-13.527,0.008,1
2451399.817568,-13.470,0.008,1
2451400.799591,-13.365,0.009,1
2451401.761613,-13.275,0.009,1
2451402.702035,-13.285,0.010,1
2451403.723917,-13.424,0.008,1
2451406.777412,-13.485,0.009,1
2451417.751040,-13.395,0.008,1
2451418.773522,-13.505,0.008,1
2451423.723525,-13.272,0.007,1
2451424.800327,-13.382,0.009,1
2451431.730285,-13.348,0.008,1
2451433.675537,-13.526,0.008,1
2451435.623851,-13.469,0.008,1
2451437.578350,-13.252,0.009,1
2451439.701323,-13.462,0.008,1
2451440.710031,-13.538,0.009,1
2451443.711860,-13.346,0.009,1
2451447.669548,-13.532,0.010,1
2451449.676241,-13.471,0.008,1
2451451.633068,-13.265,0.008,1
2451455.754171,-13.540,0.014,1
2451458.641837,-13.280,0.009,1
2451463.605338,-13.485,0.009,1
2451464.586741,-13.393,0.009,1
2451480.624376,-13.267,0.013,1
2451481.564973,-13.348,0.009,1
2451482.558610,-13.472,0.011,1
2451484.611847,-13.537,0.011,1
2451486.596520,-13.329,0.017,1
2451487.573555,-13.262,0.010,1
2451488.559663,-13.331,0.010,1
2451489.540088,-13.457,0.010,1
2451496.561519,-13.442,0.011,1
2451499.529923,-13.461,0.011,1
2451534.535316,-13.508,0.008,1
2451538.532235,-13.340,0.014,1
