Phase,Seq,BJD,dRV,e_dRV,SHK,e_SHK
III,65,2451010.86514,1.7,3.7,0.249,0.020
III,66,2451065.83986,-11.5,4.3,0.263,0.021
III,67,2451151.66780,-0.9,4.5,0.261,0.019
III,68,2451211.58199,0.4,5.1,0.216,0.019
III,69,2451417.92148,-2.0,4.1,0.231,0.021
III,70,2451451.83583,5.2,4.2,0.228,0.020
III,71,2451502.68841,-1.0,4.3,0.244,0.022
III,72,2451505.60059,22.7,5.8,0.225,0.020
III,73,2451530.68963,-10.6,5.0,0.201,0.019
III,74,2451557.61677,-0.4,4.7,0.198,0.017
III,75,2451750.92212,-2.7,3.8,0.213,0.021
III,76,2451775.81432,10.2,4.7,0.193,0.021
III,77,2451810.71818,-1.7,4.8,0.214,0.021
III,78,2451859.72474,-4.1,4.8,0.183,0.017
III,79,2451918.66585,10.1,5.0,0.186,0.018
III,80,2452117.95058,3.4,4.0,0.196,0.021
III,81,2452142.88534,-0.9,4.2,0.191,0.020
III,82,2452218.70329,-7.2,4.3,0.182,0.019
III,83,2452493.83053,8.2,4.0,0.200,0.018
III,84,2452539.77909,17.6,4.4,0.215,0.019
III,85,2452539.78596,12.2,4.2,0.220,0.020
III,86,2452839.94411,-9.5,3.7,0.224,0.020
III,87,2452932.73705,-13.8,4.1,0.233,0.019
III,88,2452960.78250,-9.5,4.9,0.217,0.018
III,89,2453318.69863,0.4,4.2,0.273,0.018
III,90,2453632.85043,2.6,4.5,0.288,0.019
III,91,2453689.71121,3.1,4.3,0.262,0.016
III,92,2453746.64899,12.7,4.5,0.282,0.017
III,93,2453930.90252,16.7,4.1,0.278,0.021
III,94,2453967.89290,8.5,4.2,0.299,0.021
III,95,2454345.76610,4.9,4.6,0.274,0.021
III,96,2454345.77069,5.8,4.7,0.272,0.019
III,97,2454345.77528,15.2,4.8,0.274,0.019
III,98,2454346.77439,6.6,5.4,0.292,0.020
III,99,2454346.77840,-0.5,5.4,0.283,0.019
III,100,2454346.78241,10.0,5.4,0.277,0.019
III,101,2454346.92365,4.8,5.2,0.283,0.018
III,102,2454346.92708,4.8,4.8,0.280,0.019
III,103,2454346.93050,1.4,4.8,0.292,0.020
III,104,2454347.77413,6.7,5.3,0.294,0.020
III,105,2454347.77813,10.4,4.9,0.286,0.020
III,106,2454347.78214,9.5,5.0,0.285,0.018
III,107,2454665.93724,6.7,5.1,0.278,0.021
III,108,2454665.94113,-1.7,4.7,0.275,0.020
III,109,2454665.94502,1.9,5.2,0.281,0.021
III,110,2454697.96283,-2.5,4.2,0.257,0.018
III,111,2454697.96926,-2.4,4.3,0.260,0.018
III,112,2454697.97559,0.4,4.1,0.258,0.018
III,113,2454732.83873,7.0,5.2,0.269,0.020
III,114,2454732.84331,7.0,5.3,0.267,0.019
III,115,2454732.84790,4.9,5.5,0.267,0.020
III,116,2454746.81717,0.0,9.9,0.278,0.021
III,117,2454746.82359,1.9,10.4,0.280,0.022
III,118,2454746.83001,-5.6,8.4,0.273,0.021
