CCD,Seq,BJD,dRV,e_dRV,SHK,e_SHK
Old,1,2450362.92346,2.7,4.4,,
Old,2,2450362.92568,-3.7,4.2,0.313,0.017
Old,3,2450362.92750,-5.4,4.2,0.318,0.018
Old,4,2450362.92983,-7.0,4.1,0.302,0.017
Old,5,2450362.93161,-5.2,4.3,0.318,0.017
Old,6,2450362.93339,-3.4,4.5,0.322,0.017
Old,7,2450362.93517,-3.9,4.2,0.320,0.017
Old,8,2450362.93697,-4.7,4.2,0.329,0.017
Old,9,2450362.93865,-5.5,4.4,0.299,0.016
Old,10,2450362.94052,-6.9,4.2,0.322,0.017
Old,11,2450362.94230,-6.7,4.5,0.331,0.017
Old,12,2450362.94409,-9.3,4.4,0.305,0.017
Old,13,2450362.94587,-8.4,4.5,0.307,0.017
Old,14,2450363.90955,-0.9,5.2,0.233,0.013
Old,15,2450363.91174,2.7,5.6,0.233,0.013
Old,16,2450363.91355,3.4,5.1,0.260,0.015
Old,21,2450395.73123,-1.1,5.1,0.294,0.016
Old,22,2450395.73331,1.6,5.8,0.297,0.016
Old,23,2450395.73583,-2.5,5.5,0.305,0.016
Old,24,2450395.73792,-6.3,5.0,0.307,0.016
Old,25,2450395.79544,-4.8,4.9,0.347,0.021
Old,26,2450395.80001,3.9,4.8,0.334,0.017
Old,27,2450759.71415,-4.6,4.7,0.236,0.013
Old,28,2450759.71624,-3.7,4.6,0.245,0.013
Old,29,2450759.71844,-4.1,4.5,0.238,0.012
Old,30,2450759.72058,1.1,4.5,0.234,0.013
Old,31,2450759.72282,-1.3,4.6,0.230,0.012
Old,32,2450759.72558,-3.5,4.3,0.240,0.012
Old,33,2450759.72775,-2.3,4.4,0.230,0.011
Old,34,2450759.72992,-4.1,4.6,0.230,0.012
Old,35,2450759.73214,-2.7,4.4,0.225,0.011
Old,41,2450790.70599,-1.4,4.7,0.195,0.010
Old,42,2450790.70782,0.6,4.6,0.202,0.011
Old,43,2450790.70980,1.2,4.5,0.208,0.011
Old,44,2450790.71443,-2.8,4.6,0.196,0.011
Old,45,2450818.69114,-13.6,4.4,0.243,0.013
Old,46,2450818.69303,-12.6,4.5,0.240,0.012
Old,47,2451073.85754,-2.3,4.0,0.175,0.014
Old,48,2451073.86014,-3.4,4.0,0.167,0.013
Old,49,2451073.86206,-3.6,4.2,0.178,0.014
Old,50,2451073.86389,8.7,4.3,0.188,0.014
Old,51,2451073.86532,11.3,4.1,0.168,0.013
Old,52,2451073.86676,5.3,4.5,0.188,0.015
Old,53,2451074.89128,-5.6,4.4,0.179,0.013
Old,54,2451074.89273,-7.1,4.3,0.183,0.013
Old,55,2451075.83941,-1.8,5.2,0.274,0.021
Old,56,2451075.84228,20.7,4.3,0.235,0.016
Old,57,2451140.67748,-3.0,4.5,0.284,0.016
Old,58,2451140.67933,6.6,4.3,0.242,0.013
Old,59,2451140.68183,-2.8,4.2,0.257,0.014
Old,60,2451140.68421,-1.7,4.4,0.252,0.014
Old,61,2451141.67716,0.6,4.0,0.280,0.015
Old,62,2451141.67910,9.6,4.2,0.276,0.015
Old,63,2451141.68055,8.9,4.0,0.287,0.016
Old,64,2451141.68243,7.0,4.3,0.286,0.017
Old,65,2451439.94554,-3.5,4.3,0.174,0.014
Old,66,2451439.94746,0.8,4.5,0.171,0.014
Old,67,2451440.95092,1.3,4.3,0.171,0.013
Old,68,2451440.95268,1.3,4.0,0.158,0.012
Old,69,2451879.68703,12.8,6.9,0.168,0.013
Old,70,2451879.68856,5.1,6.6,0.165,0.013
Old,71,2451880.68759,30.9,5.6,0.157,0.012
Old,72,2451881.68805,28.7,5.4,0.171,0.013
New,73,2453713.68535,10.5,4.2,0.244,0.006
New,74,2453713.68673,11.5,4.3,0.242,0.006
New,75,2453713.75681,2.3,4.1,0.237,0.006
New,76,2453713.81749,11.3,4.2,0.243,0.006
New,77,2453713.81847,11.0,4.3,0.242,0.006
New,78,2453714.71269,10.8,4.4,0.243,0.006
New,79,2453714.71367,16.7,4.6,0.243,0.005
New,80,2453714.77784,17.8,4.6,0.240,0.005
New,81,2453714.77896,15.9,4.6,0.232,0.006
New,82,2453714.86941,21.9,4.5,0.216,0.005
New,83,2453714.87050,20.1,4.5,0.216,0.005
New,84,2453715.70413,9.2,4.2,0.249,0.006
New,85,2453715.74796,8.7,4.1,0.242,0.006
New,86,2453715.79467,11.4,4.2,0.247,0.006
New,87,2453715.86141,15.8,4.3,0.230,0.005
New,88,2453716.70576,15.7,4.4,0.254,0.006
New,89,2453716.74559,12.2,4.3,0.263,0.006
New,90,2453716.78891,13.1,4.3,0.243,0.006
New,91,2453716.85419,13.6,4.8,0.241,0.005
New,92,2453717.75281,12.2,4.5,0.240,0.006
New,93,2453717.83720,12.6,4.1,0.242,0.005
New,94,2453726.69505,15.1,4.0,0.245,0.005
New,95,2453726.74143,18.0,4.2,0.253,0.006
New,96,2453726.82670,23.5,4.2,0.230,0.005
New,97,2453727.69684,8.9,4.1,0.248,0.006
New,98,2453727.73864,11.9,3.9,0.245,0.006
New,99,2453727.82646,8.5,4.0,0.233,0.006
New,100,2453728.69917,9.9,3.9,0.234,0.005
New,101,2453728.75322,9.0,3.9,0.232,0.005
New,102,2453728.83286,8.9,4.0,0.225,0.005
New,103,2453729.68563,11.5,4.5,0.249,0.006
New,104,2453729.72449,10.1,4.1,0.242,0.005
New,105,2453729.77892,10.8,4.1,0.242,0.006
New,106,2453729.84778,12.0,4.1,0.208,0.005
New,107,2453730.68622,14.0,3.9,0.245,0.006
New,108,2453730.73846,10.5,3.9,0.243,0.006
New,109,2453730.79960,8.4,4.1,0.229,0.005
New,110,2454839.69006,-2.0,6.2,0.289,0.013
New,111,2454839.69086,3.2,4.1,0.198,0.005
New,112,2454839.69214,-3.1,4.5,0.204,0.005
New,113,2454839.69283,-0.4,4.5,0.211,0.005
New,114,2454839.69355,-2.1,4.0,0.213,0.005
New,115,2454839.69426,-0.4,4.3,0.210,0.005
New,116,2454839.69494,-1.0,4.0,0.207,0.005
New,117,2454839.69566,-0.1,4.2,0.213,0.005
New,118,2454839.69636,2.2,4.1,0.210,0.005
New,119,2454839.69705,1.6,4.3,0.213,0.005
New,120,2454839.69776,0.1,4.0,0.221,0.005
New,121,2454839.69843,1.9,4.1,0.206,0.005
New,122,2454839.69943,-0.1,4.0,0.215,0.005
New,123,2454839.70013,-0.2,3.8,0.215,0.005
New,124,2454839.70081,1.5,3.9,0.210,0.005
New,125,2454839.70148,-0.8,4.2,0.222,0.005
New,126,2454839.70214,1.8,4.3,0.229,0.006
New,127,2454839.70295,-3.6,3.9,0.217,0.005
New,128,2454839.70360,1.1,3.9,0.227,0.005
New,129,2454839.70427,-0.9,3.9,0.217,0.005
New,130,2454839.70495,0.9,4.2,0.222,0.005
New,131,2454839.70563,4.4,3.9,0.212,0.005
New,132,2454839.70680,-4.2,4.0,0.229,0.006
New,133,2454839.70748,-0.4,3.8,0.221,0.005
New,134,2454839.70830,0.5,4.1,0.234,0.006
New,135,2454839.70898,-2.6,3.9,0.226,0.006
New,136,2454839.70965,-1.6,3.9,0.229,0.005
New,137,2454839.71032,0.1,4.3,0.235,0.006
New,138,2454839.71100,-0.2,4.0,0.220,0.005
New,139,2454839.71168,0.6,4.1,0.223,0.005
New,140,2454839.71236,-2.4,4.2,0.228,0.005
New,141,2454839.71303,0.4,4.0,0.232,0.006
New,142,2454839.72198,-5.1,3.8,0.212,0.005
New,143,2454839.72265,-4.3,4.0,0.211,0.005
New,144,2454839.72332,-1.7,4.2,0.208,0.005
New,145,2454839.72399,-0.8,4.3,0.223,0.005
New,146,2454839.72466,-4.4,3.8,0.206,0.005
New,147,2454839.72532,-7.0,4.3,0.214,0.006
New,148,2454839.72599,-8.5,4.1,0.204,0.005
New,149,2454839.72661,-4.3,3.9,0.210,0.005
New,150,2454839.72726,-2.7,3.9,0.206,0.005
New,151,2454839.72792,-6.3,4.4,0.211,0.005
New,152,2454839.72871,-7.3,4.2,0.208,0.005
New,153,2454839.72937,-4.5,3.8,0.202,0.005
New,154,2454839.73005,-4.9,4.0,0.201,0.005
New,155,2454839.73071,-8.2,4.2,0.201,0.005
New,156,2454839.73139,-8.9,4.1,0.200,0.005
New,157,2454839.73205,-2.8,4.0,0.203,0.005
New,158,2454839.73276,-5.8,3.9,0.201,0.005
New,159,2454839.73344,-9.7,4.2,0.202,0.005
New,160,2454839.73424,-8.9,4.0,0.209,0.005
New,161,2454839.73491,-8.7,4.0,0.205,0.005
New,162,2454839.73583,-5.4,3.9,0.204,0.005
New,163,2454839.73648,-5.5,4.2,0.207,0.005
New,164,2454839.73713,-5.4,4.2,0.200,0.005
New,165,2454839.73779,-6.3,4.0,0.201,0.005
New,166,2454839.73846,-1.9,3.7,0.200,0.005
New,167,2454839.73913,-2.9,3.9,0.210,0.005
New,168,2454839.73979,-7.0,4.2,0.204,0.005
New,169,2454839.74046,-9.7,3.8,0.205,0.005
New,170,2454839.74112,-7.4,3.8,0.200,0.005
New,171,2454839.74180,-6.1,3.9,0.200,0.005
New,172,2454839.74255,-7.6,3.8,0.198,0.005
New,173,2454839.74322,-4.5,4.0,0.204,0.005
New,174,2454839.74392,-5.9,3.9,0.199,0.005
New,175,2454839.74461,-6.5,4.2,0.199,0.005
New,176,2454839.74528,-5.3,4.1,0.198,0.005
New,177,2454839.74599,-9.7,4.4,0.188,0.005
New,178,2454839.74668,-4.0,4.1,0.191,0.005
New,179,2454839.74737,-2.9,3.8,0.201,0.005
New,180,2454839.74806,-7.1,4.0,0.197,0.005
New,181,2454839.74874,-2.8,4.0,0.199,0.005
New,182,2454839.74979,-4.8,4.0,0.198,0.005
New,183,2454839.75045,-11.5,4.0,0.206,0.005
New,184,2454839.75110,-7.0,4.2,0.204,0.005
New,185,2454839.75177,-6.0,4.0,0.207,0.005
New,186,2454839.75244,-7.7,4.0,0.203,0.005
New,187,2454839.75311,-5.3,4.0,0.204,0.005
New,188,2454839.75378,-6.3,3.8,0.205,0.005
New,189,2454839.75445,-7.7,4.0,0.206,0.005
New,190,2454839.75513,-6.1,4.1,0.199,0.005
New,191,2454839.75581,-1.7,3.8,0.200,0.005
New,192,2454839.75688,-9.5,3.9,0.196,0.005
New,193,2454839.75756,2.2,3.9,0.206,0.005
