time,mnvel,errvel,inst,tel,source
2442006.95556,42.47,2.8,hiresk-fisher2009,hiresk,fisher2009
2442008.47985,1.75,4.16,hiresk-fisher2009,hiresk,fisher2009
2442008.85326,17.75,4.2,hiresk-fisher2009,hiresk,fisher2009
2442008.85584,10.71,4.01,hiresk-fisher2009,hiresk,fisher2009
2442008.85868,-6.52,3.96,hiresk-fisher2009,hiresk,fisher2009
2442008.88886,3.65,3.88,hiresk-fisher2009,hiresk,fisher2009
2442008.92978,17.89,3.96,hiresk-fisher2009,hiresk,fisher2009
2442008.93511,11.34,5.32,hiresk-fisher2009,hiresk,fisher2009
2442008.93805,-2.68,3.92,hiresk-fisher2009,hiresk,fisher2009
2442008.94051,5.14,4.05,hiresk-fisher2009,hiresk,fisher2009
2442008.94338,10.12,3.93,hiresk-fisher2009,hiresk,fisher2009
2442009.02007,-4.52,4.02,hiresk-fisher2009,hiresk,fisher2009
2442009.04198,1.03,4.21,hiresk-fisher2009,hiresk,fisher2009
2442009.09116,-21.38,4.11,hiresk-fisher2009,hiresk,fisher2009
2442009.0989,-12.31,4.24,hiresk-fisher2009,hiresk,fisher2009
2442009.26318,-7.77,4.14,hiresk-fisher2009,hiresk,fisher2009
2442009.26863,-14.77,4.2,hiresk-fisher2009,hiresk,fisher2009
2442009.28229,-15.93,4.35,hiresk-fisher2009,hiresk,fisher2009
2442009.3371,-10.03,3.82,hiresk-fisher2009,hiresk,fisher2009
2442009.36175,-3.13,3.99,hiresk-fisher2009,hiresk,fisher2009
2442009.41635,-4.02,3.86,hiresk-fisher2009,hiresk,fisher2009
2442009.41906,-9.49,3.92,hiresk-fisher2009,hiresk,fisher2009
2442009.42181,-15.32,4.16,hiresk-fisher2009,hiresk,fisher2009
2442009.42461,-1.15,3.94,hiresk-fisher2009,hiresk,fisher2009
2442009.42729,-13.37,4.31,hiresk-fisher2009,hiresk,fisher2009
2451155.03027,1.73,4.85,lick6-lick25yr,lick6,lick25yr
2451242.83301,35.61,3.99,lick6-lick25yr,lick6,lick25yr
2451534.01074,10.83,3.99,lick6-lick25yr,lick6,lick25yr
2451914.00391,-19.93,3.18,lick6-lick25yr,lick6,lick25yr
2451914.9707,-18.66,3.3,lick6-lick25yr,lick6,lick25yr
2451915.99316,-2.13,3.32,lick6-lick25yr,lick6,lick25yr
2451927.98374,-10.51,3.56,lick6-lick25yr,lick6,lick25yr
2451945.93848,-1.31,3.27,lick6-lick25yr,lick6,lick25yr
2451946.88672,1.09,3.61,lick6-lick25yr,lick6,lick25yr
2452075.68164,-26.4,3.48,lick6-lick25yr,lick6,lick25yr
2452298.98633,-24.45,2.19,lick8-lick25yr,lick8,lick25yr
2452333.87891,0.0,3.11,lick6-lick25yr,lick6,lick25yr
2452335.81152,-23.3,3.44,lick8-lick25yr,lick8,lick25yr
2452687.91261,-20.89,2.41,lick8-lick25yr,lick8,lick25yr
2452991.00684,-35.85,2.15,lick8-lick25yr,lick8,lick25yr
2452992.04297,-29.05,2.77,lick8-lick25yr,lick8,lick25yr
2453008.99023,-33.05,2.32,lick8-lick25yr,lick8,lick25yr
2453101.74902,-40.92,3.1,lick8-lick25yr,lick8,lick25yr
2453389.8498,-52.11,2.61,lick8-lick25yr,lick8,lick25yr
2453391.9894,-42.75,2.88,lick8-lick25yr,lick8,lick25yr
2454073.99869,36.0,2.61,lick8-lick25yr,lick8,lick25yr
2454084.947404,30.82,0.77,hiresj-hirsch2021,hiresj,hirsch2021
2454085.019039,29.14,1.030031,hiresj-callegacy,hiresj,callegacy
2454085.022211,31.78,1.071798,hiresj-callegacy,hiresj,callegacy
2454102.01627,33.81,2.78,lick8-lick25yr,lick8,lick25yr
2454102.97389,43.61,2.85,lick8-lick25yr,lick8,lick25yr
2454103.95295,23.5,2.62,lick8-lick25yr,lick8,lick25yr
2454134.83447,32.26,2.69,lick8-lick25yr,lick8,lick25yr
2454165.80654,19.28,2.71,lick8-lick25yr,lick8,lick25yr
2454196.76497,27.07,2.57,lick8-lick25yr,lick8,lick25yr
2454461.95302,20.29,2.65,lick8-lick25yr,lick8,lick25yr
2454517.84324,7.81,2.62,lick8-lick25yr,lick8,lick25yr
2454547.87276,8.26,2.35,lick8-lick25yr,lick8,lick25yr
2454574.77872,7.52,2.93,lick8-lick25yr,lick8,lick25yr
2454606.74588,-5.91,4.82,lick8-lick25yr,lick8,lick25yr
2454609.72899,17.36,2.88,lick8-lick25yr,lick8,lick25yr
2454622.71301,1.08,3.43,lick8-lick25yr,lick8,lick25yr
2454641.763773,6.52,1.15,hiresj-hirsch2021,hiresj,hirsch2021
2454778.154132,7.12,0.979975,hiresj-callegacy,hiresj,callegacy
2454779.096644,4.12,1.19,hiresj-hirsch2021,hiresj,hirsch2021
2454780.132789,1.16,1.13,hiresj-hirsch2021,hiresj,hirsch2021
2454786.0646,-17.5,3.99,lick8-lick25yr,lick8,lick25yr
2454791.154479,4.34,1.158452,hiresj-callegacy,hiresj,callegacy
2454806.101262,-0.41,1.11,hiresj-hirsch2021,hiresj,hirsch2021
2454808.049491,3.27,1.11,hiresj-hirsch2021,hiresj,hirsch2021
2454809.122118,5.63,0.9517,hiresj-callegacy,hiresj,callegacy
2454810.022326,6.04,1.093012,hiresj-callegacy,hiresj,callegacy
2454811.068461,0.69,1.005913,hiresj-callegacy,hiresj,callegacy
2454839.07464,7.99,1.47,hiresj-butler2017,hiresj,butler2017
2454839.079007,1.35,1.13569,hiresj-callegacy,hiresj,callegacy
2454844.92554,4.89,2.07,lick8-lick25yr,lick8,lick25yr
2454846.0841,5.42,1.71,lick8-lick25yr,lick8,lick25yr
2454847.07692,3.68,1.61,hiresj-butler2017,hiresj,butler2017
2454847.081669,-3.47,1.12,hiresj-hirsch2021,hiresj,hirsch2021
2454847.91725,2.25,1.86,lick8-lick25yr,lick8,lick25yr
2454848.90752,4.31,2.12,lick8-lick25yr,lick8,lick25yr
2454849.90125,3.15,1.94,lick8-lick25yr,lick8,lick25yr
2454863.95709,-9.29,2.69,lick8-lick25yr,lick8,lick25yr
2454864.90617,-9.38,3.54,lick8-lick25yr,lick8,lick25yr
2454865.04029,5.48,1.24,hiresj-butler2017,hiresj,butler2017
2454865.045542,-0.09,0.985418,hiresj-callegacy,hiresj,callegacy
2454865.93272,-5.34,3.36,lick8-lick25yr,lick8,lick25yr
2454867.86844,6.24,1.56,hiresj-butler2017,hiresj,butler2017
2454867.873723,-0.13,1.25,hiresj-hirsch2021,hiresj,hirsch2021
2454927.875702,-4.89,1.229802,hiresj-callegacy,hiresj,callegacy
2454929.8637,3.81,1.54,hiresj-butler2017,hiresj,butler2017
2454929.866651,-2.61,1.19,hiresj-hirsch2021,hiresj,hirsch2021
2454934.85517,1.04,1.39,hiresj-butler2017,hiresj,butler2017
2454934.857729,-0.43,1.01,hiresj-hirsch2021,hiresj,hirsch2021
2454954.874656,1.53,0.95,hiresj-hirsch2021,hiresj,hirsch2021
