Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD87883,2454085.01904,35.35,1.38,0.2344,0.03573,77751,248,43
HD87883,2454085.02221,35.10,1.30,0.2293,0.03574,78900,208,43
HD87883,2454641.76377,13.00,1.37,0.2604,0.03551,49208,94,43
HD87883,2454779.09664,12.78,1.47,0.2554,0.03585,47984,82,43
HD87883,2454780.13279,11.69,1.46,0.2631,0.03582,48463,102,43
HD87883,2454806.10126,8.96,1.34,0.2609,0.03615,47310,83,43
HD87883,2454808.04949,9.92,1.35,0.2492,0.03593,48289,71,43
HD87883,2454809.12212,5.77,1.36,0.2636,0.03594,48134,72,43
HD87883,2454810.02233,8.20,1.31,0.2739,0.03587,47346,110,43
HD87883,2454811.06846,7.43,1.30,0.2692,0.03596,48121,80,43
HD87883,2454839.07464,7.99,1.47,0.2682,0.03593,49905,88,43
HD87883,2454847.07692,3.68,1.61,0.2829,0.03608,50172,110,43
HD87883,2454865.04029,5.48,1.24,0.2868,0.03576,49507,67,43
HD87883,2454867.86844,6.24,1.56,0.2797,0.03586,49068,123,43
HD87883,2454929.86370,3.81,1.54,0.2735,0.03577,43145,500,43
HD87883,2454934.85517,1.04,1.39,0.2632,0.03581,49751,137,43
HD87883,2454954.87383,3.11,1.33,0.2581,0.03593,49704,68,43
HD87883,2454963.88037,1.46,1.34,0.2563,0.03550,50873,82,43
HD87883,2454983.82206,3.72,1.31,0.2753,0.03582,49664,84,43
HD87883,2454984.81198,5.70,1.36,0.2726,0.03601,49986,74,43
HD87883,2455014.75732,0.00,1.44,0.2752,0.03560,50615,91,43
HD87883,2455015.74447,3.11,1.34,0.2714,0.03568,50375,89,43
HD87883,2455134.14347,-0.59,1.29,0.2572,0.03585,51471,66,43
HD87883,2455255.93378,-2.70,1.48,0.2717,0.03589,52148,77,43
HD87883,2455314.81519,-1.51,1.31,0.2659,0.03562,51737,86,43
HD87883,2455339.83352,-1.53,1.38,0.2685,0.03578,84115,369,43
HD87883,2455343.82245,-6.54,1.16,0.2719,0.03576,52775,83,43
HD87883,2455380.74043,-2.05,1.19,0.2827,0.03566,51514,73,43
HD87883,2455490.14782,-11.26,1.12,0.2547,0.03566,51825,97,43
HD87883,2455546.11170,-8.57,1.14,0.2398,0.03566,53618,85,43
HD87883,2455635.98769,-9.11,1.26,0.2475,0.03572,52688,72,43
HD87883,2455703.73971,-12.87,1.28,0.2406,0.03591,51388,69,43
HD87883,2455871.14712,-13.99,1.49,0.2281,0.03565,29497,600,43
HD87883,2456114.74198,-21.79,1.61,0.0974,0.03484,48382,202,43
HD87883,2456290.05917,-28.82,1.44,0.2315,0.03590,52280,58,43
HD87883,2456327.96911,-29.03,1.35,0.2313,0.03589,53396,81,43
HD87883,2456344.88808,-25.99,1.49,0.2119,0.03598,53342,85,43
HD87883,2456615.16086,-36.65,1.27,0.2259,0.03594,52160,76,43
HD87883,2456638.08321,-41.50,1.33,0.2275,0.03582,52559,77,43
HD87883,2456709.96868,-37.28,1.19,0.2383,0.03606,53341,129,43
HD87883,2456826.73746,-34.47,1.43,0.2332,0.03576,53049,0,43
HD87883,2456827.74162,-28.94,1.42,0.2229,0.03592,53232,0,43
HD87883,2456828.73874,-31.76,1.37,0.2331,0.03580,52673,79,43
