mnvel	errvel	time	tel
-84677.3147583008	1.00054	2455328.33587105	SOPHIE
-84622.802734375	0.852384	2458263.36371723	SOPHIE
-84640.5181884766	1.01477	2458263.47925115	SOPHIE
-84616.7678833008	0.907817	2458557.53150792	SOPHIE
-84638.2751464844	0.9186650000000001	2455906.68395655	SOPHIE
-84645.2484130859	1.4534	2454880.51981766	SOPHIE
-84638.9617919922	1.4158300000000001	2455934.68552144	SOPHIE
-84621.0403442383	0.7264619999999999	2458181.49608874	SOPHIE
-84616.3635253906	1.10059	2458586.37721102	SOPHIE
-84613.0065917969	1.18747	2458586.45176622	SOPHIE
-84618.5531616211	0.9163	2458559.47624706	SOPHIE
-84633.2778930664	1.1653799999999999	2458258.46526634	SOPHIE
-84622.7111816406	1.00742	2458828.6257052	SOPHIE
-84624.3209838867	1.0348	2458236.39719966	SOPHIE
-84623.2070922852	1.34619	2458241.5068003	SOPHIE
-84626.9302368164	1.2808400000000002	2458235.46266667	SOPHIE
-84633.171081543	0.847397	2456298.66854185	SOPHIE
-84615.1428222656	0.77128	2458499.58467769	SOPHIE
-84616.2414550781	0.743989	2458590.40297645	SOPHIE
-84620.5062866211	1.33927	2458587.41708323	SOPHIE
-84619.5526123047	1.3081200000000002	2458587.35376575	SOPHIE
-84619.0032958984	1.0169599999999999	2458490.68940487	SOPHIE
-84615.5090332031	1.55249	2458489.64138534	SOPHIE
-84617.6452636719	1.4838200000000001	2458489.71632081	SOPHIE
-84615.4937744141	0.8210379999999999	2458604.39624355	SOPHIE
-84617.4545288086	0.9183779999999999	2458603.41185502	SOPHIE
-84618.2022094727	1.17855	2458602.34178985	SOPHIE
-84653.0532836914	1.0632199999999998	2454886.4674381	SOPHIE
-84618.9498901367	1.47561	2458601.49534061	SOPHIE
-84617.49267578119	0.958931	2458601.38504838	SOPHIE
-84620.3689575195	1.21244	2458600.47126592	SOPHIE
-84629.3182373047	4.17565	2458496.65495422	SOPHIE
-84619.6212768555	1.4295200000000001	2458911.65592578	SOPHIE
-84616.1575317383	1.6454900000000001	2458911.4773868	SOPHIE
-84622.0245361328	1.1885999999999999	2458907.53938963	SOPHIE
-84651.0391235352	0.931793	2454954.39878497	SOPHIE
-84618.0877685547	1.48223	2458591.51293246	SOPHIE
-84629.4631958008	1.1477600000000001	2456029.45642695	SOPHIE
-84636.23046875	1.1681000000000001	2456318.62299906	SOPHIE
-85025.7110595703	1.31593	2454502.58622556	SOPHIE
-84678.581237793	0.762987	2455662.4811563	SOPHIE
-84612.8768920898	0.8910800000000001	2458473.72853086	SOPHIE
-84615.9286499023	1.2357500000000001	2458475.69167225	SOPHIE
-84618.2174682617	1.01944	2458556.49171361	SOPHIE
-84618.9041137695	1.09863	2458856.62911503	SOPHIE
-84636.7416381836	1.59181	2458666.36891294	SOPHIE
-84612.7853393555	0.71738	2458457.73587294	SOPHIE
-84624.1455078125	0.7473850000000001	2458186.48888547	SOPHIE
-84623.1155395508	1.22847	2458900.65499262	SOPHIE
-84616.943359375	1.0571700000000002	2458900.48167052	SOPHIE
-84621.09375	2.23632	2458897.59603296	SOPHIE
-84617.8283691406	1.36979	2458498.63499629	SOPHIE
-84675.7659912109	4833.02	4854594.398942	SOPHIE
-84675.7659912109	4833.02	4854594.398942	SOPHIE
-85051.4450073242	1.79312	2454594.398942	SOPHIE
-84616.9128417969	0.870034	2458888.53389598	SOPHIE
-84618.1335449219	1.6706500000000002	2458450.64324167	SOPHIE
-84618.8125610352	0.877784	2458607.39073352	SOPHIE
-84619.743347168	1.0629199999999999	2458606.41562826	SOPHIE
-84618.6676025391	0.917624	2458605.38845496	SOPHIE
-84621.39892578119	1.47577	2458907.42440222	SOPHIE
-84615.7608032227	1.33628	2458906.5703813	SOPHIE
-84633.5601806641	1.16138	2458255.47900931	SOPHIE
-84623.47412109381	1.73652	2458255.37102098	SOPHIE
-84626.8081665039	1.32267	2458254.46152788	SOPHIE
-84643.798828125	1.69249	2455917.70658119	SOPHIE
-84622.200012207	0.937473	2458532.61712045	SOPHIE
-84618.1259155273	0.803829	2458639.37590428	SOPHIE
-84648.2696533203	0.998472	2455615.50284532	SOPHIE
-84612.1444702148	1.51187	2458647.3988889	SOPHIE
-84618.522644043	0.898455	2458448.67355192	SOPHIE
-84627.9983520508	0.676695	2456251.6632772	SOPHIE
-84639.6560668945	1.5697	2456437.34466176	SOPHIE
-84616.4474487305	0.791809	2458270.4100159	SOPHIE
-84616.6610717773	0.723522	2458528.56930525	SOPHIE
-84612.4725341797	0.852892	2458527.62064699	SOPHIE
-84639.95361328119	1.3461	2455990.41014433	SOPHIE
-84623.2528686523	1.3492899999999999	2458216.46490376	SOPHIE
-84660.530090332	0.930685	2455627.68103385	SOPHIE
-84622.6272583008	1.33968	2458923.33425865	SOPHIE
-84618.0801391602	1.15143	2458923.50333881	SOPHIE
-84612.79296875	1.2064599999999999	2458451.67104165	SOPHIE
-84620.2239990234	1.24732	2458449.64955344	SOPHIE
-84633.171081543	1.20626	2456327.6322687	SOPHIE
-84619.7967529297	1.00538	2458879.69571642	SOPHIE
-84622.5891113281	1.07641	2458881.6281167	SOPHIE
-84635.7192993164	1.46794	2455963.64796071	SOPHIE
-84616.6458129883	1.08118	2458853.57809406	SOPHIE
-84620.5139160156	1.09527	2458593.46085895	SOPHIE
-84635.3378295898	1.9647599999999998	2456047.45408389	SOPHIE
-84639.4729614258	1.09168	2456344.59795248	SOPHIE
-84618.6904907227	1.0789	2458467.70353575	SOPHIE
-84616.3864135742	1.26657	2458460.70732489	SOPHIE
-84619.2169189453	1.04511	2458534.66030103	SOPHIE
