BJD	RV	e_RV
d	m/s	m/s
----------------	----------	------
2451504.62998850	  16453.99	  8.06
2451504.63416670	  16454.62	  6.94
2451504.63833320	  16455.05	  6.23
2451542.75476430	  16468.20	  6.99
2451542.75825950	  16462.18	  7.46
2451542.76175460	  16465.26	  6.77
2451597.54800550	  16458.38	  6.21
2451597.55078300	  16463.18	  6.82
2451597.55358370	  16460.20	  6.73
2451777.93136830	  16440.70	  9.24
2451777.93419270	  16442.83	  9.66
2451777.93701700	  16443.37	 10.03
2451832.80802080	  16444.04	  8.12
2451832.81081030	  16443.04	  8.23
2451832.81361130	  16444.44	  8.35
2451833.83877610	  16443.80	  8.07
2451833.84053540	  16445.63	  7.73
2451833.84228320	  16447.06	  8.19
2451834.78663360	  16456.04	  9.14
2451834.78839290	  16452.92	  9.86
2451834.79014060	  16456.06	  9.75
2451839.80280780	  16454.75	  6.88
2451839.80490270	  16457.91	  7.76
2451839.80699770	  16455.19	  6.76
2451949.55876640	  16443.63	  8.79
2451949.56052550	  16439.03	  9.07
2451949.56228460	  16443.01	  9.28
2451950.59516720	  16442.46	 10.58
2451950.59692630	  16441.23	  9.55
2451950.59867390	  16441.53	 10.08
2452159.91287190	  16439.11	 10.36
2452159.91702730	  16441.83	 10.69
2452159.92119430	  16439.76	 10.70
2452160.79995420	  16441.07	 11.01
2452160.80237340	  16436.12	 10.69
2452160.80480410	  16435.78	 10.14
2452259.72946520	  16456.19	  8.53
2452259.73363170	  16449.92	 10.82
2452259.73778650	  16444.96	  8.76
2452364.47576090	  16446.76	  6.88
2452364.47749700	  16441.81	  9.45
2452364.47923300	  16444.74	 11.80
2452535.89788480	  16429.24	  9.40
2452535.89960950	  16419.05	 10.02
2452535.90134570	  16422.97	 10.80
2452651.59590780	  16447.10	 10.40
2452651.59766690	  16442.98	  7.09
2452651.59940290	  16442.82	  7.13
2452658.64598970	  16448.58	  5.77
2452658.64773720	  16448.89	  5.88
2452658.64947320	  16446.92	  6.70
2452861.92565030	  16429.97	  7.94
2452861.92843990	  16427.84	  7.51
2452861.93124110	  16430.28	  7.49
2452921.79861620	  16448.27	  8.29
2452921.80037550	  16449.40	  8.64
2452921.80213490	  16448.21	  8.15
2453042.60351370	  16454.26	  7.36
2453042.60665000	  16453.48	  7.89
2453042.60978630	  16451.75	  7.01
2453260.84030450	  16437.24	  9.66
2453260.84241110	  16440.41	 12.75
2453260.84450620	  16440.48	  9.86
2453309.79000950	  16440.76	  8.18
2453309.79179190	  16445.00	  8.88
2453309.79357430	  16439.71	  9.20
2453690.79247050	  16460.60	  7.36
2453690.79427600	  16462.44	  6.72
2453690.79604680	  16463.80	  6.36
