#RESOURCE=yCat_22500029
#Name: J/ApJS/250/29
#Title: Search for nearby Earth analogs. III. RV sets (Feng+, 2020)
#INFO ivoid=ivo://cds.vizier/j/apjs/250/29     IVOID of underlying data collection     
#INFO creator=Feng F.     First author or institution     
#INFO cites=bibcode:2020ApJS..250...29F     Article or Data origin sources     
#INFO editor=Astrophysical Journal Supplement (AAS)     Editor name (article)     
#INFO original_date=2020     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/250/29     Dataset landing page     
#INFO citation=doi:10.26093/cds/vizier.22500029     Dataset identifier that can be used for citation     
#INFO publication_date=2021-09-09     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_ApJS_250_29_table2:
#Name: J/ApJS/250/29/table2
#Title: RV data sets
#---Details of Columns:
    Name       (a9)    Star name [ucd=meta.id;meta.main]
    BJD (d)    (F13.5) Barycentric Julian Date [ucd=time.epoch]
    RV (m/s)   (F8.3)  [-106.5/97.6] Barycenter corrected radial velocity [ucd=phys.veloc;pos.barycenter]
    e_RV (m/s) (F6.3)  [0.8/7.2] Uncertainty in RV [ucd=stat.error]
    Inst       (a6)    Instrument (1) [ucd=meta.id;instr]
--------- ------------- -------- ------ ------
                                 e_RV         
Name      BJD (d)       RV (m/s) (m/s)  Inst  
--------- ------------- -------- ------ ------
GJ687     2456484.73869    3.770  0.970 APF
GJ687     2456484.74977    3.780  0.960 APF
GJ687     2456486.83890    2.880  1.080 APF
GJ687     2456486.84978    0.920  0.960 APF
GJ687     2456488.84972    5.500  1.010 APF
GJ687     2456490.73174    2.500  0.990 APF
GJ687     2456492.81052    3.340  1.140 APF
GJ687     2456492.82140    4.350  1.050 APF
GJ687     2456494.76596    1.950  1.180 APF
GJ687     2456494.77675    3.570  1.240 APF
GJ687     2456494.78780    3.790  1.170 APF
GJ687     2456497.77714    3.480  1.080 APF
GJ687     2456497.78811    5.100  0.980 APF
GJ687     2456508.75859   -9.410  0.840 APF
GJ687     2456508.76976  -10.830  0.920 APF
GJ687     2456510.79490  -10.370  0.910 APF
GJ687     2456510.80588  -10.020  1.020 APF
GJ687     2456513.76751   -9.810  1.060 APF
GJ687     2456513.77838   -9.330  1.110 APF
GJ687     2456521.81758   -3.270  0.930 APF
GJ687     2456521.82843   -1.990  0.880 APF
GJ687     2456522.78498   -3.130  1.080 APF
GJ687     2456522.79611   -4.560  1.020 APF
GJ687     2456533.79099    1.370  1.080 APF
GJ687     2456533.80194    1.220  1.060 APF
GJ687     2456551.73732  -10.550  1.010 APF
GJ687     2456551.74814  -10.850  1.100 APF
GJ687     2456552.71202   -9.450  1.190 APF
GJ687     2456552.72308  -10.880  1.280 APF
GJ687     2456553.72116   -9.650  1.090 APF
