#RESOURCE=yCat_36770122
#Name: J/A+A/677/A122
#Title: GJ 328, 649 and 849 HARPS-N observations (Pinamonti+, 2023)
#INFO ivoid=ivo://cds.vizier/j/a+a/677/a122     IVOID of underlying data collection     
#INFO creator=Pinamonti M.     First author or institution     
#INFO cites=bibcode:2023A&A...677A.122P     Article or Data origin sources     
#INFO editor=Astronomy and Astrophysics     Editor name (article)     
#INFO original_date=2023     Year of the article publication     
#INFO reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/677/A122     Dataset landing page     
#INFO publication_date=2023-09-13     Date of first publication in the data centre     
#INFO rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html     Licence URI     
#Table J_A_A_677_A122_mjump:
#Name: J/A+A/677/A122/mjump
#Title: Observational HARPS-N data
#---Details of Columns:
    Target     (a15)   Target Identifier [ucd=meta.id;meta.main]
    BJD (d)    (F12.6) Observation date (BJD-2400000) [ucd=time.epoch]
    RV (m/s)   (F11.6) Radial Velocity [ucd=phys.veloc;pos.heliocentric]
    e_RV (m/s) (F11.6) Uncertainty on radial velocity [ucd=stat.error]
    CaII       (F11.6) Activity CaII index [ucd=spect.index]
    e_CaII     (F11.6) Uncertainty on CaII index [ucd=stat.error]
    Halpha     (F11.6) Activity Halpha index [ucd=spect.index]
    e_Halpha   (F11.6) Uncertainty on Halpha index [ucd=stat.error;spect.line]
    NaI        (F11.6) Activity NaI index [ucd=meta.code;spect.index]
    e_NaI      (F11.6) Uncertainty on NaI index [ucd=stat.error]
    HeI        (F11.6) Activity HeI index [ucd=spect.index]
    e_HeI      (F11.6) Uncertainty on HeI index [ucd=stat.error]
--------------- ------------ ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- -----------
Target          BJD (d)      RV (m/s)    e_RV (m/s)  CaII        e_CaII      Halpha      e_Halpha    NaI         e_NaI       HeI         e_HeI      
--------------- ------------ ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- ----------- -----------
GJ849           58269.700518  -18.801309    0.682793    0.042547    0.000454    0.065397    0.000120    0.003318    0.000024    0.038346    0.000175
GJ849           58279.669339  -24.096836    0.678021    0.048628    0.000431    0.066481    0.000112    0.003561    0.000022    0.038552    0.000159
GJ849           58296.699802  -24.389468    0.909648    0.045851    0.000688    0.064669    0.000123    0.003153    0.000030    0.038336    0.000235
GJ849           58325.710889  -21.652482    0.750653    0.049298    0.000688    0.067063    0.000164    0.003523    0.000034    0.038586    0.000247
GJ849           58326.684684  -20.466744    0.669243    0.049710    0.000785    0.066272    0.000171    0.003594    0.000038    0.038402    0.000277
GJ849           58342.562835  -23.160874    1.642804    0.044960    0.001265    0.065276    0.000274    0.003314    0.000061    0.038824    0.000460
GJ849           58345.568704  -18.682068    0.566131    0.043986    0.000401    0.065760    0.000114    0.003262    0.000022    0.038275    0.000162
GJ849           58360.610697  -24.724049    0.763905    0.041718    0.000720    0.064888    0.000162    0.003405    0.000036    0.038410    0.000269
GJ849           58361.556476  -24.501614    1.638061    0.035787    0.001416    0.065521    0.000350    0.004050    0.000086    0.039330    0.000596
GJ849           58378.521638  -22.339645    0.627781    0.045686    0.000589    0.065537    0.000146    0.003540    0.000031    0.038211    0.000221
GJ849           58379.508708  -23.595700    0.500171    0.045231    0.000435    0.065975    0.000113    0.003434    0.000023    0.038106    0.000167
GJ849           58380.488716  -22.905785    0.606056    0.045015    0.000387    0.066145    0.000095    0.003331    0.000020    0.038121    0.000149
GJ849           58381.486106  -24.303651    0.529614    0.046434    0.000411    0.066005    0.000103    0.003362    0.000021    0.038257    0.000157
GJ849           58382.493332  -19.923628    0.551078    0.044985    0.000438    0.066143    0.000126    0.003493    0.000024    0.038181    0.000174
GJ849           58383.496100  -22.159015    0.983002    0.045105    0.001005    0.066383    0.000231    0.003703    0.000053    0.038530    0.000378
