time,mnvel,errvel,tel
2448906.7182,-24.88,8.88,lick8
2448934.672249164,-21.17117746322416,7.040120237944681,lick8
2448935.684445517,-27.778275862068966,7.952435150794139,lick8
2449172.9532,4.17,8.66,lick8
2449200.9041,-9.34,7.9399999999999995,lick8
2449255.7202,0.73,9.49,lick8
2449298.7153526912,-23.757769422246092,6.648684948816123,lick8
2449587.936942227,2.1917844855654938,6.473148520972113,lick8
2449589.8900169805,-5.298200291550074,6.101197731875464,lick8
2449601.834866147,-17.269701536189807,5.871627766344093,lick8
2449623.7367,-10.08,7.960000000000001,lick8
2452232.6619215803,-15.126739923247444,1.2426259062366005,lick8
2453247.87402,-5.13,1.9700000000000002,lick8
2453316.7522821818,-8.774358756496703,1.4825445813746139,lick8
2449914.9834,13.48,3.55,lick13
2449941.8677730886,3.685422201814526,1.2508029664436344,lick13
2449983.7138816034,13.07339992324982,1.5086672258722726,lick13
2450011.7390564163,3.9206813026389673,1.4917942458227058,lick13
2450048.7090893104,12.558814747794617,2.142357856170403,lick13
2450089.6084,4.65,1.7300000000000002,lick13
2450299.92578,5.12,1.41,lick13
2450326.82031,4.3,1.3999999999999997,lick13
2450421.69727,-1.95,1.62,lick13
2450437.63184,-3.82,1.4200000000000002,lick13
2450613.960958912,1.429598767933857,1.1084696955990458,lick13
2450640.9435059717,1.2183744254074385,0.9681448607387446,lick13
2450645.97656,2.6,2.04,lick13
2450655.9515968673,3.1165242251547802,1.1489016660880635,lick13
2450657.00684,0.0,1.4599999999999997,lick13
2450681.94727,-11.2,1.34,lick13
2450767.64453,2.65,1.8099999999999998,lick13
2450793.66016,-2.9,1.56,lick13
2450794.70898,-5.86,2.94,lick13
2450362.934813733,-5.185915080827493,1.1951217139961983,hiresk
2450363.911633749,1.7101884004383012,3.0525742342563422,hiresk
2450395.7456146735,-3.6930141595242687,0.48751165782091654,hiresk
2450759.723249826,-2.7842906977233444,1.5021030718240913,hiresk
2450790.709550278,-0.5713779838859296,2.2991845739262575,hiresk
2450818.692063767,-13.111234536733148,3.146029343657454,hiresk
2451073.862415449,2.449312648902008,1.7033927664598019,hiresk
2451074.8920216644,-6.3672391017173045,3.075304970324404,hiresk
2451075.841114476,11.56261805403031,3.313774670935585,hiresk
2451140.680757855,-0.17817305795204735,2.172844139342536,hiresk
2451141.6797339683,6.432259336583856,2.0594597350469956,hiresk
2451439.9464563867,-1.447676819824471,3.1088599719584065,hiresk
2451440.951863532,1.3,2.928746952652335,hiresk
2451879.687828983,8.778973346495558,4.769436257174815,hiresk
2451880.68759,30.9,5.599999999999999,hiresk
2451881.68805,28.7,5.4,hiresk
2450395.855026,8.91,0.51,k
2450979.9577814206,3.433996307146259,1.948168802839957,lick6
2451014.96191,-0.58,2.72,lick6
2451044.95898,1.6,2.33,lick6
2451130.64844,-5.93,2.73,lick6
2451146.59277,3.25,3.1,lick6
2451364.89648,4.74,2.41,lick6
2451416.98828,-2.93,2.5300000000000002,lick6
2451427.86914,-17.93,3.06,lick6
2451482.69336,2.07,2.9,lick6
2451842.68945,-4.58,2.7,lick6
2452128.84174,0.25,3.9400000000000004,lick6
2452188.74805,8.02,2.87,lick6
2452189.7534750467,3.54437330017249,1.7611620458592223,lick6
2451010.86514,1.7,3.6999999999999997,hjst3
2451065.83986,-11.5,4.3,hjst3
2451151.6678,-0.9,4.5,hjst3
2451211.58199,0.4,5.1,hjst3
2451417.92148,-2.0,4.1000000000000005,hjst3
2451451.83583,5.2,4.2,hjst3
2451502.68841,-1.0,4.3,hjst3
2451505.60059,22.7,5.8,hjst3
2451530.68963,-10.6,5.0,hjst3
2451557.61677,-0.4,4.7,hjst3
2451750.92212,-2.7,3.8000000000000003,hjst3
2451775.81432,10.2,4.7,hjst3
2451810.71818,-1.7,4.8,hjst3
2451859.72474,-4.1,4.8,hjst3
2451918.66585,10.1,5.0,hjst3
2452117.95058,3.4,4.0,hjst3
2452142.88534,-0.9,4.2,hjst3
2452218.70329,-7.2,4.3,hjst3
2452493.83053,8.2,4.0,hjst3
2452539.782684681,14.774486486486488,3.038093285403003,hjst3
2452839.94411,-9.5,3.6999999999999997,hjst3
2452932.73705,-13.8,4.1000000000000005,hjst3
2452960.7825,-9.5,4.9,hjst3
2453318.69863,0.4,4.2,hjst3
2453632.85043,2.6,4.5,hjst3
2453689.71121,3.1,4.3,hjst3
2453746.64899,12.7,4.5,hjst3
2453930.90252,16.7,4.1000000000000005,hjst3
2453967.8929,8.5,4.2,hjst3
2454345.7705597873,8.488516490557716,2.7123177677233206,hjst3
2454346.8596921167,4.406163099734228,2.100411805435526,hjst3
2454347.7782835234,8.969546611130356,2.9204186334856015,hjst3
2454665.9410828003,2.0787492209434926,2.8783879578980116,hjst3
2454697.9693307686,-1.4549887740759622,2.4234963572926027,hjst3
2454732.8431429877,6.342848205001565,3.0767052413644302,hjst3
2454746.824347947,-1.8380959770315688,5.453748236710782,hjst3
2454747.882019384,7.728382337068183,4.561734153605568,hjst3
2454752.7210203684,4.186157274513689,2.787775224943558,hjst3
2454781.755716589,-1.7900115640358487,2.709964694256513,hjst3
2454783.6900993423,-8.165433217117075,2.495916212812098,hjst3
2454784.670854713,-6.140220564385339,2.6361406934063703,hjst3
2454816.6778735407,8.997770513787613,3.510968600154828,hjst3
2454821.64886,-2.8,10.2,hjst3
2454822.6799609708,12.379420045914024,3.1494102463873346,hjst3
2454840.56777,-0.19999999999999996,3.3234018715767735,hjst3
2455025.956952259,-1.3664324845238158,2.4812633615090927,hjst3
2455049.8506290065,5.642221180880974,3.03927431776595,hjst3
2455102.792675856,5.2593001468577505,2.662781993749047,hjst3
2455104.764853075,-7.301368233194527,2.692682926829268,hjst3
2455132.7648431575,-4.6894383795870045,2.865983995786835,hjst3
2455153.7244653953,-7.429458011106623,2.669515451668437,hjst3
2455170.707495317,-3.9002658170214923,3.846961652039391,hjst3
2455173.6753388764,-10.982481751824821,3.920144493091464,hjst3
2455200.588302457,-10.136025589764094,3.5334130804084145,hjst3
2455438.901235222,-8.750838819282226,3.4245500438394343,hjst3
2455466.824112844,-9.461944425646852,2.440980901543939,hjst3
2455499.767549286,-3.44822934232715,2.726527399135201,hjst3
2455500.801724136,-6.126197210633508,2.6545560301795175,hjst3
2455550.6356511037,5.446896551724138,3.587564729681567,hjst3
2455583.6099725785,-4.787285561698044,2.778736560399488,hjst3
2455587.5979667334,-5.48363243826744,2.784387192213479,hjst3
2455724.921705916,-3.4500152392563246,2.863127793508843,hjst3
2455760.89082,2.4,3.8000000000000003,hjst3
2455762.87958,3.9,4.3,hjst3
2455789.91588,-6.9,4.2,hjst3
2455792.85616,0.3,4.2,hjst3
2455811.90309,0.0,7.3999999999999995,hjst3
2455816.91453,-4.2,4.6,hjst3
2455817.84792,-5.7,5.599999999999999,hjst3
2455838.82423,-5.9,6.0,hjst3
2455845.73598,3.6,4.6,hjst3
2455870.7359,1.4,4.6,hjst3
2455872.73492,0.1,4.1000000000000005,hjst3
2455876.7346059084,-1.8676718938480097,3.212094153981327,hjst3
2455897.58439,0.3,4.5,hjst3
2455898.68421,1.9,4.6,hjst3
2455899.62423,-0.4,4.8,hjst3
2455909.59589,14.8,5.1,hjst3
2456106.93289,-8.0,3.9000000000000004,hjst3
2456133.9501,-2.3,4.1000000000000005,hjst3
2456143.90141,-0.6,3.6999999999999997,hjst3
2456171.86893,-0.9,4.8,hjst3
2456180.84846,0.2,4.6,hjst3
2456202.80907,-1.8,4.7,hjst3
2456236.7329127025,2.8737229452757185,2.633574723835821,hjst3
2456237.788658613,14.447477582531192,3.3270216214244384,hjst3
2456266.65876,8.7,4.6,hjst3
2456320.54194,4.4,5.0,hjst3
2456433.94911,-0.85,3.040559159102154,hjst3
2456499.96355,8.9,4.1000000000000005,hjst3
2456501.88971,19.7,4.8,hjst3
2456517.947049371,-2.19489444205084,2.289665446889917,hjst3
2456520.8873918494,-2.047620396600567,2.96732393436321,hjst3
2456521.85016,-1.3,3.9000000000000004,hjst3
2456522.9819,2.2,4.1000000000000005,hjst3
2456523.98832,-5.0,4.4,hjst3
2456524.95129,5.0,3.6999999999999997,hjst3
2456528.8637,7.1,4.2,hjst3
2456559.8058,5.3,4.2,hjst3
2456564.77557,0.0,3.9000000000000004,hjst3
2456589.82712,2.0,4.5,hjst3
2456592.76491,9.3,5.8,hjst3
2456613.66009,-8.4,4.3,hjst3
2456614.616604,-3.409411764705883,3.1888777299342457,hjst3
