time,mnvel,errvel,inst,tel,source
2448906.7182,-24.88,8.88,lick8-lick25yr,lick8,lick25yr
2448934.6595,-17.49,10.79,lick8-lick25yr,lick8,lick25yr
2448934.6817,-23.9,9.29,lick8-lick25yr,lick8,lick25yr
2448935.6721,-29.51,11.97,lick8-lick25yr,lick8,lick25yr
2448935.6942,-26.41,10.64,lick8-lick25yr,lick8,lick25yr
2449172.9532,4.17,8.66,lick8-lick25yr,lick8,lick25yr
2449200.9041,-9.34,7.94,lick8-lick25yr,lick8,lick25yr
2449255.7202,0.73,9.49,lick8-lick25yr,lick8,lick25yr
2449298.7033,-14.48,10.03,lick8-lick25yr,lick8,lick25yr
2449298.7248,-31.03,8.88,lick8-lick25yr,lick8,lick25yr
2449587.9252,11.02,9.53,lick8-lick25yr,lick8,lick25yr
2449587.947,-5.37,8.82,lick8-lick25yr,lick8,lick25yr
2449589.8798,-1.77,8.44,lick8-lick25yr,lick8,lick25yr
2449589.9012,-9.16,8.83,lick8-lick25yr,lick8,lick25yr
2449601.8254,-16.31,7.82,lick8-lick25yr,lick8,lick25yr
2449601.8471,-18.51,8.89,lick8-lick25yr,lick8,lick25yr
2449623.7367,-10.08,7.96,lick8-lick25yr,lick8,lick25yr
2449914.9834,13.48,3.55,lick13-lick25yr,lick13,lick25yr
2449941.85547,3.05,1.86,lick13-lick25yr,lick13,lick25yr
2449941.87793,4.21,1.69,lick13-lick25yr,lick13,lick25yr
2449983.70312,14.06,2.09,lick13-lick25yr,lick13,lick25yr
2449983.72559,12.0,2.18,lick13-lick25yr,lick13,lick25yr
2450011.72852,7.32,2.09,lick13-lick25yr,lick13,lick25yr
2450011.75,0.39,2.13,lick13-lick25yr,lick13,lick25yr
2450048.7023,16.33,2.55,lick13-lick25yr,lick13,lick25yr
2450048.72538,3.51,3.95,lick13-lick25yr,lick13,lick25yr
2450089.6084,4.65,1.73,lick13-lick25yr,lick13,lick25yr
2450299.92578,5.12,1.41,lick13-lick25yr,lick13,lick25yr
2450326.82031,4.3,1.4,lick13-lick25yr,lick13,lick25yr
2450362.92346,2.7,4.4,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.92568,-3.7,4.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.9275,-5.4,4.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.92983,-7.0,4.1,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.93161,-5.2,4.3,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.93339,-3.4,4.5,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.93517,-3.9,4.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.93697,-4.7,4.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.93865,-5.5,4.4,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.94052,-6.9,4.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.9423,-6.7,4.5,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.94409,-9.3,4.4,hiresk-johnson2016hr,hiresk,johnson2016hr
2450362.94587,-8.4,4.5,hiresk-johnson2016hr,hiresk,johnson2016hr
2450363.90955,-0.9,5.2,hiresk-johnson2016hr,hiresk,johnson2016hr
2450363.91174,2.7,5.6,hiresk-johnson2016hr,hiresk,johnson2016hr
2450363.91355,3.4,5.1,hiresk-johnson2016hr,hiresk,johnson2016hr
2450395.728345,-5.8,1.109392,hiresk-callegacy,hiresk,callegacy
2450395.73051,-4.1,1.08,hiresk-butler2017,hiresk,butler2017
2450395.73294,-10.78,1.13,hiresk-butler2017,hiresk,butler2017
2450395.73503,-3.88,1.11,hiresk-butler2017,hiresk,butler2017
2450395.73792,-6.3,5.0,hiresk-johnson2016hr,hiresk,johnson2016hr
2450395.792639,-3.67,1.973734,hiresk-callegacy,hiresk,callegacy
2450395.79544,-4.8,4.9,hiresk-johnson2016hr,hiresk,johnson2016hr
2450395.797824,9.81,1.334893,hiresk-callegacy,hiresk,callegacy
2450395.80001,3.9,4.8,hiresk-johnson2016hr,hiresk,johnson2016hr
2450395.855026,8.91,0.51,k-hirsch2021,k,hirsch2021
