_tab5_1,RV,e_RV,FWHM,Contrast,Bisector,logR_HK,Texp
6148.670256,-18.41884,0.00046,6.08667,49.463,0.01075,-5.0053,900
6148.674064,-18.41784,0.00045,6.08653,49.449,0.01092,-5.0036,900
6148.677883,-18.41818,0.00046,6.08636,49.465,0.01035,-5.0073,900
6150.665671,-18.42148,0.00064,6.08810,49.547,0.01126,-5.0029,900
6151.620639,-18.42116,0.00063,6.09797,49.535,0.00821,-5.0532,900
6151.729522,-18.41896,0.00048,6.08844,49.498,0.00893,-4.9951,900
6151.732508,-18.41924,0.00048,6.08748,49.498,0.01015,-4.9971,900
6151.735460,-18.41884,0.00049,6.08881,49.493,0.01022,-4.9963,900
6151.738411,-18.41880,0.00048,6.08771,49.500,0.01014,-4.9943,900
6152.672093,-18.42182,0.00044,6.08723,49.451,0.01111,-5.0017,900
6152.675056,-18.42182,0.00045,6.08710,49.474,0.01081,-5.0011,900
6152.677996,-18.42193,0.00045,6.08702,49.467,0.01042,-5.0009,900
6152.680959,-18.42212,0.00045,6.08715,49.470,0.01024,-5.0000,900
6153.627025,-18.42025,0.00042,6.08542,49.441,0.01172,-5.0154,900
6153.629722,-18.42085,0.00042,6.08649,49.440,0.01017,-5.0166,900
6153.632442,-18.42115,0.00043,6.08595,49.441,0.01051,-5.0180,900
6153.704471,-18.42131,0.00042,6.08597,49.438,0.01072,-5.0169,900
6153.707157,-18.42102,0.00042,6.08564,49.442,0.00996,-5.0154,900
6153.709877,-18.42066,0.00042,6.08537,49.443,0.01091,-5.0151,900
6160.644321,-18.41211,0.00049,6.08389,49.884,0.01256,-5.0239,900
6160.647619,-18.41721,0.00049,6.08252,49.539,0.00846,-5.0287,900
6160.650918,-18.41657,0.00049,6.08425,49.544,0.00924,-5.0311,900
6161.493214,-18.41976,0.00052,6.08510,49.570,0.00781,-5.0199,900
6161.496455,-18.42165,0.00049,6.08609,49.551,0.00953,-5.0217,900
6162.629146,-18.41957,0.00048,6.08211,49.545,0.00694,-5.0343,900
6162.631819,-18.42130,0.00047,6.08401,49.535,0.00782,-5.0286,900
6162.634470,-18.42210,0.00052,6.08462,49.580,0.00743,-5.0247,900
6166.516031,-18.41316,0.00044,6.08408,49.501,0.00753,-5.0391,900
6166.519897,-18.41309,0.00044,6.08323,49.490,0.00767,-5.0362,900
6166.634288,-18.41222,0.00046,6.08307,49.528,0.00785,-5.0358,900
6166.636973,-18.41251,0.00046,6.08429,49.525,0.00840,-5.0359,900
6176.528963,-18.41670,0.00043,6.08183,49.470,0.00942,-5.0405,900
6176.531428,-18.41718,0.00043,6.08238,49.466,0.00942,-5.0411,900
6176.533905,-18.41677,0.00043,6.08228,49.472,0.00972,-5.0416,900
6176.536405,-18.41712,0.00043,6.08194,49.468,0.00866,-5.0439,900
6177.533860,-18.42026,0.00044,6.08348,49.490,0.00890,-5.0335,900
6177.536325,-18.41978,0.00043,6.08466,49.492,0.00922,-5.0296,900
6177.538814,-18.42000,0.00044,6.08443,49.484,0.00927,-5.0330,900
6177.541303,-18.42022,0.00043,6.08343,49.487,0.00959,-5.0347,900
6178.521024,-18.41878,0.00049,6.08314,49.537,0.00915,-5.0308,900
6178.523478,-18.41881,0.00052,6.08259,49.561,0.00723,-5.0313,900
6178.525955,-18.41868,0.00049,6.08371,49.540,0.00769,-5.0310,900
6178.528444,-18.41873,0.00047,6.08376,49.522,0.00779,-5.0292,900
6179.476728,-18.41352,0.00044,6.08511,49.482,0.00793,-5.0272,900
6179.479182,-18.41352,0.00044,6.08384,49.486,0.00731,-5.0260,900
6179.481682,-18.41382,0.00044,6.08519,49.493,0.00745,-5.0242,900
6179.484171,-18.41360,0.00045,6.08619,49.491,0.00741,-5.0248,900
6180.442999,-18.41501,0.00046,6.08466,49.507,0.00780,-5.0257,900
6180.445499,-18.41525,0.00047,6.08508,49.505,0.00715,-5.0236,900
6180.447976,-18.41538,0.00046,6.08495,49.506,0.00754,-5.0275,900
6180.450465,-18.41523,0.00047,6.08540,49.510,0.00669,-5.0286,900
6181.476633,-18.41452,0.00054,6.08745,49.471,0.00637,-5.0208,900
6181.479098,-18.41431,0.00054,6.08777,49.469,0.00694,-5.0199,900
6181.481598,-18.41446,0.00054,6.08773,49.471,0.00663,-5.0191,900
6181.484064,-18.41385,0.00054,6.08768,49.463,0.00652,-5.0201,900
6182.480114,-18.41159,0.00046,6.08711,49.462,0.00615,-5.0240,900
6182.482602,-18.41266,0.00048,6.08749,49.494,0.00731,-5.0269,900
6182.485033,-18.41273,0.00047,6.08908,49.477,0.00667,-5.0184,900
6182.487464,-18.41191,0.00048,6.08686,49.486,0.00656,-5.0230,900
6183.593690,-18.41699,0.00045,6.08993,49.447,0.00636,-5.0192,900
6183.596132,-18.41604,0.00044,6.08941,49.441,0.00608,-5.0189,900
6183.598621,-18.41725,0.00044,6.09024,49.434,0.00572,-5.0181,900
6183.601121,-18.41712,0.00045,6.09071,49.442,0.00591,-5.0192,900
6183.671297,-18.41771,0.00045,6.08938,49.444,0.00595,-5.0241,900
6183.673751,-18.41778,0.00045,6.08941,49.439,0.00711,-5.0197,900
6183.676228,-18.41735,0.00045,6.08939,49.446,0.00594,-5.0205,900
6183.678728,-18.41740,0.00044,6.09014,49.431,0.00602,-5.0225,900
6245.485220,-18.42225,0.00043,6.10483,49.428,0.01287,-5.0012,900
6245.489213,-18.42157,0.00043,6.10389,49.425,0.01214,-4.9992,900
6245.493090,-18.42072,0.00044,6.10354,49.431,0.01209,-4.9974,900
