Name,BJD,RV,e_RV,S,H,Count,Exp,Nrv
HD219134,2450395.72835,-7.55,1.17,0.3346,-1.00000,140311,60,335
HD219134,2450395.73051,-4.10,1.08,0.3358,-1.00000,250961,90,335
HD219134,2450395.73294,-10.78,1.13,0.3364,-1.00000,166450,60,335
HD219134,2450395.73503,-3.88,1.11,0.3271,-1.00000,121146,60,335
HD219134,2450395.79264,-6.83,2.14,0.3529,-1.00000,20539,90,335
HD219134,2450395.79782,7.68,1.34,0.3305,-1.00000,61992,300,335
HD219134,2453239.03980,-2.83,1.05,0.2998,0.03694,66927,18,335
HD219134,2453239.05871,-1.38,1.06,0.3064,-1.00000,67942,17,335
HD219134,2453301.76795,-13.27,1.37,0.2872,0.03718,104378,30,335
HD219134,2453338.70906,-5.71,1.10,0.3082,0.03713,97285,22,335
HD219134,2453338.70993,-8.28,1.03,0.2992,0.03725,100861,23,335
HD219134,2453338.71083,-4.44,1.00,0.3083,0.03719,99064,23,335
HD219134,2453338.71171,-4.86,1.07,0.3079,0.03715,97734,22,335
HD219134,2453547.09649,1.11,0.92,0.2942,0.03682,97770,24,335
HD219134,2453547.09729,0.72,0.95,0.2864,0.03684,99127,26,335
HD219134,2453547.09808,1.89,0.91,0.2878,0.03677,99709,24,335
HD219134,2453547.09888,2.41,0.82,0.2878,0.03677,96844,23,335
HD219134,2453548.08409,0.42,0.84,0.2940,0.03679,96405,69,335
HD219134,2453548.08534,1.51,0.82,0.2995,0.03676,94611,66,335
HD219134,2453548.08688,2.31,0.87,0.2989,0.03674,93780,96,335
HD219134,2453549.12043,0.15,0.83,0.2932,0.03685,98747,25,335
HD219134,2453549.12121,-1.26,0.74,0.2913,0.03685,95422,24,335
HD219134,2453550.08311,5.89,1.16,0.3022,0.03660,34179,7,335
HD219134,2453550.08383,1.92,0.97,0.2952,-1.00000,102119,24,335
HD219134,2453550.08461,2.88,0.90,0.2901,-1.00000,98072,22,335
HD219134,2453550.08539,2.76,0.92,0.2977,0.03692,96427,23,335
HD219134,2453550.08618,1.94,0.87,0.2966,-1.00000,100623,23,335
HD219134,2453551.08972,0.00,0.79,0.2971,0.03667,96976,22,335
HD219134,2453551.09050,0.48,0.71,0.2946,0.03676,99347,23,335
HD219134,2453551.09127,1.23,0.80,0.3004,0.03671,100738,23,335
HD219134,2453551.09206,1.66,0.77,0.3025,0.03672,103034,24,335
HD219134,2453552.04847,-4.03,0.83,0.2945,0.03672,102097,24,335
HD219134,2453552.04927,-1.86,0.89,0.2894,0.03671,97324,23,335
HD219134,2453552.05007,-0.17,0.86,0.2961,0.03677,96956,22,335
HD219134,2453552.05094,-1.10,0.94,0.2921,0.03676,102257,27,335
HD219134,2453571.06256,-1.28,0.81,0.3068,-1.00000,105059,23,335
HD219134,2453571.06344,0.79,0.89,0.3081,-1.00000,103748,22,335
HD219134,2453571.06422,0.75,0.82,0.3111,-1.00000,104313,23,335
HD219134,2453692.76792,5.41,1.90,0.3306,0.03659,16419,499,335
HD219134,2453692.77105,7.04,1.13,0.2992,0.03672,99997,192,335
HD219134,2453692.77459,5.84,1.04,0.2995,0.03673,98885,443,335
HD219134,2453693.69804,3.74,1.07,0.2997,0.03673,106173,25,335
HD219134,2453693.69896,1.21,1.03,0.2932,0.03676,107708,25,335
HD219134,2453693.69977,0.78,0.99,0.2967,0.03683,102515,22,335
HD219134,2453693.92086,1.61,0.98,0.3142,0.03669,104437,28,335
HD219134,2453693.92174,2.47,0.96,0.3154,0.03666,102882,27,335
HD219134,2453693.92260,0.38,1.05,0.3163,0.03676,101999,27,335
HD219134,2453694.69527,0.62,1.07,0.3016,0.03686,102417,24,335
HD219134,2453694.69605,1.73,0.97,0.3038,0.03689,105448,26,335
HD219134,2453694.69689,1.99,0.98,0.3038,0.03683,104635,27,335
HD219134,2453694.84700,0.47,1.03,0.2938,0.03684,104443,73,335
HD219134,2453694.84779,3.08,1.02,0.2971,0.03680,105905,29,335
HD219134,2453694.84889,2.66,1.17,0.2978,0.03682,101949,26,335
HD219134,2453695.84970,7.58,1.00,0.3005,0.03683,103467,22,335
HD219134,2453695.85045,7.57,1.01,0.3020,0.03680,107297,23,335
HD219134,2453695.85121,7.80,1.02,0.3107,0.03671,104041,24,335
HD219134,2453696.70736,6.53,1.06,0.2945,0.03686,103856,23,335
HD219134,2453696.70814,6.79,0.95,0.2937,-1.00000,104657,24,335
HD219134,2453696.70894,6.26,0.88,0.2926,0.03688,103326,24,335
HD219134,2453724.79748,5.54,1.01,0.3293,0.03712,99700,28,335
HD219134,2453724.79833,4.91,0.94,0.3284,0.03707,101738,29,335
HD219134,2453724.79920,4.13,1.05,0.3313,0.03700,99535,34,335
HD219134,2453746.78598,9.14,0.98,0.3261,0.03693,101983,125,335
HD219134,2453746.78735,9.54,1.03,0.3270,0.03701,99653,48,335
HD219134,2453746.78865,9.11,1.15,0.3244,0.03700,100694,67,335
HD219134,2453748.75529,12.12,1.11,0.3265,0.03701,102491,31,335
HD219134,2453748.75671,11.60,1.05,0.3322,0.03702,101665,33,335
HD219134,2453748.75763,13.51,1.03,0.3259,0.03700,101576,38,335
HD219134,2453749.77382,10.35,1.07,0.3313,0.03703,100147,46,335
HD219134,2453749.77486,10.95,1.01,0.3337,0.03704,98346,46,335
HD219134,2453749.77593,10.23,1.01,0.3357,0.03704,101592,42,335
HD219134,2453750.78821,12.91,0.86,0.3951,0.03721,102521,26,335
HD219134,2453750.78902,13.39,0.90,0.3715,0.03722,101941,26,335
HD219134,2453750.78983,14.67,0.96,0.3880,0.03726,107236,26,335
HD219134,2453751.75897,15.42,0.97,0.3528,0.03703,99587,58,335
HD219134,2453751.76008,17.61,1.07,0.3486,0.03707,100239,46,335
HD219134,2453751.76112,16.15,0.99,0.3470,0.03705,99491,43,335
HD219134,2453752.82587,11.67,0.93,0.3720,0.03712,104085,81,335
HD219134,2453752.82748,10.69,0.99,0.3627,0.03704,103723,99,335
HD219134,2453752.82933,11.90,0.97,0.3606,0.03706,101757,144,335
HD219134,2453753.77750,11.32,0.91,0.3596,0.03695,101267,51,335
HD219134,2453753.77861,13.14,1.09,0.3619,0.03705,101493,53,335
HD219134,2453753.77974,11.26,1.09,0.3600,0.03696,100445,59,335
HD219134,2453926.09129,7.59,0.97,0.2788,0.03715,96105,26,335
HD219134,2453926.09222,6.53,0.84,0.2780,0.03724,97100,26,335
HD219134,2453926.09302,8.27,0.98,0.2729,0.03720,94539,25,335
HD219134,2453982.95452,10.69,1.16,0.3171,0.03686,94604,22,335
HD219134,2453982.95530,9.20,1.12,0.3132,-1.00000,93958,22,335
HD219134,2453982.95605,10.03,1.11,0.3155,0.03685,97890,22,335
HD219134,2454084.86601,10.66,1.20,0.3677,0.03676,72200,66,335
HD219134,2454084.86721,7.92,1.25,0.3789,0.03683,71468,55,335
HD219134,2454084.86827,8.72,1.22,0.3708,0.03692,72113,43,335
HD219134,2454085.83306,11.00,1.08,0.3750,0.03677,73023,57,335
HD219134,2454085.83422,12.79,1.23,0.3843,0.03676,70928,52,335
HD219134,2454085.83538,13.36,1.35,0.3781,0.03675,71017,67,335
HD219134,2454248.09675,-1.12,1.13,0.3193,0.03695,73129,21,335
HD219134,2454249.09124,2.18,1.20,0.3070,0.03702,70732,21,335
HD219134,2454250.12849,-1.11,1.18,0.2996,0.03707,73810,17,335
HD219134,2454251.11852,0.76,1.20,0.3060,0.03710,71623,15,335
HD219134,2454279.09042,1.01,1.02,0.3355,0.03690,73382,26,335
HD219134,2454280.12778,4.75,0.92,0.3339,0.03688,71358,78,335
HD219134,2454286.13166,1.72,1.00,0.3261,0.03672,70447,107,335
HD219134,2454295.10285,7.74,1.07,0.3267,0.03689,77012,16,335
HD219134,2454305.12228,8.39,1.03,0.3380,0.03684,73016,17,335
HD219134,2454305.12299,8.30,1.00,0.3357,0.03681,78135,17,335
HD219134,2454306.07367,6.73,1.09,0.3438,0.03693,76953,16,335
HD219134,2454306.07436,7.64,1.01,0.3431,0.03693,76480,16,335
