time,mnvel,errvel,tel,inst,source
2450395.72835,-7.55,1.17,,hiresk,butler2017
2450395.730509,-2.62,1.151759,,hiresk,callegacy
2450395.73123,-1.1,5.1,,hiresk,johnson2016hr
2450395.73294,-7.83,1.246172,,hiresk,callegacy
2450395.73331,1.6,5.8,,hiresk,johnson2016hr
2450395.735035,-2.03,1.130024,,hiresk,callegacy
2450395.73583,-2.5,5.5,,hiresk,johnson2016hr
2450395.79264,-6.83,2.14,,hiresk,butler2017
2450395.79782,7.68,1.34,,hiresk,butler2017
2453239.039803,-2.44,1.441965,,hiresj,callegacy
2453239.049646,-2.14,0.73,,hiresj,hirsch2021
2453239.058715,-4.29,1.402762,,hiresj,callegacy
2453301.76795,-13.27,1.37,,hiresj,butler2017
2453301.767951,-13.92,1.21,,hiresj,hirsch2021
2453301.767951,-10.36,1.600689,,hiresj,callegacy
2453338.709062,-12.88,1.424647,,hiresj,callegacy
2453338.709062,-12.88,1.424647,,hiresj,callegacy
2453338.70993,-8.28,1.03,,hiresj,butler2017
2453338.709931,-11.09,1.488272,,hiresj,callegacy
2453338.709931,-11.09,1.488272,,hiresj,callegacy
2453338.710833,-10.79,1.492149,,hiresj,callegacy
2453338.710833,-10.79,1.492149,,hiresj,callegacy
2453338.711713,-10.01,1.457718,,hiresj,callegacy
2453547.096493,1.69,1.148971,,hiresj,callegacy
2453547.096493,1.69,1.148971,,hiresj,callegacy
2453547.097292,-0.43,1.050116,,hiresj,callegacy
2453547.097292,-0.43,1.050116,,hiresj,callegacy
2453547.097642,-3.07,0.42,,hiresj,hirsch2021
2453547.098079,1.46,1.059078,,hiresj,callegacy
2453547.098079,1.46,1.059078,,hiresj,callegacy
2453547.098877,1.46,1.169882,,hiresj,callegacy
2453547.098877,1.46,1.169882,,hiresj,callegacy
2453548.084086,1.28,0.995701,,hiresj,callegacy
2453548.08409,0.42,0.84,,hiresj,butler2017
2453548.085336,1.79,1.066114,,hiresj,callegacy
2453548.085336,1.79,1.066114,,hiresj,callegacy
2453548.08534,1.51,0.82,,hiresj,butler2017
2453548.086875,2.98,0.974466,,hiresj,callegacy
2453549.120428,-2.1,1.026162,,hiresj,callegacy
2453549.120428,-2.1,1.026162,,hiresj,callegacy
2453549.12043,0.15,0.83,,hiresj,butler2017
2453549.121215,-2.56,1.005357,,hiresj,callegacy
2453550.083113,0.35,1.316741,,hiresj,callegacy
2453550.083113,0.35,1.316741,,hiresj,callegacy
2453550.083831,1.97,1.030086,,hiresj,callegacy
2453550.084606,0.02,1.078109,,hiresj,callegacy
2453550.084606,0.02,1.078109,,hiresj,callegacy
2453550.08461,2.88,0.9,,hiresj,butler2017
2453550.08539,2.76,0.92,,hiresj,butler2017
2453550.085394,0.13,1.05568,,hiresj,callegacy
2453550.085394,0.13,1.05568,,hiresj,callegacy
2453550.086181,0.83,1.04015,,hiresj,callegacy
2453551.089722,-5.67,1.044519,,hiresj,callegacy
2453551.089722,-5.67,1.044519,,hiresj,callegacy
2453551.090498,-5.55,0.99975,,hiresj,callegacy
2453551.0905,0.48,0.71,,hiresj,butler2017
2453551.09127,1.23,0.8,,hiresj,butler2017
2453551.091273,-5.24,1.046957,,hiresj,callegacy
2453551.091273,-5.24,1.046957,,hiresj,callegacy
2453551.09206,-0.35,1.021424,,hiresj,callegacy
2453552.048472,-8.66,1.092716,,hiresj,callegacy
2453552.048472,-8.66,1.092716,,hiresj,callegacy
2453552.049271,-6.18,1.079138,,hiresj,callegacy
2453552.050069,-4.98,1.168071,,hiresj,callegacy
2453552.050069,-4.98,1.168071,,hiresj,callegacy
2453552.05007,-0.17,0.86,,hiresj,butler2017
2453552.050937,-3.49,1.088983,,hiresj,callegacy
2453552.050937,-3.49,1.088983,,hiresj,callegacy
2453571.062558,-4.99,1.140216,,hiresj,callegacy
2453571.06256,-1.28,0.81,,hiresj,butler2017
2453571.063438,-2.31,1.123256,,hiresj,callegacy
2453571.063438,-2.31,1.123256,,hiresj,callegacy
2453571.06344,0.79,0.89,,hiresj,butler2017
2453571.064225,-1.51,1.129203,,hiresj,callegacy
2453571.064225,-1.51,1.129203,,hiresj,callegacy
2453692.76792,5.41,1.9,,hiresj,butler2017
2453692.771053,12.01,1.336673,,hiresj,callegacy
2453692.774595,10.54,1.349653,,hiresj,callegacy
2453693.698044,5.94,1.456083,,hiresj,callegacy
2453693.698044,5.94,1.456083,,hiresj,callegacy
2453693.698958,2.85,1.275985,,hiresj,callegacy
2453693.698958,2.85,1.275985,,hiresj,callegacy
2453693.699769,3.27,1.426008,,hiresj,callegacy
2453693.699769,3.27,1.426008,,hiresj,callegacy
2453693.920856,5.25,1.476487,,hiresj,callegacy
2453693.921736,7.14,1.435676,,hiresj,callegacy
2453693.921736,7.14,1.435676,,hiresj,callegacy
2453693.92174,2.47,0.96,,hiresj,butler2017
2453693.9226,0.38,1.05,,hiresj,butler2017
2453693.922604,5.22,1.442715,,hiresj,callegacy
2453694.695266,3.74,1.471966,,hiresj,callegacy
2453694.69527,0.62,1.07,,hiresj,butler2017
2453694.69605,1.73,0.97,,hiresj,butler2017
2453694.696053,5.58,1.448138,,hiresj,callegacy
2453694.696053,5.58,1.448138,,hiresj,callegacy
2453694.696887,7.07,1.37156,,hiresj,callegacy
2453694.847002,7.18,1.459684,,hiresj,callegacy
2453694.847002,7.18,1.459684,,hiresj,callegacy
2453694.847789,8.11,1.411843,,hiresj,callegacy
2453694.84779,3.08,1.02,,hiresj,butler2017
2453694.848889,6.26,1.517436,,hiresj,callegacy
2453694.848889,6.26,1.517436,,hiresj,callegacy
2453695.849699,8.21,1.416222,,hiresj,callegacy
2453695.85045,7.57,1.01,,hiresj,butler2017
2453695.850451,6.64,1.429807,,hiresj,callegacy
2453695.850451,6.64,1.429807,,hiresj,callegacy
2453695.851215,11.62,1.446505,,hiresj,callegacy
2453695.851215,11.62,1.446505,,hiresj,callegacy
2453696.707361,6.44,1.365973,,hiresj,callegacy
2453696.708137,7.27,1.472933,,hiresj,callegacy
2453696.708137,7.27,1.472933,,hiresj,callegacy
2453696.70814,6.79,0.95,,hiresj,butler2017
2453696.7085,3.74293206263,0.571695,,hiresj,howard2016
2453696.708935,6.28,1.469351,,hiresj,callegacy
2453696.708935,6.28,1.469351,,hiresj,callegacy
2453713.81847,11.0,4.3,,hiresj,johnson2016hr
2453714.71367,16.7,4.6,,hiresj,johnson2016hr
2453724.797477,11.67,1.378676,,hiresj,callegacy
2453724.79748,5.54,1.01,,hiresj,butler2017
2453724.798333,11.93,1.329338,,hiresj,callegacy
2453724.798333,11.93,1.329338,,hiresj,callegacy
2453724.7992,4.13,1.05,,hiresj,butler2017
2453724.799201,11.23,1.340917,,hiresj,callegacy
2453746.785984,18.64,1.256964,,hiresj,callegacy
2453746.785984,18.64,1.256964,,hiresj,callegacy
2453746.78735,19.57,1.475829,,hiresj,callegacy
2453746.78735,19.57,1.475829,,hiresj,callegacy
2453746.788646,18.22,1.361491,,hiresj,callegacy
2453748.755289,18.25,1.347173,,hiresj,callegacy
2453748.756713,19.82,1.320171,,hiresj,callegacy
2453748.756713,19.82,1.320171,,hiresj,callegacy
2453748.757627,19.06,1.351994,,hiresj,callegacy
2453748.757627,19.06,1.351994,,hiresj,callegacy
2453749.773819,19.39,1.430554,,hiresj,callegacy
2453749.77382,10.35,1.07,,hiresj,butler2017
2453749.77486,10.95,1.01,,hiresj,butler2017
