Title: The California Legacy Survey I. A Catalog of 177 Planets from Precision 
       Radial Velocity Monitoring of 719 Nearby Stars over Three Decades 
Authors: Rosenthal L.J., Fulton B.J., Hirsch L.A., Isaacson H.T., Howard A.W., 
         Dedrick C.M., Sherstyuk I.A., Blunt S.C., Petigura E.A., Knutson H.A.,
         Behmard A., Chontos A., Crepp J.R., Crossfield I.J.M., Dalba P.A., 
         Fischer D.A., Henry G.W., Kane S.R., Kosiarek M., Marcy G.W., 
         Rubenzahl R.A., Weiss L.M., Wright J.T.
Table: RV data
================================================================================
Byte-by-byte Description of file: apjsabe23ct6_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  6 I6     ---     Num    Internal index number
   8- 16 A9     ---     Name   Abbreviated CPS identifier
  18- 21 A4     ---     Inst   Instrument code (1)
  23- 32 A10    ---     ObID   Observation identifier
  34- 47 F14.6  d       BJD    Barycentric Julian Date 
  49- 57 F9.2   m/s     RVel   Radial velocity
  59- 67 F9.6   m/s   e_RVel   Uncertainty in RVel
  69- 77 F9.5   ---     SVal   ? Ca II H & K line core strength value
  79- 86 F8.1   ---     cts    Counts 
--------------------------------------------------------------------------------
Note (1):
      k = Keck-HIRES (pre-2004);
      j = Keck-HIRES (post-2004);
    apf = APF-Levy;
   lick = Lick-Hamilton.
--------------------------------------------------------------------------------

 89552 95735     k    rk12.73    2450602.911331     -4.95  0.714708            93254.0 
 89553 95735     k    rk12.144   2450603.863264     -7.14  0.824232            78575.0 
 89554 95735     k    rk12.217   2450604.797419      0.54  0.768716           135244.0 
 89555 95735     k    rk12.306   2450605.759745      0.27  0.680085           201590.0 
 89556 95735     k    rk12.393   2450606.765231      0.54  0.843466           122817.0 
 89557 95735     k    rk12.651   2450609.784097      3.78  0.814706           110177.0 
 89558 95735     k    rk16.267   2450787.111944     -2.11  0.997336            26334.0 
 89559 95735     k    rk16.268   2450787.120174     -2.45  0.771006           113577.0 
 89560 95735     k    rk18.242   2450839.100243      0.55  0.858263           186384.0 
 89561 95735     k    rk27.252   2451172.009097      0.15  0.899826            86254.0 
 89562 95735     k    rk29.226   2451228.108588     -0.33  0.912791           123462.0 
 89563 95735     k    rk30.22    2451310.801308     -0.33  0.827156           110952.0 
 89564 95735     k    rk38.112   2451551.073067     -1.13  0.899957            82891.0 
 89565 95735     k    rk39.331   2451583.02338      -2.35  0.870343            69260.0 
 89566 95735     k    rk40.110   2451679.825903     -0.19  0.709194           101768.0 
 89567 95735     k    rk41.12    2451702.834005     -0.92  0.783963            96036.0 
 89568 95735     k    rk41.104   2451703.790567      7.06  0.755751            90589.0 
 89569 95735     k    rk41.209   2451704.810856      3.51  0.91202             80124.0 
 89570 95735     k    rk41.408   2451705.821215      1.67  0.819391            93448.0 
 89571 95735     k    rk41.614   2451706.855544      0.72  0.892879            97317.0 
 89572 95735     k    rk47.408   2451900.176655      0.85  0.760208            91677.0 
 89573 95735     k    rk49.235   2451983.981782     -5.79  1.025439           109820.0 
 89574 95735     k    rk54.616   2452098.738183      8.93  1.150601            89494.0 
 89575 95735     k    rk54.1019  2452100.738356      9.94  1.007936            89924.0 
 89576 95735     k    rk61.113   2452333.995556     11.73  1.149006            99481.0 
 89577 95735     k    rk69.524   2452603.16          6.69  1.010505           115886.0 
 89578 95735     k    rk70.120   2452652.124201     11.79  1.103667           114230.0 
 89579 95735     k    rk71.26    2452680.990243      3.23  1.086654            95810.0 
 89580 95735     k    rk72.80    2452711.91265       6.11  1.016098            89843.0 
 89581 95735     k    rk72.254   2452712.911146      2.11  1.08287             95416.0 
 89582 95735     k    rk81.1024  2453018.162674      8.11  1.005266           112146.0 
 89583 95735     j    rj03.255   2453339.131678     -1.59  0.847852   0.493   117291.0 
 89584 95735     j    rj03.256   2453339.134977     -2.33  0.91141    0.502   118895.0 
 89585 95735     j    rj03.618   2453340.143877      0.16  0.906518   0.495   117006.0 
 89586 95735     j    rj03.619   2453340.146794      2.03  0.847687   0.503   117640.0 
 89587 95735     j    rj04.473   2453369.055787     -3.31  0.827527   0.467   113654.0 
 89588 95735     j    rj04.474   2453369.057812     -2.81  0.936958   0.469   116004.0 
 89589 95735     j    rj04.939   2453370.053993      2.01  1.008868   0.476   114922.0 
 89590 95735     j    rj04.940   2453370.056644      2.33  1.020467   0.472   114526.0 
 89591 95735     j    rj05.203   2453398.062616     -0.81  0.892079   0.469   109575.0 
 89592 95735     j    rj05.204   2453398.065162      0.56  0.869106   0.472   109378.0 
 89593 95735     j    rj05.620   2453398.947465      1.03  0.920521   0.504   110913.0 
 89594 95735     j    rj05.621   2453398.94963       0.73  0.94       0.504   110588.0 
 89595 95735     j    rj05.1274  2453401.045417      1.91  0.998971   0.52    110798.0 
 89596 95735     j    rj05.1275  2453401.048542      3.49  1.010627   0.521   110036.0 
 89597 95735     j    rj07.732   2453480.777014      3.46  0.791215   0.478   109522.0 
 89598 95735     j    rj07.733   2453480.779294      3.35  0.780693   0.475   108234.0 
 89599 95735     j    rj08.128   2453546.768715      2.39  0.916997   0.455   110660.0 
 89600 95735     j    rj08.129   2453546.771204      3.52  0.954687   0.455   110019.0 
 89601 95735     j    rj08.524   2453547.746921      5.07  0.879426   0.496   182406.0 
 89602 95735     j    rj08.525   2453547.750637      4.95  0.900463   0.492   176658.0 
 89603 95735     j    rj08.708   2453548.794109      4.22  0.885892   0.463   107407.0 
 89604 95735     j    rj08.709   2453548.796736      3.19  0.888817   0.464   107666.0 
 89605 95735     j    rj08.1104  2453549.782199      1.93  0.903257   0.456   108469.0 
 89606 95735     j    rj08.1105  2453549.784722      2.21  0.882778   0.447   109647.0 
 89607 95735     j    rj08.1506  2453550.807604      1.02  0.841694   0.462   110625.0 
 89608 95735     j    rj08.1507  2453550.809977     -0.72  0.881082   0.468   109779.0 
 89609 95735     j    rj08.1910  2453551.812025     -0.13  0.885691   0.478   109535.0 
 89610 95735     j    rj08.1911  2453551.814433      0.40  0.901701   0.475   111300.0 
 89611 95735     j    rj09.113   2453570.77066       3.55  0.92941    0.484   116480.0 
 89612 95735     j    rj09.114   2453570.775856      5.39  0.948866   0.471   116922.0 
 89613 95735     j    rj10.118   2453575.773333     -7.98  1.579325   0.508    13401.0 
 89614 95735     j    rj10.119   2453575.779051     -7.48  1.14978    0.489    22057.0 
 89615 95735     j    rj10.396   2453576.751076     -3.41  0.908086   0.489   116408.0 
 89616 95735     j    rj10.397   2453576.754479     -1.57  0.827255   0.491   116676.0 
 89617 95735     j    rj13.253   2453693.1036        2.69  0.795661   0.521   117914.0 
 89618 95735     j    rj13.254   2453693.105486      3.46  0.824206   0.521   118090.0 
 89619 95735     j    rj13.255   2453693.107396      1.41  0.913428   0.521   117355.0 
 89620 95735     j    rj13.689   2453694.137141      1.40  0.776523   0.498   119482.0 
 89621 95735     j    rj13.690   2453694.13919       2.27  0.844356   0.497   119812.0 
 89622 95735     j    rj13.691   2453694.141204      1.85  0.744803   0.496   119675.0 
 89623 95735     j    rj13.1237  2453695.116447      0.76  0.873151   0.48    119278.0 
 89624 95735     j    rj13.1238  2453695.118785      1.16  0.941275   0.492   119632.0 
 89625 95735     j    rj13.1239  2453695.121933      0.30  0.891654   0.49    118383.0 
 89626 95735     j    rj13.1700  2453696.091458      2.07  0.891492   0.527   118877.0 
