tel	time	mnvel	errvel
HIRES-post	2453339.131678	-1.59	0.847852
HIRES-post	2453339.134977	-2.33	0.91141
HIRES-post	2453340.143877	0.16	0.906518
HIRES-post	2453340.146794	2.03	0.847687
HIRES-post	2453369.055787	-3.31	0.827527
HIRES-post	2453369.057812	-2.81	0.936958
HIRES-post	2453370.053993	2.01	1.008868
HIRES-post	2453370.056644	2.33	1.020467
HIRES-post	2453398.062616	-0.81	0.892079
HIRES-post	2453398.065162	0.56	0.869106
HIRES-post	2453398.947465	1.03	0.920521
HIRES-post	2453398.94963	0.73	0.94
HIRES-post	2453401.045417	1.91	0.998971
HIRES-post	2453401.048542	3.49	1.010627
HIRES-post	2453480.777014	3.46	0.791215
HIRES-post	2453480.779294	3.35	0.780693
HIRES-post	2453546.768715	2.39	0.916997
HIRES-post	2453546.771204	3.52	0.954687
HIRES-post	2453547.746921	5.07	0.879426
HIRES-post	2453547.750637	4.95	0.900463
HIRES-post	2453548.794109	4.22	0.885892
HIRES-post	2453548.796736	3.19	0.888817
HIRES-post	2453549.782199	1.93	0.903257
HIRES-post	2453549.784722	2.21	0.882778
HIRES-post	2453550.807604	1.02	0.841694
HIRES-post	2453550.809977	-0.72	0.881082
HIRES-post	2453551.812025	-0.13	0.885691
HIRES-post	2453551.814433	0.4	0.901701
HIRES-post	2453570.77066	3.55	0.92941
HIRES-post	2453570.775856	5.39	0.948866
HIRES-post	2453575.773333	-7.98	1.579325
HIRES-post	2453575.779051	-7.48	1.14978
HIRES-post	2453576.751076	-3.41	0.908086
HIRES-post	2453576.754479	-1.57	0.827255
HIRES-post	2453693.1036	2.69	0.795661
HIRES-post	2453693.105486	3.46	0.824206
HIRES-post	2453693.107396	1.41	0.913428
HIRES-post	2453694.137141	1.4	0.776523
HIRES-post	2453694.13919	2.27	0.844356
HIRES-post	2453694.141204	1.85	0.744803
HIRES-post	2453695.116447	0.76	0.873151
HIRES-post	2453695.118785	1.16	0.941275
HIRES-post	2453695.121933	0.3	0.891654
HIRES-post	2453696.091458	2.07	0.891492
HIRES-post	2453696.093507	0.68	0.895795
HIRES-post	2453696.095532	3.51	0.887554
HIRES-post	2453697.120162	-0.39	1.007938
HIRES-post	2453697.122523	-0.01	0.909724
HIRES-post	2453697.12485	1.12	1.006137
HIRES-post	2453724.154306	2.66	0.93102
HIRES-post	2453724.158056	2.61	1.009461
HIRES-post	2453725.054664	2.48	0.985277
