,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
126286,HD39091,84.294074,-80.462055,2453001.8296176,-26.712753,1.405504,10659.116848,1.309378,-26.588679,1.192057,10659.988352,1.017112,-25.734213,1.199421,0.777683,12.665037,-58.433793,3.792005,0.404385,0.001035,0.359465,0.001491,0.479849,0.001943,0,7.640626,41.443939,-0.001939,11,72.2,2453001.82962,0.237097,0.236895,0,-9999999,0.0,0.50991,0.744609,0.871504,0.824593,0.49,109,0.782723,12.644156,2003-12-28T07:55:43.554,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,1.9425842303126e-06,1.3574804242292e-06,0,0
126287,HD39091,84.294074,-80.462055,2453034.6065176,-23.139558,0.936813,10665.19268,1.081494,-22.087947,0.694846,10666.465323,0.577099,-21.327247,0.702767,-5.572776,7.656664,-53.967398,2.933678,0.402944,0.000594,0.361383,0.000849,0.4813,0.001108,0,7.636753,41.400017,0.00395,11,125.7,2453034.60651,4.192928,4.193493,1,-9999999,0.045148,1.437448,0.628337,1.227495,0.91465,0.49,200,-5.592519,7.62846,2004-01-30T02:33:21.349,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,-9999999.0,-9999999.0,-9999999,-9999999
126288,HD39091,84.294074,-80.462055,2453289.8689777,-43.733541,1.331075,10643.103725,1.209948,-42.837485,1.064259,10644.822687,0.882789,-42.085169,1.072099,12.179665,10.737893,-50.601079,3.814495,0.400939,0.000827,0.356059,0.001249,0.483533,0.001624,0,7.637777,41.359516,-0.001349,11,85.8,2453289.86897,-6.957674,-6.957699,0,-9999999,0.396759,1.281893,0.799445,1.322203,0.827441,0.48,60,12.186081,10.707204,2004-10-11T08:51:20.656,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.45898535324267e-06,9.77060580425261e-07,0,0
126289,HD39091,84.294074,-80.462055,2453289.8700435,-46.097437,1.232018,10641.055746,1.140091,-45.201716,0.937419,10642.772707,0.784314,-44.70163,0.946358,14.985092,10.481677,-46.972351,3.937038,0.400712,0.000743,0.355762,0.001113,0.483947,0.001451,0,7.640592,41.367488,-0.001174,11,95.9,2453289.87004,-6.958093,-6.958117,0,-9999999,0.396761,1.281558,0.799446,1.3202,0.827441,0.5,60,14.987174,10.456868,2004-10-11T08:52:51.544,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.89681950302587e-06,1.07486689215182e-06,0,0
126290,HD39091,84.294074,-80.462055,2453289.871093,-44.389439,1.219243,10642.930336,1.130881,-43.494047,0.920564,10644.645325,0.770865,-42.741915,0.930201,-6.180354,12.142291,-50.923861,3.671394,0.39991,0.000735,0.354926,0.001095,0.483254,0.00143,0,7.639401,41.377024,-0.000708,11,97.3,2453289.87109,-6.958506,-6.95853,0,-9999999,0.396762,1.281228,0.799446,1.318227,0.827442,0.5,60,-6.178215,12.118463,2004-10-11T08:54:22.224,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.09732715151378e-06,9.11504911407655e-07,0,0
126291,HD39091,84.294074,-80.462055,2453289.8721307,-42.878571,1.255471,10643.231499,1.157775,-41.983505,0.968035,10644.944539,0.809803,-41.153195,0.977064,-4.176204,9.612962,-49.128953,3.781911,0.399776,0.000771,0.354231,0.00115,0.484921,0.001504,0,7.643903,41.367407,-0.002601,11,92.7,2453289.87212,-6.958915,-6.958939,0,-9999999,0.396763,1.280902,0.799447,1.316277,0.827442,0.49,60,-4.173528,9.579696,2004-10-11T08:55:52.482,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,4.80774724028888e-06,9.29289766851763e-07,0,0
126292,HD39091,84.294074,-80.462055,2453289.8732038,-42.818949,1.262262,10643.510217,1.164887,-41.92422,0.976826,10645.221242,0.819939,-41.317713,0.986676,9.331632,9.74713,-54.91988,3.608977,0.400607,0.000789,0.354889,0.001172,0.484656,0.00153,0,7.634196,41.378238,-0.007,11,91.2,2453289.8732,-6.959337,-6.959361,0,-9999999,0.396765,1.280565,0.799447,1.31426,0.827443,0.51,60,9.346527,9.720419,2004-10-11T08:57:24.001,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,6.92108612106892e-06,9.65259939250705e-07,0,0
126293,HD39091,84.294074,-80.462055,2453289.8742598,-42.398871,1.269489,10644.772171,1.165647,-41.504474,0.986147,10646.481212,0.821017,-40.815639,0.995095,-6.861392,11.083361,-49.632602,3.140597,0.400074,0.000774,0.354082,0.001161,0.481635,0.001513,0,7.643723,41.360232,-0.000716,11,91.9,2453289.87425,-6.959752,-6.959774,0,-9999999,0.396766,1.280234,0.799448,1.312275,0.827444,0.52,60,-6.855201,11.047299,2004-10-11T08:58:54.640,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,6.83696392862189e-06,8.81794715238441e-07,0,0
126294,HD39091,84.294074,-80.462055,2453289.8752891,-42.292404,1.239639,10644.204504,1.14586,-41.39833,0.947411,10645.911613,0.792674,-40.689997,0.957466,-5.814512,10.148857,-54.425993,3.803486,0.400761,0.000751,0.355108,0.001125,0.48198,0.001464,0,7.637647,41.375192,-0.000868,11,94.9,2453289.87528,-6.960157,-6.960178,0,-9999999,0.396768,1.27991,0.799448,1.310341,0.827444,0.49,60,-5.810008,10.117604,2004-10-11T09:00:25.369,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,2.22148016436737e-06,1.0846291053765e-06,0,0
126295,HD39091,84.294074,-80.462055,2453289.8763512,-41.67287,1.228679,10645.443078,1.140023,-40.77913,0.933024,10647.148191,0.784211,-40.102887,0.942111,1.379767,10.480824,-49.65703,3.345239,0.401344,0.000748,0.355201,0.001115,0.481068,0.001449,0,7.642144,41.365313,0.002218,11,95.7,2453289.87635,-6.960575,-6.960601,0,-9999999,0.396769,1.279577,0.799449,1.308344,0.827445,0.5,60,1.381052,10.437553,2004-10-11T09:01:56.538,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,3.46855957701368e-06,1.07842047833937e-06,0,0
126296,HD39091,84.294074,-80.462055,2453289.8774155,-44.582513,1.286848,10643.218126,1.178114,-43.689107,1.008394,10644.921241,0.838622,-42.892324,1.017262,-5.524461,10.501377,-51.235907,3.684262,0.400617,0.000791,0.357269,0.001193,0.48058,0.001545,0,7.644631,41.374488,-7.7e-05,11,89.9,2453289.87741,-6.960994,-6.961019,0,-9999999,0.396771,1.279242,0.799449,1.306344,0.827445,0.52,60,-5.51771,10.454554,2004-10-11T09:03:27.297,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,5.3734106488538e-06,1.04657662258429e-06,0,0
126297,HD39091,84.294074,-80.462055,2453289.8784482,-41.404542,1.263679,10645.571201,1.162146,-40.511461,0.978655,10647.272376,0.816037,-39.620668,0.987901,-3.96164,10.284571,-49.955828,4.140762,0.401183,0.000771,0.356255,0.001158,0.481765,0.001503,0,7.635094,41.362122,-0.001805,11,92.4,2453289.87844,-6.9614,-6.961423,0,-9999999,0.396772,1.278918,0.79945,1.304403,0.827446,0.49,60,-3.965391,10.240581,2004-10-11T09:04:58.325,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.77565869555622e-06,7.46776853026238e-07,0,0
126298,HD39091,84.294074,-80.462055,2453291.8713514,-47.861842,1.611786,10638.451054,1.444058,-48.337385,1.365362,10638.529715,1.059558,-47.737518,1.374212,1.63931,13.811885,-43.017791,5.179644,0.401294,0.000961,0.358303,0.001439,0.480733,0.001859,0,7.660928,41.30086,-0.001464,11,74.7,2453291.87135,-6.895326,-6.895362,0,-9999999,0.399517,-0.089707,0.856528,-0.320856,0.981142,0.5,60,1.642675,13.781303,2004-10-13T08:54:48.528,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,7.44105540359868e-06,1.68076288305372e-06,0,0
126299,HD39091,84.294074,-80.462055,2453291.8723992,-47.04682,1.628459,10641.145138,1.464729,-47.522692,1.385004,10641.221831,1.087561,-46.960981,1.393423,-0.305185,12.87481,-41.057523,5.063495,0.401207,0.001024,0.357444,0.001505,0.479543,0.001943,0,7.647439,41.312822,-0.003386,11,71.7,2453291.8724,-6.895734,-6.89577,0,-9999999,0.399519,-0.090036,0.856529,-0.322826,0.981143,0.51,60,-0.309215,12.84414,2004-10-13T08:56:18.467,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,3.41935306011925e-06,1.19435526990834e-06,0,0
126300,HD39091,84.294074,-80.462055,2453291.8734589,-48.093734,1.780768,10636.616575,1.574346,-48.569939,1.561247,10636.691278,1.231228,-47.933159,1.569672,-10.142777,15.5636,-45.885677,5.177159,0.39812,0.001117,0.356988,0.001666,0.486056,0.002166,0,7.650305,41.328097,-0.003727,11,65.0,2453291.87345,-6.896146,-6.896178,0,-9999999,0.39952,-0.090369,0.856529,-0.324817,0.981143,0.52,60,-10.143439,15.542622,2004-10-13T08:57:49.426,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,-9999999.0,-9999999.0,-9999999,-9999999
126301,HD39091,84.294074,-80.462055,2453291.8744829,-44.553805,1.682387,10642.151144,1.493216,-45.030332,1.448027,10642.223924,1.125634,-44.256973,1.457535,-15.862249,12.323213,-45.213591,5.800739,0.400007,0.001018,0.356733,0.001526,0.482735,0.001979,0,7.648756,41.335861,0.001584,11,70.5,2453291.87448,-6.896544,-6.896577,0,-9999999,0.399522,-0.09069,0.856529,-0.326742,0.981144,0.49,60,-15.857259,12.303575,2004-10-13T08:59:19.694,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,1.07284584593154e-05,1.2824342352066e-06,0,0
126302,HD39091,84.294074,-80.462055,2453291.8755388,-47.210718,1.533374,10638.302671,1.395298,-47.687577,1.271846,10638.373467,0.992075,-46.75194,1.280227,-2.153024,11.577978,-41.922584,4.735262,0.401276,0.000916,0.356645,0.001359,0.482818,0.001765,0,7.64777,41.310431,-0.000875,11,78.9,2453291.87553,-6.896954,-6.89699,0,-9999999,0.399523,-0.091022,0.85653,-0.328727,0.981144,0.5,60,-2.144213,11.537546,2004-10-13T09:00:50.334,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,9.84252769150486e-06,9.8662168680851e-07,0,0
126303,HD39091,84.294074,-80.462055,2453291.8765761,-49.661801,1.539458,10637.744476,1.399113,-50.138986,1.279174,10637.813324,0.997433,-49.758825,1.287728,-17.143532,10.848959,-41.203533,4.555729,0.400376,0.000916,0.355963,0.001362,0.485684,0.001776,0,7.649722,41.307033,-0.001574,11,78.6,2453291.87657,-6.897357,-6.897389,0,-9999999,0.399524,-0.091348,0.85653,-0.330676,0.981145,0.49,60,-17.136304,10.818663,2004-10-13T09:02:20.553,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,9.25409325595792e-06,1.02624465660477e-06,0,0
126304,HD39091,84.294074,-80.462055,2453291.8776576,-47.81295,1.645287,10638.020868,1.472078,-48.290474,1.40475,10638.087685,1.097437,-47.803492,1.412969,10.238865,15.655149,-41.727441,4.707614,0.40054,0.001005,0.356787,0.001499,0.482412,0.001943,0,7.646022,41.300865,0.002944,11,71.8,2453291.87765,-6.897776,-6.89781,0,-9999999,0.399526,-0.091688,0.856531,-0.332709,0.981145,0.54,60,10.239972,15.628439,2004-10-13T09:03:51.002,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,4.8040724526491e-06,1.3425056582657e-06,0,0
126305,HD39091,84.294074,-80.462055,2453291.8786861,-45.809414,1.535338,10639.860074,1.394266,-46.287261,1.274212,10639.924959,0.990621,-45.527419,1.282857,1.866264,12.519352,-48.344488,4.642235,0.40216,0.000912,0.358838,0.00136,0.482576,0.001759,0,7.656519,41.324953,-0.001357,11,79.1,2453291.87868,-6.898176,-6.898209,0,-9999999,0.399527,-0.092011,0.856531,-0.334642,0.981146,0.52,60,1.868512,12.491713,2004-10-13T09:05:21.070,-9999999,G2,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G3,8.62634409560081e-06,1.26798644910065e-06,0,0
