time	mnvel	errvel	tel
2451755.04627	2.75	1.2	HIRES-pre
2451755.04921	4.06	1.24	HIRES-pre
2451756.05946	1.25	1.26	HIRES-pre
2451757.05676	1.62	1.32	HIRES-pre
2451757.05875	-3.42	1.22	HIRES-pre
2451792.95165	-0.57	1.7	HIRES-pre
2451792.95272	-0.84	1.41	HIRES-pre
2451793.93293	-2.21	1.28	HIRES-pre
2451882.7638	2.45	1.47	HIRES-pre
2451883.79832	2.3	1.48	HIRES-pre
2451883.79942	3.25	1.47	HIRES-pre
2451897.94462	3.61	1.6	HIRES-pre
2451897.94566	5.62	1.23	HIRES-pre
2451899.82582	4.71	1.25	HIRES-pre
2451899.82691	2.53	1.26	HIRES-pre
2451900.76957	4.73	1.44	HIRES-pre
2451900.77073	0.08	1.36	HIRES-pre
2452096.12824	-2.03	1.68	HIRES-pre
2452096.12936	-3.24	1.38	HIRES-pre
2452096.13081	-0.57	1.52	HIRES-pre
2452097.13097	-4.14	1.55	HIRES-pre
2452097.13218	-7.03	1.55	HIRES-pre
2452098.13161	-0.55	1.41	HIRES-pre
2452098.13274	2.72	1.61	HIRES-pre
2452099.10578	1.34	1.41	HIRES-pre
2452099.13215	0.4	1.39	HIRES-pre
2452099.13327	-1.83	1.4	HIRES-pre
2452100.1124	-2.8	1.46	HIRES-pre
2452101.13267	3.45	1.61	HIRES-pre
2452102.12998	-2.14	1.39	HIRES-pre
2452102.1311	-2.39	1.51	HIRES-pre
2452128.129	-0.52	1.45	HIRES-pre
2452129.11191	-2.63	1.53	HIRES-pre
2452129.11315	-7.86	1.53	HIRES-pre
2452133.13896	-1.21	1.56	HIRES-pre
2452134.02013	-5.66	1.57	HIRES-pre
2452134.02125	-3.85	1.6	HIRES-pre
2452162.92826	2.87	1.45	HIRES-pre
2452162.92936	1.73	1.52	HIRES-pre
2452187.99877	0.43	1.43	HIRES-pre
2452188.9594	6.82	1.81	HIRES-pre
2452189.89654	5.52	1.58	HIRES-pre
2452218.94089	4.35	1.49	HIRES-pre
2452219.96014	-2.76	1.93	HIRES-pre
2452235.74579	0.07	1.46	HIRES-pre
2452235.74688	4.17	1.39	HIRES-pre
2452236.77602	4.77	1.3	HIRES-pre
2452236.77711	1.32	1.42	HIRES-pre
2452237.71928	2.52	1.55	HIRES-pre
2452237.72044	3.82	1.43	HIRES-pre
2452238.75668	4.25	1.61	HIRES-pre
2452238.75777	10.97	1.55	HIRES-pre
2452242.78276	2.15	1.32	HIRES-pre
2452242.78382	-0.95	1.48	HIRES-pre
2452307.71141	-3.59	1.61	HIRES-pre
2452307.71258	-2.11	1.5	HIRES-pre
2452487.09166	2.39	1.39	HIRES-pre
2452488.10725	-2.16	1.75	HIRES-pre
2452488.10868	3.12	1.51	HIRES-pre
2452489.04627	-2.9	1.27	HIRES-pre
2452514.98612	1.15	1.54	HIRES-pre
2452516.00767	2.4	1.5	HIRES-pre
2452516.00881	5.66	1.42	HIRES-pre
2452535.90858	1.77	1.51	HIRES-pre
2452535.90965	2.51	1.39	HIRES-pre
2452536.99377	-3.44	1.8	HIRES-pre
2452536.99483	0.4	1.73	HIRES-pre
2452538.02823	-2.56	1.76	HIRES-pre
2452538.02929	2.95	1.82	HIRES-pre
2452538.92534	-1.36	1.47	HIRES-pre
2452538.92642	-3.6	1.61	HIRES-pre
2452539.92566	0.4	1.55	HIRES-pre
2452539.92673	3.32	1.52	HIRES-pre
2452572.93754	1.88	1.39	HIRES-pre
2452573.8386	3.94	1.58	HIRES-pre
2452573.83971	6.44	1.54	HIRES-pre
2452574.91475	10.5	1.53	HIRES-pre
2452600.71925	1.73	1.43	HIRES-pre
2452600.72037	-1.38	1.49	HIRES-pre
2452601.87753	-0.08	1.35	HIRES-pre
2452601.87867	5.32	1.51	HIRES-pre
2452602.81862	5.82	1.56	HIRES-pre
2452602.81969	0.39	1.54	HIRES-pre
2452651.75723	2.67	1.65	HIRES-pre
2452651.75845	-1.62	1.53	HIRES-pre
2452651.75955	1.08	1.25	HIRES-pre
2452830.12934	-0.15	1.41	HIRES-pre
2452830.13051	-0.23	1.61	HIRES-pre
2452832.11972	-3.22	1.54	HIRES-pre
2452832.12083	-1.34	1.62	HIRES-pre
2452833.09512	1.91	1.62	HIRES-pre
2452833.09623	2.67	1.69	HIRES-pre
2452834.12522	2.68	1.62	HIRES-pre
2452834.12632	2.92	1.67	HIRES-pre
2452835.11917	1.75	1.74	HIRES-pre
2452835.12028	-1.14	1.69	HIRES-pre
2452836.07697	2.66	1.47	HIRES-pre
2452836.07887	1.51	1.71	HIRES-pre
2452849.08461	-2.03	1.56	HIRES-pre
2452850.04004	-0.41	1.35	HIRES-pre
2452850.04118	1.91	1.36	HIRES-pre
2452851.13313	1.89	1.48	HIRES-pre
2452851.1346	4.0	1.6	HIRES-pre
2452854.13395	-2.49	1.46	HIRES-pre
2452854.13506	-0.53	1.42	HIRES-pre
2452855.13514	3.38	1.42	HIRES-pre
2452855.13623	4.09	1.3	HIRES-pre
2452856.12273	3.74	1.62	HIRES-pre
2452856.1317	-0.07	1.53	HIRES-pre
2452897.91817	3.44	1.33	HIRES-pre
2452897.91926	3.74	1.48	HIRES-pre
2452899.034	1.07	1.4	HIRES-pre
2452924.9299	3.99	1.41	HIRES-pre
2452924.93101	1.55	1.53	HIRES-pre
2452926.05981	1.22	1.59	HIRES-pre
2452926.06105	0.83	1.61	HIRES-pre
2452987.74191	-2.75	1.61	HIRES-pre
2452987.74321	-3.09	1.54	HIRES-pre
2452988.75823	-1.58	1.51	HIRES-pre
2452988.76032	-4.46	1.48	HIRES-pre
2452989.76521	-4.82	1.53	HIRES-pre
2452989.7799	-0.73	1.47	HIRES-pre
2453014.73765	1.92	1.6	HIRES-pre
2453014.73883	0.55	1.67	HIRES-pre
2453014.73991	1.54	1.67	HIRES-pre
2453015.74166	3.62	1.54	HIRES-pre
2453015.74274	3.13	1.56	HIRES-pre
2453015.74385	-3.02	1.6	HIRES-pre
2453016.7435	-0.5	1.81	HIRES-pre
2453016.74462	4.89	1.6	HIRES-pre
2453016.74571	3.65	1.46	HIRES-pre
2453016.74678	2.41	1.35	HIRES-pre
2453016.74787	1.84	1.4	HIRES-pre
2453017.76021	-1.55	1.6	HIRES-pre
2453017.76139	2.29	1.6	HIRES-pre
2453017.76254	-1.31	1.45	HIRES-pre
2453045.70397	-0.53	1.56	HIRES-pre
2453180.12752	5.01	1.37	HIRES-pre
2453181.12623	-10.32	1.94	HIRES-pre
2453182.12184	1.93	1.58	HIRES-pre
2453190.10623	-0.84	1.33	HIRES-pre
2453190.10734	1.17	1.43	HIRES-pre
2453191.12328	6.29	1.4	HIRES-pre
2453191.12441	0.53	1.52	HIRES-pre
