Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
92539,9826,lick,rh21.32,2447046.9223,129.43,14.590355,-1,118232.0
92540,9826,lick,rh25.14,2447093.7593,-14.79,16.701042,-1,61891.0
92541,9826,lick,rh26.18,2447094.7567,12.34,18.062899,-1,63194.0
92542,9826,lick,rh26.19,2447094.7717,-18.07,23.49251,-1,22686.0
92543,9826,lick,rh27.16,2447149.7714,-134.22,17.718754,-1,37272.0
92544,9826,lick,rh27.17,2447149.7863,-100.03,19.5042,-1,31983.0
92545,9826,lick,rh31.14,2447193.6243,9.22,18.713259,-1,42577.0
92546,9826,lick,rh31.15,2447193.6287,-18.75,19.1262,-1,44128.0
92547,9826,lick,rh31.16,2447193.6345,-21.75,18.291325,-1,71851.0
92548,9826,lick,ra39.38,2448845.9648,63.86,16.701296,-1,97639.0
92549,9826,lick,ra43.29,2448855.9268,107.17,15.445956,-1,46605.0
92550,9826,lick,ra43.30,2448855.9424,119.88,16.533104,-1,47387.0
92551,9826,lick,ra46.27,2448891.9268,-20.49,12.605981,-1,59708.0
92552,9826,lick,ra46.28,2448891.9484,11.60,15.941218,-1,48779.0
92553,9826,lick,ra51.42,2448907.8364,14.13,15.190927,-1,107654.0
92554,9826,lick,ra51.43,2448907.84,-1.88,14.463066,-1,97480.0
92555,9826,lick,ra52.18,2448933.8173,10.09,13.345252,-1,62359.0
92556,9826,lick,ra52.19,2448933.8391,25.25,13.104821,-1,54826.0
92557,9826,lick,ra54.27,2448935.8386,0.52,14.617628,-1,55044.0
92558,9826,lick,ra54.28,2448935.8602,0.41,16.901628,-1,48762.0
92559,9826,lick,ra75.23,2449255.8549,3.09,14.341548,-1,100969.0
92560,9826,lick,ra76.21,2449298.796,86.38,14.319929,-1,66052.0
92561,9826,lick,ra76.22,2449298.8106,107.03,14.296761,-1,63823.0
92562,9826,lick,ra83.26,2449350.7043,72.50,22.983892,-1,142037.0
92563,9826,lick,ra83.27,2449350.7061,85.04,24.56997,-1,76972.0
92564,9826,lick,ra83.28,2449350.7074,40.64,22.924885,-1,76455.0
92565,9826,lick,ra93.31,2449588.9883,-20.75,12.800612,-1,75828.0
92566,9826,lick,ra93.32,2449588.9982,-11.62,15.166221,-1,47951.0
92567,9826,lick,ra96.31,2449602.9621,-48.51,15.739408,-1,47358.0
92568,9826,lick,ra99.44,2449622.9279,7.04,16.127956,-1,61429.0
92569,9826,lick,rb04.108,2449680.7506,-118.67,9.584485,-1,33658.0
92570,9826,lick,rb04.99,2449680.706055,-225.99,19.442509,-1,131840.0
92571,9826,lick,rb04.109,2449680.756836,-121.64,9.428782,-1,33359.0
92572,9826,lick,rb22.27,2449942.007812,23.53,8.950524,-1,31579.0
92573,9826,lick,rb24.24,2449969.96875,-9.18,8.963557,-1,49888.0
92574,9826,lick,rb24.25,2449969.991211,-25.81,9.17951,-1,49710.0
92575,9826,lick,rb25.84,2449984.842773,-45.39,9.688908,-1,47342.0
92576,9826,lick,rb25.85,2449984.864258,-53.50,9.818755,-1,27347.0
92577,9826,lick,rb29.53,2450032.728516,37.64,12.156723,-1,27380.0
92578,9826,lick,rb29.54,2450032.750977,30.01,10.505754,-1,30707.0
92579,9826,lick,rb33.11,2450056.839844,54.65,9.147114,-1,89853.0
92580,9826,lick,rb33.12,2450056.844727,51.00,8.615687,-1,62827.0
92581,9826,lick,rb34.11,2450068.573242,-47.60,10.418944,-1,28070.0
92582,9826,lick,rb34.12,2450068.59668,-61.05,9.861147,-1,33097.0
92583,9826,lick,rb34.19,2450068.762695,-58.21,9.935044,-1,28952.0
92584,9826,lick,rb34.20,2450068.786133,-56.44,10.673689,-1,21353.0
92585,9826,lick,rb34.54,2450069.598633,7.54,11.476276,-1,14825.0
92586,9826,lick,rb35.47,2450072.602539,-86.09,10.105816,-1,42498.0
92587,9826,lick,rb35.55,2450072.723633,-86.06,9.419545,-1,50586.0
92588,9826,lick,rb35.105,2450073.652344,-57.47,9.023259,-1,58772.0
92589,9826,lick,rb36.7,2450080.780273,-13.68,11.253722,-1,17937.0
92590,9826,lick,rb37.13,2450086.738281,-88.31,9.399559,-1,45344.0
92591,9826,lick,rb37.52,2450087.688477,-17.71,9.793122,-1,46858.0
92592,9826,lick,rb37.103,2450088.740234,57.14,9.723785,-1,72864.0
92593,9826,lick,rb37.155,2450089.709961,9.55,9.779777,-1,57727.0
92594,9826,lick,rb37.208,2450090.635742,-50.46,10.12072,-1,32775.0
92595,9826,lick,rb37.209,2450090.646484,-71.72,9.677267,-1,49635.0
92596,9826,lick,rb37.210,2450090.652344,-60.07,8.920342,-1,104050.0
92597,9826,lick,rb37.273,2450091.663086,-78.65,10.276253,-1,53771.0
92598,9826,lick,rb48.33,2450299.007812,11.53,10.450578,-1,23688.0
92599,9826,lick,rb50.20,2450325.849609,13.41,9.400592,-1,60632.0
92600,9826,lick,rb50.74,2450326.914062,-27.09,9.127265,-1,52681.0
92601,9826,lick,rb50.126,2450327.917969,37.37,8.584942,-1,59451.0
92602,9826,lick,rb51.9,2450421.566406,142.66,10.293946,-1,31831.0
92603,9826,lick,rb51.10,2450421.570312,151.41,9.219061,-1,28882.0
92604,9826,lick,rb51.22,2450421.753906,135.31,10.388526,-1,44893.0
92605,9826,lick,rb51.23,2450421.757812,143.51,9.543231,-1,51629.0
92606,9826,lick,rb52.15,2450437.68457,38.27,10.292739,-1,31943.0
92607,9826,lick,rb52.16,2450437.686523,45.63,9.355915,-1,40323.0
