Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
57221,22049,apf,rabd.252,2456582.930344,26.50,2.654447,-1,11002.0
57222,22049,apf,rabk.196,2456597.913678,6.89,2.279238,-1,10691.0
57223,22049,apf,rabl.148,2456606.751012,19.03,1.820408,-1,33424.0
57224,22049,apf,rabl.149,2456606.75195,21.67,1.989914,-1,33028.0
57225,22049,apf,rabl.150,2456606.752864,14.64,1.865364,-1,33321.0
57226,22049,apf,rabl.172,2456606.831672,17.09,1.788773,-1,33683.0
57227,22049,apf,rabl.173,2456606.832575,14.58,1.88876,-1,33253.0
57228,22049,apf,rabl.174,2456606.833466,16.00,1.800781,-1,32494.0
57229,22049,apf,rabm.222,2456607.880258,6.83,1.944742,-1,33460.0
57230,22049,apf,rabm.223,2456607.881138,6.15,1.998244,-1,33424.0
57231,22049,apf,rabm.224,2456607.882017,4.93,1.824746,-1,33562.0
57232,22049,apf,rabm.248,2456607.953869,3.44,1.815478,-1,33243.0
57233,22049,apf,rabm.249,2456607.954806,7.26,1.778541,-1,33719.0
57234,22049,apf,rabm.250,2456607.955756,2.95,1.891225,-1,33241.0
57235,22049,apf,rabn.211,2456610.940672,13.37,2.055129,-1,18749.0
57236,22049,apf,rabn.212,2456610.944642,13.40,2.347226,-1,15679.0
57237,22049,apf,rabn.213,2456610.949445,19.36,1.724842,-1,30156.0
57238,22049,apf,rabq.157,2456618.775823,0.60,1.858276,-1,32774.0
57239,22049,apf,rabq.158,2456618.777872,-2.63,1.801681,-1,37193.0
57240,22049,apf,rabq.159,2456618.779816,-3.68,1.914325,-1,31871.0
57241,22049,apf,rabq.165,2456618.846227,-2.61,1.82747,-1,33887.0
57242,22049,apf,rabq.166,2456618.848206,-0.31,1.83383,-1,36671.0
57243,22049,apf,rabq.167,2456618.850405,-2.16,1.978162,-1,33419.0
57244,22049,apf,rabu.175,2456624.865286,4.25,1.817189,-1,35466.0
57245,22049,apf,rabu.176,2456624.866559,5.67,1.986635,-1,33560.0
57246,22049,apf,rabu.177,2456624.867554,3.74,1.907097,-1,32335.0
57247,22049,apf,rabv.194,2456626.797879,21.51,1.930719,-1,32797.0
57248,22049,apf,rabv.195,2456626.798735,25.61,1.793796,-1,34330.0
57249,22049,apf,rabv.196,2456626.79958,27.93,1.998698,-1,33495.0
57250,22049,apf,rabv.220,2456626.897251,25.65,1.817562,-1,33453.0
57251,22049,apf,rabv.221,2456626.898269,24.52,1.730713,-1,33030.0
57252,22049,apf,rabv.222,2456626.899276,24.42,1.88864,-1,34478.0
57253,22049,apf,rabw.182,2456628.823785,22.97,1.661071,-1,41779.0
57254,22049,apf,rabw.183,2456628.825567,25.43,1.720506,-1,43555.0
57255,22049,apf,rabw.184,2456628.827477,26.05,1.774333,-1,40971.0
57256,22049,apf,rabw.207,2456628.927485,26.55,1.779673,-1,41353.0
57257,22049,apf,rabw.208,2456628.929649,26.27,1.644453,-1,44198.0
57258,22049,apf,rabw.209,2456628.932439,22.87,1.715967,-1,47410.0
57259,22049,apf,raby.160,2456631.693751,-3.90,2.381143,-1,17465.0
57260,22049,apf,raby.161,2456631.69485,3.57,2.523533,-1,15674.0
57261,22049,apf,raby.162,2456631.695903,-1.94,2.544688,-1,16128.0
57262,22049,apf,raby.176,2456631.766028,3.98,2.462881,-1,17334.0
57263,22049,apf,raby.177,2456631.767104,1.92,2.643444,-1,15728.0
57264,22049,apf,raby.178,2456631.768354,-0.87,2.710151,-1,20480.0
57265,22049,apf,raby.191,2456631.824035,-10.68,2.759091,-1,15760.0
57266,22049,apf,raby.192,2456631.824984,-11.28,2.64156,-1,15063.0
57267,22049,apf,raby.193,2456631.825979,-4.44,2.950881,-1,15908.0
57268,22049,apf,rabz.185,2456632.722576,12.71,1.788964,-1,37023.0
57269,22049,apf,rabz.186,2456632.723873,12.25,1.89619,-1,36453.0
57270,22049,apf,rabz.187,2456632.72518,13.81,1.915912,-1,35951.0
57271,22049,apf,rabz.204,2456632.774901,14.19,1.886398,-1,33174.0
57272,22049,apf,rabz.205,2456632.775873,14.66,1.948906,-1,33434.0
57273,22049,apf,rabz.206,2456632.776868,16.47,1.840758,-1,33301.0
57274,22049,apf,rabz.229,2456632.869121,15.83,1.833102,-1,33195.0
57275,22049,apf,rabz.230,2456632.870024,15.90,1.714939,-1,32343.0
57276,22049,apf,rabz.231,2456632.870904,15.70,2.039947,-1,31562.0
57277,22049,apf,racc.119,2456644.756956,9.44,2.293894,-1,20886.0
57278,22049,apf,racd.203,2456647.700283,12.71,1.736015,-1,37814.0
57279,22049,apf,racd.204,2456647.702076,14.86,1.958075,-1,39660.0
57280,22049,apf,racd.205,2456647.703697,15.26,1.788722,-1,41783.0
57281,22049,apf,racd.206,2456647.737792,14.20,1.771794,-1,42270.0
