Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
57774,22049,lick,rh21.39,2447046.9634,8.14,7.727691,-1,63441.0
57775,22049,lick,rh21.40,2447046.9672,6.47,6.802651,-1,100273.0
57776,22049,lick,rh21.41,2447046.9709,5.18,7.463584,-1,96397.0
57777,22049,lick,rh21.42,2447046.9736,8.40,6.642499,-1,95958.0
57778,22049,lick,rh23.8,2447047.9299,21.50,8.402184,-1,27414.0
57779,22049,lick,rh24.9,2447048.9113,5.11,8.339944,-1,66906.0
57780,22049,lick,rh24.10,2447048.914,4.34,7.686019,-1,76870.0
57781,22049,lick,rh25.19,2447093.8471,-24.53,8.73261,-1,66458.0
57782,22049,lick,rh25.20,2447093.8619,-9.43,9.912696,-1,78029.0
57783,22049,lick,rh27.19,2447149.8269,-1.77,11.767899,-1,38695.0
57784,22049,lick,rh27.20,2447149.8413,11.63,11.551557,-1,33090.0
57785,22049,lick,rh27.21,2447149.8537,21.42,12.547954,-1,35836.0
57786,22049,lick,rh28.8,2447181.6829,-39.93,24.02862,-1,23260.0
57787,22049,lick,rh28.9,2447181.7034,-30.80,17.02852,-1,39838.0
57788,22049,lick,rh28.10,2447181.7161,-48.70,16.746506,-1,37032.0
57789,22049,lick,rh28.11,2447181.7287,-16.81,17.715805,-1,34428.0
57790,22049,lick,rh29.13,2447182.7241,-11.76,23.69484,-1,23034.0
57791,22049,lick,rh29.14,2447182.7389,6.98,24.31483,-1,16324.0
57792,22049,lick,rh29.15,2447182.7536,-30.22,25.089048,-1,14409.0
57793,22049,lick,rh29.16,2447182.7685,4.99,28.245985,-1,12076.0
57794,22049,lick,rh31.20,2447193.6659,-4.91,8.290956,-1,49585.0
57795,22049,lick,rh31.21,2447193.6701,-26.29,6.628775,-1,65256.0
57796,22049,lick,rh31.22,2447193.6743,-24.20,7.431914,-1,56537.0
57797,22049,lick,rh31.23,2447193.6787,-16.32,7.263466,-1,61203.0
57798,22049,lick,rh31.24,2447193.6829,-11.03,6.591197,-1,49048.0
57799,22049,lick,rh32.5,2447194.6696,-17.62,8.583955,-1,59817.0
57800,22049,lick,rh32.6,2447194.6737,-14.94,9.190423,-1,42290.0
57801,22049,lick,rh32.7,2447194.6778,-2.63,10.429771,-1,41091.0
57802,22049,lick,rh32.8,2447194.6818,-27.65,8.883215,-1,48215.0
