,target,ra,dec,BJD,RV_mlc_nzp,e_RV_mlc_nzp,RV_drs_nzp,e_RV_drs_nzp,RV_mlc,e_RV_mlc,RV_drs,e_RV_drs,RV_mlc_j,e_RV_mlc_j,CRX,e_CRX,dLW,e_dLW,Halpha,e_Halpha,NaD1,e_NaD1,NaD2,e_NaD2,f_RV,FWHM_DRS,CONTRAST_DRS,BIS,RVGUESS,SNR_DRS,BJD_DRS,BERV,BERV_DRS,DRIFT,e_DRIFT,SA,NZP_mlc,dNZP_mlc,NZP_drs,dNZP_drs,TMMEAN,EXPTIME,MLCRX,E_MLCRX,TIMEID,DRIFT_LAMP,MASK,PROGID,PROGPI,AIRMASS,OBHAB,THAR_FP,DPR_TYPE,RHKp,dRHKp,vsinflag,metflag
138299,HD22049,53.22956,-9.45695,2452949.789557,-22.380712,0.907697,16419.8454,1.010574,-21.34369,0.296463,16420.105904,0.241912,-21.282781,0.296108,-26.444729,6.505295,-6.537605,1.527349,0.557411,0.00032,0.222485,0.000324,0.292985,0.000414,0,7.103799,52.87162,-0.004014,16,260.6,2452949.78954,1.680949,1.681303,0,-9999999,1e-06,0.391808,0.857919,0.260503,0.981193,0.53,45,-26.462986,6.474251,2003-11-06T06:49:17.580,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.72351719019544e-05,8.9332699256408e-07,0,0
138300,HD22049,53.22956,-9.45695,2452949.7904678,-21.867578,0.904965,16420.13619,1.007927,-20.830845,0.287987,16420.394976,0.230601,-20.753381,0.287639,-20.122721,6.255747,-8.295022,1.541991,0.557168,0.000306,0.223393,0.00031,0.293793,0.000396,0,7.103957,52.874637,-0.005541,16,273.0,2452949.79043,1.678426,1.678839,0,-9999999,1e-06,0.391519,0.857919,0.258785,0.981193,0.56,45,-20.127755,6.217615,2003-11-06T06:50:34.920,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.65546213457998e-05,8.88689168622577e-07,0,0
138301,HD22049,53.22956,-9.45695,2452949.7913657,-22.893235,0.903774,16419.087997,1.006281,-21.856786,0.284222,16419.345089,0.223296,-21.803537,0.283895,-23.289842,6.392231,-9.33598,1.505085,0.557504,0.000283,0.222795,0.000292,0.292029,0.000372,0,7.104706,52.88568,-0.006042,16,288.8,2452949.79132,1.675943,1.676354,0,-9999999,1e-06,0.391235,0.857919,0.257091,0.981193,0.56,45,-23.301978,6.357152,2003-11-06T06:51:52.501,-9999999,G2,072.C-0513(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.70453587159175e-05,9.25628425322355e-07,0,0
138302,HD22049,53.22956,-9.45695,2453001.5982762,-11.7353,0.831164,16443.826168,0.90178,-10.300568,0.327134,16445.249869,0.269157,-10.297643,0.327049,-12.922055,4.818829,-1.232483,0.883744,0.548238,0.000364,0.222261,0.000384,0.291034,0.000492,0,6.484014,41.19409,0.027213,16,219.8,2453001.59827,-19.906912,-19.905775,0,-9999999,0.009978,0.789518,0.764079,1.413723,0.860675,0.51,30,-12.926948,4.812062,2003-12-28T02:16:23.299,-9999999,K5,072.C-0488(E),Mayor,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K2,4.73175724862851e-05,8.24858385921481e-07,0,0
138303,HD22049,53.22956,-9.45695,2453039.5955468,-10.830455,0.914953,16431.089109,1.013976,-8.938976,0.317976,16432.750192,0.255737,-8.888794,0.317688,-9.919741,4.623533,15.590756,1.762225,0.554114,0.000312,0.227201,0.000338,0.292589,0.000427,0,7.125268,52.675071,-0.002485,16,253.7,2453039.59554,-26.93543,-26.935421,0,-9999999,0.017295,1.246265,0.857922,1.643788,0.981197,0.49,90,-9.937343,4.610591,2004-02-04T02:16:23.429,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.86014804420753e-05,9.29052538301547e-07,0,0
138304,HD22049,53.22956,-9.45695,2453039.5970117,-11.418737,0.908943,16430.441016,1.009975,-9.527722,0.300246,16432.099335,0.239383,-9.483967,0.299965,-10.034018,4.736384,13.907661,1.927433,0.5536,0.000297,0.227504,0.000319,0.29316,0.000403,0,7.125753,52.691806,-0.002207,16,269.4,2453039.59701,-26.938126,-26.93814,0,-9999999,0.017295,1.245801,0.857922,1.641024,0.981196,0.53,90,-10.05541,4.719846,2004-02-04T02:18:26.410,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.97689823444965e-05,7.18844262728647e-07,0,0
138305,HD22049,53.22956,-9.45695,2453039.5983761,-10.989094,0.908074,16430.576698,1.008753,-9.098511,0.297604,16432.232443,0.234176,-9.055997,0.297373,-15.423134,4.904378,12.900663,1.795897,0.553637,0.000285,0.227159,0.000309,0.292819,0.000391,0,7.124748,52.707883,-0.002322,16,277.5,2453039.59836,-26.940616,-26.940604,0,-9999999,0.017295,1.245369,0.857922,1.63845,0.981196,0.49,90,-15.431277,4.891422,2004-02-04T02:20:27.902,-9999999,G2,072.C-0513(D),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_G2V,4.97918803873096e-05,9.84844469195767e-07,0,0
138306,HD22049,53.22956,-9.45695,2453261.8440195,-16.853164,0.936376,2127485.184528,-9999999.0,-17.733724,0.375164,2127483.648,-9999999.0,-17.695915,0.374191,-23.65044,3.69621,9.325026,1.219207,0.549337,0.000264,0.222374,0.000292,0.295311,0.000373,0,2.3548,-9999999.0,-9999999.0,0,284.9,2453261.84401,21.923798,21.924251,-9999999,-9999999,0.060092,-1.525774,0.857935,-1.59662,0.98121,0.52,60,-23.63633,3.677218,2004-09-13T08:10:51.432,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K2V,4.4467357621057e-05,1.16607605153748e-06,0,0
138307,HD22049,53.22956,-9.45695,2453261.8450268,-15.146707,0.948745,2127485.186428,-9999999.0,-16.027587,0.405048,2127483.648,-9999999.0,-15.961956,0.404067,-33.804513,4.552753,13.023108,1.170702,0.549918,0.000277,0.222009,0.000313,0.296011,0.000401,0,2.3548,-9999999.0,-9999999.0,0,264.8,2453261.84502,21.921038,21.921498,-9999999,-9999999,0.060093,-1.526093,0.857935,-1.598521,0.981211,0.47,60,-33.789784,4.534019,2004-09-13T08:12:21.458,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K2V,4.74879240278979e-05,1.75701343835182e-06,0,0
138308,HD22049,53.22956,-9.45695,2453261.8460819,-18.845449,0.927661,2127485.188418,-9999999.0,-19.726663,0.352848,2127483.648,-9999999.0,-19.647037,0.351904,-14.54876,3.512109,6.504123,1.245216,0.549684,0.000274,0.22219,0.000295,0.296346,0.000379,0,2.3548,-9999999.0,-9999999.0,0,282.4,2453261.84607,21.918144,21.918616,-9999999,-9999999,0.060093,-1.526428,0.857936,-1.600511,0.981211,0.48,60,-14.548041,3.477387,2004-09-13T08:13:52.004,-9999999,K5,073.C-0784(B),UNKNOWN,-9999999,HARPS_ech_obs_all,HARPS_ech_obs_thosimult,STAR_WAVE_K2V,4.57089002782401e-05,1.05360619664594e-06,0,0
