BJD	RV	e_RV
d	m/s	m/s
----------------	----------	------
2450145.52724270	  16437.35	  8.89
2449683.78483284	  16448.85	 13.68
2450145.53298265	  16443.05	  9.75
2449683.79022853	  16453.25	 13.32
2450417.78222169	  16459.45	  8.40
2450323.91686341	  16444.15	  8.83
2450417.78762569	  16456.75	  9.12
2448929.75517390	  16442.05	 12.80
2448929.76023228	  16448.15	 10.84
2449906.94799497	  16435.85	 12.35
2450819.66508371	  16441.25	  8.21
2450819.67053330	  16439.15	  6.88
2449358.64860706	  16438.75	  8.23
2449358.65089022	  16429.05	  9.04
2449358.65324837	  16434.65	  9.00
2449358.65620232	  16428.55	  7.05
2449358.65849381	  16435.65	  9.93
2449358.66077281	  16444.55	  9.93
2449358.66305180	  16440.65	  6.48
2449358.66543496	  16446.45	  6.43
2449358.66770562	  16433.95	 10.40
2449358.66998461	  16440.45	  8.44
2449358.67226361	  16443.25	  8.50
2449358.67480925	  16434.05	  9.22
2449358.67709241	  16438.35	  7.31
2449358.67937140	  16447.65	  9.15
2449358.68163790	  16427.95	  6.51
2449358.68391690	  16433.65	  4.64
2449358.68620006	  16426.55	  7.44
2449358.68847905	  16434.25	  6.47
2449358.69074555	  16445.35	 10.02
2449358.69302871	  16437.75	 11.36
2449549.92446117	  16440.25	  8.58
2449549.92971159	  16446.15	  7.48
2449907.89626050	  16437.25	  8.98
2449907.94435989	  16425.75	 10.45
2450704.87762378	  16451.75	 11.03
2450704.88282416	  16439.75	 12.56
2448972.69467382	  16494.55	 11.36
2448972.69988187	  16492.65	 10.87
2450304.89117464	  16433.75	 10.83
2450086.71521535	  16440.75	 10.56
2450648.92522659	  16453.15	 11.59
2450648.93186602	  16448.05	 12.79
2450752.78946252	  16444.95	  8.90
2450752.79465842	  16445.45	  8.74
2450752.79985433	  16454.75	  6.55
2450313.90845898	  16434.95	 11.51
2449413.53797949	  16463.55	  7.97
2449413.54321197	  16454.05	 10.24
2449309.76827590	  16458.45	 10.26
2449309.77330917	  16432.65	 13.74
2449310.74146646	  16419.45	 12.19
2449310.74653722	  16422.75	 10.95
2449601.79709781	  16433.85	  7.90
2449601.80237322	  16433.15	  9.93
2450357.90177187	  16423.45	 10.04
2450359.88137821	  16440.25	  7.98
2450385.88836471	  16481.55	 12.14
2450330.91541645	  16436.35	 11.93
2450524.51466705	  16444.65	 10.35
2450524.52008334	  16436.55	  9.29
2450478.62866258	  16437.35	  9.32
2450478.63337466	  16447.85	  9.61
2449731.60277086	  16437.65	 13.82
2449731.60961197	  16444.15	 11.64
