time	mnvel	errvel	tel
2455110.97566	-8.35	1.18	HIRES-post
2455171.90373	-3.67	1.2	HIRES-post
2455188.78474	7.34	1.12	HIRES-post
2455231.75904	-13.07	1.07	HIRES-post
2455255.7102163313	2.8540129782949206	0.741759364333183	HIRES-post
2455260.71455	7.49	1.06	HIRES-post
2455261.72057	1.66	1.38	HIRES-post
2455426.1442	-15.62	1.01	HIRES-post
2455427.14748	-17.83	0.9699999999999999	HIRES-post
2455434.14679	9.93	0.8999999999999999	HIRES-post
2455435.14572	5.52	0.93	HIRES-post
2455436.14394	-1.49	1.01	HIRES-post
2455437.14855	-3.78	1.05	HIRES-post
2455438.15014	-10.02	0.8799999999999999	HIRES-post
2455439.148134945	-10.853880940976339	0.5272675402596138	HIRES-post
2455440.15013	-16.07	0.9400000000000001	HIRES-post
2455441.14849	-16.73	0.9699999999999999	HIRES-post
2455456.01336	5.48	1.05	HIRES-post
2455465.07044	-10.52	1.02	HIRES-post
2455469.12459	8.43	0.9500000000000001	HIRES-post
2455486.99949	-11.29	1.09	HIRES-post
2455500.98188	0.95	0.96	HIRES-post
2455521.88821	-12.6	0.98	HIRES-post
2455542.94698	-12.52	1.14	HIRES-post
2455613.70484	-0.15	0.9699999999999999	HIRES-post
2455791.1383	3.34	0.8900000000000001	HIRES-post
2455792.134	-12.31	1.01	HIRES-post
2455793.13786	-17.59	0.86	HIRES-post
2455795.13964	-7.73	0.8700000000000001	HIRES-post
2455797.13722	-2.02	0.81	HIRES-post
2455798.14081	-3.27	0.8700000000000001	HIRES-post
2455807.10971	-3.42	0.99	HIRES-post
2455809.13465	-0.02	1.0	HIRES-post
2455870.98515	4.78	1.19	HIRES-post
2455902.8983333083	1.9757789017208074	0.7325073513134583	HIRES-post
2455960.69892	-7.09	1.24	HIRES-post
2456138.13079	0.69	0.98	HIRES-post
2456149.1329157315	0.029809454916164983	0.5406254118333785	HIRES-post
2456173.12962	4.25	1.04	HIRES-post
2456202.994297066	20.024836490574067	0.632867060140907	HIRES-post
2456327.70149	18.31	1.07	HIRES-post
2456343.70377	14.36	1.04	HIRES-post
2456530.11637	9.59	1.01	HIRES-post
2456532.12074	9.93	0.9500000000000001	HIRES-post
2456587.96188	18.93	1.08	HIRES-post
2456613.90524	10.55	1.03	HIRES-post
2456637.81061	22.28	1.08	HIRES-post
2456638.78691	28.91	1.05	HIRES-post
2456674.8042	13.1	1.11	HIRES-post
2456708.78373	3.76	0.92	HIRES-post
2456884.13063	12.91	1.04	HIRES-post
2456889.14604	21.35	0.8	HIRES-post
2456890.1462	13.97	0.8700000000000001	HIRES-post
2456894.13882	9.62	0.8700000000000001	HIRES-post
2456896.10998	16.77	0.84	HIRES-post
2456911.0203170977	13.67141227928943	0.6195477581887041	HIRES-post
2457234.13935	11.0	0.8700000000000001	HIRES-post
2457241.1379365856	8.81803173807568	0.5376108890943423	HIRES-post
2457243.14321	3.39	0.8900000000000001	HIRES-post
2457245.14538	5.26	0.8999999999999999	HIRES-post
2457246.1424	4.32	1.08	HIRES-post
2457247.14667	-2.18	0.93	HIRES-post
2457254.14817	11.92	0.86	HIRES-post
2457255.15163	9.21	0.8900000000000001	HIRES-post
2457256.15079	8.49	0.8700000000000001	HIRES-post
2457291.04329	9.93	0.99	HIRES-post
2457326.97811	7.24	1.15	HIRES-post
2457353.87669	-1.58	1.16	HIRES-post
2457378.78618	1.86	1.15	HIRES-post
2457384.77807	12.16	1.14	HIRES-post
2457401.74895	11.53	1.09	HIRES-post
2457672.99051	0.0	1.12	HIRES-post
2457678.97507	-11.73	1.13	HIRES-post
2457703.955865515	-14.596778835446205	0.6651948647078537	HIRES-post
2457712.98787	-6.46	1.12	HIRES-post
2457789.74972	-15.25	1.2	HIRES-post
2457790.73693	-8.37	1.07	HIRES-post
2457803.70515	-2.63	1.12	HIRES-post
2457804.70835	-5.78	1.19	HIRES-post
2457806.79336	-12.07	1.13	HIRES-post
2457828.75759	-13.71	1.12	HIRES-post
2457829.72191	-20.16	1.02	HIRES-post
2457830.72302	-11.47	1.13	HIRES-post
2458000.15153	-2.54	0.85	HIRES-post
2458001.14963	-1.08	0.98	HIRES-post
2458003.14906	-10.19	0.92	HIRES-post
2458029.93422	-9.5	0.9699999999999999	HIRES-post
2458065.89895	-9.1	1.26	HIRES-post
2458091.90487	-15.56	1.26	HIRES-post
2458124.85244	7.88	1.08	HIRES-post
2458125.68778	-4.68	1.03	HIRES-post
2458150.70119	-26.74	1.4200000000000002	HIRES-post
2458154.70197	-8.88	1.08	HIRES-post
2458181.74754	4.19	1.31	HIRES-post
2458346.14351	-4.13	0.8900000000000001	HIRES-post
2458350.1433	-10.71	0.9100000000000001	HIRES-post
2458367.04366	10.14	1.08	HIRES-post
2458384.0569	-14.49	0.9699999999999999	HIRES-post
2458386.02112	-6.5	0.9699999999999999	HIRES-post
2458387.01296	0.6	1.05	HIRES-post
2458387.9895	2.9	1.06	HIRES-post
2458390.04337	10.69	1.0	HIRES-post
2458392.05486	5.81	1.06	HIRES-post
2458394.07252	-6.6	1.08	HIRES-post
2458396.02999	-9.88	1.13	HIRES-post
2458396.96433	-3.51	1.25	HIRES-post
2458426.91644	12.93	1.03	HIRES-post
2458439.00289	5.48	1.28	HIRES-post
2458443.8767997674	-8.02079241240217	0.6421148939312602	HIRES-post
2458462.8491920615	-3.7827955205309003	0.6378567389398914	HIRES-post
2458476.767771529	-1.195569680978652	0.6255431221341311	HIRES-post
2458490.7542221835	1.6045333830951551	0.6324454809002369	HIRES-post
2458532.72009	-3.35	1.11	HIRES-post
2458568.7140872153	-7.255216109188003	0.6501548440781182	HIRES-post
2458569.7152002305	-7.54050457789295	0.6243854636293164	HIRES-post
2458714.1478	-7.2	1.07	HIRES-post
2458715.14927	-1.1	0.8900000000000001	HIRES-post
2458716.14824	-1.3	0.9100000000000001	HIRES-post
2458723.15265	11.17	0.9500000000000001	HIRES-post
2458724.15271	4.37	0.96	HIRES-post
2458733.14987	3.35	0.9699999999999999	HIRES-post
2458744.1534	-2.36	1.04	HIRES-post
2458776.93294	-1.02	1.13	HIRES-post
2458794.90804	10.64	1.18	HIRES-post
2458795.96598	12.58	0.9500000000000001	HIRES-post
2458796.96721	10.75	1.07	HIRES-post
2458797.97003	6.36	1.04	HIRES-post
2458798.91964	12.6	1.13	HIRES-post
2458802.90152	-0.29	1.04	HIRES-post
2458819.9223289983	-0.47980934924750585	0.6382045272689303	HIRES-post
2458880.77539	13.91	1.09	HIRES-post
2458905.7053	8.27	0.93	HIRES-post
2458906.70572	13.13	1.07	HIRES-post
2458907.70588	12.63	1.04	HIRES-post
2452949.7904661126	-22.38095917899168	0.5227757752733172	HARPS-pre
2453001.5982762	-11.7353	0.831164	HARPS-pre
2453039.596985366	-11.080461554998001	0.5257590014830651	HARPS-pre
2453261.8450494255	-16.975999100268982	0.5412512050865386	HARPS-pre
2453279.825468456	-2.44782609244156	0.6371760654974654	HARPS-pre
2453287.7991694617	-22.227355897895144	0.30084989855127536	HARPS-pre
2453304.8031965503	5.809631362637679	0.05825330200143741	HARPS-pre
2453305.73640432	-2.1795330507374495	0.06900398949403265	HARPS-pre
2453306.754320913	-9.029349773997208	0.5109917062814429	HARPS-pre
2453309.7974974224	-7.721700647535754	0.4252150063884798	HARPS-pre
2453332.675886	-10.838104	0.90855	HARPS-pre
2453412.5620081006	-5.7996184219515685	0.41506914970522446	HARPS-pre
2453430.574718242	-12.11027542775555	0.5132266802726257	HARPS-pre
2453600.932461259	4.156584682276847	0.5371819899993923	HARPS-pre
2453604.839750561	-16.35458851195377	0.5102697991900311	HARPS-pre
2453666.844902622	-12.580831570858656	0.426788245815722	HARPS-pre
2453690.7982006045	-1.6099214487693265	0.3562254594523689	HARPS-pre
2453732.685916822	-10.122035894166228	0.2623700402396569	HARPS-pre
2453933.9025824387	-8.355529261041102	0.25577740555845785	HARPS-pre
2453964.858099799	-2.2256977169086203	0.3729031192200666	HARPS-pre
2454056.623324921	-5.290113911615821	0.3258946156682563	HARPS-pre
2454098.5996247353	0.9458422820356395	0.3718337266317018	HARPS-pre
2454125.5559539697	-1.5386601963636615	0.36880932558892315	HARPS-pre
2454133.6113966857	-15.052093657654499	0.3776053141136107	HARPS-pre
2454310.9422801044	-6.6763723629970055	0.3699655189841888	HARPS-pre
2454339.808985386	-0.8779545902838635	0.3777758512851923	HARPS-pre
2457248.945873963	-5.377484801825523	0.34782000980918665	HARPS-post
2457249.938284996	-1.0317732206037187	0.3137934098536344	HARPS-post
2457251.9372873027	1.6555570623294624	0.547963379328402	HARPS-post
2457252.9355956814	4.591384764341164	0.21314527268476835	HARPS-post
2457253.9337527407	7.314768824609676	0.17497913852290312	HARPS-post
2458761.857505652	2.8317809072986453	0.6630447412105478	HARPS-post
2458762.862026118	-4.693219451371314	0.7409282962051764	HARPS-post
2458763.8668596502	-9.114165790477555	0.746100791024496	HARPS-post
2458764.880829736	-12.026634930937359	0.7437584292691508	HARPS-post
2458765.8504756475	-6.0712322761952935	0.8503238932458245	HARPS-post
2458766.8453285587	-2.852770420832338	0.745191788451237	HARPS-post
2458767.709507605	-2.7285706138236594	0.6176612708669252	HARPS-post
2458768.7386087636	-6.452591222443143	0.5655995736758851	HARPS-post
2458773.8601986025	3.902429316698484	0.747862738063556	HARPS-post
2458774.850932973	-5.040091409963895	0.7452171318951629	HARPS-post
2458775.833675931	-8.431338620981089	0.7701550563530747	HARPS-post
2458776.8460538154	-7.2190134886910755	0.7981260410590204	HARPS-post
2458777.8559975848	-5.363962332658673	0.7664488725400848	HARPS-post
2458780.8771928777	-10.96467869213638	0.9957910078493798	HARPS-post
2458781.643109817	-6.638842516414486	0.7449192437844773	HARPS-post
2458782.839561704	-3.365013393172682	0.7704923630456507	HARPS-post
2458783.8510934175	3.3663631045919216	0.7434172278300184	HARPS-post
2458784.662374096	5.974199723129059	0.7570298477486231	HARPS-post
2458785.653343539	3.0827510179435196	0.7702303736711603	HARPS-post
2458786.8620858286	-5.942371778374994	0.5745707636249966	HARPS-post
2458791.6719197268	-7.805353327129686	0.7434112345854831	HARPS-post
2458792.6614919333	-3.69865820307811	0.7481693089635476	HARPS-post
2458793.667691421	-1.8052115247135292	0.7815167089017249	HARPS-post
2458794.681767516	-0.8569395516859644	0.7925743616777401	HARPS-post
2458795.646564854	3.8102460358084445	0.7811558373646562	HARPS-post
2458796.6819894994	2.043959196123992	0.7724206026827405	HARPS-post
2458797.639976642	1.3017547749532712	0.7753477730832593	HARPS-post
2458798.6446619695	5.129935236849647	0.7801633787764587	HARPS-post
2458799.6788153	4.586098547417054	0.7722221484583084	HARPS-post
2458801.591200538	-7.27655612688004	0.7094874841396024	HARPS-post
2458802.569588433	-10.356131633619801	0.7401117124353193	HARPS-post
2458803.582427715	-6.067439998572248	0.7523986514794287	HARPS-post
2458804.6346159633	-4.226646821945457	0.7680200019000278	HARPS-post
2458805.6417595865	-2.0609428559358074	0.7423193182618635	HARPS-post
2458806.6279886183	-1.9536693353037653	0.7304639702337233	HARPS-post
2458807.6028062874	-0.5919196100467585	0.6234749365538158	HARPS-post
2458808.5594005594	-2.7681545361635385	0.7711482440256953	HARPS-post
2458810.6036283886	10.417538430951733	0.7631093505359506	HARPS-post
2458811.609894542	4.959733878720791	0.756928001962405	HARPS-post
2458813.604781866	-7.973322694765942	0.7557309129950371	HARPS-post
2458818.7879451206	-0.9834282680799382	0.433233081861178	HARPS-post
2458819.7248587217	-2.4965524719459875	0.5106500756488721	HARPS-post
2458826.591601415	-6.0474857450298956	0.7374318509647485	HARPS-post
2458827.605756933	1.2086846085168426	0.7626813980709157	HARPS-post
2458828.585936094	0.9081664529390381	0.7870171374123575	HARPS-post
2458829.605206136	-0.4060333553355918	0.7625810219366876	HARPS-post
2458830.579168885	-3.7789003360933986	0.7489191254065564	HARPS-post
2458831.589759342	-0.666283902027194	0.5434453865966503	HARPS-post
2458832.56594665	2.411552907522918	0.7690111673142063	HARPS-post
2458833.575177411	2.326837444261595	0.7566792587084766	HARPS-post
2458834.5752027873	1.9937836928968857	0.752152409475953	HARPS-post
2458835.576104381	-3.051757561932637	0.7392592342954658	HARPS-post
2458836.6011420293	-6.383182300280726	0.7565820840695773	HARPS-post
2458837.6704574577	-4.057304331018814	0.7634937812508461	HARPS-post
2458838.6833699294	-2.094163383404072	0.7828830236065298	HARPS-post
2458839.588945977	-0.33474866707051587	0.7472487599248387	HARPS-post
2458840.6937540225	-4.254827703257851	0.7450757943050716	HARPS-post
2458841.5524790087	-5.670888868119738	0.7623574467712222	HARPS-post
2458842.5543395355	-6.053557624614449	0.7730787353770153	HARPS-post
2458843.548202845	-3.9999360019908385	0.7787422852246296	HARPS-post
2458844.5766988304	-0.7702935947989822	0.7440136683533028	HARPS-post
2458845.5793337496	2.589536439533029	0.6859890743111811	HARPS-post
2458846.5827969923	0.5015497856870781	0.7499222818511104	HARPS-post
2458847.5711663226	-4.367487735268423	0.7490188839625257	HARPS-post
2458848.5727258925	-4.355576601662153	0.548676217196752	HARPS-post
2458849.573627061	0.6411910320305027	0.7507888471444613	HARPS-post
2456582.930344	26.5	2.654447	Levy
2456597.913678	6.89	2.279238	Levy
2456606.7936233296	17.08898202148841	0.7574649340163743	Levy
2456607.9197830437	5.2443332301340995	0.7637600417857752	Levy
2456610.9455360156	16.046087775418332	1.1513294339950073	Levy
2456618.812613451	-1.7797833530853575	0.7618565309969749	Levy
2456624.866424335	4.5141715862131795	1.0968789336079028	Levy
2456626.850971509	24.92022961080654	0.7567345448216295	Levy
2456628.8779028156	24.989573371017748	0.699621867836574	Levy
2456631.757454397	-2.3790165164150774	0.8699077096316111	Levy
2456632.790481253	14.625387533272066	0.6225302623933704	Levy
2456644.756956	9.44	2.293894	Levy
2456647.756351358	15.042508094041798	0.6290018885384672	Levy
2456648.7383059124	13.3310262789607	1.0778571311566814	Levy
2456662.7471718844	10.21930948952435	0.7331797722581149	Levy
2456663.6809382406	11.844706045044394	1.1138953856663507	Levy
2456667.7469345955	19.13045713433113	0.7776809765375533	Levy
2456671.7601484223	21.041456121557452	1.0389418918235813	Levy
2456675.756467549	8.232450952680423	1.1274903502740146	Levy
2456679.7640721384	18.11705896489837	1.0501468723121792	Levy
2456682.7124594757	18.4067987865479	0.8101888685640793	Levy
2456689.693823294	26.4370483405077	0.7556088560225827	Levy
2456875.020281	6.97	2.168896	Levy
2456895.0269856816	9.25140544108359	1.2821241284230962	Levy
2456900.9886880247	10.142076512025241	1.494945186639133	Levy
