time	mnvel	errvel	tel
2455110.97566	-8.35	1.18	HIRES-post
2455171.90373	-3.67	1.2	HIRES-post
2455188.78474	7.34	1.12	HIRES-post
2455231.75904	-13.07	1.07	HIRES-post
2455255.70994	3.24	0.99	HIRES-post
2455255.71057	2.36	1.12	HIRES-post
2455260.71455	7.49	1.06	HIRES-post
2455261.72057	1.66	1.38	HIRES-post
2455426.1442	-15.62	1.01	HIRES-post
2455427.14748	-17.83	0.97	HIRES-post
2455434.14679	9.93	0.9	HIRES-post
2455435.14572	5.52	0.93	HIRES-post
2455436.14394	-1.49	1.01	HIRES-post
2455437.14855	-3.78	1.05	HIRES-post
2455438.15014	-10.02	0.88	HIRES-post
2455439.14764	-12.77	0.9	HIRES-post
2455439.14816	-8.83	0.87	HIRES-post
2455439.14869	-11.15	0.98	HIRES-post
2455440.15013	-16.07	0.94	HIRES-post
2455441.14849	-16.73	0.97	HIRES-post
2455456.01336	5.48	1.05	HIRES-post
2455465.07044	-10.52	1.02	HIRES-post
2455469.12459	8.43	0.95	HIRES-post
2455486.99949	-11.29	1.09	HIRES-post
2455500.98188	0.95	0.96	HIRES-post
2455521.88821	-12.6	0.98	HIRES-post
2455542.94698	-12.52	1.14	HIRES-post
2455613.70484	-0.15	0.97	HIRES-post
2455791.1383	3.34	0.89	HIRES-post
2455792.134	-12.31	1.01	HIRES-post
2455793.13786	-17.59	0.86	HIRES-post
2455795.13964	-7.73	0.87	HIRES-post
2455797.13722	-2.02	0.81	HIRES-post
2455798.14081	-3.27	0.87	HIRES-post
2455807.10971	-3.42	0.99	HIRES-post
2455809.13465	-0.02	1.0	HIRES-post
2455870.98515	4.78	1.19	HIRES-post
2455902.89679	1.2	1.31	HIRES-post
2455902.89854	2.21	1.27	HIRES-post
2455902.8995	2.44	1.23	HIRES-post
2455960.69892	-7.09	1.24	HIRES-post
2456138.13079	0.69	0.98	HIRES-post
2456149.13228	-0.84	1.21	HIRES-post
2456149.1328	0.49	0.87	HIRES-post
2456149.13333	0.02	0.84	HIRES-post
2456173.12962	4.25	1.04	HIRES-post
2456202.99351	21.96	1.17	HIRES-post
2456202.99423	20.91	1.09	HIRES-post
2456202.99498	17.69	1.04	HIRES-post
2456327.70149	18.31	1.07	HIRES-post
2456343.70377	14.36	1.04	HIRES-post
2456530.11637	9.59	1.01	HIRES-post
2456532.12074	9.93	0.95	HIRES-post
2456587.96188	18.93	1.08	HIRES-post
2456613.90524	10.55	1.03	HIRES-post
2456637.81061	22.28	1.08	HIRES-post
2456638.78691	28.91	1.05	HIRES-post
2456674.8042	13.1	1.11	HIRES-post
2456708.78373	3.76	0.92	HIRES-post
2456884.13063	12.91	1.04	HIRES-post
2456889.14604	21.35	0.8	HIRES-post
2456890.1462	13.97	0.87	HIRES-post
2456894.13882	9.62	0.87	HIRES-post
2456896.10998	16.77	0.84	HIRES-post
2456911.01977	12.49	1.04	HIRES-post
2456911.02031	15.35	1.15	HIRES-post
2456911.02087	13.48	1.04	HIRES-post
2457234.13935	11.0	0.87	HIRES-post
2457241.13738	9.2	0.93	HIRES-post
2457241.13792	8.44	0.98	HIRES-post
2457241.13846	8.78	0.89	HIRES-post
2457243.14321	3.39	0.89	HIRES-post
2457245.14538	5.26	0.9	HIRES-post
2457246.1424	4.32	1.08	HIRES-post
2457247.14667	-2.18	0.93	HIRES-post
2457254.14817	11.92	0.86	HIRES-post
2457255.15163	9.21	0.89	HIRES-post
2457256.15079	8.49	0.87	HIRES-post
2457291.04329	9.93	0.99	HIRES-post
2457326.97811	7.24	1.15	HIRES-post
2457353.87669	-1.58	1.16	HIRES-post
2457378.78618	1.86	1.15	HIRES-post
2457384.77807	12.16	1.14	HIRES-post
2457401.74895	11.53	1.09	HIRES-post
2457672.99051	0.0	1.12	HIRES-post
2457678.97507	-11.73	1.13	HIRES-post
2457703.95522	-22.95	1.4	HIRES-post
2457703.95574	-8.71	1.14	HIRES-post
2457703.9563	-14.87	1.01	HIRES-post
2457712.98787	-6.46	1.12	HIRES-post
2457789.74972	-15.25	1.2	HIRES-post
2457790.73693	-8.37	1.07	HIRES-post
2457803.70515	-2.63	1.12	HIRES-post
2457804.70835	-5.78	1.19	HIRES-post
2457806.79336	-12.07	1.13	HIRES-post
2457828.75759	-13.71	1.12	HIRES-post
2457829.72191	-20.16	1.02	HIRES-post
2457830.72302	-11.47	1.13	HIRES-post
2458000.15153	-2.54	0.85	HIRES-post
2458001.14963	-1.08	0.98	HIRES-post
2458003.14906	-10.19	0.92	HIRES-post
2458029.93422	-9.5	0.97	HIRES-post
2458065.89895	-9.1	1.26	HIRES-post
2458091.90487	-15.56	1.26	HIRES-post
2458124.85244	7.88	1.08	HIRES-post
2458125.68778	-4.68	1.03	HIRES-post
2458150.70119	-26.74	1.42	HIRES-post
2458154.70197	-8.88	1.08	HIRES-post
2458181.74754	4.19	1.31	HIRES-post
2458346.14351	-4.13	0.89	HIRES-post
2458350.1433	-10.71	0.91	HIRES-post
2458367.04366	10.14	1.08	HIRES-post
2458384.0569	-14.49	0.97	HIRES-post
2458386.02112	-6.5	0.97	HIRES-post
2458387.01296	0.6	1.05	HIRES-post
2458387.9895	2.9	1.06	HIRES-post
2458390.04337	10.69	1.0	HIRES-post
2458392.05486	5.81	1.06	HIRES-post
2458394.07252	-6.6	1.08	HIRES-post
2458396.02999	-9.88	1.13	HIRES-post
2458396.96433	-3.51	1.25	HIRES-post
2458426.91644	12.93	1.03	HIRES-post
2458439.00289	5.48	1.28	HIRES-post
2458443.87632	-9.39	1.05	HIRES-post
2458443.87686	-7.02	1.08	HIRES-post
2458443.87738	-7.44	1.23	HIRES-post
2458462.84862	-3.87	1.16	HIRES-post
2458462.84917	-4.31	1.08	HIRES-post
2458462.84971	-3.18	1.08	HIRES-post
2458476.76721	-2.38	1.12	HIRES-post
2458476.76772	-1.32	1.12	HIRES-post
2458476.76828	-0.11	1.02	HIRES-post
2458490.75365	2.35	1.08	HIRES-post
2458490.7542	1.48	1.18	HIRES-post
2458490.75477	1.01	1.04	HIRES-post
2458532.72009	-3.35	1.11	HIRES-post
2458568.71354	-6.12	1.13	HIRES-post
2458568.7141	-8.72	1.1	HIRES-post
2458568.71464	-6.83	1.15	HIRES-post
2458569.71469	-7.26	1.04	HIRES-post
2458569.71523	-6.93	1.08	HIRES-post
2458569.71577	-8.54	1.13	HIRES-post
2458714.1478	-7.2	1.07	HIRES-post
2458715.14927	-1.1	0.89	HIRES-post
2458716.14824	-1.3	0.91	HIRES-post
2458723.15265	11.17	0.95	HIRES-post
2458724.15271	4.37	0.96	HIRES-post
2458733.14987	3.35	0.97	HIRES-post
2458744.1534	-2.36	1.04	HIRES-post
2458776.93294	-1.02	1.13	HIRES-post
2458794.90804	10.64	1.18	HIRES-post
2458795.96598	12.58	0.95	HIRES-post
2458796.96721	10.75	1.07	HIRES-post
2458797.97003	6.36	1.04	HIRES-post
2458798.91964	12.6	1.13	HIRES-post
2458802.90152	-0.29	1.04	HIRES-post
2458819.92169	-0.85	1.08	HIRES-post
2458819.92234	1.71	1.15	HIRES-post
2458819.92297	-2.07	1.09	HIRES-post
2458880.77539	13.91	1.09	HIRES-post
2458905.7053	8.27	0.93	HIRES-post
2458906.70572	13.13	1.07	HIRES-post
2458907.70588	12.63	1.04	HIRES-post
2452949.789557	-22.380712	0.907697	HARPS-pre
2452949.7904678	-21.867578	0.904965	HARPS-pre
2452949.7913657	-22.893235	0.903774	HARPS-pre
2453001.5982762	-11.7353	0.831164	HARPS-pre
2453039.5955468	-10.830455	0.914953	HARPS-pre
2453039.5970117	-11.418737	0.908943	HARPS-pre
2453039.5983761	-10.989094	0.908074	HARPS-pre
2453261.8440195	-16.853164	0.936376	HARPS-pre
2453261.8450268	-15.146707	0.948745	HARPS-pre
2453261.8460819	-18.845449	0.927661	HARPS-pre
2453279.8244686	-1.896858	0.900342	HARPS-pre
2453279.8264717	-3.000661	0.901866	HARPS-pre
2453287.7960767	-22.778011	0.923426	HARPS-pre
2453287.7967758	-21.884721	0.93129	HARPS-pre
2453287.7974674	-22.35857	0.94924	HARPS-pre
2453287.7981709	-22.361376	0.944744	HARPS-pre
2453287.7988849	-22.671639	0.956627	HARPS-pre
2453287.7995671	-22.411823	0.96253	HARPS-pre
2453287.8002616	-22.285107	0.951483	HARPS-pre
2453287.800998	-20.624145	0.95538	HARPS-pre
2453287.801669	-21.687883	0.961159	HARPS-pre
2453287.8024082	-23.23486	0.981639	HARPS-pre
2453304.6964648	8.972834	1.472811	HARPS-pre
2453304.6972646	6.430661	1.225472	HARPS-pre
2453304.697984	6.356782	1.030946	HARPS-pre
2453304.6987454	7.850456	1.049627	HARPS-pre
2453304.6995351	6.15108	0.967815	HARPS-pre
2453304.7002662	6.830033	1.042506	HARPS-pre
2453304.7010913	9.022258	1.105864	HARPS-pre
2453304.7018484	8.52959	1.044503	HARPS-pre
2453304.7026148	7.488804	1.072739	HARPS-pre
2453304.7033806	7.322771	0.929164	HARPS-pre
2453304.7041626	7.12406	0.928715	HARPS-pre
2453304.7049299	7.920104	0.927594	HARPS-pre
2453304.7057184	7.358981	0.933187	HARPS-pre
2453304.7064709	7.043615	0.977003	HARPS-pre
2453304.707239	6.894553	1.004509	HARPS-pre
2453304.708036	7.661625	0.99177	HARPS-pre
2453304.7088029	6.531719	1.140933	HARPS-pre
2453304.7095834	6.325989	1.392204	HARPS-pre
2453304.7103512	7.622473	4.953595	HARPS-pre
2453304.7110807	1.12117	2.383545	HARPS-pre
2453304.7118661	5.710993	5.326102	HARPS-pre
2453304.7126508	8.292432	3.855694	HARPS-pre
2453304.7134311	5.717294	2.434303	HARPS-pre
2453304.7142071	5.028589	1.839708	HARPS-pre
2453304.7149577	7.324855	1.379694	HARPS-pre
2453304.7156953	6.383281	1.334665	HARPS-pre
2453304.7164635	8.760367	1.320051	HARPS-pre
2453304.7172268	6.880916	1.243897	HARPS-pre
2453304.7180071	6.563566	1.074507	HARPS-pre
2453304.7187501	6.323817	1.048541	HARPS-pre
2453304.7195087	6.075864	1.185398	HARPS-pre
2453304.7202933	7.970216	1.108011	HARPS-pre
2453304.7210363	5.892146	1.158945	HARPS-pre
2453304.7218363	6.665915	1.132159	HARPS-pre
2453304.7226212	6.695866	1.120551	HARPS-pre
2453304.72334	7.492515	0.999015	HARPS-pre
2453304.7241054	6.315984	0.976074	HARPS-pre
2453304.7248699	7.986094	0.99181	HARPS-pre
2453304.7256415	6.973746	0.954011	HARPS-pre
2453304.7263994	6.814754	1.012886	HARPS-pre
2453304.7271754	6.770698	1.003039	HARPS-pre
2453304.7279223	6.620664	0.981595	HARPS-pre
2453304.7287391	7.941921	0.955945	HARPS-pre
2453304.7294933	6.824784	0.94956	HARPS-pre
2453304.7302544	6.7452	0.961609	HARPS-pre
2453304.7310334	7.711097	0.9724	HARPS-pre
2453304.7318172	6.705052	0.957643	HARPS-pre
2453304.7325561	7.544958	0.966464	HARPS-pre
2453304.7333172	7.67212	0.952717	HARPS-pre
2453304.734137	6.872879	0.945835	HARPS-pre
2453304.7349067	7.176654	0.94103	HARPS-pre
2453304.7356624	7.509558	0.936047	HARPS-pre
2453304.7364325	5.685105	0.951742	HARPS-pre
2453304.7372121	6.004622	0.940032	HARPS-pre
2453304.7379627	7.060855	0.92627	HARPS-pre
2453304.7387155	6.997846	0.926598	HARPS-pre
2453304.7394914	6.841446	0.936994	HARPS-pre
2453304.7402616	6.618975	0.934446	HARPS-pre
2453304.7410458	6.806436	0.968377	HARPS-pre
2453304.7418227	6.904226	0.957695	HARPS-pre
2453304.7426116	7.342054	0.930376	HARPS-pre
2453304.7433733	5.984121	0.948185	HARPS-pre
2453304.7441507	7.006238	0.950029	HARPS-pre
2453304.7449207	6.779758	0.977311	HARPS-pre
2453304.74568	6.100122	0.993507	HARPS-pre
2453304.7464533	6.864481	1.001204	HARPS-pre
2453304.7472247	7.256194	1.094875	HARPS-pre
2453304.7479833	6.73533	1.10139	HARPS-pre
2453304.7487695	5.666241	1.019812	HARPS-pre
2453304.7495086	6.674707	0.970346	HARPS-pre
2453304.7502986	5.74932	0.963301	HARPS-pre
2453304.7510364	5.441887	1.012785	HARPS-pre
2453304.7518258	7.435393	0.919389	HARPS-pre
2453304.7526017	6.70419	0.923463	HARPS-pre
2453304.7533805	6.958879	0.926127	HARPS-pre
2453304.7541729	7.259131	0.913808	HARPS-pre
2453304.7549306	6.700672	0.896453	HARPS-pre
2453304.7556909	7.035113	0.898577	HARPS-pre
2453304.7564644	6.029225	0.898783	HARPS-pre
2453304.7572269	6.505942	0.899008	HARPS-pre
2453304.757995	7.142199	0.904721	HARPS-pre
2453304.7587706	6.109176	0.904071	HARPS-pre
2453304.7595065	6.5481	0.912147	HARPS-pre
2453304.7602664	5.963864	0.928781	HARPS-pre
2453304.7610821	5.311147	0.930767	HARPS-pre
2453304.7618469	6.30816	0.932865	HARPS-pre
2453304.7626201	6.136241	0.924667	HARPS-pre
2453304.7633846	6.475526	0.922571	HARPS-pre
2453304.7641611	6.744453	0.904637	HARPS-pre
2453304.764921	4.459142	0.912208	HARPS-pre
2453304.7657142	6.095934	0.915605	HARPS-pre
2453304.7665107	6.724072	0.903547	HARPS-pre
2453304.7672946	6.606589	0.897706	HARPS-pre
2453304.768048	5.08909	0.901702	HARPS-pre
2453304.7688325	5.17774	0.902633	HARPS-pre
2453304.769599	5.411326	0.901567	HARPS-pre
2453304.7703711	7.526396	0.90336	HARPS-pre
2453304.771117	5.120688	0.911666	HARPS-pre
2453304.7719046	5.783007	0.912736	HARPS-pre
2453304.7726767	5.520824	0.913802	HARPS-pre
2453304.773468	5.166913	0.91107	HARPS-pre
2453304.7742218	5.877913	0.91024	HARPS-pre
2453304.7750363	4.765777	0.940491	HARPS-pre
2453304.7757454	6.667076	0.963171	HARPS-pre
2453304.776574	5.889253	0.928755	HARPS-pre
2453304.7773048	6.329039	0.923516	HARPS-pre
2453304.778089	5.498326	0.90749	HARPS-pre
2453304.7788207	6.612203	0.926586	HARPS-pre
2453304.7796242	5.780023	0.927225	HARPS-pre
2453304.7803853	5.305354	0.946624	HARPS-pre
2453304.7811635	5.414949	0.923399	HARPS-pre
2453304.7819476	7.022765	0.931696	HARPS-pre
2453304.7827028	5.585332	0.927386	HARPS-pre
2453304.7834499	6.077889	0.910695	HARPS-pre
2453304.7842471	7.665004	0.913765	HARPS-pre
2453304.7850061	6.083041	0.911331	HARPS-pre
2453304.7857617	6.114022	0.905322	HARPS-pre
