HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2458406.77039,50.78,1.00,PFS-Post,0.2062,0.0036,-1.0000,-1.0000,rn47.268
HD39091,2458406.77205,50.29,0.99,PFS-Post,0.1973,0.0029,-1.0000,-1.0000,rn47.269
HD39091,2458406.77371,51.10,0.94,PFS-Post,0.1950,0.0027,-1.0000,-1.0000,rn47.270
HD39091,2458406.77537,51.47,0.97,PFS-Post,0.1965,0.0027,-1.0000,-1.0000,rn47.271
HD39091,2458406.77699,52.89,0.93,PFS-Post,0.1943,0.0026,-1.0000,-1.0000,rn47.272
HD39091,2458406.86385,50.95,0.98,PFS-Post,0.1986,0.003,-1.0000,-1.0000,rn47.277
HD39091,2458406.86549,51.32,1.03,PFS-Post,0.2049,0.0033,-1.0000,-1.0000,rn47.278
HD39091,2458406.86715,51.89,0.97,PFS-Post,0.1984,0.0033,-1.0000,-1.0000,rn47.279
HD39091,2458406.86882,51.18,1.01,PFS-Post,0.1971,0.0028,-1.0000,-1.0000,rn47.280
HD39091,2458406.87046,52.27,0.96,PFS-Post,0.2026,0.0033,-1.0000,-1.0000,rn47.281
HD39091,2458407.78438,50.37,0.95,PFS-Post,0.1792,0.00063,-1.0000,-1.0000,rn47.568
HD39091,2458407.78604,52.38,0.92,PFS-Post,0.1767,0.0006,-1.0000,-1.0000,rn47.569
HD39091,2458407.78767,51.55,0.91,PFS-Post,0.1820,0.00067,-1.0000,-1.0000,rn47.570
HD39091,2458407.78935,51.05,0.96,PFS-Post,0.1800,0.00068,-1.0000,-1.0000,rn47.571
HD39091,2458407.79099,51.92,0.97,PFS-Post,0.1783,0.00062,-1.0000,-1.0000,rn47.572
HD39091,2458407.86210,51.80,1.00,PFS-Post,0.1819,0.00071,-1.0000,-1.0000,rn47.578
HD39091,2458407.86382,53.30,0.97,PFS-Post,0.1825,0.0007,-1.0000,-1.0000,rn47.579
HD39091,2458407.86546,51.35,0.99,PFS-Post,0.1827,0.00066,-1.0000,-1.0000,rn47.580
HD39091,2458407.86713,51.18,1.03,PFS-Post,0.1808,0.00061,-1.0000,-1.0000,rn47.581
HD39091,2458407.86876,51.63,1.01,PFS-Post,0.1801,0.00061,-1.0000,-1.0000,rn47.582
HD39091,2458408.78220,52.82,1.01,PFS-Post,0.1766,0.00069,-1.0000,-1.0000,rn47.804
HD39091,2458408.78382,50.63,0.99,PFS-Post,0.1770,0.00068,-1.0000,-1.0000,rn47.805
HD39091,2458408.78550,54.43,0.95,PFS-Post,0.1744,0.00062,-1.0000,-1.0000,rn47.806
HD39091,2458408.78716,51.40,1.01,PFS-Post,0.1761,0.00062,-1.0000,-1.0000,rn47.807
HD39091,2458408.78881,52.43,0.93,PFS-Post,0.1750,0.00066,-1.0000,-1.0000,rn47.808
HD39091,2458408.86166,52.87,1.00,PFS-Post,0.1697,0.00049,-1.0000,-1.0000,rn47.813
HD39091,2458408.86331,55.20,0.99,PFS-Post,0.1727,0.00052,-1.0000,-1.0000,rn47.814
HD39091,2458408.86497,49.36,0.95,PFS-Post,0.1732,0.00053,-1.0000,-1.0000,rn47.815
HD39091,2458408.86663,54.25,1.00,PFS-Post,0.1748,0.00059,-1.0000,-1.0000,rn47.816
HD39091,2458408.86830,52.30,1.00,PFS-Post,0.1755,0.0006,-1.0000,-1.0000,rn47.817
HD39091,2458409.77810,54.97,0.99,PFS-Post,0.1766,0.00059,-1.0000,-1.0000,rn47.1035
HD39091,2458409.77972,53.53,1.00,PFS-Post,0.1801,0.00071,-1.0000,-1.0000,rn47.1036
HD39091,2458409.78140,54.73,1.07,PFS-Post,0.1844,0.00081,-1.0000,-1.0000,rn47.1037
HD39091,2458409.78306,52.32,1.05,PFS-Post,0.1874,0.00079,-1.0000,-1.0000,rn47.1038
HD39091,2458409.78470,53.89,1.00,PFS-Post,0.1788,0.00068,-1.0000,-1.0000,rn47.1039
HD39091,2458409.85555,50.86,0.97,PFS-Post,0.1782,0.00058,-1.0000,-1.0000,rn47.1047
HD39091,2458409.85719,54.04,0.97,PFS-Post,0.1764,0.00059,-1.0000,-1.0000,rn47.1048
HD39091,2458409.85884,52.98,0.97,PFS-Post,0.1745,0.00056,-1.0000,-1.0000,rn47.1049
HD39091,2458409.86047,52.56,0.96,PFS-Post,0.1778,0.00061,-1.0000,-1.0000,rn47.1050
HD39091,2458409.86213,54.54,1.03,PFS-Post,0.1774,0.0006,-1.0000,-1.0000,rn47.1051
HD39091,2458410.77659,53.82,1.05,PFS-Post,0.1777,0.00063,-1.0000,-1.0000,rn47.1279
HD39091,2458410.77825,53.87,1.07,PFS-Post,0.1805,0.00071,-1.0000,-1.0000,rn47.1280
HD39091,2458410.77987,51.79,1.01,PFS-Post,0.1788,0.00072,-1.0000,-1.0000,rn47.1281
HD39091,2458410.78153,51.20,1.04,PFS-Post,0.1818,0.00072,-1.0000,-1.0000,rn47.1282
HD39091,2458410.78318,54.30,1.06,PFS-Post,0.1801,0.00072,-1.0000,-1.0000,rn47.1283
HD39091,2458410.86014,53.89,1.00,PFS-Post,0.1783,0.00065,-1.0000,-1.0000,rn47.1289
HD39091,2458410.86178,54.18,1.02,PFS-Post,0.1756,0.00065,-1.0000,-1.0000,rn47.1290
HD39091,2458410.86345,55.41,1.05,PFS-Post,0.1829,0.00074,-1.0000,-1.0000,rn47.1291
HD39091,2458410.86511,53.86,1.03,PFS-Post,0.1852,0.00074,-1.0000,-1.0000,rn47.1292
HD39091,2458410.86676,53.56,1.01,PFS-Post,0.1820,0.00071,-1.0000,-1.0000,rn47.1293
HD39091,2458411.78129,58.73,1.23,PFS-Post,0.1908,0.00088,-1.0000,-1.0000,rn47.1511
HD39091,2458411.78301,57.56,1.08,PFS-Post,0.1819,0.00068,-1.0000,-1.0000,rn47.1512
HD39091,2458411.78465,54.99,0.93,PFS-Post,0.1808,0.00067,-1.0000,-1.0000,rn47.1513
HD39091,2458411.78632,54.95,1.06,PFS-Post,0.1841,0.00075,-1.0000,-1.0000,rn47.1514
HD39091,2458411.78791,55.77,1.01,PFS-Post,0.1798,0.00067,-1.0000,-1.0000,rn47.1515
HD39091,2458411.88007,57.11,0.90,PFS-Post,0.1726,0.00051,-1.0000,-1.0000,rn47.1530
HD39091,2458411.88173,54.91,0.98,PFS-Post,0.1710,0.00052,-1.0000,-1.0000,rn47.1531
HD39091,2458411.88341,55.04,0.92,PFS-Post,0.1700,0.00049,-1.0000,-1.0000,rn47.1532
HD39091,2458411.88506,57.22,0.95,PFS-Post,0.1740,0.00054,-1.0000,-1.0000,rn47.1533
HD39091,2458411.88676,56.27,0.94,PFS-Post,0.1760,0.00058,-1.0000,-1.0000,rn47.1534
HD39091,2458412.78519,56.56,0.96,PFS-Post,0.1726,0.00054,-1.0000,-1.0000,rn47.1747
HD39091,2458412.78685,56.74,0.94,PFS-Post,0.1724,0.00054,-1.0000,-1.0000,rn47.1748
HD39091,2458412.78847,57.96,0.91,PFS-Post,0.1684,0.00043,-1.0000,-1.0000,rn47.1749
HD39091,2458412.79018,55.00,0.90,PFS-Post,0.1721,0.0005,-1.0000,-1.0000,rn47.1750
HD39091,2458412.79182,59.16,0.95,PFS-Post,0.1733,0.00056,-1.0000,-1.0000,rn47.1751
HD39091,2458412.87270,56.92,1.00,PFS-Post,0.1723,0.00051,-1.0000,-1.0000,rn47.1759
HD39091,2458412.87436,54.72,0.91,PFS-Post,0.1709,0.00046,-1.0000,-1.0000,rn47.1760
HD39091,2458412.87602,59.25,0.99,PFS-Post,0.1769,0.00058,-1.0000,-1.0000,rn47.1761
HD39091,2458412.87767,53.97,0.92,PFS-Post,0.1702,0.00053,-1.0000,-1.0000,rn47.1762
HD39091,2458412.87934,54.67,0.98,PFS-Post,0.1724,0.00051,-1.0000,-1.0000,rn47.1763
HD39091,2458413.77314,55.49,0.88,PFS-Post,0.1707,0.00043,-1.0000,-1.0000,rn47.1908
HD39091,2458413.77482,54.51,0.91,PFS-Post,0.1750,0.00051,-1.0000,-1.0000,rn47.1909
HD39091,2458413.77647,57.13,0.90,PFS-Post,0.1717,0.00044,-1.0000,-1.0000,rn47.1910
HD39091,2458413.77813,56.00,0.90,PFS-Post,0.1707,0.00044,-1.0000,-1.0000,rn47.1911
HD39091,2458413.77976,57.73,0.88,PFS-Post,0.1718,0.00046,-1.0000,-1.0000,rn47.1912
HD39091,2458413.87138,52.61,0.97,PFS-Post,0.1727,0.00045,-1.0000,-1.0000,rn47.1917
HD39091,2458413.87303,56.42,0.97,PFS-Post,0.1741,0.00049,-1.0000,-1.0000,rn47.1918
