HD,BJD,RVel,e_RVel,r_RVel,SHK,e_SHK,EWHa,e_EWHa,Filename
HD39091,2450829.99245,-57.58,2.19,UCLES,-1.0000,-1.0000,-1.0000,-1.0000,ru02.8
HD39091,2451119.25030,-87.22,4.60,UCLES,-1.0000,-1.0000,0.7254,0.0041,ru08.110
HD39091,2451236.03302,-96.01,2.71,UCLES,-1.0000,-1.0000,0.7299,0.0021,ru11.31
HD39091,2451411.32650,-99.60,2.83,UCLES,-1.0000,-1.0000,0.7267,0.0031,ru14.76
HD39091,2451473.26715,-97.01,2.17,UCLES,-1.0000,-1.0000,0.7278,0.0027,ru15.99
HD39091,2451526.07982,-108.80,2.18,UCLES,-1.0000,-1.0000,0.7343,0.0022,ru16.44
HD39091,2451527.08146,-105.27,2.02,UCLES,-1.0000,-1.0000,0.7312,0.0017,ru16.134
HD39091,2451530.12735,-103.61,2.22,UCLES,-1.0000,-1.0000,0.7312,0.0023,ru16.316
HD39091,2451629.91242,-108.11,2.52,UCLES,-1.0000,-1.0000,0.7298,0.0021,ru18.13
HD39091,2451683.84414,-114.27,2.30,UCLES,-1.0000,-1.0000,0.7245,0.002,ru20.18
HD39091,2451828.18793,-82.13,2.11,UCLES,-1.0000,-1.0000,0.7265,0.002,ru30.66
HD39091,2451919.09834,-55.03,3.32,UCLES,-1.0000,-1.0000,0.7248,0.0042,ru34.39
HD39091,2451921.13777,-58.26,2.25,UCLES,-1.0000,-1.0000,0.7274,0.0021,ru34.236
HD39091,2451983.91963,-23.85,2.41,UCLES,-1.0000,-1.0000,0.7306,0.0019,ru35.45
HD39091,2452060.84165,121.01,2.14,UCLES,-1.0000,-1.0000,0.7290,0.0018,ru42.11
HD39091,2452092.33877,195.01,2.17,UCLES,-1.0000,-1.0000,0.7303,0.0027,ru43.86
HD39091,2452093.35364,195.45,2.05,UCLES,-1.0000,-1.0000,0.7308,0.0018,ru43.177
HD39091,2452127.32965,269.75,2.69,UCLES,-1.0000,-1.0000,0.7306,0.003,ru45.77
HD39091,2452128.33749,270.04,1.98,UCLES,-1.0000,-1.0000,0.7314,0.0017,ru45.149
HD39091,2452130.34009,272.19,3.14,UCLES,-1.0000,-1.0000,0.7275,0.0034,ru45.297
HD39091,2452151.29309,291.42,2.20,UCLES,-1.0000,-1.0000,0.7304,0.0022,ru46.50
HD39091,2452154.30559,280.69,5.00,UCLES,-1.0000,-1.0000,0.7191,0.0069,ru47.116
HD39091,2452187.19643,267.89,1.91,UCLES,-1.0000,-1.0000,0.7275,0.002,ru48.58
HD39091,2452188.23640,268.90,1.97,UCLES,-1.0000,-1.0000,0.7262,0.002,ru48.191
HD39091,2452189.21784,264.36,2.65,UCLES,-1.0000,-1.0000,0.7262,0.0036,ru48.293
HD39091,2452189.22551,262.33,2.26,UCLES,-1.0000,-1.0000,0.7242,0.003,ru48.294
HD39091,2452190.14384,265.02,2.28,UCLES,-1.0000,-1.0000,0.7275,0.0031,ru48.376
HD39091,2452190.14802,259.38,3.27,UCLES,-1.0000,-1.0000,0.7233,0.0051,ru48.377
HD39091,2452387.87207,82.50,1.62,UCLES,-1.0000,-1.0000,0.7300,0.0019,ru51.99
HD39091,2452510.30817,24.95,2.11,UCLES,-1.0000,-1.0000,0.7267,0.0022,ru56.58
HD39091,2452592.12243,1.31,2.27,UCLES,-1.0000,-1.0000,0.7314,0.0024,ru57.56
HD39091,2452592.12802,1.78,2.28,UCLES,-1.0000,-1.0000,0.7303,0.0024,ru57.57
HD39091,2452599.15426,1.89,5.80,UCLES,-1.0000,-1.0000,0.7243,0.0079,ru58.159
HD39091,2452654.09804,-0.36,2.26,UCLES,-1.0000,-1.0000,0.7291,0.0029,ru60.42
HD39091,2452708.98474,-12.62,11.37,UCLES,-1.0000,-1.0000,0.7320,0.0091,ru61.35
HD39091,2452751.91914,-28.50,2.06,UCLES,-1.0000,-1.0000,0.7272,0.0029,ru62.772
HD39091,2452944.22074,-67.85,3.61,UCLES,-1.0000,-1.0000,0.7295,0.0047,ru66.138
HD39091,2452944.22377,-57.26,3.28,UCLES,-1.0000,-1.0000,0.7276,0.0048,ru66.139
HD39091,2452944.22679,-55.15,3.34,UCLES,-1.0000,-1.0000,0.7264,0.0051,ru66.140
HD39091,2453004.07409,-51.00,1.93,UCLES,-1.0000,-1.0000,0.7381,0.0018,ru67.42
HD39091,2453042.07774,-57.72,2.06,UCLES,-1.0000,-1.0000,0.7336,0.003,ru68.122
