time	mnvel	errvel	tel
2453001.8296176	-26.712753	1.405504	HARPS-pre
2453034.6065176	-23.139558	0.936813	HARPS-pre
2453289.8689777	-43.733541	1.331075	HARPS-pre
2453289.8700435	-46.097437	1.232018	HARPS-pre
2453289.871093	-44.389439	1.219243	HARPS-pre
2453289.8721307	-42.878571	1.255471	HARPS-pre
2453289.8732038	-42.818949	1.262262	HARPS-pre
2453289.8742598	-42.398871	1.269489	HARPS-pre
2453289.8752891	-42.292404	1.239639	HARPS-pre
2453289.8763512	-41.67287	1.228679	HARPS-pre
2453289.8774155	-44.582513	1.286848	HARPS-pre
2453289.8784482	-41.404542	1.263679	HARPS-pre
2453291.8713514	-47.861842	1.611786	HARPS-pre
2453291.8723992	-47.04682	1.628459	HARPS-pre
2453291.8734589	-48.093734	1.780768	HARPS-pre
2453291.8744829	-44.553805	1.682387	HARPS-pre
2453291.8755388	-47.210718	1.533374	HARPS-pre
2453291.8765761	-49.661801	1.539458	HARPS-pre
2453291.8776576	-47.81295	1.645287	HARPS-pre
2453291.8786861	-45.809414	1.535338	HARPS-pre
2453292.8669814	-47.369184	1.623938	HARPS-pre
2453292.8680316	-49.606962	1.651517	HARPS-pre
2453292.8690897	-47.869606	1.612437	HARPS-pre
2453292.870146	-49.533608	1.649405	HARPS-pre
2453292.8711904	-49.823796	1.663187	HARPS-pre
2453292.8722214	-49.692804	1.603825	HARPS-pre
2453292.8732816	-46.865466	1.642061	HARPS-pre
2453292.8743608	-46.742732	1.724347	HARPS-pre
2453294.8669931	-49.043929	1.55268	HARPS-pre
2453294.8680433	-55.686103	1.771179	HARPS-pre
2453294.8691203	-53.492843	2.00879	HARPS-pre
2453294.8701474	-51.899415	1.828501	HARPS-pre
2453294.8712035	-52.4758	1.799312	HARPS-pre
2453294.8722606	-48.396064	1.74597	HARPS-pre
2453294.8733146	-52.598273	1.689683	HARPS-pre
2453294.874369	-51.428739	1.786782	HARPS-pre
2453296.8634035	-46.556889	1.202301	HARPS-pre
2453296.8644019	-47.719047	1.14858	HARPS-pre
2453296.8654798	-49.252255	1.167003	HARPS-pre
2453296.8665248	-49.958549	1.164307	HARPS-pre
2453296.8675574	-47.485958	1.174531	HARPS-pre
2453296.8686468	-46.04483	1.162988	HARPS-pre
2453296.8696882	-46.234699	1.146634	HARPS-pre
2453296.8707641	-49.81158	1.20826	HARPS-pre
2453296.8718121	-48.823816	1.148996	HARPS-pre
2453296.8728222	-45.260148	1.183939	HARPS-pre
2454047.7954785	1.395578	0.968681	HARPS-pre
2454049.7759944	-1.15025	0.919813	HARPS-pre
2454051.7884344	1.093352	0.979193	HARPS-pre
2454051.7930811	1.265068	0.951406	HARPS-pre
2454053.85292	5.302837	0.748814	HARPS-pre
2454053.8566142	4.36639	0.786641	HARPS-pre
2454055.8416563	7.893623	0.7327	HARPS-pre
2454055.8463944	7.558981	0.72644	HARPS-pre
