Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
3483,10700,apf,raad.132,2456515.900586,2.00,2.065128,-1,29773.0
3484,10700,apf,raad.139,2456515.929731,1.79,2.37196,-1,28295.0
3485,10700,apf,raad.142,2456515.949038,-1.29,2.321436,-1,29051.0
3486,10700,apf,raae.132,2456516.931751,-4.02,2.307813,-1,28327.0
3487,10700,apf,raae.139,2456516.956591,-2.41,2.134227,-1,28884.0
3488,10700,apf,raag.128,2456518.86171,-1.74,2.071435,-1,26130.0
3489,10700,apf,raag.135,2456518.888274,-1.25,2.125209,-1,28735.0
3490,10700,apf,raah.130,2456525.871798,-0.14,2.218334,-1,33296.0
3491,10700,apf,raai.123,2456526.839721,-0.63,2.594533,-1,28248.0
3492,10700,apf,raaj.122,2456530.908338,2.20,2.282914,-1,28638.0
3493,10700,apf,raak.122,2456534.846502,4.29,2.250794,-1,27420.0
3494,10700,apf,raak.129,2456534.873621,2.22,2.043214,-1,28921.0
3495,10700,apf,raal.124,2456535.858492,0.73,2.32544,-1,28738.0
3496,10700,apf,raal.131,2456535.889651,2.29,2.475826,-1,29156.0
3497,10700,apf,raan.135,2456539.842839,0.24,2.188939,-1,28025.0
3498,10700,apf,raan.141,2456539.864658,-2.99,2.071147,-1,27600.0
3499,10700,apf,raan.142,2456539.865421,-2.08,2.106612,-1,27559.0
3500,10700,apf,raan.143,2456539.866185,-5.12,2.178965,-1,27668.0
3501,10700,apf,raan.144,2456539.866938,-2.42,2.029456,-1,26823.0
3502,10700,apf,raan.145,2456539.867713,-2.71,2.0621,-1,27851.0
3503,10700,apf,raan.146,2456539.868454,-2.49,2.112975,-1,27660.0
3504,10700,apf,raan.147,2456539.869206,-5.27,2.059483,-1,28374.0
3505,10700,apf,raan.148,2456539.869959,-2.51,2.086094,-1,27249.0
3506,10700,apf,raan.149,2456539.870711,-1.21,2.008965,-1,27063.0
3507,10700,apf,raan.150,2456539.871463,-3.88,2.068207,-1,27763.0
3508,10700,apf,raao.128,2456540.87567,-1.18,2.225836,-1,28634.0
3509,10700,apf,raao.134,2456540.897314,-0.88,2.156154,-1,28306.0
3510,10700,apf,raao.135,2456540.898101,-3.61,1.900709,-1,28969.0
3511,10700,apf,raao.136,2456540.898935,-4.11,2.209531,-1,29667.0
3512,10700,apf,raao.137,2456540.899791,0.74,2.057905,-1,28814.0
3513,10700,apf,raao.138,2456540.900625,0.28,2.067194,-1,29537.0
3514,10700,apf,raao.139,2456540.901423,-1.79,2.060673,-1,28729.0
3515,10700,apf,raao.140,2456540.90221,-0.31,1.980772,-1,29887.0
3516,10700,apf,raao.141,2456540.902986,-1.76,2.183973,-1,28769.0
3517,10700,apf,raao.142,2456540.90375,-2.95,2.006309,-1,28219.0
3518,10700,apf,raao.143,2456540.904502,-2.59,1.943088,-1,28223.0
3519,10700,apf,raay.172,2456573.749305,-3.04,3.065523,-1,10507.0
3520,10700,apf,raay.191,2456573.825613,1.04,2.616025,-1,11820.0
3521,10700,apf,raay.208,2456573.886563,-2.53,2.646672,-1,10868.0
3522,10700,apf,raaz.184,2456574.927109,-2.41,3.179924,-1,14714.0
3523,10700,apf,raba.212,2456577.872244,-0.32,2.972418,-1,11644.0
3524,10700,apf,rabd.236,2456582.891999,-2.30,2.149252,-1,35360.0
3525,10700,apf,rabd.237,2456582.892868,-2.08,2.240723,-1,33369.0
3526,10700,apf,rabd.238,2456582.893759,1.02,2.232527,-1,33837.0
3527,10700,apf,rabe.201,2456583.831294,-0.18,2.24672,-1,34140.0
3528,10700,apf,rabe.202,2456583.83222,0.71,2.091584,-1,36161.0
3529,10700,apf,rabe.203,2456583.833146,0.16,2.14796,-1,34562.0
3530,10700,apf,rabf.227,2456588.816108,-2.26,2.08595,-1,33840.0
