Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
91841,9826,apf,raab.97,2456506.007919,60.33,4.292484,-1,32609.0
91842,9826,apf,raad.136,2456515.917837,102.33,4.854252,-1,31719.0
91843,9826,apf,raae.136,2456516.945169,57.63,4.573137,-1,33899.0
91844,9826,apf,raaf.127,2456517.837385,-31.12,4.556805,-1,30782.0
91845,9826,apf,raag.132,2456518.876071,-21.09,4.165224,-1,31104.0
91846,9826,apf,raah.127,2456525.857072,72.27,4.972682,-1,32527.0
91847,9826,apf,raai.127,2456526.866412,-10.69,4.668622,-1,34020.0
91848,9826,apf,raak.126,2456534.861767,92.81,4.626822,-1,30414.0
91849,9826,apf,raal.128,2456535.876403,6.53,4.855828,-1,31383.0
91850,9826,apf,raan.140,2456539.861682,62.88,4.924689,-1,30249.0
91851,9826,apf,raao.133,2456540.894163,-11.58,4.183057,-1,32568.0
91852,9826,apf,raap.181,2456542.034984,10.96,4.226214,-1,30299.0
91853,9826,apf,raaq.195,2456543.030504,93.73,4.046061,-1,30776.0
91854,9826,apf,raar.147,2456548.02932,98.33,4.768285,-1,37649.0
91855,9826,apf,raas.131,2456548.960618,54.10,4.513125,-1,37381.0
91856,9826,apf,raat.180,2456562.821251,57.76,5.698029,-1,12432.0
91857,9826,apf,raat.193,2456562.879448,36.15,5.75646,-1,12397.0
91858,9826,apf,raat.204,2456562.93959,52.32,5.775186,-1,13217.0
91859,9826,apf,raat.212,2456562.999304,57.26,6.135578,-1,12519.0
91860,9826,apf,raat.218,2456563.027349,31.85,6.358193,-1,12757.0
91861,9826,apf,raau.175,2456563.732278,-16.94,6.511149,-1,11719.0
91862,9826,apf,raau.194,2456563.823671,-18.27,6.635167,-1,12219.0
91863,9826,apf,raau.203,2456563.871139,-14.39,6.481134,-1,11830.0
91864,9826,apf,raau.215,2456563.932438,-35.87,7.056797,-1,13025.0
91865,9826,apf,raau.227,2456564.00596,-32.56,6.600507,-1,11899.0
91866,9826,apf,raax.194,2456570.909351,70.47,6.236231,-1,11470.0
91867,9826,apf,raax.206,2456570.979469,93.12,5.618235,-1,11520.0
91868,9826,apf,raay.186,2456573.811074,-38.20,6.467327,-1,11365.0
91869,9826,apf,raay.201,2456573.857534,-55.07,6.005502,-1,11865.0
91870,9826,apf,raay.224,2456574.008928,-51.22,5.580598,-1,11970.0
91871,9826,apf,raay.229,2456574.032667,-45.39,6.348675,-1,10971.0
91872,9826,apf,raaz.186,2456574.937037,16.64,6.629294,-1,13095.0
91873,9826,apf,raaz.200,2456575.020789,32.61,6.14252,-1,12320.0
91874,9826,apf,raba.208,2456577.863548,-44.92,4.330569,-1,39551.0
91875,9826,apf,raba.209,2456577.864531,-39.62,4.599626,-1,38570.0
91876,9826,apf,raba.210,2456577.865481,-41.54,4.140325,-1,38032.0
91877,9826,apf,raba.235,2456577.957821,-47.18,4.705243,-1,37694.0
91878,9826,apf,raba.236,2456577.958782,-46.08,4.854308,-1,37713.0
91879,9826,apf,raba.237,2456577.959742,-51.55,4.922854,-1,37082.0
91880,9826,apf,rabc.230,2456581.946404,5.25,4.282954,-1,36828.0
91881,9826,apf,rabc.231,2456581.947457,4.21,4.409339,-1,36332.0
91882,9826,apf,rabc.232,2456581.948499,11.27,4.703636,-1,35998.0
91883,9826,apf,rabc.255,2456582.035422,-2.09,4.309991,-1,35453.0
91884,9826,apf,rabc.256,2456582.03651,-3.55,4.480057,-1,35605.0
91885,9826,apf,rabc.257,2456582.037609,-2.50,4.715509,-1,35857.0
91886,9826,apf,rabd.229,2456582.870984,-51.84,4.689064,-1,37540.0
91887,9826,apf,rabd.230,2456582.871921,-49.00,4.657278,-1,35863.0
91888,9826,apf,rabd.231,2456582.87287,-36.95,4.159784,-1,36660.0
91889,9826,apf,rabd.256,2456582.954839,-40.03,4.467114,-1,36395.0
91890,9826,apf,rabd.257,2456582.955858,-48.90,4.820154,-1,35839.0
91891,9826,apf,rabd.258,2456582.956865,-48.80,4.732987,-1,36959.0
91892,9826,apf,rabd.292,2456583.052388,-50.73,4.978076,-1,34509.0
91893,9826,apf,rabd.293,2456583.053453,-45.53,5.30798,-1,34867.0
91894,9826,apf,rabd.294,2456583.054494,-30.40,5.34496,-1,35076.0
91895,9826,apf,rabe.198,2456583.826778,10.23,4.401358,-1,38731.0
91896,9826,apf,rabe.199,2456583.827808,-0.32,4.392749,-1,38388.0
91897,9826,apf,rabe.200,2456583.82885,9.25,4.434421,-1,37643.0
91898,9826,apf,rabe.222,2456583.930275,7.21,4.642992,-1,36703.0
91899,9826,apf,rabe.223,2456583.931271,5.73,4.434798,-1,36980.0
91900,9826,apf,rabe.224,2456583.932266,3.41,4.795867,-1,36346.0
91901,9826,apf,rabe.249,2456584.028715,19.88,4.905478,-1,35236.0
91902,9826,apf,rabe.250,2456584.02978,13.76,4.606146,-1,35302.0
91903,9826,apf,rabe.251,2456584.030844,16.25,4.324033,-1,34687.0
91904,9826,apf,rabf.242,2456588.863002,42.32,4.658457,-1,35435.0
91905,9826,apf,rabf.243,2456588.863951,51.05,4.76992,-1,36272.0
91906,9826,apf,rabf.244,2456588.864912,37.99,4.740198,-1,35749.0
