Num,Name,Inst,ObID,BJD,RVel,e_RVel,SVal,Cts
91787,9826,j,rj176.293,2456508.122464,33.39,2.020427,0.158,62489.0
91788,9826,j,rj189.89,2456842.131165,-5.60,1.909908,0.1551,56024.0
91789,9826,j,rj189.302,2456844.123482,86.93,2.167831,0.1547,54661.0
91790,9826,j,rj189.735,2456846.125756,-46.77,2.037936,0.1546,67850.0
91791,9826,j,rj189.736,2456846.126277,-40.90,1.836947,0.1553,52444.0
91792,9826,j,rj189.915,2456847.130257,21.16,1.914388,0.1538,57803.0
91793,9826,j,rj189.1311,2456849.129849,57.40,2.017375,0.1534,62121.0
91794,9826,j,rj190.1196,2456867.085178,64.70,1.672525,0.1554,64764.0
91795,9826,j,rj192.536,2456882.112002,-37.79,1.923908,0.1546,65118.0
91796,9826,j,rj194.117,2456907.065674,1.45,1.993794,0.1539,61179.0
91797,9826,j,rj194.494,2456908.896263,78.37,2.317532,0.155,45843.0
91798,9826,j,rj194.939,2456911.039532,-41.72,2.309006,0.1548,46485.0
91799,9826,j,rj195.284,2457001.788407,87.24,2.533843,0.1548,52769.0
91800,9826,j,rj196.65,2457057.698008,-15.98,2.317656,0.1538,62123.0
91801,9826,j,rj196.265,2457058.699587,-41.80,2.272055,0.1537,58616.0
91802,9826,j,rj203.286,2457223.132129,93.03,1.979003,0.1567,53798.0
91803,9826,j,rj204.101,2457229.103732,-23.92,1.9,0.1549,59692.0
91804,9826,j,rj205.338,2457237.139373,54.67,1.895462,0.1551,72940.0
91805,9826,j,rj205.339,2457237.139905,51.41,2.064087,0.1561,55769.0
91806,9826,j,rj205.340,2457237.140472,55.39,1.898138,0.1553,70866.0
91807,9826,j,rj211.104,2457265.111967,17.96,2.177326,0.1556,63217.0
91808,9826,j,rj231.309,2457570.053019,-126.83,3.10549,0.1561,22907.0
91809,9826,j,rj233.152,2457580.136972,-178.90,1.716864,0.1549,74366.0
91810,9826,j,rj233.319,2457581.136346,-139.37,1.904215,0.1551,71906.0
91811,9826,j,rj233.1539,2457587.125657,-52.72,2.164546,0.1561,52130.0
91812,9826,j,rj234.414,2457595.033743,-130.67,2.305715,0.1573,54345.0
91813,9826,j,rj234.415,2457595.034426,-136.05,2.323137,0.1571,49220.0
91814,9826,j,rj234.416,2457595.035167,-132.25,2.106786,0.1564,56502.0
91815,9826,j,rj246.293,2457712.981652,7.37,2.794193,0.1589,45923.0
91816,9826,j,rj246.294,2457712.98296,10.77,2.70573,0.1585,49387.0
91817,9826,j,rj246.295,2457712.983701,2.99,2.57527,0.1574,46175.0
91818,9826,j,rj251.461,2457789.701211,54.04,2.452954,0.1553,69231.0
91819,9826,j,rj252.77,2457802.732842,-27.68,2.336402,0.1562,58778.0
91820,9826,j,rj258.243,2457925.125833,139.42,2.309809,0.1521,50384.0
91821,9826,j,rj267.102,2457984.042281,165.98,1.97186,0.156,58385.0
91822,9826,j,rj267.282,2457985.068476,124.94,1.879697,0.1551,60556.0
91823,9826,j,rj268.118,2457989.032441,152.79,1.953844,0.1565,61856.0
91824,9826,j,rj276.77,2458091.72309,-28.37,3.124121,0.1555,29521.0
91825,9826,j,rj294.142,2458306.13401,-12.43,1.907093,0.155,54210.0
91826,9826,j,rj297.123,2458337.142142,-102.14,2.080933,0.1496,53469.0
91827,9826,j,rj297.344,2458338.142806,-70.35,1.782118,0.1565,69562.0
91828,9826,j,rj298.89,2458341.103613,-52.59,2.000658,0.157,59060.0
91829,9826,j,rj298.110,2458341.146024,-62.01,1.795596,0.1556,71375.0
91830,9826,j,rj299.504,2458346.934506,-86.68,2.488148,0.1575,45769.0
91831,9826,j,rj305.96,2458385.991606,116.85,2.296645,0.155,60868.0
91832,9826,j,rj305.1710,2458394.031309,69.20,2.621427,0.1539,55879.0
91833,9826,j,rj306.103,2458395.989502,94.42,2.934802,0.1573,54273.0
91834,9826,j,rj307.104,2458414.914909,51.71,2.752498,0.1555,54113.0
91835,9826,j,rj308.287,2458426.967202,126.31,2.805062,0.1571,56156.0
91836,9826,j,rj344.183,2458743.916024,-104.83,2.691056,0.16,42223.0
91837,9826,j,rj348.80,2458776.913739,-109.18,2.615074,0.1589,47076.0
91838,9826,j,rj351.80,2458794.749716,-164.99,2.595708,0.1577,66945.0
91839,9826,j,rj363.61,2458878.700672,-28.29,2.438994,0.1536,75599.0
91840,9826,j,rj363.259,2458879.699241,40.92,2.644636,0.1542,45775.0
