# Query Description
# Type of request:                 Extract data from a table
# Name of the selected table:      sophiecc
# Description of the table:        Cross-correlation functions
# Object:                          HD9826
# Display the fields:              seq,$link[objname],date,$link[slen],mask,ccf_offline,$field[rv],fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
# Description of each column
# seq: ----------------- Sequence number
# $link[objname]: ------ Designation of the object
# date: ---------------- Observation date
# $link[slen]: --------- Length of the series
# mask: ---------------- Name of the mask
# ccf_offline: --------- Offline CCF
# $field[rv]: ---------- Radial velocity
# fwhm: ---------------- FWHM of the correlation peak
# span: ---------------- Bissector span
# maxcpp: -------------- Maximum number of counts per pixel
# contrast: ------------ Contrast of the CCF
# lines: --------------- Number of lines used for the CCF
# $link['view_head']: -- See the header of the cross-correlation file
# $link['get_ccf']: ---- Download the cross-correlation function FITS file
# $link['view_ccf']: --- View the cross-correlation function
# targetname: ---------- Target name provided by the observer
# bjd: ----------------- Barycentric Julian date
#---,--------------,----,-----------,----,-----------,--,---,----,----,------,--------,-----,------------------,----------------,-----------------,----------,---
seq,$link[objname],date,$link[slen],mask,ccf_offline,rv,err,fwhm,span,maxcpp,contrast,lines,$link['view_head'],$link['get_ccf'],$link['view_ccf'],targetname,bjd
#---,--------------,----,-----------,----,-----------,--,---,----,----,------,--------,-----,------------------,----------------,-----------------,----------,---
1055070,HD009826,2010-10-05,   2,G2,0,-28.6099147796631,0.000534524,14.0244,-0.00133333,90270,21.9036,4737,view_head,get_ccf,view_ccf,HD9826,2455475.62524761
1022210,HD009826,2010-09-08,   5,G2,0,-28.6118869781494,0.00120082,13.9816,0.000166667,19278,21.7576,4759,view_head,get_ccf,view_ccf,HD9826,2455448.52494143
1678600,HD009826,2013-10-17,   3,G2,0,-28.6556282043457,0.00128991,14.0002,0.00433333,16537,21.7507,4725,view_head,get_ccf,view_ccf,HD9826,2456583.45112828
1645320,HD009826,2013-08-14,   6,G2,0,-28.5693283081055,0.00126629,13.9809,-0.0005,16439,21.7339,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64393991
1021380,HD009826,2010-09-05,   5,G2,0,-28.6200256347656,0.000964501,13.9809,-0.0128333,29174,21.8263,4760,view_head,get_ccf,view_ccf,HD9826,2455445.53404084
1647280,HD009826,2013-08-18,   6,G2,0,-28.6235446929932,0.00115435,13.9729,-0.004,20029,21.801,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61643146
1018870,HD009826,2010-09-01,   5,G2,0,-28.6915054321289,0.000946433,14.009,0.002,30682,21.812,4760,view_head,get_ccf,view_ccf,HD9826,2455441.59010026
1647250,HD009826,2013-08-18,   6,G2,0,-28.6233234405518,0.00122201,13.9837,-0.00633333,17852,21.7569,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61182461
1062620,HD009826,2010-11-23,   5,G2,0,-28.5534400939941,0.00145494,13.9792,-0.0025,13086,21.6896,4697,view_head,get_ccf,view_ccf,HD9826,2455524.45603069
1647290,HD009826,2013-08-18,   6,G2,0,-28.6207752227783,0.00114874,13.9783,-0.00483333,20264,21.8048,4758,view_head,get_ccf,view_ccf,HD9826,2456523.61795937
1245090,HD009826,2011-09-15,   2,G2,0,-28.6388893127441,0.000587695,13.9897,-0.000333333,75556,21.8939,4750,view_head,get_ccf,view_ccf,HD9826,2455820.51133066
1708330,HD009826,2013-12-15,   1,G2,0,-28.6943416595459,0.00155199,14.0026,-0.00933333,11533,21.6142,4688,view_head,get_ccf,view_ccf,HD9826,2456642.36164154
1020030,HD009826,2010-09-03,   5,G2,0,-28.6734008789062,0.000852767,13.9817,0.0005,37501,21.9049,4760,view_head,get_ccf,view_ccf,HD9826,2455443.60628822
1022220,HD009826,2010-09-08,   5,G2,0,-28.6147804260254,0.00120669,13.9677,-0.000333333,19098,21.774,4759,view_head,get_ccf,view_ccf,HD9826,2455448.52675869
1723011,HD009826,2014-11-07,   4,G2,0,-28.5317573547363,0.00093508,13.9849,0.00466667,31367,21.8743,4712,view_head,get_ccf,view_ccf,HD9826,2456969.36578977
1061210,HD009826,2010-11-22,   6,G2,0,-28.4586906433105,0.00201969,13.9675,-0.0153333,7015,21.5118,4697,view_head,get_ccf,view_ccf,HD9826,2455523.50112138
1645310,HD009826,2013-08-14,   6,G2,0,-28.5710487365723,0.00132551,13.9843,0.002,15029,21.705,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64241201
1286570,HD009826,2012-01-02,   2,G2,0,-28.6264171600342,0.000919627,14.0035,-0.006,31618,21.792,4680,view_head,get_ccf,view_ccf,HD9826,2455929.29430479
978050,HD009826,2010-07-13,   1,G2,0,-28.6995792388916,0.00180418,13.9935,-0.00766667,8405,21.5111,4758,view_head,get_ccf,view_ccf,HD9826,2455391.61264502
1660480,HD009826,2013-09-18,   1,G2,0,-28.6304950714111,0.000443591,13.9865,-0.00416667,132660,22.0048,4749,view_head,get_ccf,view_ccf,HD9826,2456554.55425845
1245890,HD009826,2011-09-16,   2,G2,0,-28.6453514099121,0.00058796,14.0017,-0.00416667,73695,21.8548,4750,view_head,get_ccf,view_ccf,HD9826,2455821.5131159
1290720,HD009826,2012-01-08,   1,G2,0,-28.6885890960693,0.00103803,13.9984,0.00833333,24900,21.7462,4680,view_head,get_ccf,view_ccf,HD9826,2455935.26888029
1661100,HD009826,2013-09-19,   2,G2,0,-28.6426162719727,0.000576598,14.0088,-0.005,79601,21.8975,4746,view_head,get_ccf,view_ccf,HD9826,2456555.55887572
1282880,HD009826,2011-12-23,   1,G2,0,-28.6787796020508,0.000727433,14.0043,0.002,50409,21.8582,4685,view_head,get_ccf,view_ccf,HD9826,2455919.37196996
1693730,HD009826,2013-11-16,   5,G2,0,-28.5688533782959,0.00114117,13.9805,-0.00866667,20719,21.7861,4704,view_head,get_ccf,view_ccf,HD9826,2456613.33519326
1051680,HD009826,2010-09-30,   2,G2,0,-28.6578178405762,0.000514719,14.0026,-0.00183333,97699,21.9523,4743,view_head,get_ccf,view_ccf,HD9826,2455470.60540536
1286580,HD009826,2012-01-02,   2,G2,0,-28.6245708465576,0.000886313,14.0002,-0.011,33978,21.7997,4680,view_head,get_ccf,view_ccf,HD9826,2455929.29961687
1281440,HD009826,2011-12-21,   1,G2,0,-28.7487869262695,0.000663463,14.0162,-0.00366667,59599,21.8196,4686,view_head,get_ccf,view_ccf,HD9826,2455917.39629763
1290080,HD009826,2012-01-07,   2,G2,0,-28.6143836975098,0.000907335,14.0097,-0.00483333,32536,21.7891,4680,view_head,get_ccf,view_ccf,HD9826,2455934.28509546
1021350,HD009826,2010-09-05,   5,G2,0,-28.6167850494385,0.000964312,13.984,-0.013,29192,21.8211,4760,view_head,get_ccf,view_ccf,HD9826,2455445.52869324
1021340,HD009826,2010-09-05,   5,G2,0,-28.6217269897461,0.000962539,13.9787,-0.009,29220,21.8294,4760,view_head,get_ccf,view_ccf,HD9826,2455445.52688756
1018890,HD009826,2010-09-01,   5,G2,0,-28.6942920684814,0.000886744,13.993,0.0136667,34936,21.8515,4760,view_head,get_ccf,view_ccf,HD9826,2455441.59363061
1678580,HD009826,2013-10-17,   3,G2,0,-28.6507759094238,0.00103142,14.0094,-0.00433333,25548,21.8011,4725,view_head,get_ccf,view_ccf,HD9826,2456583.44686893
1022200,HD009826,2010-09-08,   5,G2,0,-28.6072616577148,0.00116172,13.9875,0.00283333,20516,21.7681,4759,view_head,get_ccf,view_ccf,HD9826,2455448.52314733
1645330,HD009826,2013-08-14,   6,G2,0,-28.5735778808594,0.00123508,13.9868,0.00416667,17281,21.7348,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64546782
1645300,HD009826,2013-08-14,   6,G2,0,-28.5723133087158,0.00157268,13.9889,0.0055,10793,21.6235,4758,view_head,get_ccf,view_ccf,HD9826,2456519.64089568
1645280,HD009826,2013-08-14,   6,G2,0,-28.569637298584,0.00131899,13.9784,-0.00483333,15174,21.7003,4758,view_head,get_ccf,view_ccf,HD9826,2456519.63781672
1644400,HD009826,2013-08-12,   5,G2,0,-28.6215324401855,0.00103174,13.9963,0.0075,24904,21.731,4759,view_head,get_ccf,view_ccf,HD9826,2456517.6326725
1644360,HD009826,2013-08-12,   5,G2,0,-28.6266307830811,0.000997777,13.9977,0.00883333,26604,21.7511,4759,view_head,get_ccf,view_ccf,HD9826,2456517.62558857
