time	mnvel	errvel	tel
2456508.122464	33.39	2.020427	HIRES-pre
2456842.131165	-5.6	1.909908	HIRES-pre
2456844.123482	86.93	2.167831	HIRES-pre
2456846.1260434515	-43.531341871048454	1.3644578641885625	HIRES-pre
2456847.130257	21.16	1.9143880000000002	HIRES-pre
2456849.129849	57.4	2.017375	HIRES-pre
2456867.085178	64.7	1.672525	HIRES-pre
2456882.112002	-37.79	1.9239080000000002	HIRES-pre
2456907.065674	1.45	1.9937939999999998	HIRES-pre
2456908.896263	78.37	2.317532	HIRES-pre
2456911.039532	-41.72	2.309006	HIRES-pre
2457001.788407	87.24	2.533843	HIRES-pre
2457057.698008	-15.98	2.317656	HIRES-pre
2457058.699587	-41.8	2.272055	HIRES-pre
2457223.132129	93.03	1.9790030000000003	HIRES-pre
2457229.103732	-23.92	1.9000000000000001	HIRES-pre
2457237.1399167594	53.95492868155644	1.124657308440778	HIRES-pre
2457265.111967	17.96	2.177326	HIRES-pre
2457570.053019	-126.83	3.10549	HIRES-pre
2457580.136972	-178.9	1.7168639999999997	HIRES-pre
2457581.136346	-139.37	1.9042149999999998	HIRES-pre
2457587.125657	-52.72	2.164546	HIRES-pre
2457595.0344902645	-132.92965491367744	1.2924080076168694	HIRES-pre
2457712.982825691	6.898200025981486	1.551442782982199	HIRES-pre
2457789.701211	54.04	2.452954	HIRES-pre
2457802.732842	-27.68	2.336402	HIRES-pre
2457925.125833	139.42	2.309809	HIRES-pre
2457984.042281	165.98	1.97186	HIRES-pre
2457985.068476	124.94	1.8796970000000002	HIRES-pre
2457989.032441	152.79	1.9538439999999997	HIRES-pre
2458091.72309	-28.37	3.124121	HIRES-pre
2458306.13401	-12.43	1.9070930000000001	HIRES-pre
2458337.142142	-102.14	2.080933	HIRES-pre
2458338.142806	-70.35	1.7821180000000003	HIRES-pre
2458341.1271027476	-57.807359126671486	1.3363140778335874	HIRES-pre
2458346.934506	-86.68	2.488148	HIRES-pre
2458385.991606	116.85	2.296645	HIRES-pre
2458394.031309	69.2	2.621427	HIRES-pre
2458395.989502	94.42	2.934802	HIRES-pre
2458414.914909	51.71	2.752498	HIRES-pre
2458426.967202	126.31	2.8050620000000004	HIRES-pre
2458743.916024	-104.83	2.6910560000000006	HIRES-pre
2458776.913739	-109.18	2.615074	HIRES-pre
2458794.749716	-164.99	2.595708	HIRES-pre
2458878.700672	-28.29	2.438994	HIRES-pre
2458879.699241	40.92	2.644636	HIRES-pre
2456506.007919	60.33	4.292484	Levy
2456515.917837	102.33	4.854252	Levy
2456516.945169	57.63	4.573137	Levy
2456517.837385	-31.12	4.556805	Levy
2456518.876071	-21.09	4.165224	Levy
2456525.857072	72.27	4.972682	Levy
2456526.866412	-10.69	4.668622	Levy
2456534.861767	92.81	4.626822	Levy
2456535.876403	6.53	4.855828000000001	Levy
2456539.861682	62.88	4.924689	Levy
2456540.894163	-11.58	4.183057	Levy
2456542.034984	10.96	4.226214	Levy
2456543.030504	93.73	4.046061	Levy
2456548.02932	98.33	4.768285	Levy
2456548.960618	54.1	4.513125	Levy
2456562.9276207346	47.43072803496467	2.6512953583756325	Levy
2456563.870890929	-23.199055080158367	2.9729438301749402	Levy
2456570.948055478	82.97258747583157	4.174127866175705	Levy
2456573.932109427	-48.00336780773144	3.035106627745142	Levy
2456574.982100422	25.232784052727567	4.505687528718562	Levy
2456577.9067322686	-44.8407708801651	1.8640585015268734	Levy
2456581.9915442956	2.0359287853584394	1.8264219882322557	Levy
2456582.951536153	-44.64249036046193	1.5850701566418401	Levy
2456583.9268121016	9.377682364496557	1.5124064441616933	Levy
2456588.909749343	44.924242135075	1.60342790463888	Levy
